"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00011","","","","2","16.4","50.7","2","30","24","34","21","34","20","8","5","3","7","1","7","2","2","8.9","2.28","3.25","11.18","14.43","54","0.296666667","0.095","0.207037037","2.571428571","1.588235294","1.428571429","0.882352941","0.532380952","0.328823529","0.154761905","0.095588235","55.55555556","77.47747748","61.76470588","8.725490196","14.12698413","10.96078431","17.74603175","3.18627451","5.158730159","14.14705882","22.9047619","32.34714004","3.616410256","3.545500251","5.74033374"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00012","","","","2","20.8","50.2","3","52","56","34","26","34","24","9","9","2","8","1","7","3","4","10.25","2.3","2.8","12.55","15.35","108","0.197115385","0.041071429","0.116203704","4.153846154","3.176470588","2","1.529411765","0.482692308","0.369117647","0.107692308","0.082352941","48.14814815","81.75895765","76.47058824","10.04901961","13.14102564","12.30392157","16.08974359","2.745098039","3.58974359","15.04901961","19.67948718","41.43426295","5.2","5.098039216","6.666666667"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00013","","","","2","19.5","50.2","2","38","71","31","22","34","22","4","4","2","5","2","6","3","2","12.15","3.8","5.35","15.95","21.3","109","0.319736842","0.053521127","0.146330275","4.954545455","3.205882353","1.727272727","1.117647059","0.725","0.469117647","0.243181818","0.157352941","34.86238532","74.88262911","64.70588235","11.91176471","18.40909091","15.6372549","24.16666667","5.245098039","8.106060606","20.88235294","32.27272727","38.84462151","6.195717131","6.074232482","9.387450199"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00014","","","","1","18","50.3","2","58","54","30","26","34","26","8","5","2","7","2","8","2","2","16.1","3.25","6.65","19.35","26","112","0.277586207","0.060185185","0.172767857","4.307692308","3.294117647","2.230769231","1.705882353","0.744230769","0.569117647","0.255769231","0.195588235","51.78571429","74.42307692","76.47058824","15.78431373","20.64102564","18.97058824","24.80769231","6.519607843","8.525641026","25.49019608","33.33333333","35.78528827","6.92445328","6.788679687","8.877504206"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00015","","","","1","21.2","50.4","2","55","27","32","22","34","22","9","9","1","7","1","9","2","2","11.25","1.2","8.15","12.45","20.6","82","0.204545455","0.044444444","0.151829268","3.727272727","2.411764706","2.5","1.617647059","0.565909091","0.366176471","0.370454545","0.239705882","67.07317073","60.4368932","64.70588235","11.02941176","17.04545455","12.20588235","18.86363636","7.990196078","12.34848485","20.19607843","31.21212121","42.06349206","5.236904762","5.134220355","7.934704185"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00016","","","","2","19.6","50.4","2","40","30","30","22","34","21","7","5","2","7","2","9","1","1","10.9","1.6","10.05","12.5","22.55","70","0.2725","0.053333333","0.178571429","3.181818182","2.058823529","1.818181818","1.176470588","0.568181818","0.367647059","0.456818182","0.295588235","57.14285714","55.43237251","64.70588235","10.68627451","16.51515152","12.25490196","18.93939394","9.852941176","15.22727273","22.10784314","34.16666667","38.88888889","4.861111111","4.765795207","7.365319865"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00017","","","","2","17.7","50.8","3","48","41","32","21","34","21","8","5","3","7","2","6","2","2","8.6","2.05","3.4","10.65","14.05","89","0.179166667","0.05","0.119662921","4.238095238","2.617647059","2.285714286","1.411764706","0.507142857","0.313235294","0.161904762","0.1","53.93258427","75.80071174","61.76470588","8.431372549","13.65079365","10.44117647","16.9047619","3.333333333","5.396825397","13.7745098","22.3015873","34.84251969","3.710728346","3.637968967","5.890044994"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00018","","","","2","16.7","50.5","4","28","49","30","23","34","23","8","3","3","7","1","7","3","4","4.9","3.1","5.5","8","13.5","77","0.175","0.063265306","0.103896104","3.347826087","2.264705882","1.217391304","0.823529412","0.347826087","0.235294118","0.239130435","0.161764706","36.36363636","59.25925926","67.64705882","4.803921569","7.101449275","7.843137255","11.5942029","5.392156863","7.971014493","13.23529412","19.56521739","33.06930693","2.645544554","2.593671132","3.834122543"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00019","","","","2","15.2","50.1","3","36","95","32","22","34","22","8","5","4","6","1","7","1","1","8.9","6.9","8.5","15.8","24.3","131","0.247222222","0.072631579","0.120610687","5.954545455","3.852941176","1.636363636","1.058823529","0.718181818","0.464705882","0.386363636","0.25","27.48091603","65.02057613","64.70588235","8.725490196","13.48484848","15.49019608","23.93939394","8.333333333","12.87878788","23.82352941","36.81818182","30.33932136","4.793612774","4.699620367","7.263049658"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00020","","","","2","19.5","49.3","3","58","37","33","26","34","26","4","4","3","5","1","6","3","3","12.3","2.91","5.45","15.21","20.66","95","0.212068966","0.078648649","0.160105263","3.653846154","2.794117647","2.230769231","1.705882353","0.585","0.447352941","0.209615385","0.160294118","61.05263158","73.62052275","76.47058824","12.05882353","15.76923077","14.91176471","19.5","5.343137255","6.987179487","20.25490196","26.48717949","39.55375254","6.016125761","5.89816251","7.712981744"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00021","","","","2","14.9","50.9","4","32","25","32","15","34","15","8","5","3","7","1","6","3","3","9.15","1.75","3.75","10.9","14.65","57","0.2859375","0.07","0.19122807","3.8","1.676470588","2.133333333","0.941176471","0.726666667","0.320588235","0.25","0.110294118","56.14035088","74.40273038","44.11764706","8.970588235","20.33333333","10.68627451","24.22222222","3.676470588","8.333333333","14.3627451","32.55555556","29.27308448","3.190766208","3.128202165","7.090591574"
