"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00193","","","","","","","","3","","3","","","","","5","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00194","","","","","","","","3","","3","","","","","6","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00195","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00196","","","","","","","","3","","3","","","","","6","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00197","","","","1","1","2","","3","3","3","3","3","3","3","6","1","1","0.3","","0.1","","","","0.15","","","","","0.666666667","0.666666667","","","0.033333333","0.033333333","","","100","3.333333333","3.333333333","","","1.111111111","1.111111111","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00198","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00199","","","","","","","","3","","3","","","","","7","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00002","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00020","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00200","","","","","","","","3","","3","","","","","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00201","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00202","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00203","","","","","","","","3","","3","","","","","4","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00204","","","","","","","","3","","3","","","","","5","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00205","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00206","","","","","","","","3","","3","","","","","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00207","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00208","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00209","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00021","","","","1","1","11","9","3","3","3","3","1","2","3","8","1","2","2.3","0.5","1.7","2.8","4.5","20","0.209090909","0.055555556","0.14","6.666666667","6.666666667","3.666666667","3.666666667","0.933333333","0.933333333","0.566666667","0.566666667","55","62.22222222","100","25.55555556","25.55555556","31.11111111","31.11111111","18.88888889","18.88888889","50","50"
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00210","","","","","","","","3","","3","","","","","9","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00211","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00212","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00213","","","","","","","","3","","3","","","","","6","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00214","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00215","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00216","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00217","","","","","","","","3","","3","","","","","8","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00218","","","","","","","","3","","3","","","","","8","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00219","","","","","","","","3","","3","","","","","8","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00022","","","","","","","","3","","3","","","","","8","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00220","","","","","","","","3","","3","","","","","6","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
