"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-AT01","","","","","","","","","GHP2013FMS-AT01-00019","","","","1","19","50.3","1.075811","3.0025001","2","10","46","34","29","34","25","4","2","72.4398117","4","1","1","2.3","3.1","29.5","5.4","34.9","56","0.23","0.067391304","0.096428571","1.931034483","1.647058824","0.344827586","0.294117647","0.186206897","0.158823529","1.017241379","0.867647059","17.85714286","15.47277937","85.29411765","37.77335984","2.039761431","2.254901961","2.643678161","5.294117647","6.206896552","28.92156863","33.90804598","1.999766109","2.344553369","34.21568627","40.11494253"
"","","GHP2013FMS-AT01","","","","","","","","","GHP2013FMS-AT01-00002","","","","4","17.6","50.5","0.742999","2.061377","2","33","46","34","28","34","28","4","3","71.9676743","4","1","1","5.6","2.6","31","8.2","39.2","79","0.16969697","0.056521739","0.103797468","2.821428571","2.323529412","1.178571429","0.970588235","0.292857143","0.241176471","1.107142857","0.911764706","41.7721519","20.91836735","82.35294118","34.85148515","2.857821782","5.490196078","6.666666667","8.039215686","9.761904762","30.39215686","36.9047619","2.801786061","3.402168788","38.43137255","46.66666667"
"","","GHP2013FMS-AT01","","","","","","","","","GHP2013FMS-AT01-00020","","","","3","21.1","51","0.331951","0.839578","2","14","30","34","29","34","22","3","2","78.2484589","4","3","4","3.3","1.8","30.5","5.1","35.6","44","0.235714286","0.06","0.115909091","1.517241379","1.294117647","0.482758621","0.411764706","0.175862069","0.15","1.051724138","0.897058824","31.81818182","14.3258427","85.29411765","41.37254902","2.11","3.235294118","3.793103448","5","5.862068966","29.90196078","35.05747126","2.068627451","2.425287356","34.90196078","40.91954023"
"","","GHP2013FMS-AT01","","","","","","","","","GHP2013FMS-AT01-00021","","","","2","18.5","50.1","0.861569","2.5435431","2","30","84","34","30","34","30","5","2","71.77285","6","1","3","8.7","7","27","15.7","42.7","114","0.29","0.083333333","0.137719298","3.8","3.352941176","1","0.882352941","0.523333333","0.461764706","0.9","0.794117647","26.31578947","36.76814988","88.23529412","36.9261477","5.79740519","8.529411765","9.666666667","15.39215686","17.44444444","26.47058824","30","5.683730578","6.441561322","41.8627451","47.44444444"
"","","GHP2013FMS-AT01","","","","","","","","","GHP2013FMS-AT01-00003","","","","4","16.1","50.6","1.280887","2.8114109","2","29","53","34","29","34","28","6","2","69.8087997","4","1","4","9.8","3.3","19","13.1","32.1","82","0.337931034","0.062264151","0.159756098","2.827586207","2.411764706","1","0.852941176","0.451724138","0.385294118","0.655172414","0.558823529","35.36585366","40.80996885","85.29411765","31.81818182","4.168181818","9.607843137","11.26436782","12.84313725","15.05747126","18.62745098","21.83908046","4.086452763","4.791013584","31.47058824","36.89655172"
"","","GHP2013FMS-AT01","","","","","","","","","GHP2013FMS-AT01-00004","","","","3","16.9","50.5","2.2013581","3.736788","2","34","14","32","28","34","28","3","2","68.1196213","5","1","4","8.3","1.1","13.5","9.4","22.9","48","0.244117647","0.078571429","0.195833333","1.714285714","1.411764706","1.214285714","1","0.335714286","0.276470588","0.482142857","0.397058824","70.83333333","41.04803493","82.35294118","33.46534653","3.145742574","8.137254902","9.880952381","9.215686275","11.19047619","13.23529412","16.07142857","3.084061347","3.744931636","22.45098039","27.26190476"
"","","GHP2013FMS-AT01","","","","","","","","","GHP2013FMS-AT01-00005","","","","2","15.6","50","1.797177","3.4144089","2","22","53","34","30","34","29","6","2","68.8833542","4","1","1","4.1","2.5","22","6.6","28.6","75","0.186363636","0.047169811","0.088","2.5","2.205882353","0.733333333","0.647058824","0.22","0.194117647","0.733333333","0.647058824","29.33333333","23.07692308","88.23529412","31.2","2.0592","4.019607843","4.555555556","6.470588235","7.333333333","21.56862745","24.44444444","2.018823529","2.288","28.03921569","31.77777778"
"","","GHP2013FMS-AT01","","","","","","","","","GHP2013FMS-AT01-00006","","","","2","15.5","50.3","1.164883","2.6972351","1","44","100","34","30","34","29","4","2","68.4073181","5","3","3","8.9","6.2","19","15.1","34.1","144","0.202272727","0.062","0.104861111","4.8","4.235294118","1.466666667","1.294117647","0.503333333","0.444117647","0.633333333","0.558823529","30.55555556","44.28152493","88.23529412","30.81510934","4.653081511","8.725490196","9.888888889","14.80392157","16.77777778","18.62745098","21.11111111","4.561844619","5.170090568","33.43137255","37.88888889"
"","","GHP2013FMS-AT01","","","","","","","","","GHP2013FMS-AT01-00007","","","","4","18.3","50.9","0.342258","2.1190219","2","20","34","34","29","34","26","5","3","70.5370178","5","6","6","8.8","2.5","6","11.3","17.3","54","0.44","0.073529412","0.209259259","1.862068966","1.588235294","0.689655172","0.588235294","0.389655172","0.332352941","0.206896552","0.176470588","37.03703704","65.31791908","85.29411765","35.95284872","4.062671906","8.62745098","10.11494253","11.07843137","12.98850575","5.882352941","6.896551724","3.983011672","4.669737823","16.96078431","19.88505747"
"","","GHP2013FMS-AT01","","","","","","","","","GHP2013FMS-AT01-00008","","","","2","16.9","50.6","0.913099","2.564322","2","50","105","34","30","34","30","4","2","71.1400909","5","1","3","11.7","4.7","26.5","16.4","42.9","155","0.234","0.044761905","0.105806452","5.166666667","4.558823529","1.666666667","1.470588235","0.546666667","0.482352941","0.883333333","0.779411765","32.25806452","38.22843823","88.23529412","33.39920949","5.477470356","11.47058824","13","16.07843137","18.22222222","25.98039216","29.44444444","5.370068976","6.086078173","42.05882353","47.66666667"
"","","GHP2013FMS-AT01","","","","","","","","","GHP2013FMS-AT01-00009","","","","2","17.2","50.8","1.914412","3.6583409","2","23","56","34","30","34","28","4","1","69.6432037","3","1","1","2.9","2.5","27.5","5.4","32.9","79","0.126086957","0.044642857","0.06835443","2.633333333","2.323529412","0.766666667","0.676470588","0.18","0.158823529","0.916666667","0.808823529","29.11392405","16.41337386","88.23529412","33.85826772","1.828346457","2.843137255","3.222222222","5.294117647","6","26.96078431","30.55555556","1.792496526","2.031496063","32.25490196","36.55555556"
