"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00001","","","","30","8","3","26","26","47","34","9.5","1.3","5.8","3","4","5","4","5","10.8","16.6","81","0.20212766","0.038235294","0.133333333","3.115384615","2.7","1.807692308","1.566666667","0.415384615","0.36","0.223076923","0.193333333","58.02469136","65.06024096","86.66666667","10.55555556","12.17948718","12","13.84615385","6.444444444","7.435897436","18.44444444","21.28205128"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00002","","","","30","5","8","28","28","34","32","5.1","1.2","15.5","3","4","4","4","5","6.3","21.8","66","0.15","0.0375","0.095454545","2.357142857","2.2","1.214285714","1.133333333","0.225","0.21","0.553571429","0.516666667","51.51515152","28.89908257","93.33333333","5.666666667","6.071428571","7","7.5","17.22222222","18.45238095","24.22222222","25.95238095"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00003","","","","30","3","6","22","22","35","28","7.9","1.7","3.5","4","4","3","4","5","9.6","13.1","63","0.225714286","0.060714286","0.152380952","2.863636364","2.1","1.590909091","1.166666667","0.436363636","0.32","0.159090909","0.116666667","55.55555556","73.28244275","73.33333333","8.777777778","11.96969697","10.66666667","14.54545455","3.888888889","5.303030303","14.55555556","19.84848485"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00004","","","","30","3","7","26","26","32","42","5.4","1.3","28.1","3","4","4","5","5","6.7","34.8","74","0.16875","0.030952381","0.090540541","2.846153846","2.466666667","1.230769231","1.066666667","0.257692308","0.223333333","1.080769231","0.936666667","43.24324324","19.25287356","86.66666667","6","6.923076923","7.444444444","8.58974359","31.22222222","36.02564103","38.66666667","44.61538462"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00005","","","","30","","","0","0","0","0","0","0","0","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00006","","","","30","1","9","21","14","11","17","1.4","0.8","17","2","3","5","3","5","2.2","19.2","28","0.127272727","0.047058824","0.078571429","1.333333333","0.933333333","0.523809524","0.366666667","0.104761905","0.073333333","0.80952381","0.566666667","39.28571429","11.45833333","70","1.555555556","2.222222222","2.444444444","3.492063492","18.88888889","26.98412698","21.33333333","30.47619048"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00007","","","","30","3","8","15","13","13","23","2","0.9","4.9","2","4","5","4","5","2.9","7.8","36","0.153846154","0.039130435","0.080555556","2.4","1.2","0.866666667","0.433333333","0.193333333","0.096666667","0.326666667","0.163333333","36.11111111","37.17948718","50","2.222222222","4.444444444","3.222222222","6.444444444","5.444444444","10.88888889","8.666666667","17.33333333"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00008","","","","30","","","0","0","0","0","0","0","0","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00009","","","","30","4","8","30","28","36","7","14.2","0.4","11.4","4","3","4","4","5","14.6","26","43","0.394444444","0.057142857","0.339534884","1.433333333","1.433333333","1.2","1.2","0.486666667","0.486666667","0.38","0.38","83.72093023","56.15384615","100","15.77777778","15.77777778","16.22222222","16.22222222","12.66666667","12.66666667","28.88888889","28.88888889"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00010","","","","30","7","3","24","24","26","15","4.2","0.9","2.7","3","4","4","3","5","5.1","7.8","41","0.161538462","0.06","0.124390244","1.708333333","1.366666667","1.083333333","0.866666667","0.2125","0.17","0.1125","0.09","63.41463415","65.38461538","80","4.666666667","5.833333333","5.666666667","7.083333333","3","3.75","8.666666667","10.83333333"
