"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00011","","","","1","12","34","25","34","5","1","6","3","8","1","1","0.14","0.32","17.38","0.46","17.84","13","0.14","0.026666667","0.035384615","0.52","0.382352941","0.04","0.029411765","0.0184","0.013529412","0.6952","0.511176471","7.692307692","2.578475336","73.52941176","0.137254902","0.186666667","0.450980392","0.613333333","17.03921569","23.17333333","17.49019608","23.78666667"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00012","","","","56","58","32","25","34","24","3","7","5","7","3","2","7.76","2.36","9.52","10.12","19.64","114","0.138571429","0.040689655","0.08877193","4.56","3.352941176","2.24","1.647058824","0.4048","0.297647059","0.3808","0.28","49.12280702","51.52749491","73.52941176","7.607843137","10.34666667","9.921568627","13.49333333","9.333333333","12.69333333","19.25490196","26.18666667"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00013","","","","33","53","25","25","34","22","2","8","6","8","1","1","5.54","2.68","1.1","8.22","9.32","86","0.167878788","0.050566038","0.095581395","3.44","2.529411765","1.32","0.970588235","0.3288","0.241764706","0.044","0.032352941","38.37209302","88.19742489","73.52941176","5.431372549","7.386666667","8.058823529","10.96","1.078431373","1.466666667","9.137254902","12.42666667"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00014","","","","32","20","33","26","34","25","2","5","7","5","2","2","7.88","1.34","4.4","9.22","13.62","52","0.24625","0.067","0.177307692","2","1.529411765","1.230769231","0.941176471","0.354615385","0.271176471","0.169230769","0.129411765","61.53846154","67.69456681","76.47058824","7.725490196","10.1025641","9.039215686","11.82051282","4.31372549","5.641025641","13.35294118","17.46153846"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00015","","","","9","63","32","26","34","25","3","7","4","7","3","2","1.14","2.84","1.5","3.98","5.48","72","0.126666667","0.045079365","0.055277778","2.769230769","2.117647059","0.346153846","0.264705882","0.153076923","0.117058824","0.057692308","0.044117647","12.5","72.62773723","76.47058824","1.117647059","1.461538462","3.901960784","5.102564103","1.470588235","1.923076923","5.37254902","7.025641026"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00016","","","","20","23","31","21","34","19","1","5","5","5","3","2","3.56","1","5.46","4.56","10.02","43","0.178","0.043478261","0.106046512","2.047619048","1.264705882","0.952380952","0.588235294","0.217142857","0.134117647","0.26","0.160588235","46.51162791","45.50898204","61.76470588","3.490196078","5.650793651","4.470588235","7.238095238","5.352941176","8.666666667","9.823529412","15.9047619"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00017","","","","60","44","26","23","34","23","3","6","6","8","1","1","11.98","2.16","12.76","14.14","26.9","104","0.199666667","0.049090909","0.135961538","4.52173913","3.058823529","2.608695652","1.764705882","0.614782609","0.415882353","0.554782609","0.375294118","57.69230769","52.56505576","67.64705882","11.74509804","17.36231884","13.8627451","20.49275362","12.50980392","18.49275362","26.37254902","38.98550725"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00018","","","","0","8","33","22","34","7","1","7","3","8","1","1","0","0.28","24.14","0.28","24.42","8","","0.035","0.035","0.363636364","0.235294118","0","0","0.012727273","0.008235294","1.097272727","0.71","0","1.146601147","64.70588235","0","0","0.274509804","0.424242424","23.66666667","36.57575758","23.94117647","37"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00019","","","","32","49","31","26","34","26","1","5","7","6","2","3","7.76","2.64","8.3","10.4","18.7","81","0.2425","0.053877551","0.128395062","3.115384615","2.382352941","1.230769231","0.941176471","0.4","0.305882353","0.319230769","0.244117647","39.50617284","55.61497326","76.47058824","7.607843137","9.948717949","10.19607843","13.33333333","8.137254902","10.64102564","18.33333333","23.97435897"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00020","","","","21","37","29","23","34","23","2","6","5","7","2","2","3.34","2.02","1.4","5.36","6.76","58","0.159047619","0.054594595","0.092413793","2.52173913","1.705882353","0.913043478","0.617647059","0.233043478","0.157647059","0.060869565","0.041176471","36.20689655","79.28994083","67.64705882","3.274509804","4.84057971","5.254901961","7.768115942","1.37254902","2.028985507","6.62745098","9.797101449"
