"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00108","","","","30","26.3836708","2.3227501","1.3000439","1.721821","2.373399","4.728723","4.5874181","7.2710271","6","6","2.961004","48.890564","54.886097","22.83433134","23.6946106","22.1260147"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00109","","","","30","2.0976696","2.5264361","1.256515","1.4960231","0","3.1532631","1.3474081","14.164896","5","6","3.6972539","49.8205376","61.9352417","23.80952381","18.0748291","19.6115932"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00011","","","","30","4.7559662","2.0544579","0.993449","1.528374","3.7660661","3.4038429","5.6668901","14.2625694","6","8","3.8319571","50.5956001","60.6452293","25.53652294","18.0638504","8.004261"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00110","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00111","","","","30","17.6629715","2.2407939","1.010452","1.319445","2.181617","4.9002571","4.1173129","14.0029583","7","2","3.863802","48.4967957","62.2881432","22.84748459","22.0464401","9.0742226"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00112","","","","30","0","1.594198","0.91148","0.952526","0.221907","2.163131","1.958909","18.5456524","5","8","3.25123","57.6403389","71.5360413","28.69599683","17.5905838","12.1632118"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00113","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00114","","","","30","2.1881428","2.395072","1.1851031","0.981216","1.23849","2.404881","2.3434651","26.6614494","4","8","4.5476651","53.3151398","62.9894257","28.05429864","18.5710526","12.1905766"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00012","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00013","","","","30","0","1.637364","0.909104","1.049383","1.348014","2.2036829","2.8946409","19.0924416","4","8","3.328527","56.9390869","69.0023117","27.00672202","18.8586426","12.0994081"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00014","","","","30","0","2.0809059","0.988815","0.972591","2.3830819","2.154315","3.3111849","18.8878708","4","2","3.912205","57.5783463","65.3093567","26.92690699","15.3909454","10.4917002"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00015","","","","30","","","","0.842867","","1.824067","","15.980278","2","2","","60.9307518","","26.22690244","15.2625732",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00016","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00017","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00018","","","","30","0","1.982525","1.210384","1.160517","1.229596","1.8715039","2.4995241","0","4","5","4.199152","65.2009659","64.7651672","28.07646356","13.1957321","16.1394138"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00019","","","","30","0","1.876922","0.859262","1.107313","3.391561","2.40587","5.2853422","11.3065166","1","6","3.558378","60.7213783","67.3469925","30.3","13.8421249","7.4702802"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00002","","","","30","0","1.751644","0.898203","0.535303","0.2714","1.64187","1.405398","14.5053158","4","2","3.0808959","61.4007912","74.6074753","33.01587302","15.6321182","11.648447"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00020","","","","30","35.6022491","2.420927","1.195731","1.915272","5.6623449","5.7330089","8.58078","10.6636848","7","6","3.1015401","45.6810341","52.7194138","18.49449686","24.1189041","13.7438917"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00021","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00022","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00023","","","","30","0","1.9402601","1.1626461","1.064545","2.021982","2.022356","3.5862501","19.7567425","2","8","4.116549","58.0334816","68.532135","27.86236899","16.083931","8.7495785"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00024","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00025","","","","30","11.7284985","2.1027529","0.910592","1.300276","0.10273","4.5452042","0.759903","14.6133099","7","6","3.8016109","48.9761925","63.3565559","26.90636112","21.9878769","15.2013159"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00026","","","","30","16.6012344","2.127769","0.992601","1.714867","3.3581281","4.8098049","5.5284538","15.9059353","7","2","4.0020008","48.1059151","63.6888847","25.88561251","20.1650391","9.3303614"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00027","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00028","","","","30","17.1065674","2.566751","1.351681","1.703985","1.134008","5.34693","2.7965341","13.0477047","7","4","4.0440431","46.6375732","57.117485","25.64102564","23.5945587","19.8554554"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00029","","","","30","1.3050709","1.992785","0.943244","0.664734","6.0096312","2.9046011","8.8110142","27.0406342","7","4","4.1643891","51.8882179","59.5827789","25.40806293","20.0130081","8.160924"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00003","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00030","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00031","","","","30","41.9668655","2.0522611","0.871082","0","0.664477","3.990335","2.240515","15.0855885","9","9","3.440866","57.5596771","67.4845352","28.2677791","6.4052429","14.4822626"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00032","","","","30","0","1.536271","0.770559","1.229635","1.4404","2.9620011","2.73399","24.0936718","1","8","2.3670831","54.0667152","72.032814","28.94270526","15.8872147","10.3088074"
