"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017WAG-AT01","","","","","","","","","GHP2017WAG-AT01-00001","","","","3","32.2891769","2.295933","1.380978","50.56","2.7198961","4.5888128","1","102","43","30","20","30","19","6","6","3.4098029","1","43.5077629","23.20015823","5","3","30.2927761","7","1","2","21","1.6","8.7","22.6","31.3","145","0.205882353","0.037209302","0.155862069","7.25","4.833333333","5.1","3.4","1.13","0.753333333","0.435","0.29","70.34482759","72.20447284","66.66666667","5.24323576","23.33333333","35","25.11111111","37.66666667","9.666666667","14.5","5.825817511","8.738726267","34.77777778","52.16666667"
"","","GHP2017WAG-AT01","","","","","","","","","GHP2017WAG-AT01-00010","","","","3","0.1054935","1.930953","0.959332","50.49","1.106406","1.650558","1","41","61","30","29","30","29","6","5","3.046854","1","64.183815","22.18261042","3","3","13.5119543","7","3","3","7.1","2.48","8","9.58","17.58","102","0.173170732","0.040655738","0.093921569","3.517241379","3.4","1.413793103","1.366666667","0.330344828","0.319333333","0.275862069","0.266666667","40.19607843","54.49374289","96.66666667","2.125094078","7.888888889","8.16091954","10.64444444","11.01149425","8.888888889","9.195402299","2.361215642","2.442636872","19.53333333","20.20689655"
"","","GHP2017WAG-AT01","","","","","","","","","GHP2017WAG-AT01-00011","","","","3","0","1.396125","0.754434","50.47","2.25176","3.4227309","1","60","128","30","30","30","30","2","8","2.397249","1","70.9563065","34.93164256","7","3","10.5723705","8","1","1","12.5","5.1","11.3","17.6","28.9","188","0.208333333","0.03984375","0.093617021","6.266666667","6.266666667","2","2","0.586666667","0.586666667","0.376666667","0.376666667","31.91489362","60.89965398","100","6.147969091","13.88888889","13.88888889","19.55555556","19.55555556","12.55555556","12.55555556","6.831076767","6.831076767","32.11111111","32.11111111"
"","","GHP2017WAG-AT01","","","","","","","","","GHP2017WAG-AT01-00012","","","","3","2.1536655","2.0062251","1.063066","50.6","1.151459","2.261246","1","86","56","26","24","30","24","6","7","2.9795189","3","57.5811234","23.26086957","5","3","21.5630035","7","1","1","15.68","2.8","6","18.48","24.48","142","0.182325581","0.05","0.130140845","5.916666667","4.733333333","3.583333333","2.866666667","0.77","0.616","0.25","0.2","60.56338028","75.49019608","80","4.298608697","17.42222222","21.77777778","20.53333333","25.66666667","6.666666667","8.333333333","4.776231885","5.970289856","27.2","34"
"","","GHP2017WAG-AT01","","","","","","","","","GHP2017WAG-AT01-00013","","","","1","0","1.860875","1.0024101","50.04","0.59049","1.148434","1","17","34","30","20","30","20","6","5","3.409472","1","66.5734787","34.73221423","4","7","12.3850937","6","3","2","1.88","1.32","2.3","3.2","5.5","51","0.110588235","0.038823529","0.062745098","2.55","1.7","0.85","0.566666667","0.16","0.106666667","0.115","0.076666667","33.33333333","58.18181818","66.66666667","1.111430855","2.088888889","3.133333333","3.555555556","5.333333333","2.555555556","3.833333333","1.234923173","1.852384759","6.111111111","9.166666667"
"","","GHP2017WAG-AT01","","","","","","","","","GHP2017WAG-AT01-00014","","","","3","0","1.584427","0.944006","50.3","1.478545","2.416332","3","37","79","28","28","30","28","4","5","2.7387371","1","65.6872787","30.49701789","2","5","16.760931","7","2","1","5.6","2.62","3.38","8.22","11.6","116","0.151351351","0.033164557","0.070862069","4.142857143","3.866666667","1.321428571","1.233333333","0.293571429","0.274","0.120714286","0.112666667","31.89655172","70.86206897","93.33333333","2.506854871","6.222222222","6.666666667","9.133333333","9.785714286","3.755555556","4.023809524","2.785394301","2.984351036","12.88888889","13.80952381"
"","","GHP2017WAG-AT01","","","","","","","","","GHP2017WAG-AT01-00015","","","","1","0","1.325066","0.744065","50.61","1.363142","1.960893","1","50","22","30","22","30","22","2","5","2.230768","3","71.7192001","36.06006718","2","5","12.7259159","6","1","1","11.6","0.9","6.68","12.5","19.18","72","0.232","0.040909091","0.173611111","3.272727273","2.4","2.272727273","1.666666667","0.568181818","0.416666667","0.303636364","0.222666667","69.44444444","65.17205422","73.33333333","4.507508398","12.88888889","17.57575758","13.88888889","18.93939394","7.422222222","10.12121212","5.008342664","6.829558178","21.31111111","29.06060606"
"","","GHP2017WAG-AT01","","","","","","","","","GHP2017WAG-AT01-00016","","","","3","20.4856339","1.669961","0.743002","50.02","6.5376792","8.8519154","1","125","58","30","30","30","30","7","5","1.881006","3","48.1778069","25.32986805","4","3","20.3305187","7","1","1","26.1","2","10.22","28.1","38.32","183","0.2088","0.034482759","0.153551913","6.1","6.1","4.166666667","4.166666667","0.936666667","0.936666667","0.340666667","0.340666667","68.30601093","73.32985386","100","7.117692922","29","29","31.22222222","31.22222222","11.35555556","11.35555556","7.908547691","7.908547691","42.57777778","42.57777778"
"","","GHP2017WAG-AT01","","","","","","","","","GHP2017WAG-AT01-00017","","","","1","0","1.490941","0.761493","50.86","1.188846","1.872437","1","80","32","30","28","30","28","3","5","2.9904311","1","70.6462631","36.98387731","3","1","12.5681372","8","1","1","23.96","1.52","11.5","25.48","36.98","112","0.2995","0.0475","0.2275","4","3.733333333","2.857142857","2.666666667","0.91","0.849333333","0.410714286","0.383333333","71.42857143","68.90210925","93.33333333","9.423491939","26.62222222","28.52380952","28.31111111","30.33333333","12.77777778","13.69047619","10.4705466","11.21844278","41.08888889","44.02380952"
"","","GHP2017WAG-AT01","","","","","","","","","GHP2017WAG-AT01-00018","","","","1","0","1.6184731","0.855381","50.36","1.6125261","3.015264","1","79","46","27","23","30","23","5","5","3.071846","1","71.6477432","34.96822875","4","1","8.7660313","7","1","1","22.52","1.86","10.8","24.38","35.18","125","0.285063291","0.040434783","0.19504","5.434782609","4.166666667","3.434782609","2.633333333","1.06","0.812666667","0.469565217","0.36","63.2","69.30073906","76.66666667","8.525254169","25.02222222","32.63768116","27.08888889","35.33333333","12","15.65217391","9.472504633","12.35544083","39.08888889","50.98550725"
