"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Biomass yield in tons per ha|CO_331:0001003","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Storage roots yield in kg per plant harvested|CO_331:0000681","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of commercial storage roots per plant harvested|CO_331:2000036","Vine weight in kg per plant harvested|CO_331:0000990","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000"
"","","GHP2017FMS-ST02","","","","","","","","","GHP2017FMS-ST02-00023","","","","0","35.66666667","1.63056","1.041222","31.11111111","0.524251","1.25642","12.77258567","1","30","30","20","13","14","19","2","8","5.236927","2","70.7644958","14","41.10161066","3","42.42424242","3.777777778","5","0.205","7.9223909","66.66666667","33","1.65","8","1","3","3.4","0.7","28","4.555555556","4.1","32.1","0.242857143","0.036842105","0.124242424","0.7","1.4","1.685166037","5.666666667","6.833333333","46.66666667","2.808610062","53.5","1.1","0.466666667","0.136666667","0.933333333","1.872406708"
"","","GHP2017FMS-ST02","","","","","","","","","GHP2017FMS-ST02-00024","","","","0","38.66666667","2.1141939","1.109104","15","0.602671","1.373503","61.20689655","1","30","30","30","30","86","44","5","3","6.207274","2","68.1044693","14","34.03792967","3","66.15384615","21.11111111","3","0.71","12.1733503","100","130","4.333333333","8","1","4","19","2.3","13.5","23.66666667","21.3","34.8","0.220930233","0.052272727","0.163846154","2.866666667","0.45","7.25007902","21.11111111","23.66666667","15","8.055643355","38.66666667","4.333333333","2.866666667","0.71","0.45","8.055643355"
"","","GHP2017FMS-ST02","","","","","","","","","GHP2017FMS-ST02-00025","","","","0","46.22222222","1.460348","0.798784","18.33333333","1.508684","2.5644541","60.33653846","3","30","30","29","29","79","42","2","6","3.144598","2","71.9921112","8","32.65631223","3","65.2892562","26.11111111","1","0.865517241","10.0631599","96.66666667","121","4.172413793","7","1","4","23.5","1.6","16.5","27.88888889","25.1","41.6","0.297468354","0.038095238","0.207438017","2.724137931","0.568965517","8.19673437","27.01149425","28.85057471","18.96551724","9.421533758","47.81609195","4.033333333","2.633333333","0.836666667","0.55","9.107482633"
"","","GHP2017FMS-ST02","","","","","","","","","GHP2017FMS-ST02-00026","","","","19.5989876","17.22222222","2.5433691","1.559406","14.44444444","0.712736","2.0350831","16.12903226","1","30","23","17","17","20","14","7","2","7.8056679","3","57.4706688","14","27.972167","4","58.82352941","2.333333333","5","0.147058824","15.8121777","56.66666667","34","2","6","5","5","2.1","0.4","13","2.777777778","2.5","15.5","0.105","0.028571429","0.073529412","1.176470588","0.764705882","0.699304175","4.117647059","4.901960784","25.49019608","1.371184657","30.39215686","1.133333333","0.666666667","0.083333333","0.433333333","0.777004639"
"","","GHP2017FMS-ST02","","","","","","","","","GHP2017FMS-ST02-00027","","","","1.7389183","40.88888889","1.709515","0.912166","11.11111111","2.7731099","4.1692209","72.82608696","1","30","30","30","30","110","18","3","8","3.2279301","1","62.8613892","14","29.47641886","2","85.9375","28.88888889","3","0.893333333","13.8723764","100","128","4.266666667","7","1","4","26","0.8","10","29.77777778","26.8","36.8","0.236363636","0.044444444","0.209375","3.666666667","0.333333333","7.899680254","28.88888889","29.77777778","11.11111111","8.777422505","40.88888889","4.266666667","3.666666667","0.893333333","0.333333333","8.777422505"
"","","GHP2017FMS-ST02","","","","","","","","","GHP2017FMS-ST02-00028","","","","0","51.88888889","1.317184","0.835904","16.66666667","0.910692","1.737084","67.88008565","1","30","30","28","28","96","22","3","2","3.4198489","1","73.2440414","13","33.47783251","1","81.3559322","34.22222222","3","1.132142857","9.047101","93.33333333","118","4.214285714","8","1","3","30.8","0.9","15","35.22222222","31.7","46.7","0.320833333","0.040909091","0.268644068","3.428571429","0.535714286","10.61247291","36.66666667","37.73809524","17.85714286","12.63389632","55.5952381","3.933333333","3.2","1.056666667","0.5","11.79163656"
"","","GHP2017FMS-ST02","","","","","","","","","GHP2017FMS-ST02-00029","","","","0","11.55555556","1.555676","0.851392","6.111111111","0.718019","1.467786","47.11538462","1","30","23","22","22","31","23","4","2","4.1072178","1","70.4791107","14","40.18525818","3","57.40740741","4.444444444","3","0.222727273","10.4554462","73.33333333","54","2.454545455","6","5","6","4","0.9","5.5","5.444444444","4.9","10.4","0.129032258","0.039130435","0.090740741","1.409090909","0.25","1.969077651","6.060606061","7.424242424","8.333333333","2.983450986","15.75757576","1.8","1.033333333","0.163333333","0.183333333","2.187864056"
"","","GHP2017FMS-ST02","","","","","","","","","GHP2017FMS-ST02-00003","","","","0","39.11111111","1.288339","0.614638","15","1.408765","2.639478","61.64772727","3","30","30","24","23","75","33","2","4","2.743902","3","73.4313507","8","39.55238661","3","69.44444444","23.05555556","1","0.904166667","12.6418047","80","108","4.5","5","3","5","20.75","0.95","13.5","24.11111111","21.7","35.2","0.276666667","0.028787879","0.200925926","3.125","0.5625","8.582867894","28.81944444","30.13888889","18.75","11.92064985","48.88888889","3.6","2.5","0.723333333","0.45","9.536519883"
"","","GHP2017FMS-ST02","","","","","","","","","GHP2017FMS-ST02-00030","","","","0","16.44444444","1.897452","0.907125","3.888888889","1.080645","1.71831","76.35135135","1","30","23","26","26","63","46","5","3","4.3675308","1","62.8734741","13","30.09861933","3","57.79816514","10.66666667","3","0.434615385","17.0245056","86.66666667","109","4.192307692","5","3","6","9.6","1.7","3.5","12.55555556","11.3","14.8","0.152380952","0.036956522","0.103669725","2.423076923","0.134615385","3.401143984","12.30769231","14.48717949","4.487179487","4.360441006","18.97435897","3.633333333","2.1","0.376666667","0.116666667","3.779048871"
"","","GHP2017FMS-ST02","","","","","","","","","GHP2017FMS-ST02-00031","","","","13.5725212","23.11111111","2.103967","1.137766","9.444444444","2.905107","4.2713661","59.13461538","1","30","30","30","30","89","60","7","6","3.9530749","1","60.3203468","13","26.5717675","3","59.73154362","11.44444444","3","0.41","12.5255527","100","149","4.966666667","6","4","5","10.3","2","8.5","13.66666667","12.3","20.8","0.115730337","0.033333333","0.082550336","2.966666667","0.283333333","3.268327403","11.44444444","13.66666667","9.444444444","3.631474892","23.11111111","4.966666667","2.966666667","0.41","0.283333333","3.631474892"
