"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00109","","","","1","1","6","15","8","8","10","6","","","1","3","3","8","2","4","0.7","0.4","10.4","1.1","11.5","21","0.116666667","0.026666667","0.052380952","2.625","2.1","0.75","0.6","0.1375","0.11","1.3","1.04","28.57142857","9.565217391","80","2.333333333","2.916666667","3.666666667","4.583333333","34.66666667","43.33333333","38.33333333","47.91666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00011","","","","3","1","3","8","3","3","10","2","","","1","2","2","3","5","6","0.3","0.3","2.8","0.6","3.4","11","0.1","0.0375","0.054545455","3.666666667","1.1","1","0.3","0.2","0.06","0.933333333","0.28","27.27272727","17.64705882","30","1","3.333333333","2","6.666666667","9.333333333","31.11111111","11.33333333","37.77777778"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00110","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00111","","","","1","1","1","5","9","9","10","2","","","1","3","3","8","2","3","0.1","0.2","13.4","0.3","13.7","6","0.1","0.04","0.05","0.666666667","0.6","0.111111111","0.1","0.033333333","0.03","1.488888889","1.34","16.66666667","2.189781022","90","0.333333333","0.37037037","1","1.111111111","44.66666667","49.62962963","45.66666667","50.74074074"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00112","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00113","","","","","","0","0","6","6","10","0","","","","","","6","2","5","0","0","0.4","0","0.4","0","","","","0","0","0","0","0","0","0.066666667","0.04","","0","60","0","0","0","0","1.333333333","2.222222222","1.333333333","2.222222222"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00114","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00115","","","","","","0","0","4","4","10","0","","","","","","2","7","9","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.05","0.02","","0","40","0","0","0","0","0.666666667","1.666666667","0.666666667","1.666666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00116","","","","1","1","18","28","10","10","10","10","8","7","3","5","5","2","6","8","2.1","1","6.4","3.1","9.5","46","0.116666667","0.035714286","0.067391304","4.6","4.6","1.8","1.8","0.31","0.31","0.64","0.64","39.13043478","32.63157895","100","7","7","10.33333333","10.33333333","21.33333333","21.33333333","31.66666667","31.66666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00117","","","","2","1","27","23","10","10","10","10","3","3","4","5","6","5","2","5","5.6","0.9","13.8","6.5","20.3","50","0.207407407","0.039130435","0.13","5","5","2.7","2.7","0.65","0.65","1.38","1.38","54","32.01970443","100","18.66666667","18.66666667","21.66666667","21.66666667","46","46","67.66666667","67.66666667"
