"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00137","","","","","","0","0","","","10","0","","","","","","","","","0","0","0.2","0","0.2","0","","","","","0","","0","","0","","0.02","","0","","0","","0","","0.666666667","","0.666666667",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00138","","","","","","0","0","10","10","10","0","","","","","","6","3","5","0","0","7.6","0","7.6","0","","","","0","0","0","0","0","0","0.76","0.76","","0","100","0","0","0","0","25.33333333","25.33333333","25.33333333","25.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00139","","","","","","0","0","3","3","10","0","","","","","","1","9","9","0","0","0.4","0","0.4","0","","","","0","0","0","0","0","0","0.133333333","0.04","","0","30","0","0","0","0","1.333333333","4.444444444","1.333333333","4.444444444"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00014","","","","2","1","19","10","10","10","10","8","8","6","2","4","6","7","1","4","3.8","0.4","3.4","4.2","7.6","29","0.2","0.04","0.144827586","2.9","2.9","1.9","1.9","0.42","0.42","0.34","0.34","65.51724138","55.26315789","100","12.66666667","12.66666667","14","14","11.33333333","11.33333333","25.33333333","25.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00140","","","","3","1","4","9","10","10","10","4","","","3","4","4","3","2","7","0.5","0.3","2.4","0.8","3.2","13","0.125","0.033333333","0.061538462","1.3","1.3","0.4","0.4","0.08","0.08","0.24","0.24","30.76923077","25","100","1.666666667","1.666666667","2.666666667","2.666666667","8","8","10.66666667","10.66666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00141","","","","1","1","3","4","10","10","10","3","","","1","3","3","8","1","4","0.4","0.2","7.8","0.6","8.4","7","0.133333333","0.05","0.085714286","0.7","0.7","0.3","0.3","0.06","0.06","0.78","0.78","42.85714286","7.142857143","100","1.333333333","1.333333333","2","2","26","26","28","28"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00142","","","","1","1","21","51","9","9","10","9","4","8","2","3","4","7","1","4","2.3","2.5","4.6","4.8","9.4","72","0.10952381","0.049019608","0.066666667","8","7.2","2.333333333","2.1","0.533333333","0.48","0.511111111","0.46","29.16666667","51.06382979","90","7.666666667","8.518518519","16","17.77777778","15.33333333","17.03703704","31.33333333","34.81481481"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00143","","","","3","1","6","2","7","7","10","5","5","3","3","5","4","1","8","8","1.2","0.1","1.2","1.3","2.5","8","0.2","0.05","0.1625","1.142857143","0.8","0.857142857","0.6","0.185714286","0.13","0.171428571","0.12","75","52","70","4","5.714285714","4.333333333","6.19047619","4","5.714285714","8.333333333","11.9047619"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00144","","","","1","1","5","8","7","7","10","4","","","1","3","4","9","1","3","0.5","0.3","11.8","0.8","12.6","13","0.1","0.0375","0.061538462","1.857142857","1.3","0.714285714","0.5","0.114285714","0.08","1.685714286","1.18","38.46153846","6.349206349","70","1.666666667","2.380952381","2.666666667","3.80952381","39.33333333","56.19047619","42","60"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00145","","","","1","3","21","8","9","9","10","9","6","","3","6","7","6","1","5","4.3","0.4","7.2","4.7","11.9","29","0.204761905","0.05","0.162068966","3.222222222","2.9","2.333333333","2.1","0.522222222","0.47","0.8","0.72","72.4137931","39.49579832","90","14.33333333","15.92592593","15.66666667","17.40740741","24","26.66666667","39.66666667","44.07407407"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00146","","","","","","0","0","7","7","10","0","","","","","","7","5","5","0","0","8.4","0","8.4","0","","","","0","0","0","0","0","0","1.2","0.84","","0","70","0","0","0","0","28","40","28","40"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00147","","","","1","1","14","16","6","6","10","4","5","8","1","4","4","6","4","6","1.4","0.5","11.4","1.9","13.3","30","0.1","0.03125","0.063333333","5","3","2.333333333","1.4","0.316666667","0.19","1.9","1.14","46.66666667","14.28571429","60","4.666666667","7.777777778","6.333333333","10.55555556","38","63.33333333","44.33333333","73.88888889"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00148","","","","4","3","7","8","7","7","10","4","","","5","3","9","7","6","5","5.9","1.2","8","7.1","15.1","15","0.842857143","0.15","0.473333333","2.142857143","1.5","1","0.7","1.014285714","0.71","1.142857143","0.8","46.66666667","47.01986755","70","19.66666667","28.0952381","23.66666667","33.80952381","26.66666667","38.0952381","50.33333333","71.9047619"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00149","","","","1","3","23","22","10","10","10","10","8","","5","5","8","9","1","2","8.3","2.8","6.6","11.1","17.7","45","0.360869565","0.127272727","0.246666667","4.5","4.5","2.3","2.3","1.11","1.11","0.66","0.66","51.11111111","62.71186441","100","27.66666667","27.66666667","37","37","22","22","59","59"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00015","","","","1","1","7","17","8","8","10","4","5","8","1","3","4","5","3","6","0.8","0.6","7.8","1.4","9.2","24","0.114285714","0.035294118","0.058333333","3","2.4","0.875","0.7","0.175","0.14","0.975","0.78","29.16666667","15.2173913","80","2.666666667","3.333333333","4.666666667","5.833333333","26","32.5","30.66666667","38.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00150","","","","1","1","6","0","5","5","10","1","","","3","3","4","8","3","3","0.6","0","5.4","0.6","6","6","0.1","","0.1","1.2","0.6","1.2","0.6","0.12","0.06","1.08","0.54","100","10","50","2","4","2","4","18","36","20","40"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00151","","","","1","1","20","35","8","8","10","6","5","","5","5","7","7","2","3","3.9","1.9","7.2","5.8","13","55","0.195","0.054285714","0.105454545","6.875","5.5","2.5","2","0.725","0.58","0.9","0.72","36.36363636","44.61538462","80","13","16.25","19.33333333","24.16666667","24","30","43.33333333","54.16666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00152","","","","1","1","0","3","5","5","10","1","","","1","2","2","6","4","4","0","0.1","5.6","0.1","5.7","3","","0.033333333","0.033333333","0.6","0.3","0","0","0.02","0.01","1.12","0.56","0","1.754385965","50","0","0","0.333333333","0.666666667","18.66666667","37.33333333","19","38"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00153","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00154","","","","","","0","0","7","7","10","0","","","","","","5","1","5","0","0","5.6","0","5.6","0","","","","0","0","0","0","0","0","0.8","0.56","","0","70","0","0","0","0","18.66666667","26.66666667","18.66666667","26.66666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00155","","","","1","1","9","5","9","9","10","2","3","8","3","4","6","6","2","4","2.5","0.5","9.4","3","12.4","14","0.277777778","0.1","0.214285714","1.555555556","1.4","1","0.9","0.333333333","0.3","1.044444444","0.94","64.28571429","24.19354839","90","8.333333333","9.259259259","10","11.11111111","31.33333333","34.81481481","41.33333333","45.92592593"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00156","","","","1","1","5","22","10","10","10","2","","","1","3","3","6","2","4","0.7","0.9","13.4","1.6","15","27","0.14","0.040909091","0.059259259","2.7","2.7","0.5","0.5","0.16","0.16","1.34","1.34","18.51851852","10.66666667","100","2.333333333","2.333333333","5.333333333","5.333333333","44.66666667","44.66666667","50","50"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00157","","","","","","0","0","4","4","10","0","","","","","","4","8","6","0","0","3","0","3","0","","","","0","0","0","0","0","0","0.75","0.3","","0","40","0","0","0","0","10","25","10","25"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00158","","","","","","0","0","4","4","10","0","","","","","","1","9","9","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.05","0.02","","0","40","0","0","0","0","0.666666667","1.666666667","0.666666667","1.666666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00159","","","","1","1","20","13","9","9","10","9","3","","1","5","6","4","2","7","3.6","0.6","5.8","4.2","10","33","0.18","0.046153846","0.127272727","3.666666667","3.3","2.222222222","2","0.466666667","0.42","0.644444444","0.58","60.60606061","42","90","12","13.33333333","14","15.55555556","19.33333333","21.48148148","33.33333333","37.03703704"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00016","","","","1","1","2","0","5","5","10","1","","","2","2","3","6","2","5","0.3","0","5.4","0.3","5.7","2","0.15","","0.15","0.4","0.2","0.4","0.2","0.06","0.03","1.08","0.54","100","5.263157895","50","1","2","1","2","18","36","19","38"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00160","","","","1","2","72","90","10","10","10","10","7","6","2","6","6","6","1","5","9.3","4.2","9.8","13.5","23.3","162","0.129166667","0.046666667","0.083333333","16.2","16.2","7.2","7.2","1.35","1.35","0.98","0.98","44.44444444","57.93991416","100","31","31","45","45","32.66666667","32.66666667","77.66666667","77.66666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00161","","","","","","0","0","3","3","10","0","","","","","","1","9","9","0","0","1","0","1","0","","","","0","0","0","0","0","0","0.333333333","0.1","","0","30","0","0","0","0","3.333333333","11.11111111","3.333333333","11.11111111"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00162","","","","","","0","0","2","2","10","0","","","","","","1","9","9","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.1","0.02","","0","20","0","0","0","0","0.666666667","3.333333333","0.666666667","3.333333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00163","","","","1","1","4","3","6","6","10","2","","","2","3","4","5","1","4","1.1","0.2","8.8","1.3","10.1","7","0.275","0.066666667","0.185714286","1.166666667","0.7","0.666666667","0.4","0.216666667","0.13","1.466666667","0.88","57.14285714","12.87128713","60","3.666666667","6.111111111","4.333333333","7.222222222","29.33333333","48.88888889","33.66666667","56.11111111"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00164","","","","3","3","11","19","10","10","10","10","","","5","4","5","7","1","3","1.8","1.1","7","2.9","9.9","30","0.163636364","0.057894737","0.096666667","3","3","1.1","1.1","0.29","0.29","0.7","0.7","36.66666667","29.29292929","100","6","6","9.666666667","9.666666667","23.33333333","23.33333333","33","33"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00165","","","","","","0","0","3","3","10","0","","","","","","7","1","3","0","0","1.4","0","1.4","0","","","","0","0","0","0","0","0","0.466666667","0.14","","0","30","0","0","0","0","4.666666667","15.55555556","4.666666667","15.55555556"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00166","","","","","","0","0","7","7","10","0","","","","","","3","3","7","0","0","1.8","0","1.8","0","","","","0","0","0","0","0","0","0.257142857","0.18","","0","70","0","0","0","0","6","8.571428571","6","8.571428571"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00167","","","","1","1","4","5","9","9","10","2","","","1","2","3","7","2","4","0.5","0.2","2.6","0.7","3.3","9","0.125","0.04","0.077777778","1","0.9","0.444444444","0.4","0.077777778","0.07","0.288888889","0.26","44.44444444","21.21212121","90","1.666666667","1.851851852","2.333333333","2.592592593","8.666666667","9.62962963","11","12.22222222"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00168","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00169","","","","","","0","0","1","1","10","0","","","","","","1","1","9","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.2","0.02","","0","10","0","0","0","0","0.666666667","6.666666667","0.666666667","6.666666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00017","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00170","","","","3","1","4","2","4","4","10","2","4","6","3","3","4","4","2","7","0.8","0.2","3.4","1","4.4","6","0.2","0.1","0.166666667","1.5","0.6","1","0.4","0.25","0.1","0.85","0.34","66.66666667","22.72727273","40","2.666666667","6.666666667","3.333333333","8.333333333","11.33333333","28.33333333","14.66666667","36.66666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00171","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00172","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00173","","","","","","0","0","1","1","10","0","","","","","","1","1","9","0","0","0.3","0","0.3","0","","","","0","0","0","0","0","0","0.3","0.03","","0","10","0","0","0","0","1","10","1","10"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00174","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00175","","","","","","0","0","4","4","10","0","","","","","","3","2","7","0","0","1","0","1","0","","","","0","0","0","0","0","0","0.25","0.1","","0","40","0","0","0","0","3.333333333","8.333333333","3.333333333","8.333333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00176","","","","2","2","10","5","7","7","10","5","","","4","5","6","7","2","6","2.3","0.3","6.4","2.6","9","15","0.23","0.06","0.173333333","2.142857143","1.5","1.428571429","1","0.371428571","0.26","0.914285714","0.64","66.66666667","28.88888889","70","7.666666667","10.95238095","8.666666667","12.38095238","21.33333333","30.47619048","30","42.85714286"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00177","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00178","","","","2","1","4","0","10","10","10","2","","","1","3","3","6","2","5","0.4","0","6.6","0.4","7","4","0.1","","0.1","0.4","0.4","0.4","0.4","0.04","0.04","0.66","0.66","100","5.714285714","100","1.333333333","1.333333333","1.333333333","1.333333333","22","22","23.33333333","23.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00179","","","","2","4","0","2","8","8","10","1","","","5","2","2","4","1","6","0","0.1","1.2","0.1","1.3","2","","0.05","0.05","0.25","0.2","0","0","0.0125","0.01","0.15","0.12","0","7.692307692","80","0","0","0.333333333","0.416666667","4","5","4.333333333","5.416666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00018","","","","1","3","31","","10","10","10","10","8","6","3","6","6","7","1","6","6.2","1.7","6.2","7.9","14.1","","0.2","","","","","3.1","3.1","0.79","0.79","0.62","0.62","","56.02836879","100","20.66666667","20.66666667","26.33333333","26.33333333","20.66666667","20.66666667","47","47"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00180","","","","","","0","0","9","9","10","0","","","","","","6","2","6","0","0","2.6","0","2.6","0","","","","0","0","0","0","0","0","0.288888889","0.26","","0","90","0","0","0","0","8.666666667","9.62962963","8.666666667","9.62962963"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00181","","","","","","0","0","10","10","10","0","","","","","","6","1","5","0","0","4","0","4","0","","","","0","0","0","0","0","0","0.4","0.4","","0","100","0","0","0","0","13.33333333","13.33333333","13.33333333","13.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00182","","","","3","2","12","20","7","7","10","7","","","4","4","6","6","1","4","1.9","1.1","5.2","3","8.2","32","0.158333333","0.055","0.09375","4.571428571","3.2","1.714285714","1.2","0.428571429","0.3","0.742857143","0.52","37.5","36.58536585","70","6.333333333","9.047619048","10","14.28571429","17.33333333","24.76190476","27.33333333","39.04761905"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00183","","","","3","1","2","0","10","10","10","1","","","1","4","4","8","1","4","0.2","0","10.2","0.2","10.4","2","0.1","","0.1","0.2","0.2","0.2","0.2","0.02","0.02","1.02","1.02","100","1.923076923","100","0.666666667","0.666666667","0.666666667","0.666666667","34","34","34.66666667","34.66666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00184","","","","1","1","3","3","4","4","10","3","","","1","5","7","4","3","6","1","0.2","3.4","1.2","4.6","6","0.333333333","0.066666667","0.2","1.5","0.6","0.75","0.3","0.3","0.12","0.85","0.34","50","26.08695652","40","3.333333333","8.333333333","4","10","11.33333333","28.33333333","15.33333333","38.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00185","","","","2","1","4","17","9","9","10","6","5","","1","4","3","4","4","7","0.4","0.5","2.8","0.9","3.7","21","0.1","0.029411765","0.042857143","2.333333333","2.1","0.444444444","0.4","0.1","0.09","0.311111111","0.28","19.04761905","24.32432432","90","1.333333333","1.481481481","3","3.333333333","9.333333333","10.37037037","12.33333333","13.7037037"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00186","","","","1","1","7","7","9","9","10","7","","","1","4","5","3","4","7","1","0.3","5.4","1.3","6.7","14","0.142857143","0.042857143","0.092857143","1.555555556","1.4","0.777777778","0.7","0.144444444","0.13","0.6","0.54","50","19.40298507","90","3.333333333","3.703703704","4.333333333","4.814814815","18","20","22.33333333","24.81481481"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00187","","","","","","0","0","4","4","10","0","","","","","","2","8","8","0","0","3.4","0","3.4","0","","","","0","0","0","0","0","0","0.85","0.34","","0","40","0","0","0","0","11.33333333","28.33333333","11.33333333","28.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00188","","","","","","0","0","1","1","10","0","","","","","","2","9","7","0","0","0.4","0","0.4","0","","","","0","0","0","0","0","0","0.4","0.04","","0","10","0","0","0","0","1.333333333","13.33333333","1.333333333","13.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00189","","","","2","4","6","7","2","2","10","2","","","7","4","6","7","3","5","1.5","0.5","4.8","2","6.8","13","0.25","0.071428571","0.153846154","6.5","1.3","3","0.6","1","0.2","2.4","0.48","46.15384615","29.41176471","20","5","25","6.666666667","33.33333333","16","80","22.66666667","113.3333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00019","","","","2","1","27","15","10","10","10","10","","","2","5","6","8","1","3","4.7","0.7","7.6","5.4","13","42","0.174074074","0.046666667","0.128571429","4.2","4.2","2.7","2.7","0.54","0.54","0.76","0.76","64.28571429","41.53846154","100","15.66666667","15.66666667","18","18","25.33333333","25.33333333","43.33333333","43.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00190","","","","","","0","0","2","2","10","0","","","","","","3","8","7","0","0","1.6","0","1.6","0","","","","0","0","0","0","0","0","0.8","0.16","","0","20","0","0","0","0","5.333333333","26.66666667","5.333333333","26.66666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00191","","","","3","2","18","26","10","10","10","7","","","3","4","4","5","2","4","2.2","1","6.8","3.2","10","44","0.122222222","0.038461538","0.072727273","4.4","4.4","1.8","1.8","0.32","0.32","0.68","0.68","40.90909091","32","100","7.333333333","7.333333333","10.66666667","10.66666667","22.66666667","22.66666667","33.33333333","33.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00192","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00193","","","","1","2","39","27","10","10","10","10","9","9","3","7","7","8","1","3","8.8","1.5","9.6","10.3","19.9","66","0.225641026","0.055555556","0.156060606","6.6","6.6","3.9","3.9","1.03","1.03","0.96","0.96","59.09090909","51.75879397","100","29.33333333","29.33333333","34.33333333","34.33333333","32","32","66.33333333","66.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00194","","","","1","2","7","6","3","3","10","3","","","2","4","4","7","5","5","1","0.2","5.6","1.2","6.8","13","0.142857143","0.033333333","0.092307692","4.333333333","1.3","2.333333333","0.7","0.4","0.12","1.866666667","0.56","53.84615385","17.64705882","30","3.333333333","11.11111111","4","13.33333333","18.66666667","62.22222222","22.66666667","75.55555556"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00195","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00196","","","","","","0","0","1","1","10","0","","","","","","3","9","8","0","0","2.2","0","2.2","0","","","","0","0","0","0","0","0","2.2","0.22","","0","10","0","0","0","0","7.333333333","73.33333333","7.333333333","73.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00197","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00198","","","","","","0","0","2","2","10","0","","","","","","1","2","9","0","0","0.4","0","0.4","0","","","","0","0","0","0","0","0","0.2","0.04","","0","20","0","0","0","0","1.333333333","6.666666667","1.333333333","6.666666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00199","","","","2","","0","2","9","9","10","1","","","","","","7","1","4","0","0.1","6.2","0.1","6.3","2","","0.05","0.05","0.222222222","0.2","0","0","0.011111111","0.01","0.688888889","0.62","0","1.587301587","90","0","0","0.333333333","0.37037037","20.66666667","22.96296296","21","23.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00002","","","","","","0","0","2","2","10","0","","","","","","1","9","9","0","0","0.4","0","0.4","0","","","","0","0","0","0","0","0","0.2","0.04","","0","20","0","0","0","0","1.333333333","6.666666667","1.333333333","6.666666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00020","","","","","","0","0","10","10","10","0","","","","","","2","8","8","0","0","2.4","0","2.4","0","","","","0","0","0","0","0","0","0.24","0.24","","0","100","0","0","0","0","8","8","8","8"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00200","","","","","","0","0","10","10","10","0","","","","","","7","2","5","0","0","9.4","0","9.4","0","","","","0","0","0","0","0","0","0.94","0.94","","0","100","0","0","0","0","31.33333333","31.33333333","31.33333333","31.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00201","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00202","","","","1","1","1","0","3","3","10","1","6","5","1","4","5","3","8","8","0.4","0","1.4","0.4","1.8","1","0.4","","0.4","0.333333333","0.1","0.333333333","0.1","0.133333333","0.04","0.466666667","0.14","100","22.22222222","30","1.333333333","4.444444444","1.333333333","4.444444444","4.666666667","15.55555556","6","20"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00203","","","","3","2","3","3","2","2","10","2","6","8","3","3","5","3","4","8","1","0.2","3.8","1.2","5","6","0.333333333","0.066666667","0.2","3","0.6","1.5","0.3","0.6","0.12","1.9","0.38","50","24","20","3.333333333","16.66666667","4","20","12.66666667","63.33333333","16.66666667","83.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00204","","","","","","0","0","7","7","10","0","","","","","","7","2","5","0","0","12.4","0","12.4","0","","","","0","0","0","0","0","0","1.771428571","1.24","","0","70","0","0","0","0","41.33333333","59.04761905","41.33333333","59.04761905"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00205","","","","","","0","0","3","3","10","0","","","","","","4","3","7","0","0","2.8","0","2.8","0","","","","0","0","0","0","0","0","0.933333333","0.28","","0","30","0","0","0","0","9.333333333","31.11111111","9.333333333","31.11111111"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00206","","","","","","0","0","2","2","10","0","","","","","","1","8","9","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.1","0.02","","0","20","0","0","0","0","0.666666667","3.333333333","0.666666667","3.333333333"
