"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00002","","","","2","0","1.4423592","0.7230873","19.65","50.45","2.4757938","3.5925996","3","14","5","12","12","30","10","4","8","3.3322196","1","73.320076","3","38.94945491","5","4","2.9290659","6","4","4","3.3","0.4","3.8","3.7","7.5","19","0.235714286","0.08","0.194736842","1.583333333","0.633333333","1.166666667","0.466666667","0.308333333","0.123333333","0.316666667","0.126666667","73.68421053","49.33333333","40","1.441129832","3.666666667","9.166666667","4.111111111","10.27777778","4.222222222","10.55555556","1.601255368","4.003138421","8.333333333","20.83333333"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00020","","","","3","19.1621571","2.2529001","1.0008014","13.6","50.63","4.3893528","5.2694154","4","58","49","23","23","30","23","8","6","5.4891071","3","63.538105","3","26.86154454","7","7","5.4225245","5","1","4","17.7","3.6","10","21.3","31.3","107","0.305172414","0.073469388","0.199065421","4.652173913","3.566666667","2.52173913","1.933333333","0.926086957","0.71","0.434782609","0.333333333","54.20560748","68.05111821","76.66666667","5.721508987","19.66666667","25.65217391","23.66666667","30.86956522","11.11111111","14.49275362","6.357232208","8.29204201","34.77777778","45.36231884"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00021","","","","3","0","2.2626779","1.1048205","18.1","50.62","1.0869377","1.6496313","3","65","21","26","26","30","26","4","8","6.2722569","1","71.9068146","3","35.75661794","7","6","3.1990886","6","3","4","16.5","2.3","12","18.8","30.8","86","0.253846154","0.10952381","0.218604651","3.307692308","2.866666667","2.5","2.166666667","0.723076923","0.626666667","0.461538462","0.4","75.58139535","61.03896104","86.66666667","6.722244172","18.33333333","21.15384615","20.88888889","24.1025641","13.33333333","15.38461538","7.469160191","8.618261759","34.22222222","39.48717949"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00022","","","","3","0","1.557124","0.7872054","17","50.06","1.7718682","2.2872746","3","32","52","20","20","30","18","5","3","3.3269849","2","73.6160431","2","33.9592489","6","5","0.7183741","4","3","3","4.5","2.3","4.4","6.8","11.2","84","0.140625","0.044230769","0.080952381","4.2","2.8","1.6","1.066666667","0.34","0.226666667","0.22","0.146666667","38.0952381","60.71428571","66.66666667","2.309228925","5","7.5","7.555555556","11.33333333","4.888888889","7.333333333","2.565809917","3.848714875","12.44444444","18.66666667"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00023","","","","2","19.172554","2.1370285","0.974488","12.5","50.17","3.4008741","4.0619946","3","50","26","30","30","30","30","1","8","4.8864198","1","64.7236557","3","24.91528802","7","7","4.7317286","7","1","3","15","2.7","23.8","17.7","41.5","76","0.3","0.103846154","0.232894737","2.533333333","2.533333333","1.666666667","1.666666667","0.59","0.59","0.793333333","0.793333333","65.78947368","42.65060241","100","4.41000598","16.66666667","16.66666667","19.66666667","19.66666667","26.44444444","26.44444444","4.900006644","4.900006644","46.11111111","46.11111111"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00024","","","","3","0","1.652522","0.8176624","19.71","50.21","1.3250977","1.9861487","4","72","29","26","26","30","26","8","8","4.3108377","2","74.5912476","3","39.25512846","8","8","2.0162454","7","4","4","27.4","2.4","11.4","29.8","41.2","101","0.380555556","0.082758621","0.295049505","3.884615385","3.366666667","2.769230769","2.4","1.146153846","0.993333333","0.438461538","0.38","71.28712871","72.33009709","86.66666667","11.69802828","30.44444444","35.12820513","33.11111111","38.20512821","12.66666667","14.61538462","12.9978092","14.99747216","45.77777778","52.82051282"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00025","","","","2","0","1.638016","0.8964928","20.71","50.83","1.2126254","1.9502422","3","89","44","25","25","30","25","7","6","4.9554462","2","73.453125","3","40.74365532","8","9","1.0640749","8","1","3","50","5","15.8","55","70.8","133","0.561797753","0.113636364","0.413533835","5.32","4.433333333","3.56","2.966666667","2.2","1.833333333","0.632","0.526666667","66.91729323","77.68361582","83.33333333","22.40901043","55.55555556","66.66666667","61.11111111","73.33333333","17.55555556","21.06666667","24.89890047","29.87868057","78.66666667","94.4"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00026","","","","3","6.7536411","1.8122514","1.0318369","18.4","50.49","2.2156131","3.2153344","3","74","27","29","29","30","29","5","3","3.6095998","2","69.5739212","8","36.44285997","8","7","3.2618082","6","1","3","23.4","2","13.8","25.4","39.2","101","0.316216216","0.074074074","0.251485149","3.482758621","3.366666667","2.551724138","2.466666667","0.875862069","0.846666667","0.475862069","0.46","73.26732673","64.79591837","96.66666667","9.256486433","26","26.89655172","28.22222222","29.1954023","15.33333333","15.86206897","10.28498493","10.63963958","43.55555556","45.05747126"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00027","","","","3","0","1.4995991","0.8617272","19.86","50.22","1.3828261","2.2275515","3","75","66","26","26","30","26","8","6","3.8889048","3","74.884079","2","39.54599761","7","8","1.3657458","7","3","4","28.4","4.5","13.2","32.9","46.1","141","0.378666667","0.068181818","0.233333333","5.423076923","4.7","2.884615385","2.5","1.265384615","1.096666667","0.507692308","0.44","53.19148936","71.36659436","86.66666667","13.01063321","31.55555556","36.41025641","36.55555556","42.17948718","14.66666667","16.92307692","14.45625913","16.68029899","51.22222222","59.1025641"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00028","","","","2","0","1.4100929","0.8395197","16.7","50.33","2.9997728","4.3552814","3","45","80","27","27","30","26","4","8","3.2491271","2","73.6876144","2","33.18100536","6","6","0","5","4","4","10.7","4.7","7.2","15.4","22.6","125","0.237777778","0.05875","0.1232","4.62962963","4.166666667","1.666666667","1.5","0.57037037","0.513333333","0.266666667","0.24","36","68.14159292","90","5.109874826","11.88888889","13.20987654","17.11111111","19.01234568","8","8.888888889","5.677638696","6.30848744","25.11111111","27.90123457"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00029","","","","2","37.2399559","2.5959415","1.422653","9.7","50.79","3.6436963","4.9883924","3","38","62","28","28","30","28","5","3","4.2269511","1","51.1329079","5","19.09824769","7","7","16.7521744","5","3","6","9.5","2.7","9.4","12.2","21.6","100","0.25","0.043548387","0.122","3.571428571","3.333333333","1.357142857","1.266666667","0.435714286","0.406666667","0.335714286","0.313333333","38","56.48148148","93.33333333","2.329986218","10.55555556","11.30952381","13.55555556","14.52380952","10.44444444","11.19047619","2.588873575","2.773793116","24","25.71428571"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00003","","","","3","1.0804183","1.7046616","0.746339","17.9","50.37","4.856092","6.4289904","4","65","42","29","29","30","29","4","7","3.5837898","3","67.7015381","2","35.53702601","7","6","0.9364513","6","3","3","15.7","3.1","9.8","18.8","28.6","107","0.241538462","0.073809524","0.175700935","3.689655172","3.566666667","2.24137931","2.166666667","0.648275862","0.626666667","0.337931034","0.326666667","60.74766355","65.73426573","96.66666667","6.680960889","17.44444444","18.04597701","20.88888889","21.6091954","10.88888889","11.26436782","7.423289877","7.67926539","31.77777778","32.87356322"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00030","","","","3","0","1.6085401","1.0156696","19.7","50.43","0.5070986","1.2831047","3","8","9","9","9","30","6","4","8","4.6827402","2","78.7052765","3","39.06404918","5","5","0","5","5","5","1.4","0.6","2.2","2","4.2","17","0.175","0.066666667","0.117647059","1.888888889","0.566666667","0.888888889","0.266666667","0.222222222","0.066666667","0.244444444","0.073333333","47.05882353","47.61904762","30","0.781280984","1.555555556","5.185185185","2.222222222","7.407407407","2.444444444","8.148148148","0.868089982","2.893633272","4.666666667","15.55555556"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00004","","","","2","17.7891769","2.1321332","0.7785902","14.8","50.62","6.2338085","7.1269088","3","50","28","28","28","30","28","1","8","4.9023643","1","61.2053795","8","29.23745555","7","7","4.0436268","7","3","5","13.3","1.9","15.6","15.2","30.8","78","0.266","0.067857143","0.194871795","2.785714286","2.6","1.785714286","1.666666667","0.542857143","0.506666667","0.557142857","0.52","64.1025641","49.35064935","93.33333333","4.444093244","14.77777778","15.83333333","16.88888889","18.0952381","17.33333333","18.57142857","4.937881382","5.290587195","34.22222222","36.66666667"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00005","","","","3","0","1.4699759","0.9080987","19.3","50.5","0.4431995","0.8214878","3","44","36","19","19","30","19","5","3","3.4252019","1","75.4083328","8","38.21782178","7","6","1.0761406","5","1","3","13.1","3","2.8","16.1","18.9","80","0.297727273","0.083333333","0.20125","4.210526316","2.666666667","2.315789474","1.466666667","0.847368421","0.536666667","0.147368421","0.093333333","55","85.18518519","63.33333333","6.153069307","14.55555556","22.98245614","17.88888889","28.24561404","3.111111111","4.912280702","6.836743674","10.79485843","21","33.15789474"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00006","","","","3","38.1429062","2.420305","1.1990249","10.5","50.65","6.6698742","8.7166824","4","57","34","26","26","30","26","5","3","4.0158534","2","45.9665527","2","20.73050346","7","6","17.0134239","6","1","4","14.7","3","10.4","17.7","28.1","91","0.257894737","0.088235294","0.194505495","3.5","3.033333333","2.192307692","1.9","0.680769231","0.59","0.4","0.346666667","62.63736264","62.98932384","86.66666667","3.669299112","16.33333333","18.84615385","19.66666667","22.69230769","11.55555556","13.33333333","4.076999013","4.70422963","31.22222222","36.02564103"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00007","","","","4","0","1.7124859","0.8895455","16.2","50.53","1.8950517","2.731864","4","58","34","26","26","30","26","8","6","3.9774611","3","70.9203491","2","32.06016228","7","8","2.5313094","5","3","5","15.6","2.7","8.6","18.3","26.9","92","0.268965517","0.079411765","0.198913043","3.538461538","3.066666667","2.230769231","1.933333333","0.703846154","0.61","0.330769231","0.286666667","63.04347826","68.02973978","86.66666667","5.867009697","17.33333333","20","20.33333333","23.46153846","9.555555556","11.02564103","6.518899664","7.521807304","29.88888889","34.48717949"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00008","","","","3","3.7875617","1.8682566","0.9593355","19.1","50.77","2.3732452","3.4043717","4","30","34","27","27","30","25","5","3","4.2392688","2","70.6948853","2","37.62064211","5","5","2.9885471","5","3","3","5.1","2.8","9.2","7.9","17.1","64","0.17","0.082352941","0.1234375","2.37037037","2.133333333","1.111111111","1","0.292592593","0.263333333","0.340740741","0.306666667","46.875","46.19883041","90","2.972030727","5.666666667","6.296296296","8.777777778","9.75308642","10.22222222","11.35802469","3.302256363","3.669173737","19","21.11111111"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00009","","","","1","0","1.7037867","0.8870454","17.22","50.23","2.310267","3.3529336","3","33","22","15","15","30","15","6","6","4.0986428","2","69.3834534","3","34.28230141","7","6","3.2866504","6","4","4","5.7","1.4","5.8","7.1","12.9","55","0.172727273","0.063636364","0.129090909","3.666666667","1.833333333","2.2","1.1","0.473333333","0.236666667","0.386666667","0.193333333","60","55.03875969","50","2.4340434","6.333333333","12.66666667","7.888888889","15.77777778","6.444444444","12.88888889","2.704492667","5.408985334","14.33333333","28.66666667"
