"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00019","","","","3","3","30","16","16","35","7","3","3","1","4","8","0.16","6","8.16","14.16","42","0.228571429","0.022857143","0.194285714","2.625","1.4","2.1875","1.166666667","0.51","0.272","0.375","0.2","83.33333333","57.62711864","53.33333333","8.888888889","16.66666667","9.066666667","17","6.666666667","12.5","15.73333333","29.5"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00002","","","","3","3","30","22","22","58","23","2","2","1","4","12.92","1.24","10","14.16","24.16","81","0.222758621","0.053913043","0.174814815","3.681818182","2.7","2.636363636","1.933333333","0.643636364","0.472","0.454545455","0.333333333","71.60493827","58.60927152","73.33333333","14.35555556","19.57575758","15.73333333","21.45454545","11.11111111","15.15151515","26.84444444","36.60606061"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00020","","","","3","3","30","30","30","53","56","3","4","3","3","10.78","2.71","14.5","13.49","27.99","109","0.203396226","0.048392857","0.123761468","3.633333333","3.633333333","1.766666667","1.766666667","0.449666667","0.449666667","0.483333333","0.483333333","48.62385321","48.19578421","100","11.97777778","11.97777778","14.98888889","14.98888889","16.11111111","16.11111111","31.1","31.1"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00021","","","","3","1","30","25","25","12","30","3","3","1","3","4.88","1.68","19.5","6.56","26.06","42","0.406666667","0.056","0.156190476","1.68","1.4","0.48","0.4","0.2624","0.218666667","0.78","0.65","28.57142857","25.17267843","83.33333333","5.422222222","6.506666667","7.288888889","8.746666667","21.66666667","26","28.95555556","34.74666667"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00022","","","","1","1","30","5","5","3","5","1","2","5","5","0.46","0.04","3.5","0.5","4","8","0.153333333","0.008","0.0625","1.6","0.266666667","0.6","0.1","0.1","0.016666667","0.7","0.116666667","37.5","12.5","16.66666667","0.511111111","3.066666667","0.555555556","3.333333333","3.888888889","23.33333333","4.444444444","26.66666667"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00023","","","","1","3","30","15","14","26","23","2","4","1","5","10.54","2.18","7.5","12.72","20.22","49","0.405384615","0.094782609","0.259591837","3.266666667","1.633333333","1.733333333","0.866666667","0.848","0.424","0.5","0.25","53.06122449","62.90801187","50","11.71111111","23.42222222","14.13333333","28.26666667","8.333333333","16.66666667","22.46666667","44.93333333"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00024","","","","3","3","30","20","20","27","12","4","4","3","4","11.36","0.92","9.5","12.28","21.78","39","0.420740741","0.076666667","0.314871795","1.95","1.3","1.35","0.9","0.614","0.409333333","0.475","0.316666667","69.23076923","56.38200184","66.66666667","12.62222222","18.93333333","13.64444444","20.46666667","10.55555556","15.83333333","24.2","36.3"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00003","","","","3","3","30","6","6","6","1","1","4","3","6","1.76","0.06","4","1.82","5.82","7","0.293333333","0.06","0.26","1.166666667","0.233333333","1","0.2","0.303333333","0.060666667","0.666666667","0.133333333","85.71428571","31.27147766","20","1.955555556","9.777777778","2.022222222","10.11111111","4.444444444","22.22222222","6.466666667","32.33333333"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00004","","","","5","3","30","25","25","65","42","2","4","1","4","13.2","1.34","6","14.54","20.54","107","0.203076923","0.031904762","0.13588785","4.28","3.566666667","2.6","2.166666667","0.5816","0.484666667","0.24","0.2","60.74766355","70.78870497","83.33333333","14.66666667","17.6","16.15555556","19.38666667","6.666666667","8","22.82222222","27.38666667"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00005","","","","3","5","30","26","26","34","15","4","3","1","4","15.4","1.06","14","16.46","30.46","49","0.452941176","0.070666667","0.335918367","1.884615385","1.633333333","1.307692308","1.133333333","0.633076923","0.548666667","0.538461538","0.466666667","69.3877551","54.03808273","86.66666667","17.11111111","19.74358974","18.28888889","21.1025641","15.55555556","17.94871795","33.84444444","39.05128205"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00006","","","","3","3","30","25","25","33","17","2","2","1","3","15.8","1.16","12.5","16.96","29.46","50","0.478787879","0.068235294","0.3392","2","1.666666667","1.32","1.1","0.6784","0.565333333","0.5","0.416666667","66","57.56958588","83.33333333","17.55555556","21.06666667","18.84444444","22.61333333","13.88888889","16.66666667","32.73333333","39.28"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00007","","","","3","3","30","28","28","39","31","3","2","1","3","13.62","1.58","15.5","15.2","30.7","70","0.349230769","0.050967742","0.217142857","2.5","2.333333333","1.392857143","1.3","0.542857143","0.506666667","0.553571429","0.516666667","55.71428571","49.51140065","93.33333333","15.13333333","16.21428571","16.88888889","18.0952381","17.22222222","18.45238095","34.11111111","36.54761905"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00008","","","","3","3","30","20","20","40","19","2","2","1","4","10.56","1.02","8","11.58","19.58","59","0.264","0.053684211","0.196271186","2.95","1.966666667","2","1.333333333","0.579","0.386","0.4","0.266666667","67.79661017","59.14198161","66.66666667","11.73333333","17.6","12.86666667","19.3","8.888888889","13.33333333","21.75555556","32.63333333"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
