"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00019","","","","11.0123081","1.81836","0.940805","4.8597069","7.6126528","1","1","30","29","27","27","4","16","6","8","2.6417351","1","59.2924423","26.95119542","1","7","11.5911331","8","1","1","0.6","1.86","11.24","2.46","13.7","20","0.15","0.11625","0.123","0.740740741","0.666666667","0.148148148","0.133333333","0.091111111","0.082","0.416296296","0.374666667","20","17.95620438","90","0.662999407","0.666666667","0.740740741","2.733333333","3.037037037","12.48888889","13.87654321","0.736666008","0.818517787","15.22222222","16.91358025"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00002","","","","17.1908035","1.872251","1.025421","7.4230642","11.1477299","3","3","30","30","29","23","14","53","6","8","2.4924369","1","53.0443687","20.61876248","5","5","11.7595892","7","1","2","1.92","1.82","18.5","3.74","22.24","67","0.137142857","0.034339623","0.055820896","2.310344828","2.233333333","0.482758621","0.466666667","0.128965517","0.124666667","0.637931034","0.616666667","20.89552239","16.81654676","96.66666667","0.771141717","2.133333333","2.206896552","4.155555556","4.298850575","20.55555556","21.26436782","0.85682413","0.886369789","24.71111111","25.56321839"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00020","","","","0","1.356148","0.726373","1.237982","2.97106","1","1","30","25","25","25","71","85","3","4","1.979582","1","74.4636002","39.79873717","3","1","16.8762035","7","1","1","19.22","3.88","12.66","23.1","35.76","156","0.270704225","0.045647059","0.148076923","6.24","5.2","2.84","2.366666667","0.924","0.77","0.5064","0.422","45.51282051","64.59731544","83.33333333","9.193508286","21.35555556","25.62666667","25.66666667","30.8","14.06666667","16.88","10.21500921","12.25801105","39.73333333","47.68"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00021","","","","0","1.223034","0.645362","1.745522","3.4985011","1","1","30","30","30","30","70","155","2","8","1.4547859","3","73.8731461","34.54258675","3","3","15.3942518","8","1","1","15.12","6.04","11.04","21.16","32.2","225","0.216","0.038967742","0.094044444","7.5","7.5","2.333333333","2.333333333","0.705333333","0.705333333","0.368","0.368","31.11111111","65.71428571","100","7.309211356","16.8","16.8","23.51111111","23.51111111","12.26666667","12.26666667","8.121345951","8.121345951","35.77777778","35.77777778"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00022","","","","4.0730972","1.718722","0.908046","1.494976","2.712877","3","1","30","29","26","26","5","70","5","3","2.746923","1","67.0377045","30.33551717","5","7","13.7486219","8","1","1","0.56","1.54","8.24","2.1","10.34","75","0.112","0.022","0.028","2.884615385","2.5","0.192307692","0.166666667","0.080769231","0.07","0.316923077","0.274666667","6.666666667","20.30947776","86.66666667","0.637045861","0.622222222","0.717948718","2.333333333","2.692307692","9.155555556","10.56410256","0.707828734","0.816725462","11.48888889","13.25641026"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00023","","","","0","1.190064","0.752719","0.490509","1.988169","3","1","30","26","26","18","11","40","4","8","2.148968","3","75.3662796","39.11584764","3","5","13.465683","9","1","1","1.86","1.56","12.2","3.42","15.62","51","0.169090909","0.039","0.067058824","1.961538462","1.7","0.423076923","0.366666667","0.131538462","0.114","0.469230769","0.406666667","21.56862745","21.8950064","86.66666667","1.337761989","2.066666667","2.384615385","3.8","4.384615385","13.55555556","15.64102564","1.48640221","1.715079473","17.35555556","20.02564103"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00024","","","","0","1.488814","0.763245","2.0287549","4.025743","1","1","30","28","26","24","11","30","3","5","2.0074439","1","72.8880768","39.23198733","1","5","12.0760775","6","3","5","2.36","1.42","5.64","3.78","9.42","41","0.214545455","0.047333333","0.092195122","1.576923077","1.366666667","0.423076923","0.366666667","0.145384615","0.126","0.216923077","0.188","26.82926829","40.12738854","86.66666667","1.482969121","2.622222222","3.025641026","4.2","4.846153846","6.266666667","7.230769231","1.647743468","1.901242463","10.46666667","12.07692308"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00025","","","","20.824791","1.6681269","0.886699","4.8182149","7.174077","3","1","30","30","22","18","3","56","3","3","1.093727","1","54.3949127","25.34763607","7","9","20.8489704","7","1","2","0.44","1.2","9.1","1.64","10.74","59","0.146666667","0.021428571","0.02779661","2.681818182","1.966666667","0.136363636","0.1","0.074545455","0.054666667","0.413636364","0.303333333","5.084745763","15.27001862","73.33333333","0.415701232","0.488888889","0.666666667","1.822222222","2.484848485","10.11111111","13.78787879","0.461890257","0.629850351","11.93333333","16.27272727"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00026","","","","33.4531403","2.3985829","1.54307","0.90826","4.1622028","1","1","30","23","23","23","47","53","7","6","2.365597","3","49.6938782","20.70737008","3","5","34.0555344","7","1","1","5.84","3.78","4.56","9.62","14.18","100","0.124255319","0.071320755","0.0962","4.347826087","3.333333333","2.043478261","1.566666667","0.41826087","0.320666667","0.19826087","0.152","47","67.84203103","76.66666667","1.992049002","6.488888889","8.463768116","10.68888889","13.94202899","5.066666667","6.608695652","2.21338778","2.887027539","15.75555556","20.55072464"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00027","","","","18.3318138","1.648371","0.831204","6.3203712","9.393796","3","1","30","27","21","21","48","97","6","5","1.815176","1","54.7242508","25.41469194","3","5","17.9590645","8","1","1","5.96","3.82","8.96","9.78","18.74","145","0.124166667","0.039381443","0.067448276","6.904761905","4.833333333","2.285714286","1.6","0.465714286","0.326","0.426666667","0.298666667","33.10344828","52.18783351","70","2.485556872","6.622222222","9.46031746","10.86666667","15.52380952","9.955555556","14.22222222","2.761729857","3.945328368","20.82222222","29.74603175"
