"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00011","","","","3","3.26","18.5","50.67","0.6081091","","1","16","25","13","8","14","8","2","8","3.14","1","69.0862427","3","4","11.14","8","7","7","2.7","0.8","6.5","3.5","10","41","0.16875","0.032","0.085365854","5.125","2.928571429","2","1.142857143","0.4375","0.25","0.8125","0.464285714","39.02439024","35","57.14285714","36.51075587","1.277876455","6.428571429","11.25","8.333333333","14.58333333","15.47619048","27.08333333","3.042562989","5.324485231","23.80952381","41.66666667"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00012","","","","2","1.39","18.3","50.39","1.5859101","","1","12","12","10","7","14","7","5","8","3.54","3","65.5346451","5","7","12.32","7","2","4","4.1","0.7","4","4.8","8.8","24","0.341666667","0.058333333","0.2","3.428571429","1.714285714","1.714285714","0.857142857","0.685714286","0.342857143","0.571428571","0.285714286","50","54.54545455","50","36.31672951","1.743203016","9.761904762","19.52380952","11.42857143","22.85714286","9.523809524","19.04761905","4.150483373","8.300966745","20.95238095","41.9047619"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00013","","","","","","","","","","","0","0","13","0","14","0","","","","","","","","","9","3","5","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00014","","","","3","","18.9","50.44","0.0906267","","2","32","26","13","10","14","10","2","6","2.45","1","67.4997864","2","8","13.55","9","1","4","10","1.3","9","11.3","20.3","58","0.3125","0.05","0.194827586","5.8","4.142857143","3.2","2.285714286","1.13","0.807142857","0.9","0.642857143","55.17241379","55.66502463","71.42857143","37.4702617","4.234139572","23.80952381","33.33333333","26.9047619","37.66666667","21.42857143","30","10.08128469","14.11379857","48.33333333","67.66666667"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00015","","","","3","","","","","","2","4","23","14","10","14","6","","","","1","","5","4","","9","3","6","0.4","0.7","14","1.1","15.1","27","0.1","0.030434783","0.040740741","2.7","1.928571429","0.4","0.285714286","0.11","0.078571429","1.4","1","14.81481481","7.284768212","71.42857143","","","0.952380952","1.333333333","2.619047619","3.666666667","33.33333333","46.66666667","","","35.95238095","50.33333333"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00016","","","","2","","19.9","50.56","0.1551039","","1","9","16","13","10","14","10","2","6","3.53","2","68.6052246","2","4","10.69","5","2","6","1.3","1","1","2.3","3.3","25","0.144444444","0.0625","0.092","2.5","1.785714286","0.9","0.642857143","0.23","0.164285714","0.1","0.071428571","36","69.6969697","71.42857143","39.35917722","0.905261076","3.095238095","4.333333333","5.476190476","7.666666667","2.380952381","3.333333333","2.155383514","3.01753692","7.857142857","11"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00017","","","","1","","","","","","1","8","10","11","8","14","7","","","","2","","3","4","","5","1","5","1.4","0.4","4","1.8","5.8","18","0.175","0.04","0.1","2.25","1.285714286","1","0.571428571","0.225","0.128571429","0.5","0.285714286","44.44444444","31.03448276","57.14285714","","","3.333333333","5.833333333","4.285714286","7.5","9.523809524","16.66666667","","","13.80952381","24.16666667"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00018","","","","3","","16.3","50.23","2.3364382","1.3546262","1","18","22","12","10","14","10","2","9","1.18","1","65.6321564","8","8","12.91","8","1","3","5.7","0.9","10","6.6","16.6","40","0.316666667","0.040909091","0.165","4","2.857142857","1.8","1.285714286","0.66","0.471428571","1","0.714285714","45","39.75903614","71.42857143","32.45072666","2.141747959","13.57142857","19","15.71428571","22","23.80952381","33.33333333","5.099399903","7.139159865","39.52380952","55.33333333"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00019","","","","4","","","","","","1","13","16","14","9","14","9","","","","1","","5","3","","7","4","5","1.8","0.6","4","2.4","6.4","29","0.138461538","0.0375","0.082758621","3.222222222","2.071428571","1.444444444","0.928571429","0.266666667","0.171428571","0.444444444","0.285714286","44.82758621","37.5","64.28571429","","","4.285714286","6.666666667","5.714285714","8.888888889","9.523809524","14.81481481","","","15.23809524","23.7037037"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00020","","","","1","35.68","10.7","50.2","12.27","","1","20","30","13","9","14","9","3","8","2.84","2","42.84","2","5","","4","1","6","2.3","1","2.5","3.3","5.8","50","0.115","0.033333333","0.066","5.555555556","3.571428571","2.222222222","1.428571429","0.366666667","0.235714286","0.277777778","0.178571429","40","56.89655172","64.28571429","21.31474104","0.703386454","5.476190476","8.518518519","7.857142857","12.22222222","5.952380952","9.259259259","1.674729653","2.605135015","13.80952381","21.48148148"
