"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015NYK-AT01","","","","","","","","","GHP2015NYK-AT01-00001","","","","8","1.89","1.3","25.4","50.3","0.68","2.16","1","5","53","30","23","30","23","4","3","4.56","6","69.1","2","50.49701789","8","7","6.51","7","1","2","0.8","2.45","8.3","3.25","11.55","58","0.16","0.046226415","0.056034483","2.52173913","1.933333333","0.217391304","0.166666667","0.141304348","0.108333333","0.360869565","0.276666667","8.620689655","28.13852814","76.66666667","1.641153082","0.888888889","1.15942029","3.611111111","4.710144928","9.222222222","12.02898551","1.823503424","2.378482727","12.83333333","16.73913043"
"","","GHP2015NYK-AT01","","","","","","","","","GHP2015NYK-AT01-00010","","","","8","2.4","1.44","18.3","50.9","1.42","3.14","1","2","73","28","23","30","23","8","6","6.83","8","56.33","5","35.95284872","7","7","15.79","6","3","3","0.45","8.05","3.7","8.5","12.2","75","0.225","0.110273973","0.113333333","3.260869565","2.5","0.086956522","0.066666667","0.369565217","0.283333333","0.160869565","0.123333333","2.666666667","69.67213115","76.66666667","3.055992141","0.5","0.652173913","9.444444444","12.31884058","4.111111111","5.362318841","3.395546824","4.428974118","13.55555556","17.68115942"
"","","GHP2015NYK-AT01","","","","","","","","","GHP2015NYK-AT01-00011","","","","7","","","","","","","1","0","17","29","20","30","20","","","","1","","","","1","1","","6","3","4","0","0.65","4.9","0.65","5.55","17","","0.038235294","0.038235294","0.85","0.566666667","0","0","0.0325","0.021666667","0.245","0.163333333","0","11.71171171","66.66666667","","0","0","0.722222222","1.083333333","5.444444444","8.166666667","","","6.166666667","9.25"
"","","GHP2015NYK-AT01","","","","","","","","","GHP2015NYK-AT01-00012","","","","8","2.14","1.57","23","50.6","1.15","2.33","1","0","46","26","22","30","19","4","3","7.49","4","","2","45.45454545","6","4","","8","1","1","0","2.25","4.8","2.25","7.05","46","","0.048913043","0.048913043","2.090909091","1.533333333","0","0","0.102272727","0.075","0.218181818","0.16","0","31.91489362","73.33333333","1.022727273","0","0","2.5","3.409090909","5.333333333","7.272727273","1.136363636","1.549586777","7.833333333","10.68181818"
"","","GHP2015NYK-AT01","","","","","","","","","GHP2015NYK-AT01-00013","","","","7","","","","","","","1","6","37","30","24","30","17","","","","5","","","","8","6","","7","2","3","1.15","3.45","3.5","4.6","8.1","43","0.191666667","0.093243243","0.106976744","1.791666667","1.433333333","0.25","0.2","0.191666667","0.153333333","0.145833333","0.116666667","13.95348837","56.79012346","80","","1.277777778","1.597222222","5.111111111","6.388888889","3.888888889","4.861111111","","","9","11.25"
"","","GHP2015NYK-AT01","","","","","","","","","GHP2015NYK-AT01-00014","","","","6","","","","","","","1","0","13","28","19","30","16","","","","2","","","","6","3","","9","1","1","0","0.85","15.8","0.85","16.65","13","","0.065384615","0.065384615","0.684210526","0.433333333","0","0","0.044736842","0.028333333","0.831578947","0.526666667","0","5.105105105","63.33333333","","0","0","0.944444444","1.49122807","17.55555556","27.71929825","","","18.5","29.21052632"
"","","GHP2015NYK-AT01","","","","","","","","","GHP2015NYK-AT01-00015","","","","7","2.36","1.38","21.6","50.6","1.09","2.29","1","9","21","28","26","30","16","9","9","8.74","4","61.67","3","42.68774704","8","8","7.26","7","2","3","2.45","1.09","5.3","3.54","8.84","30","0.272222222","0.051904762","0.118","1.153846154","1","0.346153846","0.3","0.136153846","0.118","0.203846154","0.176666667","30","40.04524887","86.66666667","1.511146245","2.722222222","3.141025641","3.933333333","4.538461538","5.888888889","6.794871795","1.679051383","1.937366981","9.822222222","11.33333333"
"","","GHP2015NYK-AT01","","","","","","","","","GHP2015NYK-AT01-00016","","","","7","","","","","","","1","0","17","28","24","30","24","","","","2","","","","1","2","","9","1","1","0","0.45","13.8","0.45","14.25","17","","0.026470588","0.026470588","0.708333333","0.566666667","0","0","0.01875","0.015","0.575","0.46","0","3.157894737","80","","0","0","0.5","0.625","15.33333333","19.16666667","","","15.83333333","19.79166667"
"","","GHP2015NYK-AT01","","","","","","","","","GHP2015NYK-AT01-00017","","","","6","","","","","","","1","0","5","29","18","30","3","","","","6","","","","6","3","","5","1","1","0","0.35","8.2","0.35","8.55","5","","0.07","0.07","0.277777778","0.166666667","0","0","0.019444444","0.011666667","0.455555556","0.273333333","0","4.093567251","60","","0","0","0.388888889","0.648148148","9.111111111","15.18518519","","","9.5","15.83333333"
"","","GHP2015NYK-AT01","","","","","","","","","GHP2015NYK-AT01-00018","","","","8","3.03","1.79","13.9","50.1","7.36","11.89","2","3","34","25","25","30","17","8","5","6.02","7","44.85","3","27.74451098","6","7","12.86","5","2","2","0.65","3.18","2.4","3.83","6.23","37","0.216666667","0.093529412","0.103513514","1.48","1.233333333","0.12","0.1","0.1532","0.127666667","0.096","0.08","8.108108108","61.47672552","83.33333333","1.06261477","0.722222222","0.866666667","4.255555556","5.106666667","2.666666667","3.2","1.180683078","1.416819694","6.922222222","8.306666667"
