"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00019","","","","3","1","28","48","33","29","34","22","2","5","3","4","5","2.3","1.7","3","4","7","76","0.082142857","0.035416667","0.052631579","2.620689655","2.235294118","0.965517241","0.823529412","0.137931034","0.117647059","0.103448276","0.088235294","36.84210526","57.14285714","85.29411765","2.254901961","2.643678161","3.921568627","4.597701149","2.941176471","3.448275862","6.862745098","8.045977011"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00002","","","","2","1","33","80","34","30","34","26","1","6","4","4","4","3.1","3.3","31.5","6.4","37.9","113","0.093939394","0.04125","0.056637168","3.766666667","3.323529412","1.1","0.970588235","0.213333333","0.188235294","1.05","0.926470588","29.20353982","16.88654354","88.23529412","3.039215686","3.444444444","6.274509804","7.111111111","30.88235294","35","37.15686275","42.11111111"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00020","","","","2","1","13","64","34","30","34","25","2","4","3","4","4","1.6","3.1","13.5","4.7","18.2","77","0.123076923","0.0484375","0.061038961","2.566666667","2.264705882","0.433333333","0.382352941","0.156666667","0.138235294","0.45","0.397058824","16.88311688","25.82417582","88.23529412","1.568627451","1.777777778","4.607843137","5.222222222","13.23529412","15","17.84313725","20.22222222"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00021","","","","2","1","29","57","34","30","34","28","3","5","5","5","5","4.8","1.9","10","6.7","16.7","86","0.165517241","0.033333333","0.077906977","2.866666667","2.529411765","0.966666667","0.852941176","0.223333333","0.197058824","0.333333333","0.294117647","33.72093023","40.11976048","88.23529412","4.705882353","5.333333333","6.568627451","7.444444444","9.803921569","11.11111111","16.37254902","18.55555556"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00003","","","","3","1","28","64","34","30","34","30","2","5","5","5","6","3.9","2","10","5.9","15.9","92","0.139285714","0.03125","0.064130435","3.066666667","2.705882353","0.933333333","0.823529412","0.196666667","0.173529412","0.333333333","0.294117647","30.43478261","37.10691824","88.23529412","3.823529412","4.333333333","5.784313725","6.555555556","9.803921569","11.11111111","15.58823529","17.66666667"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00004","","","","2","1","42","46","34","30","34","29","1","6","6","4","5","5.4","1.8","15","7.2","22.2","88","0.128571429","0.039130435","0.081818182","2.933333333","2.588235294","1.4","1.235294118","0.24","0.211764706","0.5","0.441176471","47.72727273","32.43243243","88.23529412","5.294117647","6","7.058823529","8","14.70588235","16.66666667","21.76470588","24.66666667"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00005","","","","3","1","17","34","34","30","34","27","1","4","4","3","5","1.7","0.8","5.5","2.5","8","51","0.1","0.023529412","0.049019608","1.7","1.5","0.566666667","0.5","0.083333333","0.073529412","0.183333333","0.161764706","33.33333333","31.25","88.23529412","1.666666667","1.888888889","2.450980392","2.777777778","5.392156863","6.111111111","7.843137255","8.888888889"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00006","","","","4","1","23","52","33","28","34","23","2","3","4","4","5","2.2","1.1","6","3.3","9.3","75","0.095652174","0.021153846","0.044","2.678571429","2.205882353","0.821428571","0.676470588","0.117857143","0.097058824","0.214285714","0.176470588","30.66666667","35.48387097","82.35294118","2.156862745","2.619047619","3.235294118","3.928571429","5.882352941","7.142857143","9.117647059","11.07142857"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00007","","","","3","1","17","38","34","25","34","22","1","4","3","6","8","1.2","1","7","2.2","9.2","55","0.070588235","0.026315789","0.04","2.2","1.617647059","0.68","0.5","0.088","0.064705882","0.28","0.205882353","30.90909091","23.91304348","73.52941176","1.176470588","1.6","2.156862745","2.933333333","6.862745098","9.333333333","9.019607843","12.26666667"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00008","","","","2","1","10","46","34","27","34","11","1","3","3","6","8","8","0.9","5.5","8.9","14.4","56","0.8","0.019565217","0.158928571","2.074074074","1.647058824","0.37037037","0.294117647","0.32962963","0.261764706","0.203703704","0.161764706","17.85714286","61.80555556","79.41176471","7.843137255","9.87654321","8.725490196","10.98765432","5.392156863","6.790123457","14.11764706","17.77777778"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00009","","","","4","1","21","71","34","30","34","25","2","5","4","4","7","2.9","3.2","7.5","6.1","13.6","92","0.138095238","0.045070423","0.066304348","3.066666667","2.705882353","0.7","0.617647059","0.203333333","0.179411765","0.25","0.220588235","22.82608696","44.85294118","88.23529412","2.843137255","3.222222222","5.980392157","6.777777778","7.352941176","8.333333333","13.33333333","15.11111111"
