"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Millipede damage estimating 1-9|CO_331:0000805","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00111","","","","2","3","12","10","3","3","2","6","0.16","0.2","0.3","","4","","","","7","7","","","","","","","","","0.36","0.66","8","0.08","0.033333333","0.045","2.666666667","0.666666667","0.666666667","0.166666667","0.12","0.03","0.1","0.025","25","54.54545455","25","","0.444444444","1.777777778","1","4","0.833333333","3.333333333","","","1.833333333","7.333333333"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00112","","","","3","5","12","6","1","1","0","1","0","0.08","0.44","","5","","","","8","8","","","","","","","","","0.08","0.52","1","","0.08","0.08","1","0.083333333","0","0","0.08","0.006666667","0.44","0.036666667","0","15.38461538","8.333333333","","0","0","0.222222222","2.666666667","1.222222222","14.66666667","","","1.444444444","17.33333333"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00113","","","","2","2","12","11","1","1","1","4","0.16","0.12","1.18","","3","","","","5","6","","","","","","","","","0.28","1.46","5","0.16","0.03","0.056","5","0.416666667","1","0.083333333","0.28","0.023333333","1.18","0.098333333","20","19.17808219","8.333333333","","0.444444444","5.333333333","0.777777778","9.333333333","3.277777778","39.33333333","","","4.055555556","48.66666667"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00114","","","","2","2","12","12","2","2","4","13","0.3","0.32","0.76","","3","","","","6","6","","","","","","","","","0.62","1.38","17","0.075","0.024615385","0.036470588","8.5","1.416666667","2","0.333333333","0.31","0.051666667","0.38","0.063333333","23.52941176","44.92753623","16.66666667","","0.833333333","5","1.722222222","10.33333333","2.111111111","12.66666667","","","3.833333333","23"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00115","","","","","","12","11","2","0","0","0","0","0","0.6","","","","","","","","","","","","","","","","0","0.6","0","","","","0","0","0","0","0","0","0.3","0.05","","0","16.66666667","","0","0","0","0","1.666666667","10","","","1.666666667","10"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00116","","","","3","2","12","10","3","3","0","3","0","0.1","0.16","","2","","","","8","8","","","","","","","","","0.1","0.26","3","","0.033333333","0.033333333","1","0.25","0","0","0.033333333","0.008333333","0.053333333","0.013333333","0","38.46153846","25","","0","0","0.277777778","1.111111111","0.444444444","1.777777778","","","0.722222222","2.888888889"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00117","","","","2","2","12","12","1","1","0","2","0","0.08","0.92","","1","","","","8","8","","","","","","","","","0.08","1","2","","0.04","0.04","2","0.166666667","0","0","0.08","0.006666667","0.92","0.076666667","0","8","8.333333333","","0","0","0.222222222","2.666666667","2.555555556","30.66666667","","","2.777777778","33.33333333"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00118","","","","","","12","9","2","0","0","0","0","0","0.26","","","","","","","","","","","","","","","","0","0.26","0","","","","0","0","0","0","0","0","0.13","0.021666667","","0","16.66666667","","0","0","0","0","0.722222222","4.333333333","","","0.722222222","4.333333333"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00119","","","","1","1","12","12","2","2","0","12","0","0.34","1.64","","2","","","","6","7","","","","","","","","","0.34","1.98","12","","0.028333333","0.028333333","6","1","0","0","0.17","0.028333333","0.82","0.136666667","0","17.17171717","16.66666667","","0","0","0.944444444","5.666666667","4.555555556","27.33333333","","","5.5","33"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00120","","","","2","2","12","12","1","1","5","13","0.54","0.42","1.22","","2","","","","6","6","","","","","","","","","0.96","2.18","18","0.108","0.032307692","0.053333333","18","1.5","5","0.416666667","0.96","0.08","1.22","0.101666667","27.77777778","44.03669725","8.333333333","","1.5","18","2.666666667","32","3.388888889","40.66666667","","","6.055555556","72.66666667"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00121","","","","1","1","12","11","1","1","2","5","0.11","0.12","1","","2","","","","4","5","","","","","","","","","0.23","1.23","7","0.055","0.024","0.032857143","7","0.583333333","2","0.166666667","0.23","0.019166667","1","0.083333333","28.57142857","18.69918699","8.333333333","","0.305555556","3.666666667","0.638888889","7.666666667","2.777777778","33.33333333","","","3.416666667","41"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00122","","","","","","12","1","1","0","0","0","0","0","1.4","","","","","","","","","","","","","","","","0","1.4","0","","","","0","0","0","0","0","0","1.4","0.116666667","","0","8.333333333","","0","0","0","0","3.888888889","46.66666667","","","3.888888889","46.66666667"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00123","","","","1","1","12","12","4","4","2","7","0.24","0.22","0.74","","1","","","","4","5","","","","","","","","","0.46","1.2","9","0.12","0.031428571","0.051111111","2.25","0.75","0.5","0.166666667","0.115","0.038333333","0.185","0.061666667","22.22222222","38.33333333","33.33333333","","0.666666667","2","1.277777778","3.833333333","2.055555556","6.166666667","","","3.333333333","10"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00124","","","","1","1","12","12","1","1","4","15","0.38","0.44","1.2","","1","","","","3","5","","","","","","","","","0.82","2.02","19","0.095","0.029333333","0.043157895","19","1.583333333","4","0.333333333","0.82","0.068333333","1.2","0.1","21.05263158","40.59405941","8.333333333","","1.055555556","12.66666667","2.277777778","27.33333333","3.333333333","40","","","5.611111111","67.33333333"
