"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00111","","","","","","","","","","","2","2","12","12","10","8","7","9","","2","","","","3","4","","1","0.75","0.25","1.1","1","2.1","16","0.107142857","0.027777778","0.0625","1.6","1.333333333","0.7","0.583333333","0.1","0.083333333","0.11","0.091666667","43.75","47.61904762","83.33333333","","2.083333333","2.5","2.777777778","3.333333333","3.055555556","3.666666667","","","5.833333333","7"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00112","","","","","","","","","","","7","2","12","12","12","11","5","7","","2","","","","2","5","","2","0.3","0.25","1.25","0.55","1.8","12","0.06","0.035714286","0.045833333","1","1","0.416666667","0.416666667","0.045833333","0.045833333","0.104166667","0.104166667","41.66666667","30.55555556","100","","0.833333333","0.833333333","1.527777778","1.527777778","3.472222222","3.472222222","","","5","5"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00113","","","","18.4095345","1.254827023","2.30075407","14.29","48.74","2.935394049","5.463147163","4","3","12","12","12","12","20","11","4.54945612","4","60.62874603","2","29.31883463","5","2","13.70718479","1","2.7","0.4","3.2","3.1","6.3","31","0.135","0.036363636","0.1","2.583333333","2.583333333","1.666666667","1.666666667","0.258333333","0.258333333","0.266666667","0.266666667","64.51612903","49.20634921","100","0.908883874","7.5","7.5","8.611111111","8.611111111","8.888888889","8.888888889","2.524677427","2.524677427","17.5","17.5"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00114","","","","0","0.754076004","1.508849978","19.68","48.71","1.254354954","2.213051081","3","2","12","12","11","3","7","4","3.299118042","3","72.72801208","3","40.40238144","3","4","9.517274857","1","0.6","0.15","3.05","0.75","3.8","11","0.085714286","0.0375","0.068181818","1","0.916666667","0.636363636","0.583333333","0.068181818","0.0625","0.277272727","0.254166667","63.63636364","19.73684211","91.66666667","0.303017861","1.666666667","1.818181818","2.083333333","2.272727273","8.472222222","9.242424242","0.84171628","0.918235942","10.55555556","11.51515152"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00115","","","","0","0.62976402","1.409091949","19.56","48.83","1.478243947","2.578023911","6","2","12","12","12","12","13","8","2.595488071","3","72.56533051","2","40.0573418","3","4","7.205224037","1","0.8","0.25","0.8","1.05","1.85","21","0.061538462","0.03125","0.05","1.75","1.75","1.083333333","1.083333333","0.0875","0.0875","0.066666667","0.066666667","61.9047619","56.75675676","100","0.420602089","2.222222222","2.222222222","2.916666667","2.916666667","2.222222222","2.222222222","1.168339136","1.168339136","5.138888889","5.138888889"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00116","","","","22.2465096","1.003883004","2.089787006","14.12","49.16","1.995252013","3.081696987","4","1","12","10","10","10","14","9","3.435380936","2","60.79823303","2","28.72253865","1","1","16.02915573","1","2.4","0.4","3.35","2.8","6.15","23","0.171428571","0.044444444","0.12173913","2.3","1.916666667","1.4","1.166666667","0.28","0.233333333","0.335","0.279166667","60.86956522","45.52845528","83.33333333","0.804231082","6.666666667","8","7.777777778","9.333333333","9.305555556","11.16666667","2.233975228","2.680770274","17.08333333","20.5"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00117","","","","8.3564129","0.686248004","1.718332052","19.33","48.23","1.695243001","3.070374012","4","1","12","11","10","10","10","11","2.439008951","2","69.00448608","2","40.07878914","2","4","12.49233246","1","0.9","0.35","2.2","1.25","3.45","21","0.09","0.031818182","0.05952381","2.1","1.75","1","0.833333333","0.125","0.104166667","0.22","0.183333333","47.61904762","36.23188406","83.33333333","0.500984864","2.5","3","3.472222222","4.166666667","6.111111111","7.333333333","1.391624623","1.669949547","9.583333333","11.5"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00118","","","","0","0.960461974","1.737822056","19.28","48.68","1.826403975","2.853290081","5","1","12","11","9","7","10","5","4.517203808","2","66.93370056","3","39.60558751","3","3","8.196026802","1","1.2","0.35","3.85","1.55","5.4","15","0.12","0.07","0.103333333","1.666666667","1.25","1.111111111","0.833333333","0.172222222","0.129166667","0.427777778","0.320833333","66.66666667","28.7037037","75","0.613886606","3.333333333","4.444444444","4.305555556","5.740740741","10.69444444","14.25925926","1.705240573","2.273654098","15","20"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00119","","","","0","0.879405022","1.327847004","18.42","48.42","1.334702969","2.984601021","2","1","12","12","10","1","0","4","2.994122982","1","71.94078827","3","38.04213135","9","9","11.96799946","1","0","0.3","5","0.3","5.3","4","","0.075","0.075","0.4","0.333333333","0","0","0.03","0.025","0.5","0.416666667","0","5.660377358","83.33333333","0.114126394","0","0","0.833333333","1","13.88888889","16.66666667","0.317017761","0.380421314","14.72222222","17.66666667"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00120","","","","0","0.894074023","1.457056999","18.93","48.89","1.785724998","3.369654894","2","1","12","11","9","7","10","5","3.041584015","1","70.2563324","3","38.71957456","3","3","11.48754883","1","1.45","0.3","2.7","1.75","4.45","15","0.145","0.06","0.116666667","1.666666667","1.25","1.111111111","0.833333333","0.194444444","0.145833333","0.3","0.225","66.66666667","39.3258427","75","0.677592555","4.027777778","5.37037037","4.861111111","6.481481481","7.5","10","1.882201541","2.509602054","12.36111111","16.48148148"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00121","","","","26.8169403","1.208343029","2.193622112","13.86","48.58","2.612593889","4.751095772","2","1","12","12","10","8","6","3","4.558681011","3","57.36862946","3","28.53025937","4","3","19.14053726","1","0.95","0.25","1.6","1.2","2.8","9","0.158333333","0.083333333","0.133333333","0.9","0.75","0.6","0.5","0.12","0.1","0.16","0.133333333","66.66666667","42.85714286","83.33333333","0.342363112","2.638888889","3.166666667","3.333333333","4","4.444444444","5.333333333","0.951008646","1.141210375","7.777777778","9.333333333"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00122","","","","15.2621994","0.990302026","1.894968033","16.55","48.88","1.897511959","3.357362032","4","4","12","12","12","12","16","12","3.204683065","3","67.95329285","1","33.85842881","3","3","13.58499432","1","2.5","0.55","2.75","3.05","5.8","28","0.15625","0.045833333","0.108928571","2.333333333","2.333333333","1.333333333","1.333333333","0.254166667","0.254166667","0.229166667","0.229166667","57.14285714","52.5862069","100","1.032682079","6.944444444","6.944444444","8.472222222","8.472222222","7.638888889","7.638888889","2.868561329","2.868561329","16.11111111","16.11111111"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00123","","","","0","0.915005982","1.873396993","17.21","48.97","3.637176037","5.646214962","4","1","12","12","11","6","9","6","2.628613949","2","65.5042572","2","35.14396569","1","1","8.37189579","1","2.6","0.25","4.9","2.85","7.75","15","0.288888889","0.041666667","0.19","1.363636364","1.25","0.818181818","0.75","0.259090909","0.2375","0.445454545","0.408333333","60","36.77419355","91.66666667","1.001603022","7.222222222","7.878787879","7.916666667","8.636363636","13.61111111","14.84848485","2.782230617","3.035160674","21.52777778","23.48484848"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00124","","","","0","0.817896008","1.378134012","18.93","48.34","0.890119016","2.124962091","3","2","12","11","8","6","8","10","3.397357941","3","73.97860718","2","39.16011585","1","2","11.55850792","1","1.35","0.5","2.4","1.85","4.25","18","0.16875","0.05","0.102777778","2.25","1.5","1","0.666666667","0.23125","0.154166667","0.3","0.2","44.44444444","43.52941176","66.66666667","0.724462143","3.75","5.625","5.138888889","7.708333333","6.666666667","10","2.012394842","3.018592263","11.80555556","17.70833333"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00125","","","","0","0.86232698","1.497763038","18.12","49.04","1.499730945","3.002552986","4","2","12","11","9","9","10","12","3.228164911","4","73.38486481","1","36.94942904","2","3","10.15162754","1","1.85","0.65","2.75","2.5","5.25","22","0.185","0.054166667","0.113636364","2.444444444","1.833333333","1.111111111","0.833333333","0.277777778","0.208333333","0.305555556","0.229166667","45.45454545","47.61904762","75","0.923735726","5.138888889","6.851851852","6.944444444","9.259259259","7.638888889","10.18518519","2.565932572","3.421243429","14.58333333","19.44444444"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00126","","","","0","0.736298978","1.570891976","17.11","48.8","2.210062981","3.401024103","2","1","12","12","8","8","15","5","2.787796021","2","70.14923859","2","35.06147541","3","3","9.917172432","1","2.25","0.3","2.25","2.55","4.8","20","0.15","0.06","0.1275","2.5","1.666666667","1.875","1.25","0.31875","0.2125","0.28125","0.1875","75","53.125","66.66666667","0.894067623","6.25","9.375","7.083333333","10.625","6.25","9.375","2.483521175","3.725281762","13.33333333","20"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00127","","","","","","","","","","","","","12","8","5","0","0","0","","","","","","","","","3","0","0","1.7","0","1.7","0","","","","0","0","0","0","0","0","0.34","0.141666667","","0","41.66666667","","0","0","0","0","4.722222222","11.33333333","","","4.722222222","11.33333333"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00128","","","","18.4161263","1.260509014","2.719698906","15.08","48.92","3.546896935","6.009799957","6","2","12","12","10","10","11","7","4.312839985","4","54.18106079","3","30.8258381","4","2","21.3653717","1","2.75","0.4","1.95","3.15","5.1","18","0.25","0.057142857","0.175","1.8","1.5","1.1","0.916666667","0.315","0.2625","0.195","0.1625","61.11111111","61.76470588","83.33333333","0.9710139","7.638888889","9.166666667","8.75","10.5","5.416666667","6.5","2.697260834","3.236713001","14.16666667","17"
