"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00011","","","","","","10","9","9","8","7","10","4","2","","","4","4","5","6","4","5","3.4","1.2","1.6","4.6","6.2","17","0.485714286","0.12","0.270588235","1.888888889","1.7","0.777777778","0.7","0.511111111","0.46","0.177777778","0.16","41.17647059","74.19354839","90","","","11.33333333","12.59259259","15.33333333","17.03703704","5.333333333","5.925925926","","","20.66666667","22.96296296"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00012","","","","","","10","0","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00013","","","","50.55","13.61","10","10","10","9","13","17","3","1","6","8","4","5","8","5","6","6","6.3","1.1","0.6","7.4","8","30","0.484615385","0.064705882","0.246666667","3","3","1.3","1.3","0.74","0.74","0.06","0.06","43.33333333","92.5","100","26.92383778","1.992363996","21","21","24.66666667","24.66666667","2","2","6.64121332","6.64121332","26.66666667","26.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00014","","","","","","10","0","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00015","","","","","","10","0","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00016","","","","","","10","5","5","3","0","7","5","1","","","2","2","1","5","5","6","0","0.1","3.2","0.1","3.3","7","","0.014285714","0.014285714","1.4","0.7","0","0","0.02","0.01","0.64","0.32","0","3.03030303","50","","","0","0","0.333333333","0.666666667","10.66666667","21.33333333","","","11","22"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00017","","","","","","10","0","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00018","","","","","","10","10","10","3","4","2","5","1","","","2","3","2","5","4","6","0.2","0.1","3.2","0.3","3.5","6","0.05","0.05","0.05","0.6","0.6","0.4","0.4","0.03","0.03","0.32","0.32","66.66666667","8.571428571","100","","","0.666666667","0.666666667","1","1","10.66666667","10.66666667","","","11.66666667","11.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00019","","","","","","10","9","9","5","3","9","2","1","","","2","3","4","6","4","6","0.6","0.4","1.6","1","2.6","12","0.2","0.044444444","0.083333333","1.333333333","1.2","0.333333333","0.3","0.111111111","0.1","0.177777778","0.16","25","38.46153846","90","","","2","2.222222222","3.333333333","3.703703704","5.333333333","5.925925926","","","8.666666667","9.62962963"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00020","","","","","","10","4","4","4","4","2","2","1","","","2","5","6","4","5","6","1.2","0.1","1.2","1.3","2.5","6","0.3","0.05","0.216666667","1.5","0.6","1","0.4","0.325","0.13","0.3","0.12","66.66666667","52","40","","","4","10","4.333333333","10.83333333","4","10","","","8.333333333","20.83333333"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00021","","","","","","10","0","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00022","","","","","","10","2","2","2","0","4","2","1","","","2","3","1","2","7","8","0","0.2","0.8","0.2","1","4","","0.05","0.05","2","0.4","0","0","0.1","0.02","0.4","0.08","0","20","20","","","0","0","0.666666667","3.333333333","2.666666667","13.33333333","","","3.333333333","16.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00023","","","","","","10","9","9","9","7","16","3","1","","","2","4","6","5","6","7","1.5","0.6","1","2.1","3.1","23","0.214285714","0.0375","0.091304348","2.555555556","2.3","0.777777778","0.7","0.233333333","0.21","0.111111111","0.1","30.43478261","67.74193548","90","","","5","5.555555556","7","7.777777778","3.333333333","3.703703704","","","10.33333333","11.48148148"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00024","","","","","","10","8","8","","0","9","","","","","","","","6","3","4","0","0.3","2.4","0.3","2.7","9","","0.033333333","0.033333333","1.125","0.9","0","0","0.0375","0.03","0.3","0.24","0","11.11111111","80","","","0","0","1","1.25","8","10","","","9","11.25"
