"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00101","","","","3","1","5","4","5","1","0","8","1","8","9","6","1","2","0","0.24","1.06","0.24","1.3","8","","0.03","0.03","1.6","1.6","0","0","0.048","0.048","0.212","0.212","0","18.46153846","100","0","0","1.6","1.6","7.066666667","7.066666667","8.666666667","8.666666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00102","","","","1","1","5","4","4","2","5","0","1","2","5","8","1","1","0.76","0","2.86","0.76","3.62","5","0.152","","0.152","1.25","1","1.25","1","0.19","0.152","0.715","0.572","100","20.99447514","80","5.066666667","6.333333333","5.066666667","6.333333333","19.06666667","23.83333333","24.13333333","30.16666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00103","","","","7","1","5","4","4","3","3","5","1","5","5","8","1","1","0.92","0.18","1.62","1.1","2.72","8","0.306666667","0.036","0.1375","2","1.6","0.75","0.6","0.275","0.22","0.405","0.324","37.5","40.44117647","80","6.133333333","7.666666667","7.333333333","9.166666667","10.8","13.5","18.13333333","22.66666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00104","","","","3","1","5","4","3","3","9","8","3","7","7","6","2","2","2.4","0.44","2.2","2.84","5.04","17","0.266666667","0.055","0.167058824","5.666666667","3.4","3","1.8","0.946666667","0.568","0.733333333","0.44","52.94117647","56.34920635","60","16","26.66666667","18.93333333","31.55555556","14.66666667","24.44444444","33.6","56"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00105","","","","3","1","5","5","5","4","3","2","1","3","3","7","1","1","1.4","0.2","2.64","1.6","4.24","5","0.466666667","0.1","0.32","1","1","0.6","0.6","0.32","0.32","0.528","0.528","60","37.73584906","100","9.333333333","9.333333333","10.66666667","10.66666667","17.6","17.6","28.26666667","28.26666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00106","","","","3","1","5","5","3","3","2","10","3","2","7","8","1","1","0.3","0.32","0.92","0.62","1.54","12","0.15","0.032","0.051666667","4","2.4","0.666666667","0.4","0.206666667","0.124","0.306666667","0.184","16.66666667","40.25974026","60","2","3.333333333","4.133333333","6.888888889","6.133333333","10.22222222","10.26666667","17.11111111"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00107","","","","3","1","5","5","5","2","2","3","1","6","3","8","1","1","0.08","0.16","2.34","0.24","2.58","5","0.04","0.053333333","0.048","1","1","0.4","0.4","0.048","0.048","0.468","0.468","40","9.302325581","100","0.533333333","0.533333333","1.6","1.6","15.6","15.6","17.2","17.2"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00108","","","","","","5","4","4","0","0","0","","","","6","1","1","0","0","1.3","0","1.3","0","","","","0","0","0","0","0","0","0.325","0.26","","0","80","0","0","0","0","8.666666667","10.83333333","8.666666667","10.83333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00109","","","","5","3","5","5","5","5","5","9","5","3","3","5","1","1","1.7","0.5","1.18","2.2","3.38","14","0.34","0.055555556","0.157142857","2.8","2.8","1","1","0.44","0.44","0.236","0.236","35.71428571","65.0887574","100","11.33333333","11.33333333","14.66666667","14.66666667","7.866666667","7.866666667","22.53333333","22.53333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00110","","","","3","1","5","5","3","1","0","1","5","5","7","5","1","1","0","0.2","1.5","0.2","1.7","1","","0.2","0.2","0.333333333","0.2","0","0","0.066666667","0.04","0.5","0.3","0","11.76470588","60","0","0","1.333333333","2.222222222","10","16.66666667","11.33333333","18.88888889"
