"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013OHW-PT01","","","","","","","","","GHP2013OHW-PT01-00001","","","","5","1","","","10","14","9","1","4","2","5","3","","","","","","","","","","","","","","","","","","","","71.42857143","","","","","","","",""
"","","GHP2013OHW-PT01","","","","","","","","","GHP2013OHW-PT01-00010","","","","","","0","0","0","14","0","","","","1","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2013OHW-PT01","","","","","","","","","GHP2013OHW-PT01-00100","","","","3","1","4","6","3","14","3","2","3","3","6","3","0.3","0.2","4","0.5","4.5","10","0.075","0.033333333","0.05","3.333333333","0.714285714","1.333333333","0.285714286","0.166666667","0.035714286","1.333333333","0.285714286","40","11.11111111","21.42857143","0.714285714","3.333333333","1.19047619","5.555555556","9.523809524","44.44444444","10.71428571","50"
"","","GHP2013OHW-PT01","","","","","","","","","GHP2013OHW-PT01-00101","","","","2","2","11","6","10","14","8","1","3","5","5","5","1.5","0.2","7","1.7","8.7","17","0.136363636","0.033333333","0.1","1.7","1.214285714","1.1","0.785714286","0.17","0.121428571","0.7","0.5","64.70588235","19.54022989","71.42857143","3.571428571","5","4.047619048","5.666666667","16.66666667","23.33333333","20.71428571","29"
"","","GHP2013OHW-PT01","","","","","","","","","GHP2013OHW-PT01-00102","","","","","","0","0","0","14","0","","","","1","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2013OHW-PT01","","","","","","","","","GHP2013OHW-PT01-00103","","","","","","0","0","0","14","0","","","","1","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2013OHW-PT01","","","","","","","","","GHP2013OHW-PT01-00104","","","","","","0","0","0","14","0","","","","5","7","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2013OHW-PT01","","","","","","","","","GHP2013OHW-PT01-00105","","","","3","2","7","4","8","14","8","2","3","6","5","4","1","0.3","3","1.3","4.3","11","0.142857143","0.075","0.118181818","1.375","0.785714286","0.875","0.5","0.1625","0.092857143","0.375","0.214285714","63.63636364","30.23255814","57.14285714","2.380952381","4.166666667","3.095238095","5.416666667","7.142857143","12.5","10.23809524","17.91666667"
"","","GHP2013OHW-PT01","","","","","","","","","GHP2013OHW-PT01-00106","","","","4","2","18","21","9","14","8","1","4","6","6","5","2.8","1.2","10.5","4","14.5","39","0.155555556","0.057142857","0.102564103","4.333333333","2.785714286","2","1.285714286","0.444444444","0.285714286","1.166666667","0.75","46.15384615","27.5862069","64.28571429","6.666666667","10.37037037","9.523809524","14.81481481","25","38.88888889","34.52380952","53.7037037"
"","","GHP2013OHW-PT01","","","","","","","","","GHP2013OHW-PT01-00107","","","","","","0","0","0","14","0","","","","5","5","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
