"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00025","","","","1","1","47","30","20","30","20","1","2","1","8","4","16.7","1.7","40.5","18.4","58.9","77","0.355319149","0.056666667","0.238961039","3.85","2.566666667","2.35","1.566666667","0.92","0.613333333","2.025","1.35","61.03896104","31.23938879","66.66666667","18.55555556","27.83333333","20.44444444","30.66666667","45","67.5","65.44444444","98.16666667"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00026","","","","3","3","69","27","27","30","27","3","4","1","7","4","15.6","0.7","9.5","16.3","25.8","96","0.226086957","0.025925926","0.169791667","3.555555556","3.2","2.555555556","2.3","0.603703704","0.543333333","0.351851852","0.316666667","71.875","63.17829457","90","17.33333333","19.25925926","18.11111111","20.12345679","10.55555556","11.72839506","28.66666667","31.85185185"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00027","","","","3","1","20","25","30","30","25","1","4","3","7","5","2.9","1","19","3.9","22.9","45","0.145","0.04","0.086666667","1.5","1.5","0.666666667","0.666666667","0.13","0.13","0.633333333","0.633333333","44.44444444","17.03056769","100","3.222222222","3.222222222","4.333333333","4.333333333","21.11111111","21.11111111","25.44444444","25.44444444"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00028","","","","7","1","18","20","29","30","20","1","3","3","7","4","2.5","0.3","18.5","2.8","21.3","38","0.138888889","0.015","0.073684211","1.310344828","1.266666667","0.620689655","0.6","0.096551724","0.093333333","0.637931034","0.616666667","47.36842105","13.14553991","96.66666667","2.777777778","2.873563218","3.111111111","3.218390805","20.55555556","21.26436782","23.66666667","24.48275862"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00029","","","","3","1","16","4","14","30","14","3","4","3","7","5","2.3","0.2","8.5","2.5","11","20","0.14375","0.05","0.125","1.428571429","0.666666667","1.142857143","0.533333333","0.178571429","0.083333333","0.607142857","0.283333333","80","22.72727273","46.66666667","2.555555556","5.476190476","2.777777778","5.952380952","9.444444444","20.23809524","12.22222222","26.19047619"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00003","","","","1","1","41","30","29","30","29","1","3","3","7","5","5.7","0.8","14.5","6.5","21","71","0.13902439","0.026666667","0.091549296","2.448275862","2.366666667","1.413793103","1.366666667","0.224137931","0.216666667","0.5","0.483333333","57.74647887","30.95238095","96.66666667","6.333333333","6.551724138","7.222222222","7.471264368","16.11111111","16.66666667","23.33333333","24.13793103"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00030","","","","1","1","13","10","28","30","15","1","4","5","7","4","1.4","0.4","10.5","1.8","12.3","23","0.107692308","0.04","0.07826087","0.821428571","0.766666667","0.464285714","0.433333333","0.064285714","0.06","0.375","0.35","56.52173913","14.63414634","93.33333333","1.555555556","1.666666667","2","2.142857143","11.66666667","12.5","13.66666667","14.64285714"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00031","","","","1","1","14","3","11","30","10","1","4","5","6","6","1.1","0.1","7","1.2","8.2","17","0.078571429","0.033333333","0.070588235","1.545454545","0.566666667","1.272727273","0.466666667","0.109090909","0.04","0.636363636","0.233333333","82.35294118","14.63414634","36.66666667","1.222222222","3.333333333","1.333333333","3.636363636","7.777777778","21.21212121","9.111111111","24.84848485"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00032","","","","1","3","11","9","16","30","12","4","4","3","5","5","1.5","0.3","8","1.8","9.8","20","0.136363636","0.033333333","0.09","1.25","0.666666667","0.6875","0.366666667","0.1125","0.06","0.5","0.266666667","55","18.36734694","53.33333333","1.666666667","3.125","2","3.75","8.888888889","16.66666667","10.88888889","20.41666667"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00033","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00035","","","","1","1","24","15","20","30","20","1","2","1","6","4","5.9","0.8","10.5","6.7","17.2","39","0.245833333","0.053333333","0.171794872","1.95","1.3","1.2","0.8","0.335","0.223333333","0.525","0.35","61.53846154","38.95348837","66.66666667","6.555555556","9.833333333","7.444444444","11.16666667","11.66666667","17.5","19.11111111","28.66666667"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00036","","","","5","3","28","8","23","30","23","1","4","1","7","5","8.3","0.4","11.5","8.7","20.2","36","0.296428571","0.05","0.241666667","1.565217391","1.2","1.217391304","0.933333333","0.37826087","0.29","0.5","0.383333333","77.77777778","43.06930693","76.66666667","9.222222222","12.02898551","9.666666667","12.60869565","12.77777778","16.66666667","22.44444444","29.27536232"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00004","","","","3","1","24","10","25","30","19","1","3","3","6","6","2.9","0.3","10","3.2","13.2","34","0.120833333","0.03","0.094117647","1.36","1.133333333","0.96","0.8","0.128","0.106666667","0.4","0.333333333","70.58823529","24.24242424","83.33333333","3.222222222","3.866666667","3.555555556","4.266666667","11.11111111","13.33333333","14.66666667","17.6"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00005","","","","5","3","48","12","21","30","21","4","3","3","5","6","9.4","0.3","6","9.7","15.7","60","0.195833333","0.025","0.161666667","2.857142857","2","2.285714286","1.6","0.461904762","0.323333333","0.285714286","0.2","80","61.78343949","70","10.44444444","14.92063492","10.77777778","15.3968254","6.666666667","9.523809524","17.44444444","24.92063492"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00006","","","","3","1","52","26","28","30","28","3","2","1","7","5","10.1","1.2","13.5","11.3","24.8","78","0.194230769","0.046153846","0.144871795","2.785714286","2.6","1.857142857","1.733333333","0.403571429","0.376666667","0.482142857","0.45","66.66666667","45.56451613","93.33333333","11.22222222","12.02380952","12.55555556","13.45238095","15","16.07142857","27.55555556","29.52380952"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00007","","","","3","1","0","7","3","30","1","1","4","5","5","6","0","0.2","1","0.2","1.2","7","","0.028571429","0.028571429","2.333333333","0.233333333","0","0","0.066666667","0.006666667","0.333333333","0.033333333","0","16.66666667","10","0","0","0.222222222","2.222222222","1.111111111","11.11111111","1.333333333","13.33333333"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00008","","","","1","1","28","25","23","30","23","1","2","3","6","5","6.1","0.9","3","7","10","53","0.217857143","0.036","0.132075472","2.304347826","1.766666667","1.217391304","0.933333333","0.304347826","0.233333333","0.130434783","0.1","52.83018868","70","76.66666667","6.777777778","8.84057971","7.777777778","10.14492754","3.333333333","4.347826087","11.11111111","14.49275362"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
