"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014PKS-AT02","","","","","","","","","GHP2014PKS-AT02-00019","","","","3","5.83","1.77","0.77","18.07","2","50.07","1.89","3.04","1","70","54","3","42","42","45","38","4","7","2.87","3","68.76","3","36.08947474","6","7","12.29","9","1","3","14.6","2.4","30","17","47","124","0.208571429","0.044444444","0.137096774","2.952380952","2.755555556","1.666666667","1.555555556","0.404761905","0.377777778","0.714285714","0.666666667","56.4516129","36.17021277","93.33333333","6.135210705","10.81481481","11.58730159","12.59259259","13.49206349","22.22222222","23.80952381","4.544600522","4.869214845","34.81481481","37.3015873"
"","","GHP2014PKS-AT02","","","","","","","","","GHP2014PKS-AT02-00002","","","","2","0.16","1.82","0.86","19.12","3","50.2","2.32","3.07","1","77","72","2","44","44","45","43","4","7","3.64","2","68.03","3","38.0876494","5","8","6.99","9","1","1","19.3","4.4","49","23.7","72.7","149","0.250649351","0.061111111","0.159060403","3.386363636","3.311111111","1.75","1.711111111","0.538636364","0.526666667","1.113636364","1.088888889","51.67785235","32.5997249","97.77777778","9.026772908","14.2962963","14.62121212","17.55555556","17.95454545","36.2962963","37.12121212","6.686498451","6.838464325","53.85185185","55.07575758"
"","","GHP2014PKS-AT02","","","","","","","","","GHP2014PKS-AT02-00020","","","","2","0.03","1.93","1.01","21.53","2","50.75","1.27","2.07","1","45","75","3","42","42","45","33","2","8","4.32","2","69.19","3","42.42364532","6","8","5.71","9","4","4","11.4","2.8","57","14.2","71.2","120","0.253333333","0.037333333","0.118333333","2.857142857","2.666666667","1.071428571","1","0.338095238","0.315555556","1.357142857","1.266666667","37.5","19.94382022","93.33333333","6.024157635","8.444444444","9.047619048","10.51851852","11.26984127","42.22222222","45.23809524","4.462338989","4.781077488","52.74074074","56.50793651"
"","","GHP2014PKS-AT02","","","","","","","","","GHP2014PKS-AT02-00021","","","","2","0","2.22","1.11","17.85","2","50.69","2","2.94","1","130","64","4","42","42","45","41","5","8","5.59","1","62.96","2","35.21404616","6","8","8.55","9","1","4","42.7","3.1","31.2","45.8","77","194","0.328461538","0.0484375","0.236082474","4.619047619","4.311111111","3.095238095","2.888888889","1.09047619","1.017777778","0.742857143","0.693333333","67.01030928","59.48051948","93.33333333","16.12803314","31.62962963","33.88888889","33.92592593","36.34920635","23.11111111","24.76190476","11.94669122","12.8000263","57.03703704","61.11111111"
"","","GHP2014PKS-AT02","","","","","","","","","GHP2014PKS-AT02-00022","","","","4","0","1.74","0.91","18.65","3","50.8","0.52","1.87","1","31","24","4","27","27","45","20","5","3","3.41","3","71.46","2","36.71259843","6","9","13.88","7","4","4","11.7","1.6","15","13.3","28.3","55","0.377419355","0.066666667","0.241818182","2.037037037","1.222222222","1.148148148","0.688888889","0.492592593","0.295555556","0.555555556","0.333333333","56.36363636","46.99646643","60","4.882775591","8.666666667","14.44444444","9.851851852","16.41975309","11.11111111","18.51851852","3.616870808","6.028118013","20.96296296","34.9382716"
"","","GHP2014PKS-AT02","","","","","","","","","GHP2014PKS-AT02-00023","","","","2","7.94","1.88","1.07","15.94","3","50.42","2.93","3.88","1","84","77","5","44","44","45","44","6","3","2.18","2","57.94","2","31.61443871","7","8","14.66","9","1","1","19.8","3.6","28.2","23.4","51.6","161","0.235714286","0.046753247","0.145341615","3.659090909","3.577777778","1.909090909","1.866666667","0.531818182","0.52","0.640909091","0.626666667","52.17391304","45.34883721","97.77777778","7.397778659","14.66666667","15","17.33333333","17.72727273","20.88888889","21.36363636","5.479836044","5.604377772","38.22222222","39.09090909"
"","","GHP2014PKS-AT02","","","","","","","","","GHP2014PKS-AT02-00024","","","","2","25.91","2.48","1.2","12.49","3","50.76","6.61","8.91","1","92","70","3","41","41","45","41","8","6","3.63","4","48.39","5","24.60598897","5","9","14.93","7","4","4","34.2","3.2","20","37.4","57.4","162","0.37173913","0.045714286","0.230864198","3.951219512","3.6","2.243902439","2.044444444","0.912195122","0.831111111","0.487804878","0.444444444","56.79012346","65.15679443","91.11111111","9.202639874","25.33333333","27.80487805","27.7037037","30.40650407","14.81481481","16.2601626","6.816770277","7.481821036","42.51851852","46.66666667"
"","","GHP2014PKS-AT02","","","","","","","","","GHP2014PKS-AT02-00025","","","","1","1","1.95","0.9","20.57","2","50.55","2.34","3.35","1","51","21","3","43","43","45","41","5","9","3.97","2","66.87","3","40.69238378","5","6","6.94","9","1","3","12.7","2.2","43","14.9","57.9","72","0.249019608","0.104761905","0.206944444","1.674418605","1.6","1.186046512","1.133333333","0.346511628","0.331111111","1","0.955555556","70.83333333","25.73402418","95.55555556","6.063165183","9.407407407","9.84496124","11.03703704","11.5503876","31.85185185","33.33333333","4.491233469","4.700128049","42.88888889","44.88372093"
"","","GHP2014PKS-AT02","","","","","","","","","GHP2014PKS-AT02-00026","","","","2","6.25","1.77","0.87","12.1","3","31.96","2.34","3.37","1","80","46","3","45","45","45","45","4","7","2.89","3","68.92","2","37.85982478","4","6","5.11","9","1","1","14.7","4.2","44.2","18.9","63.1","126","0.18375","0.091304348","0.15","2.8","2.8","1.777777778","1.777777778","0.42","0.42","0.982222222","0.982222222","63.49206349","29.95245642","100","7.155506884","10.88888889","10.88888889","14","14","32.74074074","32.74074074","5.300375469","5.300375469","46.74074074","46.74074074"
"","","GHP2014PKS-AT02","","","","","","","","","GHP2014PKS-AT02-00027","","","","1","0","1.63","0.92","19.73","2","50.14","1.48","2.13","1","63","56","2","41","41","45","39","2","8","3.13","1","70.1","3","39.3498205","5","8","6.04","9","3","3","17.6","2.7","40","20.3","60.3","119","0.279365079","0.048214286","0.170588235","2.902439024","2.644444444","1.536585366","1.4","0.495121951","0.451111111","0.975609756","0.888888889","52.94117647","33.66500829","91.11111111","7.988013562","13.03703704","14.30894309","15.03703704","16.50406504","29.62962963","32.5203252","5.917047083","6.494319969","44.66666667","49.02439024"
