"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00001","","","","12","26","27","20","34","19","1","6","4","8","1","1","1.88","1.12","2.32","3","5.32","38","0.156666667","0.043076923","0.078947368","1.9","1.117647059","0.6","0.352941176","0.15","0.088235294","0.116","0.068235294","31.57894737","56.39097744","58.82352941","1.843137255","3.133333333","2.941176471","5","2.274509804","3.866666667","5.215686275","8.866666667"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00002","","","","35","16","31","19","34","19","1","7","7","7","3","1","12.98","0.46","0.8","13.44","14.24","51","0.370857143","0.02875","0.263529412","2.684210526","1.5","1.842105263","1.029411765","0.707368421","0.395294118","0.042105263","0.023529412","68.62745098","94.38202247","55.88235294","12.7254902","22.77192982","13.17647059","23.57894737","0.784313725","1.403508772","13.96078431","24.98245614"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00003","","","","6","30","29","23","34","16","1","6","3","9","1","1","0.62","0.96","18.56","1.58","20.14","36","0.103333333","0.032","0.043888889","1.565217391","1.058823529","0.260869565","0.176470588","0.068695652","0.046470588","0.806956522","0.545882353","16.66666667","7.845084409","67.64705882","0.607843137","0.898550725","1.549019608","2.289855072","18.19607843","26.89855072","19.74509804","29.1884058"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00004","","","","65","49","33","20","34","20","2","8","7","7","2","2","15.36","1.54","8.14","16.9","25.04","114","0.236307692","0.031428571","0.148245614","5.7","3.352941176","3.25","1.911764706","0.845","0.497058824","0.407","0.239411765","57.01754386","67.49201278","58.82352941","15.05882353","25.6","16.56862745","28.16666667","7.980392157","13.56666667","24.54901961","41.73333333"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00005","","","","41","30","27","13","34","12","3","7","5","7","3","3","6.38","0.78","3.16","7.16","10.32","71","0.155609756","0.026","0.10084507","5.461538462","2.088235294","3.153846154","1.205882353","0.550769231","0.210588235","0.243076923","0.092941176","57.74647887","69.37984496","38.23529412","6.254901961","16.35897436","7.019607843","18.35897436","3.098039216","8.102564103","10.11764706","26.46153846"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00006","","","","41","32","26","20","34","20","1","7","5","8","3","3","5.18","1.16","2.26","6.34","8.6","73","0.126341463","0.03625","0.086849315","3.65","2.147058824","2.05","1.205882353","0.317","0.186470588","0.113","0.066470588","56.16438356","73.72093023","58.82352941","5.078431373","8.633333333","6.215686275","10.56666667","2.215686275","3.766666667","8.431372549","14.33333333"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00007","","","","57","54","33","26","34","26","3","7","6","8","1","1","11.52","4.58","2.14","16.1","18.24","111","0.202105263","0.084814815","0.145045045","4.269230769","3.264705882","2.192307692","1.676470588","0.619230769","0.473529412","0.082307692","0.062941176","51.35135135","88.26754386","76.47058824","11.29411765","14.76923077","15.78431373","20.64102564","2.098039216","2.743589744","17.88235294","23.38461538"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00008","","","","18","52","30","19","34","17","1","7","5","8","2","1","3.52","2.86","11.6","6.38","17.98","70","0.195555556","0.055","0.091142857","3.684210526","2.058823529","0.947368421","0.529411765","0.335789474","0.187647059","0.610526316","0.341176471","25.71428571","35.48387097","55.88235294","3.450980392","6.175438596","6.254901961","11.19298246","11.37254902","20.35087719","17.62745098","31.54385965"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00009","","","","31","21","31","20","34","19","2","6","7","7","3","3","11.74","0.52","3.82","12.26","16.08","52","0.378709677","0.024761905","0.235769231","2.6","1.529411765","1.55","0.911764706","0.613","0.360588235","0.191","0.112352941","59.61538462","76.24378109","58.82352941","11.50980392","19.56666667","12.01960784","20.43333333","3.745098039","6.366666667","15.76470588","26.8"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00010","","","","0","21","34","22","34","4","1","6","2","9","1","1","0","0.42","2.64","0.42","3.06","21","","0.02","0.02","0.954545455","0.617647059","0","0","0.019090909","0.012352941","0.12","0.077647059","0","13.7254902","64.70588235","0","0","0.411764706","0.636363636","2.588235294","4","3","4.636363636"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00011","","","","62","39","31","27","34","26","2","8","6","7","2","1","12.38","1.56","1.54","13.94","15.48","101","0.199677419","0.04","0.138019802","3.740740741","2.970588235","2.296296296","1.823529412","0.516296296","0.41","0.057037037","0.045294118","61.38613861","90.05167959","79.41176471","12.1372549","15.28395062","13.66666667","17.20987654","1.509803922","1.901234568","15.17647059","19.11111111"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00012","","","","39","23","30","24","34","24","2","8","6","7","4","4","7.84","0.84","6.24","8.68","14.92","62","0.201025641","0.036521739","0.14","2.583333333","1.823529412","1.625","1.147058824","0.361666667","0.255294118","0.26","0.183529412","62.90322581","58.1769437","70.58823529","7.68627451","10.88888889","8.509803922","12.05555556","6.117647059","8.666666667","14.62745098","20.72222222"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00013","","","","41","23","31","23","34","23","1","7","6","9","2","2","9.74","0.68","6.9","10.42","17.32","64","0.237560976","0.029565217","0.1628125","2.782608696","1.882352941","1.782608696","1.205882353","0.453043478","0.306470588","0.3","0.202941176","64.0625","60.16166282","67.64705882","9.549019608","14.11594203","10.21568627","15.10144928","6.764705882","10","16.98039216","25.10144928"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00014","","","","67","56","32","26","34","26","2","7","6","8","1","1","15.48","3.28","8.9","18.76","27.66","123","0.231044776","0.058571429","0.152520325","4.730769231","3.617647059","2.576923077","1.970588235","0.721538462","0.551764706","0.342307692","0.261764706","54.47154472","67.82357195","76.47058824","15.17647059","19.84615385","18.39215686","24.05128205","8.725490196","11.41025641","27.11764706","35.46153846"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00015","","","","10","12","27","17","34","8","1","7","5","9","1","1","2.3","0.46","14.84","2.76","17.6","22","0.23","0.038333333","0.125454545","1.294117647","0.647058824","0.588235294","0.294117647","0.162352941","0.081176471","0.872941176","0.436470588","45.45454545","15.68181818","50","2.254901961","4.509803922","2.705882353","5.411764706","14.54901961","29.09803922","17.25490196","34.50980392"
"","","GHP2015WAG-ST01","","","","","","","","","GHP2015WAG-ST01-00016","","","","30","17","26","13","34","13","1","7","8","7","3","2","13.16","0.58","4.68","13.74","18.42","47","0.438666667","0.034117647","0.292340426","3.615384615","1.382352941","2.307692308","0.882352941","1.056923077","0.404117647","0.36","0.137647059","63.82978723","74.59283388","38.23529412","12.90196078","33.74358974","13.47058824","35.23076923","4.588235294","12","18.05882353","47.23076923"
