"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00115","","","","5","5","","","5","5","7","3","4","2","0.2","2.3","2.2","4.5","10","0.4","0.04","0.22","","","","","50","48.88888889","","","","","2","1","0.44","0.46","","13.33333333","14.66666667","15.33333333","30"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00116","","","","5","5","","","8","0","6","3","4","3.1","0","1.3","3.1","4.4","8","0.3875","","0.3875","","","","","100","70.45454545","","","","","1.6","1.6","0.62","0.26","","20.66666667","20.66666667","8.666666667","29.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00117","","","","5","5","","","22","7","5","3","6","4.5","0.4","3.2","4.9","8.1","29","0.204545455","0.057142857","0.168965517","","","","","75.86206897","60.49382716","","","","","5.8","4.4","0.98","0.64","","30","32.66666667","21.33333333","54"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00118","","","","5","5","","","12","1","6","2","5","4.7","0.1","2.1","4.8","6.9","13","0.391666667","0.1","0.369230769","","","","","92.30769231","69.56521739","","","","","2.6","2.4","0.96","0.42","","31.33333333","32","14","46"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00119","","","","5","5","","","6","0","7","1","3","3.1","0","1.7","3.1","4.8","6","0.516666667","","0.516666667","","","","","100","64.58333333","","","","","1.2","1.2","0.62","0.34","","20.66666667","20.66666667","11.33333333","32"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00120","","","","5","5","","","10","0","6","3","5","2.5","0","1.6","2.5","4.1","10","0.25","","0.25","","","","","100","60.97560976","","","","","2","2","0.5","0.32","","16.66666667","16.66666667","10.66666667","27.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00121","","","","5","5","","","16","5","5","3","5","4","0.3","1.5","4.3","5.8","21","0.25","0.06","0.204761905","","","","","76.19047619","74.13793103","","","","","4.2","3.2","0.86","0.3","","26.66666667","28.66666667","10","38.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00122","","","","5","5","","","11","3","5","3","4","3.3","0.2","2.5","3.5","6","14","0.3","0.066666667","0.25","","","","","78.57142857","58.33333333","","","","","2.8","2.2","0.7","0.5","","22","23.33333333","16.66666667","40"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00123","","","","5","5","","","6","10","6","4","6","1.1","0.3","1.2","1.4","2.6","16","0.183333333","0.03","0.0875","","","","","37.5","53.84615385","","","","","3.2","1.2","0.28","0.24","","7.333333333","9.333333333","8","17.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00124","","","","5","5","","","12","8","7","4","4","1.4","0.3","1.2","1.7","2.9","20","0.116666667","0.0375","0.085","","","","","60","58.62068966","","","","","4","2.4","0.34","0.24","","9.333333333","11.33333333","8","19.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00125","","","","5","5","","","5","0","6","3","3","1.7","0","2.8","1.7","4.5","5","0.34","","0.34","","","","","100","37.77777778","","","","","1","1","0.34","0.56","","11.33333333","11.33333333","18.66666667","30"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00126","","","","5","5","","","6","6","7","3","3","3.4","0.2","4.5","3.6","8.1","12","0.566666667","0.033333333","0.3","","","","","50","44.44444444","","","","","2.4","1.2","0.72","0.9","","22.66666667","24","30","54"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00127","","","","5","5","","","9","5","7","1","4","2.5","0.2","1.9","2.7","4.6","14","0.277777778","0.04","0.192857143","","","","","64.28571429","58.69565217","","","","","2.8","1.8","0.54","0.38","","16.66666667","18","12.66666667","30.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00128","","","","5","5","","","14","2","7","1","3","3.5","0.2","3.7","3.7","7.4","16","0.25","0.1","0.23125","","","","","87.5","50","","","","","3.2","2.8","0.74","0.74","","23.33333333","24.66666667","24.66666667","49.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00129","","","","5","5","","","7","4","6","3","3","2.5","0.2","3.2","2.7","5.9","11","0.357142857","0.05","0.245454545","","","","","63.63636364","45.76271186","","","","","2.2","1.4","0.54","0.64","","16.66666667","18","21.33333333","39.33333333"
