"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00019","","","","2","1","4","7","10","14","5","1","6","4","7","3","0.8","0.5","14.5","1.3","15.8","11","0.2","0.071428571","0.118181818","1.1","0.785714286","0.4","0.285714286","0.13","0.092857143","1.45","1.035714286","36.36363636","8.227848101","71.42857143","1.904761905","2.666666667","3.095238095","4.333333333","34.52380952","48.33333333","37.61904762","52.66666667"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00002","","","","2","2","20","10","10","14","9","2","5","8","8","3","10","0.6","10.5","10.6","21.1","30","0.5","0.06","0.353333333","3","2.142857143","2","1.428571429","1.06","0.757142857","1.05","0.75","66.66666667","50.23696682","71.42857143","23.80952381","33.33333333","25.23809524","35.33333333","25","35","50.23809524","70.33333333"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00020","","","","1","2","21","39","10","14","10","2","6","7","7","3","5","1.4","4","6.4","10.4","60","0.238095238","0.035897436","0.106666667","6","4.285714286","2.1","1.5","0.64","0.457142857","0.4","0.285714286","35","61.53846154","71.42857143","11.9047619","16.66666667","15.23809524","21.33333333","9.523809524","13.33333333","24.76190476","34.66666667"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00003","","","","2","1","0","11","10","14","2","1","5","2","6","4","0","0.4","11","0.4","11.4","11","","0.036363636","0.036363636","1.1","0.785714286","0","0","0.04","0.028571429","1.1","0.785714286","0","3.50877193","71.42857143","0","0","0.952380952","1.333333333","26.19047619","36.66666667","27.14285714","38"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00004","","","","1","1","31","84","10","14","9","1","5","5","7","5","6","3","7.5","9","16.5","115","0.193548387","0.035714286","0.07826087","11.5","8.214285714","3.1","2.214285714","0.9","0.642857143","0.75","0.535714286","26.95652174","54.54545455","71.42857143","14.28571429","20","21.42857143","30","17.85714286","25","39.28571429","55"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00005","","","","3","2","23","11","10","14","9","2","6","8","7","4","10.4","0.8","3","11.2","14.2","34","0.452173913","0.072727273","0.329411765","3.4","2.428571429","2.3","1.642857143","1.12","0.8","0.3","0.214285714","67.64705882","78.87323944","71.42857143","24.76190476","34.66666667","26.66666667","37.33333333","7.142857143","10","33.80952381","47.33333333"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00006","","","","2","2","9","25","9","14","8","1","6","7","6","6","2.4","1","2","3.4","5.4","34","0.266666667","0.04","0.1","3.777777778","2.428571429","1","0.642857143","0.377777778","0.242857143","0.222222222","0.142857143","26.47058824","62.96296296","64.28571429","5.714285714","8.888888889","8.095238095","12.59259259","4.761904762","7.407407407","12.85714286","20"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00007","","","","1","3","51","44","10","14","10","1","6","7","5","4","8.5","2.4","4.5","10.9","15.4","95","0.166666667","0.054545455","0.114736842","9.5","6.785714286","5.1","3.642857143","1.09","0.778571429","0.45","0.321428571","53.68421053","70.77922078","71.42857143","20.23809524","28.33333333","25.95238095","36.33333333","10.71428571","15","36.66666667","51.33333333"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00008","","","","2","2","21","23","10","14","10","2","5","8","7","3","7.2","1.7","9.5","8.9","18.4","44","0.342857143","0.073913043","0.202272727","4.4","3.142857143","2.1","1.5","0.89","0.635714286","0.95","0.678571429","47.72727273","48.36956522","71.42857143","17.14285714","24","21.19047619","29.66666667","22.61904762","31.66666667","43.80952381","61.33333333"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00009","","","","1","1","14","11","9","14","8","1","4","6","6","5","3.8","0.8","5","4.6","9.6","25","0.271428571","0.072727273","0.184","2.777777778","1.785714286","1.555555556","1","0.511111111","0.328571429","0.555555556","0.357142857","56","47.91666667","64.28571429","9.047619048","14.07407407","10.95238095","17.03703704","11.9047619","18.51851852","22.85714286","35.55555556"
