"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00052","","","","3","0","2.462157011","1.135841966","15.1","48.51","1.942342997","3.508822918","3","28","6","10","10","10","10","5.6285882","3","61.05631638","5","31.12760256","1","1","14.9106617","8","3","3","12.4","0.4","11","12.8","23.8","34","0.442857143","0.066666667","0.376470588","3.4","3.4","2.8","2.8","1.28","1.28","1.1","1.1","82.35294118","53.78151261","100","3.984333127","41.33333333","41.33333333","42.66666667","42.66666667","36.66666667","36.66666667","13.28111042","13.28111042","79.33333333","79.33333333"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00053","","","","3","0","1.915668964","0.915611982","16.43","49.02","0.879305005","1.910122037","2","22","12","10","10","10","10","3.741401911","3","68.11107635","3","33.51693186","2","1","11.46291447","7","2","3","14.1","0.6","17.6","14.7","32.3","34","0.640909091","0.05","0.432352941","3.4","3.4","2.2","2.2","1.47","1.47","1.76","1.76","64.70588235","45.51083591","100","4.926988984","47","47","49","49","58.66666667","58.66666667","16.42329661","16.42329661","107.6666667","107.6666667"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00054","","","","3","3.671278","2.676384926","1.161728024","16.01","48.46","2.009886026","2.547990084","2","10","6","9","9","10","8","6.231733799","3","63.67249298","3","33.03755675","1","1","14.29080868","8","5","3","6.5","0.6","16","7.1","23.1","16","0.65","0.1","0.44375","1.777777778","1.6","1.111111111","1","0.788888889","0.71","1.777777778","1.6","62.5","30.73593074","90","2.345666529","21.66666667","24.07407407","23.66666667","26.2962963","53.33333333","59.25925926","7.81888843","8.687653811","77","85.55555556"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00055","","","","3","2.6908913","2.666812897","1.219683051","17.64","49.13","1.386039972","1.763522983","1","17","7","10","10","10","10","6.596045971","2","64.63153839","1","35.90474252","5","5","10.75718117","4","5","7","5","0.7","5.4","5.7","11.1","24","0.294117647","0.1","0.2375","2.4","2.4","1.7","1.7","0.57","0.57","0.54","0.54","70.83333333","51.35135135","100","2.046570324","16.66666667","16.66666667","19","19","18","18","6.821901079","6.821901079","37","37"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00056","","","","4","0","2.820157051","1.186010003","18.95","48.21","1.177049041","1.913578987","2","18","7","10","10","10","10","7.660510063","3","64.21457672","3","39.30719768","5","5","10.25645638","4","5","7","3.4","0.4","6.2","3.8","10","25","0.188888889","0.057142857","0.152","2.5","2.5","1.8","1.8","0.38","0.38","0.62","0.62","72","38","100","1.493673512","11.33333333","11.33333333","12.66666667","12.66666667","20.66666667","20.66666667","4.978911706","4.978911706","33.33333333","33.33333333"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00057","","","","4","0","2.447278023","1.126986027","19.87","48.85","0.175098002","1.273980975","3","15","11","10","9","10","9","5.038712025","4","69.34735107","2","40.67553736","4","4","11.08087826","6","3","5","3.4","0.5","3","3.9","6.9","26","0.226666667","0.045454545","0.15","2.888888889","2.6","1.666666667","1.5","0.433333333","0.39","0.333333333","0.3","57.69230769","56.52173913","90","1.586345957","11.33333333","12.59259259","13","14.44444444","10","11.11111111","5.287819857","5.875355396","23","25.55555556"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00058","","","","3","0","2.189445972","0.947201014","16.31","48.4","2.094002962","3.017519951","2","5","11","9","9","10","9","5.415278912","3","64.6162796","5","33.69834711","6","7","8.295862198","4","6","7","1","0.7","1.8","1.7","3.5","16","0.2","0.063636364","0.10625","1.777777778","1.6","0.555555556","0.5","0.188888889","0.17","0.2","0.18","31.25","48.57142857","90","0.572871901","3.333333333","3.703703704","5.666666667","6.296296296","6","6.666666667","1.909573003","2.121747781","11.66666667","12.96296296"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00059","","","","4","12.4369297","2.419384003","0.906906009","14.08","48.69","7.331215858","9.681827545","3","25","15","10","10","10","10","3.279757023","4","57.58107376","3","28.91764223","3","3","10.53389454","6","3","5","7.1","0.6","6","7.7","13.7","40","0.284","0.04","0.1925","4","4","2.5","2.5","0.77","0.77","0.6","0.6","62.5","56.20437956","100","2.226658451","23.66666667","23.66666667","25.66666667","25.66666667","20","20","7.422194838","7.422194838","45.66666667","45.66666667"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00006","","","","4","18.9510193","2.630251884","1.114066958","16.57","48.9","1.23983705","2.029330969","3","42","21","10","10","10","10","6.193212986","4","59.06317139","3","33.88548057","4","4","15.98904037","5","3","4","7","1","2.2","8","10.2","63","0.166666667","0.047619048","0.126984127","6.3","6.3","4.2","4.2","0.8","0.8","0.22","0.22","66.66666667","78.43137255","100","2.710838446","23.33333333","23.33333333","26.66666667","26.66666667","7.333333333","7.333333333","9.036128153","9.036128153","34","34"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00060","","","","4","0","2.208204985","1.120887995","17.21","48.52","2.69125104","3.331860065","2","17","15","10","10","10","10","5.971392155","3","67.62647247","1","35.46990932","4","5","7.494451046","5","7","6","2.7","0.6","2","3.3","5.3","32","0.158823529","0.04","0.103125","3.2","3.2","1.7","1.7","0.33","0.33","0.2","0.2","53.125","62.26415094","100","1.170507007","9","9","11","11","6.666666667","6.666666667","3.901690025","3.901690025","17.66666667","17.66666667"
