"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00108","","","","","","10","0","0","0","0","","","","","","","9","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00109","","","","2","1","10","5","3","1","2","4","3","2","2","1","2","8","8","0.2","0.1","0.2","0.3","0.5","3","0.2","0.05","0.1","0.6","0.3","0.2","0.1","0.06","0.03","0.04","0.02","33.33333333","60","50","0.666666667","1.333333333","1","2","0.666666667","1.333333333","1.666666667","3.333333333"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00011","","","","1","2","10","2","1","2","4","5","4","3","3","1","8","4","7","0.4","0.2","1.8","0.6","2.4","6","0.2","0.05","0.1","3","0.6","1","0.2","0.3","0.06","0.9","0.18","33.33333333","25","20","1.333333333","6.666666667","2","10","6","30","8","40"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00110","","","","1","1","10","7","7","8","11","4","4","2","2","1","4","3","6","0.9","0.3","0.6","1.2","1.8","19","0.1125","0.027272727","0.063157895","2.714285714","1.9","1.142857143","0.8","0.171428571","0.12","0.085714286","0.06","42.10526316","66.66666667","70","3","4.285714286","4","5.714285714","2","2.857142857","6","8.571428571"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00111","","","","3","1","10","10","8","10","12","6","5","2","2","2","4","1","7","1.2","0.5","0.8","1.7","2.5","22","0.12","0.041666667","0.077272727","2.2","2.2","1","1","0.17","0.17","0.08","0.08","45.45454545","68","100","4","4","5.666666667","5.666666667","2.666666667","2.666666667","8.333333333","8.333333333"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00112","","","","4","1","10","6","6","7","4","4","3","2","2","1","4","7","7","0.4","0.1","0.6","0.5","1.1","11","0.057142857","0.025","0.045454545","1.833333333","1.1","1.166666667","0.7","0.083333333","0.05","0.1","0.06","63.63636364","45.45454545","60","1.333333333","2.222222222","1.666666667","2.777777778","2","3.333333333","3.666666667","6.111111111"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00113","","","","3","1","10","10","8","10","10","5","6","1","1","2","8","1","4","2.5","0.7","4.8","3.2","8","20","0.25","0.07","0.16","2","2","1","1","0.32","0.32","0.48","0.48","50","40","100","8.333333333","8.333333333","10.66666667","10.66666667","16","16","26.66666667","26.66666667"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00114","","","","","","10","0","0","0","0","","","","","","","9","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00115","","","","","","10","0","0","0","0","","","","","","","9","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00116","","","","2","1","10","3","2","2","4","4","4","1","1","1","3","8","","0.2","0.1","0.2","0.3","0.5","6","0.1","0.025","0.05","2","0.6","0.666666667","0.2","0.1","0.03","0.066666667","0.02","33.33333333","60","30","0.666666667","2.222222222","1","3.333333333","0.666666667","2.222222222","1.666666667","5.555555556"
