"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00014","","","","4","6.9475384","2.365858078","1.093822002","18.16","49.01","1.094431043","2.338809967","3.537837982","61.72503281","20.18870544","","","","2","1","10","","","5","37.05366252","","","4","7","6","","","0.1","","","","","","","","","","","","","0.1","0.01","","","10","","","","","","0.333333333","3.333333333","","","",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00015","","","","5","1.9073372","2.304819107","1.130800009","18.78","49.02","1.183573008","2.868040085","4.387966156","63.84102249","12.38689709","1","2","5","10","7","10","6","4","2","38.31089351","4","4","6","3","4","0.6","0.2","4.4","0.8","5.2","7","0.3","0.04","0.114285714","1","0.7","0.285714286","0.2","0.114285714","0.08","0.628571429","0.44","28.57142857","15.38461538","70","0.306487148","2","2.857142857","2.666666667","3.80952381","14.66666667","20.95238095","1.021623827","1.45946261","17.33333333","24.76190476"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00016","","","","4","","","","","","","","","","","","0","0","10","3","10","0","","","","","","4","6","6","0","0","0.4","0","0.4","0","","","","0","0","0","0","0","0","0.133333333","0.04","","0","30","","0","0","0","0","1.333333333","4.444444444","","","1.333333333","4.444444444"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00017","","","","4","1.2371883","2.139264107","0.928112984","19.6","48.9","1.082000971","2.370820045","4.216084003","70.49197388","10.5242424","1","4","","8","4","10","4","3","2","40.08179959","4","4","6","5","5","1.4","","0.4","","","","0.35","","","","","1","0.4","","","0.1","0.04","","","40","","4.666666667","11.66666667","","","1.333333333","3.333333333","","","",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00018","","","","4","7.3230152","2.132450104","1.117647052","19.01","48.38","0.864714026","2.255251884","3.577508926","67.934021","10.21920013","1","7","8","10","8","10","7","3","2","39.29309632","4","5","7","3","3","0.8","0.3","6.8","1.1","7.9","15","0.114285714","0.0375","0.073333333","1.875","1.5","0.875","0.7","0.1375","0.11","0.85","0.68","46.66666667","13.92405063","80","0.43222406","2.666666667","3.333333333","3.666666667","4.583333333","22.66666667","28.33333333","1.440746865","1.800933581","26.33333333","32.91666667"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00019","","","","4","","","","","","","","","","","1","","3","2","2","10","1","2","","","5","6","5","3","4","","0.1","0.1","","","","","0.033333333","","","","","","","","0.05","0.01","","","20","","","","","","0.333333333","1.666666667","","","",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00002","","","","4","6.8397713","2.491216898","1.149474978","18.59","48.66","1.41486299","3.440941095","4.479782104","65.36686707","12.05464077","1","11","9","10","10","10","9","2","3","38.20386354","4","4","6","4","4","2.1","0.3","6","2.4","8.4","20","0.190909091","0.033333333","0.12","2","2","1.1","1.1","0.24","0.24","0.6","0.6","55","28.57142857","100","0.916892725","7","7","8","8","20","20","3.056309083","3.056309083","28","28"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00020","","","","3","","","","","","","","","","","1","2","2","4","4","10","2","2","","","5","6","4","4","5","0.2","0.1","0.4","0.3","0.7","4","0.1","0.05","0.075","1","0.4","0.5","0.2","0.075","0.03","0.1","0.04","50","42.85714286","40","","0.666666667","1.666666667","1","2.5","1.333333333","3.333333333","","","2.333333333","5.833333333"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00021","","","","4","37.8397942","3.231662035","1.656923056","9.71","49.14","8.045256615","11.63189602","5.163565159","42.02467346","12.59300041","2","6","5","3","3","10","3","3","3","19.75986976","4","4","6","3","3","1.6","0.2","0.8","1.8","2.6","11","0.266666667","0.04","0.163636364","3.666666667","1.1","2","0.6","0.6","0.18","0.266666667","0.08","54.54545455","69.23076923","30","0.355677656","5.333333333","17.77777778","6","20","2.666666667","8.888888889","1.185592186","3.951973952","8.666666667","28.88888889"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00022","","","","3","0","2.429305077","1.376616001","17.49","48.89","","1.09185195","6.304861069","68.63983917","10.98701","1","2","5","7","4","10","3","3","2","35.77418695","4","4","4","4","6","0.8","0.2","0.6","1","1.6","7","0.4","0.04","0.142857143","1.75","0.7","0.5","0.2","0.25","0.1","0.15","0.06","28.57142857","62.5","40","0.35774187","2.666666667","6.666666667","3.333333333","8.333333333","2","5","1.192472898","2.981182246","5.333333333","13.33333333"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00023","","","","4","","","","","","","","","","","","0","0","6","2","10","0","","","","","","4","7","5","0","0","0.1","0","0.1","0","","","","0","0","0","0","0","0","0.05","0.01","","0","20","","0","0","0","0","0.333333333","1.666666667","","","0.333333333","1.666666667"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00024","","","","4","","","","","","","","","","","","0","0","4","2","10","0","","","","","","4","7","4","0","0","0.1","0","0.1","0","","","","0","0","0","0","0","0","0.05","0.01","","0","20","","0","0","0","0","0.333333333","1.666666667","","","0.333333333","1.666666667"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00025","","","","5","0","1.909955025","0.959926009","20.44","49.13","1.37996304","3.113446951","3.803986073","72.0241394","10.82635593","2","11","6","10","6","10","5","4","3","41.603908","4","4","5","4","5","1.2","0.2","9.2","1.4","10.6","17","0.109090909","0.033333333","0.082352941","2.833333333","1.7","1.833333333","1.1","0.233333333","0.14","1.533333333","0.92","64.70588235","13.20754717","60","0.582454712","4","6.666666667","4.666666667","7.777777778","30.66666667","51.11111111","1.941515707","3.235859511","35.33333333","58.88888889"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00026","","","","4","","","","","","","","","","","1","","1","2","1","10","1","2","","","5","7","8","6","3","","0.1","0.1","","","","","0.1","","","","","","","","0.1","0.01","","","10","","","","","","0.333333333","3.333333333","","","",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00027","","","","5","","","","","","","","","","","1","2","","10","4","10","2","2","","","5","6","7","4","4","0.2","","1.4","","","","0.1","","","","","0.5","0.2","","","0.35","0.14","","","40","","0.666666667","1.666666667","","","4.666666667","11.66666667","","","",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00028","","","","","","","","","","","","","","","","0","0","","","10","0","","","","","","","","","0","0","2.4","0","2.4","0","","","","","0","","0","","0","","0.24","","0","","","0","","0","","8","","","","8",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00029","","","","4","0","1.916671038","0.928291023","19.86","48.33","0.628597975","1.71786797","3.78709197","73.33136749","9.731142044","1","5","3","9","9","10","6","3","3","41.09248914","5","5","7","4","4","0.5","0.2","2.2","0.7","2.9","8","0.1","0.066666667","0.0875","0.888888889","0.8","0.555555556","0.5","0.077777778","0.07","0.244444444","0.22","62.5","24.13793103","90","0.287647424","1.666666667","1.851851852","2.333333333","2.592592593","7.333333333","8.148148148","0.958824747","1.065360829","9.666666667","10.74074074"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00003","","","","4","0","2.087213993","1.072929978","19.05","48.54","0.741777003","2.030690908","4.272830963","70.79753876","10.60595036","1","5","4","10","6","10","5","2","1","39.24598269","5","6","5","5","5","0.4","0.2","0.8","0.6","1.4","9","0.08","0.05","0.066666667","1.5","0.9","0.833333333","0.5","0.1","0.06","0.133333333","0.08","55.55555556","42.85714286","60","0.235475896","1.333333333","2.222222222","2","3.333333333","2.666666667","4.444444444","0.784919654","1.308199423","4.666666667","7.777777778"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00030","","","","4","17.2537079","2.440721035","0.990953028","15.23","48.75","5.247129917","7.469994068","3.169560909","57.28952026","10.32668114","1","6","1","6","4","10","3","3","2","31.24102564","5","5","5","4","4","1","0.1","2.8","1.1","3.9","7","0.166666667","0.1","0.157142857","1.75","0.7","1.5","0.6","0.275","0.11","0.7","0.28","85.71428571","28.20512821","40","0.343651282","3.333333333","8.333333333","3.666666667","9.166666667","9.333333333","23.33333333","1.145504274","2.863760684","13","32.5"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00031","","","","4","0","2.072526932","1.040421009","21.93","48.81","0.74931699","2.179136038","4.578501225","68.87080383","9.975998878","1","3","","9","6","10","4","3","3","44.92931776","5","5","5","3","4","0.3","","3.8","","","","0.1","","","","","0.5","0.3","","","0.633333333","0.38","","","60","","1","1.666666667","","","12.66666667","21.11111111","","","",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00032","","","","4","0","1.804468036","0.865535021","21.11","48.4","1.765182972","3.195909977","3.086083889","71.98867798","9.62623024","1","7","","10","8","10","6","2","2","43.61570248","4","4","7","4","4","1.2","","3.4","","","","0.171428571","","","","","0.875","0.7","","","0.425","0.34","","","80","","4","5","","","11.33333333","14.16666667","","","",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00033","","","","","","","","","","","","","","","","0","0","","","10","0","","","","","","3","","6","0","0","0.1","0","0.1","0","","","","","0","","0","","0","","0.01","","0","","","0","","0","","0.333333333","","","","0.333333333",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00034","","","","4","","","","","","","","","","","1","2","","1","1","10","1","2","","","5","5","5","3","4","0.1","","1.2","","","","0.05","","","","","2","0.2","","","1.2","0.12","","","10","","0.333333333","3.333333333","","","4","40","","","",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00035","","","","4","","","","","","","","","","","1","2","3","3","3","10","3","2","","","5","6","5","4","5","0.2","0.2","3.5","0.4","3.9","5","0.1","0.066666667","0.08","1.666666667","0.5","0.666666667","0.2","0.133333333","0.04","1.166666667","0.35","40","10.25641026","30","","0.666666667","2.222222222","1.333333333","4.444444444","11.66666667","38.88888889","","","13","43.33333333"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00036","","","","","","","","","","","","","","","","0","0","","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00037","","","","","","","","","","","","","","","","0","0","","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00038","","","","4","0","2.188086033","0.996465981","21.65","48.29","0.689617991","2.176361084","4.579247952","71.10484314","9.764115334","1","5","6","6","5","10","5","","2","44.83329882","5","6","5","3","5","0.7","0.2","1.2","0.9","2.1","11","0.14","0.033333333","0.081818182","2.2","1.1","1","0.5","0.18","0.09","0.24","0.12","45.45454545","42.85714286","50","0.403499689","2.333333333","4.666666667","3","6","4","8","1.344998965","2.689997929","7","14"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00039","","","","4","","","","","","","","","","","","0","0","10","5","10","0","","","","","","7","4","4","0","0","1","0","1","0","","","","0","0","0","0","0","0","0.2","0.1","","0","50","","0","0","0","0","3.333333333","6.666666667","","","3.333333333","6.666666667"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00004","","","","","","","","","","","","","","","","0","0","","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00040","","","","4","","","","","","","","","","","1","","1","5","2","10","1","2","","","6","7","6","5","4","","0.1","1.2","","","","","0.1","","","","","","","","0.6","0.12","","","20","","","","","","4","20","","","",""
