"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00019","","","","3","","","","","","","","","1","0","6","33","23","34","1","","","","1","","2","1","","7","5","5","0","0.3","20","0.3","20.3","6","","0.05","0.05","0.260869565","0.176470588","0","0","0.013043478","0.008823529","0.869565217","0.588235294","0","1.477832512","67.64705882","","","0","0","0.294117647","0.434782609","19.60784314","28.98550725","","","19.90196078","29.42028986"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00002","","","","","","","","","","","","","","0","0","7","0","34","0","","","","","","","","","2","4","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00020","","","","2","7.69","2.64","0.7","18","1","","1.11","","1","7","10","32","20","34","5","2","9","4.04","1","70.27","4","4","4.65","5","7","7","0.9","0.4","10","1.3","11.3","17","0.128571429","0.04","0.076470588","0.85","0.5","0.35","0.205882353","0.065","0.038235294","0.5","0.294117647","41.17647059","11.50442478","58.82352941","","","0.882352941","1.5","1.274509804","2.166666667","9.803921569","16.66666667","","","11.07843137","18.83333333"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00021","","","","3","10.82","3.31","1.14","17.4","2","50.5","2.08","0.77","2","30","20","29","24","34","22","4","5","6.25","3","73.54","5","6","1.84","8","4","3","8.2","1.1","11.5","9.3","20.8","50","0.273333333","0.055","0.186","2.083333333","1.470588235","1.25","0.882352941","0.3875","0.273529412","0.479166667","0.338235294","60","44.71153846","70.58823529","34.45544554","3.204356436","8.039215686","11.38888889","9.117647059","12.91666667","11.2745098","15.97222222","3.141525917","4.45049505","20.39215686","28.88888889"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00022","","","","2","8.77","2.74","0.79","19.5","2","50.9","2.35","1.1","1","22","18","34","26","34","18","2","9","4.37","1","71.39","5","5","","8","1","1","3.9","0.7","10.5","4.6","15.1","40","0.177272727","0.038888889","0.115","1.538461538","1.176470588","0.846153846","0.647058824","0.176923077","0.135294118","0.403846154","0.308823529","55","30.46357616","76.47058824","38.31041257","1.762278978","3.823529412","5","4.509803922","5.897435897","10.29411765","13.46153846","1.727724489","2.259332024","14.80392157","19.35897436"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00023","","","","4","14.1","3.16","0.99","18.2","2","50.3","2.23","1.11","1","7","24","31","16","34","9","3","8","5.3","2","73.93","5","4","2","6","6","5","1.7","1.2","11.5","2.9","14.4","31","0.242857143","0.05","0.093548387","1.9375","0.911764706","0.4375","0.205882353","0.18125","0.085294118","0.71875","0.338235294","22.58064516","20.13888889","47.05882353","36.18290258","1.049304175","1.666666667","3.541666667","2.843137255","6.041666667","11.2745098","23.95833333","1.028729583","2.186050364","14.11764706","30"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00024","","","","3","17.95","2.98","0.69","15.2","1","50.5","4.87","4.17","2","45","54","30","26","34","24","7","2","4.77","3","65.51","5","6","","5","6","6","7.5","1.6","8","9.1","17.1","99","0.166666667","0.02962963","0.091919192","3.807692308","2.911764706","1.730769231","1.323529412","0.35","0.267647059","0.307692308","0.235294118","45.45454545","53.21637427","76.47058824","30.0990099","2.739009901","7.352941176","9.615384615","8.921568627","11.66666667","7.843137255","10.25641026","2.685303825","3.511551155","16.76470588","21.92307692"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00025","","","","2","16.86","2.46","0.52","18.3","2","50.8","2.78","1.14","1","53","52","31","29","34","28","6","2","1.84","1","72.07","5","6","","8","1","1","9","3","13.5","12","25.5","105","0.169811321","0.057692308","0.114285714","3.620689655","3.088235294","1.827586207","1.558823529","0.413793103","0.352941176","0.465517241","0.397058824","50.47619048","47.05882353","85.29411765","36.02362205","4.322834646","8.823529412","10.34482759","11.76470588","13.79310345","13.23529412","15.51724138","4.238073182","4.968775455","25","29.31034483"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00026","","","","1","9.31","2.8","0.82","17.5","2","50","1.35","","1","45","68","32","30","34","29","3","8","3.97","1","66.8","5","5","6.51","8","3","3","8","2.3","24","10.3","34.3","113","0.177777778","0.033823529","0.091150442","3.766666667","3.323529412","1.5","1.323529412","0.343333333","0.302941176","0.8","0.705882353","39.82300885","30.02915452","88.23529412","35","3.605","7.843137255","8.888888889","10.09803922","11.44444444","23.52941176","26.66666667","3.534313725","4.005555556","33.62745098","38.11111111"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00027","","","","2","18.39","3.18","0.55","20.2","2","50.7","1.42","","1","9","12","30","23","34","12","4","8","2.85","1","70.67","4","5","","6","4","4","2.6","0.6","20.5","3.2","23.7","21","0.288888889","0.05","0.152380952","0.913043478","0.617647059","0.391304348","0.264705882","0.139130435","0.094117647","0.891304348","0.602941176","42.85714286","13.5021097","67.64705882","39.84220907","1.27495069","2.549019608","3.768115942","3.137254902","4.637681159","20.09803922","29.71014493","1.249951657","1.847754624","23.23529412","34.34782609"
