"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00002","","","","1","39.33333333","14.66666667","62.71186441","14","15","8","10","8","5","1","48.27586207","19.33333333","3","29","3.625","7.4","5.8","1.6","4.4","24.66666667","11.8","0.414285714","0.106666667","0.255172414","2.9","1.75","1.4","0.925","0.74","0.55","0.44","80","24.16666667","30.83333333","18.33333333","49.16666667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00020","","","","3","34.66666667","11","68.26923077","18","11","10","10","10","3","5","62.06896552","18.83333333","3","29","2.9","7.1","5.65","1.45","3.3","23.66666667","10.4","0.313888889","0.131818182","0.244827586","2.9","1.8","1.8","0.71","0.71","0.33","0.33","100","18.83333333","23.66666667","11","34.66666667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00021","","","","5","19.43333333","8.766666667","54.88850772","7","3","6","10","6","7","3","70","8.833333333","5","10","1.666666667","3.2","2.65","0.55","2.63","10.66666667","5.83","0.378571429","0.183333333","0.32","1","1.166666667","0.7","0.533333333","0.32","0.438333333","0.263","60","14.72222222","17.77777778","14.61111111","32.38888889"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00022","","","","1","35.33333333","12.66666667","64.1509434","11","6","8","10","8","1","3","64.70588235","20.33333333","5","17","2.125","6.8","6.1","0.7","3.8","22.66666667","10.6","0.554545455","0.116666667","0.4","1.7","1.375","1.1","0.85","0.68","0.475","0.38","80","25.41666667","28.33333333","15.83333333","44.16666667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00023","","","","5","53","12.33333333","76.72955975","22","4","10","10","10","1","1","84.61538462","39.16666667","1","26","2.6","12.2","11.75","0.45","3.7","40.66666667","15.9","0.534090909","0.1125","0.469230769","2.6","2.2","2.2","1.22","1.22","0.37","0.37","100","39.16666667","40.66666667","12.33333333","53"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00024","","","","3","80.16666667","16.33333333","79.62577963","24","17","9","10","9","5","1","58.53658537","58.5","1","41","4.555555556","19.15","17.55","1.6","4.9","63.83333333","24.05","0.73125","0.094117647","0.467073171","4.1","2.666666667","2.4","2.127777778","1.915","0.544444444","0.49","90","65","70.92592593","18.14814815","89.07407407"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00025","","","","1","14.83333333","10.16666667","31.46067416","5","1","5","10","3","3","3","83.33333333","4.166666667","7","6","1.2","1.4","1.25","0.15","3.05","4.666666667","4.45","0.25","0.15","0.233333333","0.6","1","0.5","0.28","0.14","0.61","0.305","50","8.333333333","9.333333333","20.33333333","29.66666667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00026","","","","1","11","5","54.54545455","4","3","5","10","5","1","5","57.14285714","5.5","1","7","1.4","1.8","1.65","0.15","1.5","6","3.3","0.4125","0.05","0.257142857","0.7","0.8","0.4","0.36","0.18","0.3","0.15","50","11","12","10","22"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00027","","","","5","46.16666667","16.33333333","64.62093863","19","11","9","10","9","5","1","63.33333333","26.83333333","3","30","3.333333333","8.95","8.05","0.9","4.9","29.83333333","13.85","0.423684211","0.081818182","0.298333333","3","2.111111111","1.9","0.994444444","0.895","0.544444444","0.49","90","29.81481481","33.14814815","18.14814815","51.2962963"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00028","","","","1","63.16666667","13.33333333","78.89182058","19","8","8","10","8","3","1","70.37037037","46.16666667","1","27","3.375","14.95","13.85","1.1","4","49.83333333","18.95","0.728947368","0.1375","0.553703704","2.7","2.375","1.9","1.86875","1.495","0.5","0.4","80","57.70833333","62.29166667","16.66666667","78.95833333"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00029","","","","1","64.16666667","15","76.62337662","35","5","9","10","9","1","1","87.5","48.33333333","3","40","4.444444444","14.75","14.5","0.25","4.5","49.16666667","19.25","0.414285714","0.05","0.36875","4","3.888888889","3.5","1.638888889","1.475","0.5","0.45","90","53.7037037","54.62962963","16.66666667","71.2962963"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00003","","","","5","42.66666667","12.33333333","71.09375","13","46","8","10","8","3","3","22.03389831","17.33333333","5","59","7.375","9.1","5.2","3.9","3.7","30.33333333","12.8","0.4","0.084782609","0.154237288","5.9","1.625","1.3","1.1375","0.91","0.4625","0.37","80","21.66666667","37.91666667","15.41666667","53.33333333"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00030","","","","1","74.33333333","24","67.71300448","35","25","10","10","10","1","1","58.33333333","42","3","60","6","15.1","12.6","2.5","7.2","50.33333333","22.3","0.36","0.1","0.251666667","6","3.5","3.5","1.51","1.51","0.72","0.72","100","42","50.33333333","24","74.33333333"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00031","","","","1","58.4","13.73333333","76.48401826","15","18","7","10","7","1","3","45.45454545","41","3","33","4.714285714","13.4","12.3","1.1","4.12","44.66666667","17.52","0.82","0.061111111","0.406060606","3.3","2.142857143","1.5","1.914285714","1.34","0.588571429","0.412","70","58.57142857","63.80952381","19.61904762","83.42857143"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00032","","","","1","79.5","29.5","62.89308176","16","3","6","10","6","1","3","84.21052632","48.5","1","19","3.166666667","15","14.55","0.45","8.85","50","23.85","0.909375","0.15","0.789473684","1.9","2.666666667","1.6","2.5","1.5","1.475","0.885","60","80.83333333","83.33333333","49.16666667","132.5"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00033","","","","1","84.06666667","26.33333333","68.67565424","27","12","8","10","8","3","1","69.23076923","52.73333333","3","39","4.875","17.32","15.82","1.5","7.9","57.73333333","25.22","0.585925926","0.125","0.444102564","3.9","3.375","2.7","2.165","1.732","0.9875","0.79","80","65.91666667","72.16666667","32.91666667","105.0833333"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00034","","","","1","48.83333333","14.66666667","69.96587031","18","19","10","10","10","1","3","48.64864865","28","5","37","3.7","10.25","8.4","1.85","4.4","34.16666667","14.65","0.466666667","0.097368421","0.277027027","3.7","1.8","1.8","1.025","1.025","0.44","0.44","100","28","34.16666667","14.66666667","48.83333333"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00035","","","","1","49.66666667","23.16666667","53.3557047","17","6","8","10","8","3","1","73.91304348","24.16666667","3","23","2.875","7.95","7.25","0.7","6.95","26.5","14.9","0.426470588","0.116666667","0.345652174","2.3","2.125","1.7","0.99375","0.795","0.86875","0.695","80","30.20833333","33.125","28.95833333","62.08333333"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00036","","","","7","62","12.33333333","80.10752688","22","12","9","10","9","9","1","64.70588235","45.5","1","34","3.777777778","14.9","13.65","1.25","3.7","49.66666667","18.6","0.620454545","0.104166667","0.438235294","3.4","2.444444444","2.2","1.655555556","1.49","0.411111111","0.37","90","50.55555556","55.18518519","13.7037037","68.88888889"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00037","","","","1","48.5","12.16666667","74.91408935","21","14","9","10","9","1","1","60","31.16666667","5","35","3.888888889","10.9","9.35","1.55","3.65","36.33333333","14.55","0.445238095","0.110714286","0.311428571","3.5","2.333333333","2.1","1.211111111","1.09","0.405555556","0.365","90","34.62962963","40.37037037","13.51851852","53.88888889"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00038","","","","1","63.66666667","15.66666667","75.39267016","32","13","10","10","10","1","7","71.11111111","45.16666667","3","45","4.5","14.4","13.55","0.85","4.7","48","19.1","0.4234375","0.065384615","0.32","4.5","3.2","3.2","1.44","1.44","0.47","0.47","100","45.16666667","48","15.66666667","63.66666667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00039","","","","1","54.66666667","18.66666667","65.85365854","27","43","8","10","8","1","1","38.57142857","26","5","70","8.75","10.8","7.8","3","5.6","36","16.4","0.288888889","0.069767442","0.154285714","7","3.375","2.7","1.35","1.08","0.7","0.56","80","32.5","45","23.33333333","68.33333333"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00004","","","","1","81","25.83333333","68.10699588","32","31","10","10","10","1","3","50.79365079","43.83333333","3","63","6.3","16.55","13.15","3.4","7.75","55.16666667","24.3","0.4109375","0.109677419","0.262698413","6.3","3.2","3.2","1.655","1.655","0.775","0.775","100","43.83333333","55.16666667","25.83333333","81"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00040","","","","1","60.83333333","22.16666667","63.56164384","25","7","8","10","8","1","1","78.125","36.83333333","3","32","4","11.6","11.05","0.55","6.65","38.66666667","18.25","0.442","0.078571429","0.3625","3.2","3.125","2.5","1.45","1.16","0.83125","0.665","80","46.04166667","48.33333333","27.70833333","76.04166667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00041","","","","1","36.33333333","13.66666667","62.3853211","18","13","8","10","8","1","1","58.06451613","18.66666667","5","31","3.875","6.8","5.6","1.2","4.1","22.66666667","10.9","0.311111111","0.092307692","0.219354839","3.1","2.25","1.8","0.85","0.68","0.5125","0.41","80","23.33333333","28.33333333","17.08333333","45.41666667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00042","","","","3","70.66666667","17","75.94339623","25","12","10","10","10","3","1","67.56756757","50.66666667","1","37","3.7","16.1","15.2","0.9","5.1","53.66666667","21.2","0.608","0.075","0.435135135","3.7","2.5","2.5","1.61","1.61","0.51","0.51","100","50.66666667","53.66666667","17","70.66666667"
