"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00001","","","","5","49.41","1.016848","5.6039691","14.9429235","3","15","6","3","3","3","6","5","3","49.2946815","6","22.89010322","3","5","24.4483032","8","1","4.08","0.56","6.44","4.64","11.08","21","0.272","0.093333333","0.220952381","7","5","1.546666667","2.146666667","71.42857143","41.87725632","1.062100789","45.33333333","51.55555556","71.55555556","11.80111988","123.1111111"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00010","","","","5","50.47","0.667042","2.05599","18.2094326","3","6","0","3","3","2","4","6","3","58.3360252","2","25.12383594","3","3","17.7199402","9","1","1.86","0","0.88","1.86","2.74","6","0.31","","0.31","2","2","0.62","0.293333333","100","67.88321168","0.467303348","20.66666667","20.66666667","9.777777778","5.192259428","30.44444444"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00100","","","","","","","","","","","","2","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00101","","","","","","","","","","","","1","3","","","","","","","","","","","6","3","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00102","","","","","","","","","","","","2","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00104","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00105","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00106","","","","","50.51","0.855803","2.2047009","23.3896465","","","","2","3","","3","6","","54.7717171","3","29.81587804","","","22.149025","6","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00107","","","","1","49.48","0.328259","2.2509949","15.6801825","1","6","2","3","3","2","5","5","1","55.728035","3","30.19401778","1","3","21.9904938","9","1","1.26","0.04","6.24","1.3","7.54","8","0.21","0.02","0.1625","2.666666667","2","0.433333333","2.08","75","17.24137931","0.392522231","14","14.44444444","69.33333333","4.361358124","83.77777778"
