"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00019","","","","2","1","35","66","34","28","34","28","3","5","5","7","3","4","8.1","6","12","14.1","26.1","101","0.231428571","0.090909091","0.13960396","3.607142857","2.970588235","1.25","1.029411765","0.503571429","0.414705882","0.428571429","0.352941176","34.65346535","54.02298851","82.35294118","7.941176471","9.642857143","13.82352941","16.78571429","11.76470588","14.28571429","25.58823529","31.07142857"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00002","","","","2","1","50","61","34","29","34","29","4","4","6","6","3","4","8.7","3.5","4.5","12.2","16.7","111","0.174","0.057377049","0.10990991","3.827586207","3.264705882","1.724137931","1.470588235","0.420689655","0.358823529","0.155172414","0.132352941","45.04504505","73.05389222","85.29411765","8.529411765","10","11.96078431","14.02298851","4.411764706","5.172413793","16.37254902","19.1954023"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00020","","","","3","1","59","41","32","29","34","29","2","4","6","6","4","4","11","3.7","10","14.7","24.7","100","0.186440678","0.090243902","0.147","3.448275862","2.941176471","2.034482759","1.735294118","0.506896552","0.432352941","0.344827586","0.294117647","59","59.51417004","85.29411765","10.78431373","12.64367816","14.41176471","16.89655172","9.803921569","11.49425287","24.21568627","28.3908046"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00021","","","","2","1","46","56","34","30","34","30","2","4","5","5","4","8","7.3","2.2","6","9.5","15.5","102","0.158695652","0.039285714","0.093137255","3.4","3","1.533333333","1.352941176","0.316666667","0.279411765","0.2","0.176470588","45.09803922","61.29032258","88.23529412","7.156862745","8.111111111","9.31372549","10.55555556","5.882352941","6.666666667","15.19607843","17.22222222"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00003","","","","2","1","105","40","34","30","34","29","2","5","6","7","3","3","14.5","3.2","10.5","17.7","28.2","145","0.138095238","0.08","0.122068966","4.833333333","4.264705882","3.5","3.088235294","0.59","0.520588235","0.35","0.308823529","72.4137931","62.76595745","88.23529412","14.21568627","16.11111111","17.35294118","19.66666667","10.29411765","11.66666667","27.64705882","31.33333333"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00004","","","","2","1","72","95","34","29","34","29","2","6","5","7","4","4","14.8","4.7","15.5","19.5","35","167","0.205555556","0.049473684","0.116766467","5.75862069","4.911764706","2.482758621","2.117647059","0.672413793","0.573529412","0.534482759","0.455882353","43.11377246","55.71428571","85.29411765","14.50980392","17.01149425","19.11764706","22.4137931","15.19607843","17.81609195","34.31372549","40.22988506"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00005","","","","1","1","65","40","34","27","34","27","2","6","8","9","1","1","23.7","2.6","29.5","26.3","55.8","105","0.364615385","0.065","0.25047619","3.888888889","3.088235294","2.407407407","1.911764706","0.974074074","0.773529412","1.092592593","0.867647059","61.9047619","47.13261649","79.41176471","23.23529412","29.25925926","25.78431373","32.4691358","28.92156863","36.41975309","54.70588235","68.88888889"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00006","","","","2","1","71","70","32","28","34","28","3","5","7","6","4","4","16.2","3.6","10","19.8","29.8","141","0.228169014","0.051428571","0.140425532","5.035714286","4.147058824","2.535714286","2.088235294","0.707142857","0.582352941","0.357142857","0.294117647","50.35460993","66.44295302","82.35294118","15.88235294","19.28571429","19.41176471","23.57142857","9.803921569","11.9047619","29.21568627","35.47619048"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00007","","","","3","1","140","100","34","28","34","28","4","4","7","7","3","3","20.1","4.4","12","24.5","36.5","240","0.143571429","0.044","0.102083333","8.571428571","7.058823529","5","4.117647059","0.875","0.720588235","0.428571429","0.352941176","58.33333333","67.12328767","82.35294118","19.70588235","23.92857143","24.01960784","29.16666667","11.76470588","14.28571429","35.78431373","43.45238095"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00008","","","","2","1","60","108","34","29","34","29","3","5","6","7","4","5","12.5","5.7","9.5","18.2","27.7","168","0.208333333","0.052777778","0.108333333","5.793103448","4.941176471","2.068965517","1.764705882","0.627586207","0.535294118","0.327586207","0.279411765","35.71428571","65.70397112","85.29411765","12.25490196","14.36781609","17.84313725","20.91954023","9.31372549","10.91954023","27.15686275","31.83908046"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00009","","","","3","1","152","63","34","27","34","27","2","6","8","9","1","1","18.6","3.5","18","22.1","40.1","215","0.122368421","0.055555556","0.102790698","7.962962963","6.323529412","5.62962963","4.470588235","0.818518519","0.65","0.666666667","0.529411765","70.69767442","55.11221945","79.41176471","18.23529412","22.96296296","21.66666667","27.28395062","17.64705882","22.22222222","39.31372549","49.50617284"
