"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00002","","","","5","4","54","11","37","45","36","5","4","4","7","6","13","0.7","10.1","13.7","23.8","65","0.240740741","0.063636364","0.210769231","1.756756757","1.444444444","1.459459459","1.2","0.37027027","0.304444444","0.272972973","0.224444444","83.07692308","57.56302521","82.22222222","9.62962963","11.71171171","10.14814815","12.34234234","7.481481481","9.099099099","17.62962963","21.44144144"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00020","","","","4","5","12","18","30","45","15","5","3","2","4","5","1","0.7","13.9","1.7","15.6","30","0.083333333","0.038888889","0.056666667","1","0.666666667","0.4","0.266666667","0.056666667","0.037777778","0.463333333","0.308888889","40","10.8974359","66.66666667","0.740740741","1.111111111","1.259259259","1.888888889","10.2962963","15.44444444","11.55555556","17.33333333"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00021","","","","3","3","10","80","37","45","37","4","3","4","8","3","11.8","2.8","18.4","14.6","33","90","1.18","0.035","0.162222222","2.432432432","2","0.27027027","0.222222222","0.394594595","0.324444444","0.497297297","0.408888889","11.11111111","44.24242424","82.22222222","8.740740741","10.63063063","10.81481481","13.15315315","13.62962963","16.57657658","24.44444444","29.72972973"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00022","","","","4","3","74","23","37","45","28","4","4","4","8","4","7.5","1.2","38","8.7","46.7","97","0.101351351","0.052173913","0.089690722","2.621621622","2.155555556","2","1.644444444","0.235135135","0.193333333","1.027027027","0.844444444","76.28865979","18.62955032","82.22222222","5.555555556","6.756756757","6.444444444","7.837837838","28.14814815","34.23423423","34.59259259","42.07207207"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00023","","","","","","35","0","","45","","","","","","","","0","","","","35","","","","","0.777777778","","0.777777778","","","","","100","","","","","","","","","",""
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00024","","","","","","0","0","32","45","0","","","","9","1","0","0","58.5","0","58.5","0","","","","0","0","0","0","0","0","1.828125","1.3","","0","71.11111111","0","0","0","0","43.33333333","60.9375","43.33333333","60.9375"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00025","","","","","","0","0","30","45","0","","","","9","1","0","0","33.5","0","33.5","0","","","","0","0","0","0","0","0","1.116666667","0.744444444","","0","66.66666667","0","0","0","0","24.81481481","37.22222222","24.81481481","37.22222222"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00026","","","","5","4","18","10","27","45","19","5","2","2","4","9","2.5","0.5","2.5","3","5.5","28","0.138888889","0.05","0.107142857","1.037037037","0.622222222","0.666666667","0.4","0.111111111","0.066666667","0.092592593","0.055555556","64.28571429","54.54545455","60","1.851851852","3.086419753","2.222222222","3.703703704","1.851851852","3.086419753","4.074074074","6.790123457"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00003","","","","4","4","","18","37","45","37","5","2","3","4","2","4.3","0.4","6.7","4.7","11.4","","","0.022222222","","","","","","0.127027027","0.104444444","0.181081081","0.148888889","","41.22807018","82.22222222","3.185185185","3.873873874","3.481481481","4.234234234","4.962962963","6.036036036","8.444444444","10.27027027"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00004","","","","4","4","21","21","26","45","24","4","5","4","5","6","8.1","1.1","3.1","9.2","12.3","42","0.385714286","0.052380952","0.219047619","1.615384615","0.933333333","0.807692308","0.466666667","0.353846154","0.204444444","0.119230769","0.068888889","50","74.79674797","57.77777778","6","10.38461538","6.814814815","11.79487179","2.296296296","3.974358974","9.111111111","15.76923077"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00005","","","","4","4","35","34","40","45","30","5","4","3","4","5","2.4","0.6","8.9","3","11.9","69","0.068571429","0.017647059","0.043478261","1.725","1.533333333","0.875","0.777777778","0.075","0.066666667","0.2225","0.197777778","50.72463768","25.21008403","88.88888889","1.777777778","2","2.222222222","2.5","6.592592593","7.416666667","8.814814815","9.916666667"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00006","","","","4","4","18","35","37","45","37","4","4","4","4","2","13.9","2","7.5","15.9","23.4","53","0.772222222","0.057142857","0.3","1.432432432","1.177777778","0.486486486","0.4","0.42972973","0.353333333","0.202702703","0.166666667","33.96226415","67.94871795","82.22222222","10.2962963","12.52252252","11.77777778","14.32432432","5.555555556","6.756756757","17.33333333","21.08108108"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00007","","","","4","4","68","13","38","45","32","4","3","3","8","5","6.2","0.7","20.6","6.9","27.5","81","0.091176471","0.053846154","0.085185185","2.131578947","1.8","1.789473684","1.511111111","0.181578947","0.153333333","0.542105263","0.457777778","83.95061728","25.09090909","84.44444444","4.592592593","5.438596491","5.111111111","6.052631579","15.25925926","18.07017544","20.37037037","24.12280702"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00008","","","","4","4","44","18","23","45","17","5","4","3","8","4","2","0.8","36.3","2.8","39.1","62","0.045454545","0.044444444","0.04516129","2.695652174","1.377777778","1.913043478","0.977777778","0.12173913","0.062222222","1.57826087","0.806666667","70.96774194","7.16112532","51.11111111","1.481481481","2.898550725","2.074074074","4.057971014","26.88888889","52.60869565","28.96296296","56.66666667"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00009","","","","","","13","0","35","45","","","","","9","3","","0","23.8","","","13","","","","0.371428571","0.288888889","0.371428571","0.288888889","","","0.68","0.528888889","100","","77.77777778","","","","","17.62962963","22.66666667","",""
