"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00014","","","","3","2.0203114","2.122925043","0.956511021","18.71","48.53","1.187664032","1.950345039","3.964248896","71.50273895","2","10","13","10","7","10","7","3","3","38.55347208","5","5","10.02626228","7","3","4","3.4","1.2","9.2","4.6","13.8","23","0.34","0.092307692","0.2","3.285714286","2.3","1.428571429","1","0.657142857","0.46","1.314285714","0.92","43.47826087","33.33333333","70","1.773459716","11.33333333","16.19047619","15.33333333","21.9047619","30.66666667","43.80952381","5.911532385","8.445046265","46","65.71428571"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00015","","","","3","","","","","","","","","","2","","","","","10","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00016","","","","3","15.8085861","2.312272072","1.010627985","14.38","48.83","2.883491039","4.650365829","3.156569958","60.44914627","2","19","20","10","10","10","10","3","2","29.44910915","3","3","16.44930458","6","5","4","4.3","1","6.4","5.3","11.7","39","0.226315789","0.05","0.135897436","3.9","3.9","1.9","1.9","0.53","0.53","0.64","0.64","48.71794872","45.2991453","100","1.560802785","14.33333333","14.33333333","17.66666667","17.66666667","21.33333333","21.33333333","5.202675951","5.202675951","39","39"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00017","","","","","2.0672035","1.978999019","0.762485027","20.9","48.49","1.792929053","2.761168003","3.428102016","72.08422852","","10","2","10","10","10","8","","2","43.10167045","3","5","9.513982773","7","3","5","2.2","0.3","6.2","2.5","8.7","12","0.22","0.15","0.208333333","1.2","1.2","1","1","0.25","0.25","0.62","0.62","83.33333333","28.73563218","100","1.077541761","7.333333333","7.333333333","8.333333333","8.333333333","20.66666667","20.66666667","3.591805871","3.591805871","29","29"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00018","","","","4","0","1.600198984","0.692511976","18","48.29","1.227074981","1.776283979","2.987816095","69.94444275","3","16","28","10","10","10","10","4","3","37.27479809","5","5","12.29489613","6","2","5","3.5","1.3","3","4.8","7.8","44","0.21875","0.046428571","0.109090909","4.4","4.4","1.6","1.6","0.48","0.48","0.3","0.3","36.36363636","61.53846154","100","1.789190309","11.66666667","11.66666667","16","16","10","10","5.963967695","5.963967695","26","26"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00019","","","","3","0","2.014086962","0.809644997","17.68","48.38","0.709703028","1.682170987","2.732937098","71.06731415","2","26","14","10","10","10","10","4","3","36.54402646","3","3","11.47434235","7","3","4","6.3","0.6","6.2","6.9","13.1","40","0.242307692","0.042857143","0.1725","4","4","2.6","2.6","0.69","0.69","0.62","0.62","65","52.67175573","100","2.521537826","21","21","23","23","20.66666667","20.66666667","8.405126085","8.405126085","43.66666667","43.66666667"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00002","","","","","","","","","","","","","","","17","30","10","10","10","10","","","","3","3","","8","3","3","2.3","1","18.6","3.3","21.9","47","0.135294118","0.033333333","0.070212766","4.7","4.7","1.7","1.7","0.33","0.33","1.86","1.86","36.17021277","15.06849315","100","","7.666666667","7.666666667","11","11","62","62","","","73","73"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00020","","","","4","","","","","","","","","","2","","","","","10","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00021","","","","5","35.3811111","2.562726021","1.212602973","11.46","48.84","4.912726879","7.68172121","2.944850922","50.16946411","1","28","14","10","10","10","10","2","5","23.46437346","2","1","25.36788559","7","4","4","9.3","0.6","5.8","9.9","15.7","42","0.332142857","0.042857143","0.235714286","4.2","4.2","2.8","2.8","0.99","0.99","0.58","0.58","66.66666667","63.05732484","100","2.322972973","31","31","33","33","19.33333333","19.33333333","7.743243243","7.743243243","52.33333333","52.33333333"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00022","","","","4","27.2474213","2.013801098","0.895277023","14.32","48.84","5.936010838","8.226365089","3.122153997","60.25358582","1","19","11","8","7","10","7","2","5","29.32022932","3","3","8.851987839","7","3","4","5.1","0.6","4.2","5.7","9.9","30","0.268421053","0.054545455","0.19","4.285714286","3","2.714285714","1.9","0.814285714","0.57","0.6","0.42","63.33333333","57.57575758","70","1.671253071","17","24.28571429","19","27.14285714","14","20","5.570843571","7.958347958","33","47.14285714"
