"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00339","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00340","","","","1","3","3","1","3","1","6","1","1","0.36","0.14","1.34","0.5","1.84","4","0.36","0.046666667","0.125","4","1.333333333","1","0.333333333","0.5","0.166666667","1.34","0.446666667","25","27.17391304","33.33333333","4","12","5.555555556","16.66666667","14.88888889","44.66666667","20.44444444","61.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00341","","","","0","3","3","2","3","1","7","5","1","0","0.2","0.22","0.2","0.42","3","","0.066666667","0.066666667","1.5","1","0","0","0.1","0.066666667","0.11","0.073333333","0","47.61904762","66.66666667","0","0","2.222222222","3.333333333","2.444444444","3.666666667","4.666666667","7"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00342","","","","0","0","3","2","3","0","5","2","1","0","0","1.98","0","1.98","0","","","","0","0","0","0","0","0","0.99","0.66","","0","66.66666667","0","0","0","0","22","33","22","33"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00343","","","","0","0","3","2","3","0","7","5","1","0","0","0.86","0","0.86","0","","","","0","0","0","0","0","0","0.43","0.286666667","","0","66.66666667","0","0","0","0","9.555555556","14.33333333","9.555555556","14.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00344","","","","0","2","3","1","3","1","5","2","3","0","0.12","0.05","0.12","0.17","2","","0.06","0.06","2","0.666666667","0","0","0.12","0.04","0.05","0.016666667","0","70.58823529","33.33333333","0","0","1.333333333","4","0.555555556","1.666666667","1.888888889","5.666666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00345","","","","1","0","3","1","3","1","6","1","1","0.1","0","1.44","0.1","1.54","1","0.1","","0.1","1","0.333333333","1","0.333333333","0.1","0.033333333","1.44","0.48","100","6.493506494","33.33333333","1.111111111","3.333333333","1.111111111","3.333333333","16","48","17.11111111","51.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00346","","","","0","0","3","1","3","0","6","1","1","0","0","0.76","0","0.76","0","","","","0","0","0","0","0","0","0.76","0.253333333","","0","33.33333333","0","0","0","0","8.444444444","25.33333333","8.444444444","25.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00347","","","","0","0","3","2","3","0","5","5","3","0","0","0.14","0","0.14","0","","","","0","0","0","0","0","0","0.07","0.046666667","","0","66.66666667","0","0","0","0","1.555555556","2.333333333","1.555555556","2.333333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00348","","","","0","0","2","0","3","0","","7","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00349","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00350","","","","3","4","2","2","3","2","7","1","1","1.72","0.24","2.84","1.96","4.8","7","0.573333333","0.06","0.28","3.5","2.333333333","1.5","1","0.98","0.653333333","1.42","0.946666667","42.85714286","40.83333333","66.66666667","19.11111111","28.66666667","21.77777778","32.66666667","31.55555556","47.33333333","53.33333333","80"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00351","","","","0","0","1","0","3","0","","5","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00352","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00353","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00354","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00355","","","","0","0","","0","3","0","7","","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00356","","","","1","5","3","3","3","3","6","1","1","0.26","0.23","8.66","0.49","9.15","6","0.26","0.046","0.081666667","2","2","0.333333333","0.333333333","0.163333333","0.163333333","2.886666667","2.886666667","16.66666667","5.355191257","100","2.888888889","2.888888889","5.444444444","5.444444444","96.22222222","96.22222222","101.6666667","101.6666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00357","","","","0","0","","0","3","0","3","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00358","","","","0","0","1","0","3","0","","3","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00359","","","","0","0","2","2","3","0","5","3","3","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.1","0.066666667","","0","66.66666667","0","0","0","0","2.222222222","3.333333333","2.222222222","3.333333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00360","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00361","","","","0","0","3","2","3","0","8","1","1","0","0","0.7","0","0.7","0","","","","0","0","0","0","0","0","0.35","0.233333333","","0","66.66666667","0","0","0","0","7.777777778","11.66666667","7.777777778","11.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00362","","","","0","1","3","2","3","1","7","5","1","0","0.06","0.82","0.06","0.88","1","","0.06","0.06","0.5","0.333333333","0","0","0.03","0.02","0.41","0.273333333","0","6.818181818","66.66666667","0","0","0.666666667","1","9.111111111","13.66666667","9.777777778","14.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00363","","","","0","0","1","0","3","0","6","2","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00364","","","","0","0","1","1","3","0","5","2","7","0","0","0.48","0","0.48","0","","","","0","0","0","0","0","0","0.48","0.16","","0","33.33333333","0","0","0","0","5.333333333","16","5.333333333","16"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00365","","","","0","0","","1","3","0","5","3","1","0","0","2.4","0","2.4","0","","","","0","0","0","0","0","0","2.4","0.8","","0","33.33333333","0","0","0","0","26.66666667","80","26.66666667","80"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00366","","","","2","2","3","3","3","3","7","3","1","0.28","0.08","1.12","0.36","1.48","4","0.14","0.04","0.09","1.333333333","1.333333333","0.666666667","0.666666667","0.12","0.12","0.373333333","0.373333333","50","24.32432432","100","3.111111111","3.111111111","4","4","12.44444444","12.44444444","16.44444444","16.44444444"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00367","","","","4","6","3","3","3","3","7","1","1","0.4","0.3","2.36","0.7","3.06","10","0.1","0.05","0.07","3.333333333","3.333333333","1.333333333","1.333333333","0.233333333","0.233333333","0.786666667","0.786666667","40","22.87581699","100","4.444444444","4.444444444","7.777777778","7.777777778","26.22222222","26.22222222","34","34"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00368","","","","0","0","3","0","3","0","5","3","5","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00369","","","","0","0","1","0","3","0","7","2","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00370","","","","4","3","1","2","3","2","6","3","1","0.56","0.1","1","0.66","1.66","7","0.14","0.033333333","0.094285714","3.5","2.333333333","2","1.333333333","0.33","0.22","0.5","0.333333333","57.14285714","39.75903614","66.66666667","6.222222222","9.333333333","7.333333333","11","11.11111111","16.66666667","18.44444444","27.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00371","","","","0","0","1","0","3","0","5","3","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00372","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00373","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00374","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00375","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00376","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00377","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00378","","","","3","2","1","2","3","2","7","3","1","0.62","0.1","1.5","0.72","2.22","5","0.206666667","0.05","0.144","2.5","1.666666667","1.5","1","0.36","0.24","0.75","0.5","60","32.43243243","66.66666667","6.888888889","10.33333333","8","12","16.66666667","25","24.66666667","37"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00401","","","","1","0","2","3","3","1","7","1","1","0.94","0","4.36","0.94","5.3","1","0.94","","0.94","0.333333333","0.333333333","0.333333333","0.333333333","0.313333333","0.313333333","1.453333333","1.453333333","100","17.73584906","100","10.44444444","10.44444444","10.44444444","10.44444444","48.44444444","48.44444444","58.88888889","58.88888889"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00402","","","","0","0","3","0","3","0","8","3","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00403","","","","2","0","2","3","3","1","8","1","1","0.3","0","6.56","0.3","6.86","2","0.15","","0.15","0.666666667","0.666666667","0.666666667","0.666666667","0.1","0.1","2.186666667","2.186666667","100","4.373177843","100","3.333333333","3.333333333","3.333333333","3.333333333","72.88888889","72.88888889","76.22222222","76.22222222"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00404","","","","0","0","","0","3","0","3","","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00405","","","","0","0","","0","3","0","3","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00406","","","","5","6","3","2","3","2","6","5","1","0.96","0.36","1.04","1.32","2.36","11","0.192","0.06","0.12","5.5","3.666666667","2.5","1.666666667","0.66","0.44","0.52","0.346666667","45.45454545","55.93220339","66.66666667","10.66666667","16","14.66666667","22","11.55555556","17.33333333","26.22222222","39.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00407","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00408","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00409","","","","2","0","3","2","3","1","7","1","1","0.34","0","2.08","0.34","2.42","2","0.17","","0.17","1","0.666666667","1","0.666666667","0.17","0.113333333","1.04","0.693333333","100","14.04958678","66.66666667","3.777777778","5.666666667","3.777777778","5.666666667","23.11111111","34.66666667","26.88888889","40.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00410","","","","0","3","3","1","3","1","6","3","1","0","0.18","","0.18","","3","","0.06","0.06","3","1","0","0","0.18","0.06","","","0","","33.33333333","0","0","2","6","","","",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00411","","","","0","3","3","2","3","2","6","3","1","0","0.12","2.44","0.12","2.56","3","","0.04","0.04","1.5","1","0","0","0.06","0.04","1.22","0.813333333","0","4.6875","66.66666667","0","0","1.333333333","2","27.11111111","40.66666667","28.44444444","42.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00412","","","","2","2","3","3","3","2","7","1","1","0.26","0.12","2.28","0.38","2.66","4","0.13","0.06","0.095","1.333333333","1.333333333","0.666666667","0.666666667","0.126666667","0.126666667","0.76","0.76","50","14.28571429","100","2.888888889","2.888888889","4.222222222","4.222222222","25.33333333","25.33333333","29.55555556","29.55555556"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00413","","","","5","7","3","3","3","3","6","1","1","0.8","0.4","2.5","1.2","3.7","12","0.16","0.057142857","0.1","4","4","1.666666667","1.666666667","0.4","0.4","0.833333333","0.833333333","41.66666667","32.43243243","100","8.888888889","8.888888889","13.33333333","13.33333333","27.77777778","27.77777778","41.11111111","41.11111111"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00414","","","","0","0","1","0","3","0","6","3","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00415","","","","0","0","2","3","3","0","6","5","2","0","0","1.76","0","1.76","0","","","","0","0","0","0","0","0","0.586666667","0.586666667","","0","100","0","0","0","0","19.55555556","19.55555556","19.55555556","19.55555556"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00416","","","","0","0","3","0","3","0","","2","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00417","","","","0","0","2","0","3","0","","2","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00418","","","","0","0","2","2","3","0","7","5","1","0","0","1.38","0","1.38","0","","","","0","0","0","0","0","0","0.69","0.46","","0","66.66666667","0","0","0","0","15.33333333","23","15.33333333","23"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00419","","","","0","0","2","0","3","0","6","7","2","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00420","","","","0","0","3","0","3","0","7","3","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00421","","","","0","0","3","2","3","0","7","2","1","0","0","2.5","0","2.5","0","","","","0","0","0","0","0","0","1.25","0.833333333","","0","66.66666667","0","0","0","0","27.77777778","41.66666667","27.77777778","41.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00422","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00423","","","","4","0","2","2","3","2","6","1","1","1.3","0","1.78","1.3","3.08","4","0.325","","0.325","2","1.333333333","2","1.333333333","0.65","0.433333333","0.89","0.593333333","100","42.20779221","66.66666667","14.44444444","21.66666667","14.44444444","21.66666667","19.77777778","29.66666667","34.22222222","51.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00424","","","","1","0","3","2","3","1","6","2","2","0.24","0","1.34","0.24","1.58","1","0.24","","0.24","0.5","0.333333333","0.5","0.333333333","0.12","0.08","0.67","0.446666667","100","15.18987342","66.66666667","2.666666667","4","2.666666667","4","14.88888889","22.33333333","17.55555556","26.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00425","","","","0","0","3","0","3","0","7","5","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00426","","","","0","0","2","1","3","0","6","3","3","0","0","0.22","0","0.22","0","","","","0","0","0","0","0","0","0.22","0.073333333","","0","33.33333333","0","0","0","0","2.444444444","7.333333333","2.444444444","7.333333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00427","","","","0","0","2","0","3","0","","2","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00428","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00429","","","","0","0","3","2","3","0","2","3","1","0","0","0.86","0","0.86","0","","","","0","0","0","0","0","0","0.43","0.286666667","","0","66.66666667","0","0","0","0","9.555555556","14.33333333","9.555555556","14.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00430","","","","0","0","3","3","3","0","","1","1","0","0","1.38","0","1.38","0","","","","0","0","0","0","0","0","0.46","0.46","","0","100","0","0","0","0","15.33333333","15.33333333","15.33333333","15.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00431","","","","0","0","","2","3","0","","","","0","0","0.96","0","0.96","0","","","","0","0","0","0","0","0","0.48","0.32","","0","66.66666667","0","0","0","0","10.66666667","16","10.66666667","16"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00432","","","","0","0","2","0","3","0","7","5","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00433","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00434","","","","0","5","3","3","3","2","7","1","1","0","0.34","3.42","0.34","3.76","5","","0.068","0.068","1.666666667","1.666666667","0","0","0.113333333","0.113333333","1.14","1.14","0","9.042553191","100","0","0","3.777777778","3.777777778","38","38","41.77777778","41.77777778"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00435","","","","2","1","2","3","3","2","7","1","1","0.38","0.06","1.18","0.44","1.62","3","0.19","0.06","0.146666667","1","1","0.666666667","0.666666667","0.146666667","0.146666667","0.393333333","0.393333333","66.66666667","27.16049383","100","4.222222222","4.222222222","4.888888889","4.888888889","13.11111111","13.11111111","18","18"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00436","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00437","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00438","","","","1","4","2","3","3","3","8","1","1","0.22","0.32","1.06","0.54","1.6","5","0.22","0.08","0.108","1.666666667","1.666666667","0.333333333","0.333333333","0.18","0.18","0.353333333","0.353333333","20","33.75","100","2.444444444","2.444444444","6","6","11.77777778","11.77777778","17.77777778","17.77777778"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00439","","","","0","0","2","3","3","0","8","2","1","0","0","1.14","0","1.14","0","","","","0","0","0","0","0","0","0.38","0.38","","0","100","0","0","0","0","12.66666667","12.66666667","12.66666667","12.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00440","","","","0","0","3","0","3","0","","7","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00441","","","","0","1","2","2","3","1","8","2","1","0","0.04","0.6","0.04","0.64","1","","0.04","0.04","0.5","0.333333333","0","0","0.02","0.013333333","0.3","0.2","0","6.25","66.66666667","0","0","0.444444444","0.666666667","6.666666667","10","7.111111111","10.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00442","","","","0","0","1","0","3","0","","7","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00443","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00444","","","","0","0","2","1","3","0","3","5","3","0","0","0.36","0","0.36","0","","","","0","0","0","0","0","0","0.36","0.12","","0","33.33333333","0","0","0","0","4","12","4","12"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00445","","","","6","6","3","3","3","3","7","1","1","0.84","0.38","0.38","1.22","1.6","12","0.14","0.063333333","0.101666667","4","4","2","2","0.406666667","0.406666667","0.126666667","0.126666667","50","76.25","100","9.333333333","9.333333333","13.55555556","13.55555556","4.222222222","4.222222222","17.77777778","17.77777778"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00446","","","","0","0","3","3","3","0","7","3","1","0","0","2.86","0","2.86","0","","","","0","0","0","0","0","0","0.953333333","0.953333333","","0","100","0","0","0","0","31.77777778","31.77777778","31.77777778","31.77777778"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00447","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00448","","","","0","0","2","3","3","0","8","1","1","0","0","2.82","0","2.82","0","","","","0","0","0","0","0","0","0.94","0.94","","0","100","0","0","0","0","31.33333333","31.33333333","31.33333333","31.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00449","","","","0","0","3","2","3","0","6","5","1","0","0","0.54","0","0.54","0","","","","0","0","0","0","0","0","0.27","0.18","","0","66.66666667","0","0","0","0","6","9","6","9"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00450","","","","0","1","3","3","3","1","7","1","1","0","0.04","1.76","0.04","1.8","1","","0.04","0.04","0.333333333","0.333333333","0","0","0.013333333","0.013333333","0.586666667","0.586666667","0","2.222222222","100","0","0","0.444444444","0.444444444","19.55555556","19.55555556","20","20"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00451","","","","0","0","3","0","3","0","5","3","5","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00452","","","","0","0","3","1","3","0","7","7","1","0","0","2.02","0","2.02","0","","","","0","0","0","0","0","0","2.02","0.673333333","","0","33.33333333","0","0","0","0","22.44444444","67.33333333","22.44444444","67.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00453","","","","0","0","","0","3","0","5","2","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00454","","","","0","0","","0","3","0","6","5","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00455","","","","0","0","","0","3","0","","5","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00456","","","","0","2","1","1","3","1","6","3","1","0","0.1","0.92","0.1","1.02","2","","0.05","0.05","2","0.666666667","0","0","0.1","0.033333333","0.92","0.306666667","0","9.803921569","33.33333333","0","0","1.111111111","3.333333333","10.22222222","30.66666667","11.33333333","34"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00457","","","","0","0","","0","3","0","7","1","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
