"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00246","","","","0","1","3","2","3","1","7","1","1","0","0.08","1.92","0.08","2","1","","0.08","0.08","0.5","0.333333333","0","0","0.04","0.026666667","0.96","0.64","0","4","66.66666667","0","0","0.888888889","1.333333333","21.33333333","32","22.22222222","33.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00247","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00248","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00249","","","","0","0","3","3","3","0","7","2","1","0","0","1.98","0","1.98","0","","","","0","0","0","0","0","0","0.66","0.66","","0","100","0","0","0","0","22","22","22","22"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00250","","","","2","1","3","2","3","2","8","3","3","0.22","0.08","3.4","0.3","3.7","3","0.11","0.08","0.1","1.5","1","1","0.666666667","0.15","0.1","1.7","1.133333333","66.66666667","8.108108108","66.66666667","2.444444444","3.666666667","3.333333333","5","37.77777778","56.66666667","41.11111111","61.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00251","","","","0","0","","0","3","0","3","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00252","","","","0","0","2","1","3","0","5","2","1","0","0","1.34","0","1.34","0","","","","0","0","0","0","0","0","1.34","0.446666667","","0","33.33333333","0","0","0","0","14.88888889","44.66666667","14.88888889","44.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00253","","","","0","0","1","1","3","0","5","5","5","0","0","1.82","0","1.82","0","","","","0","0","0","0","0","0","1.82","0.606666667","","0","33.33333333","0","0","0","0","20.22222222","60.66666667","20.22222222","60.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00254","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00255","","","","0","3","1","1","3","1","6","2","2","0","0.12","0.48","0.12","0.6","3","","0.04","0.04","3","1","0","0","0.12","0.04","0.48","0.16","0","20","33.33333333","0","0","1.333333333","4","5.333333333","16","6.666666667","20"
