"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00032","","","","3","21.31","4","50.98","1","10","10","10","10","14","12","1","8","1","5","7","3","6","4","5","2.2","0.5","4","2.7","6.7","26","0.157142857","0.041666667","0.103846154","2.6","2.6","1.4","1.4","0.27","0.27","0.4","0.4","53.84615385","40.29850746","100","41.80070616","1.128619066","7.333333333","7.333333333","9","9","13.33333333","13.33333333","3.762063554","3.762063554","22.33333333","22.33333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00033","","","","2","","","","1","10","10","9","3","3","1","","","2","4","4","","7","4","4","","0.3","7.8","","","4","","0.3","","0.444444444","0.4","0.333333333","0.3","","","0.866666667","0.78","75","","90","","","","","","","26","28.88888889","","","",""
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00034","","","","1","","","","1","10","7","6","3","2","3","","","1","4","2","","3","7","7","0.2","0.1","0.9","0.3","1.2","5","0.1","0.033333333","0.06","0.833333333","0.5","0.333333333","0.2","0.05","0.03","0.15","0.09","40","25","60","","","0.666666667","1.111111111","1","1.666666667","3","5","","","4","6.666666667"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00035","","","","2","21.03","3","50.6","1","10","10","10","7","8","3","5","3","1","6","8","2","6","4","5","2","0.3","9.6","2.3","11.9","11","0.25","0.1","0.209090909","1.1","1.1","0.8","0.8","0.23","0.23","0.96","0.96","72.72727273","19.32773109","100","41.56126482","0.955909091","6.666666667","6.666666667","7.666666667","7.666666667","32","32","3.186363636","3.186363636","39.66666667","39.66666667"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00036","","","","2","21.53","1","50.05","1","10","10","10","9","6","19","5","8","1","5","4","1","4","5","6","0.6","0.5","2.5","1.1","3.6","25","0.1","0.026315789","0.044","2.5","2.5","0.6","0.6","0.11","0.11","0.25","0.25","24","30.55555556","100","43.01698302","0.473186813","2","2","3.666666667","3.666666667","8.333333333","8.333333333","1.577289377","1.577289377","12","12"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00037","","","","2","9.94","2","25.13","1","10","10","10","2","2","3","3","1","1","3","2","3","5","3","5","0.2","0.1","4.2","0.3","4.5","5","0.1","0.033333333","0.06","0.5","0.5","0.2","0.2","0.03","0.03","0.42","0.42","40","6.666666667","100","39.55431755","0.118662953","0.666666667","0.666666667","1","1","14","14","0.395543175","0.395543175","15","15"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00038","","","","2","16.1","1","50.55","1","10","10","10","9","6","7","7","6","2","5","5","1","4","3","5","0.9","0.4","1.5","1.3","2.8","13","0.15","0.057142857","0.1","1.3","1.3","0.6","0.6","0.13","0.13","0.15","0.15","46.15384615","46.42857143","100","31.84965381","0.4140455","3","3","4.333333333","4.333333333","5","5","1.380151665","1.380151665","9.333333333","9.333333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00039","","","","1","19.51","3","50.91","1","10","10","10","10","10","4","4","9","1","5","6","4","5","4","6","1.2","0.2","2.4","1.4","3.8","14","0.12","0.05","0.1","1.4","1.4","1","1","0.14","0.14","0.24","0.24","71.42857143","36.84210526","100","38.32252995","0.536515419","4","4","4.666666667","4.666666667","8","8","1.788384731","1.788384731","12.66666667","12.66666667"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00004","","","","2","","","","1","10","10","10","2","0","3","","","2","3","2","","7","3","4","0","0.1","10.5","0.1","10.6","3","","0.033333333","0.033333333","0.3","0.3","0","0","0.01","0.01","1.05","1.05","0","0.943396226","100","","","0","0","0.333333333","0.333333333","35","35","","","35.33333333","35.33333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00040","","","","2","17.84","3","50.49","1","10","10","10","10","18","9","5","7","1","6","7","4","5","4","6","3","0.5","2.2","3.5","5.7","27","0.166666667","0.055555556","0.12962963","2.7","2.7","1.8","1.8","0.35","0.35","0.22","0.22","66.66666667","61.40350877","100","35.33372945","1.236680531","10","10","11.66666667","11.66666667","7.333333333","7.333333333","4.122268436","4.122268436","19","19"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00041","","","","1","20.3","1","50.88","1","10","8","6","3","2","3","5","8","1","4","3","1","3","8","8","0.4","0.3","0.6","0.7","1.3","5","0.2","0.1","0.14","0.833333333","0.5","0.333333333","0.2","0.116666667","0.07","0.1","0.06","40","53.84615385","60","39.89779874","0.279284591","1.333333333","2.222222222","2.333333333","3.888888889","2","3.333333333","0.930948637","1.551581062","4.333333333","7.222222222"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00042","","","","2","","","","1","10","10","10","7","7","10","","","2","4","4","","5","7","5","0.6","0.3","2.8","0.9","3.7","17","0.085714286","0.03","0.052941176","1.7","1.7","0.7","0.7","0.09","0.09","0.28","0.28","41.17647059","24.32432432","100","","","2","2","3","3","9.333333333","9.333333333","","","12.33333333","12.33333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00043","","","","2","19.04","3","50.81","1","10","10","9","9","8","11","5","4","2","5","7","4","5","4","4","1.3","0.3","3.5","1.6","5.1","19","0.1625","0.027272727","0.084210526","2.111111111","1.9","0.888888889","0.8","0.177777778","0.16","0.388888889","0.35","42.10526316","31.37254902","90","37.4729384","0.599567014","4.333333333","4.814814815","5.333333333","5.925925926","11.66666667","12.96296296","1.998556715","2.220618572","17","18.88888889"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00044","","","","3","18.42","3","50.38","1","10","10","10","9","11","14","5","7","1","4","7","4","4","4","6","1.5","0.5","4.8","2","6.8","25","0.136363636","0.035714286","0.08","2.5","2.5","1.1","1.1","0.2","0.2","0.48","0.48","44","29.41176471","100","36.56212783","0.731242557","5","5","6.666666667","6.666666667","16","16","2.437475189","2.437475189","22.66666667","22.66666667"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00045","","","","2","18.87","1","50.21","1","10","10","9","9","13","11","5","5","2","5","6","1","5","3","5","2.1","0.4","2.8","2.5","5.3","24","0.161538462","0.036363636","0.104166667","2.666666667","2.4","1.444444444","1.3","0.277777778","0.25","0.311111111","0.28","54.16666667","47.16981132","90","37.58215495","0.939553874","7","7.777777778","8.333333333","9.259259259","9.333333333","10.37037037","3.131846246","3.479829162","17.66666667","19.62962963"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00046","","","","2","19.91","3","50.73","1","10","10","10","10","17","20","5","6","1","4","6","2","6","4","6","2.1","0.7","4.1","2.8","6.9","37","0.123529412","0.035","0.075675676","3.7","3.7","1.7","1.7","0.28","0.28","0.41","0.41","45.94594595","40.57971014","100","39.24699389","1.098915829","7","7","9.333333333","9.333333333","13.66666667","13.66666667","3.663052763","3.663052763","23","23"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00047","","","","2","19.28","2","50.57","1","10","10","10","10","5","13","5","3","1","5","4","3","5","5","5","0.6","0.4","2.2","1","3.2","18","0.12","0.030769231","0.055555556","1.8","1.8","0.5","0.5","0.1","0.1","0.22","0.22","27.77777778","31.25","100","38.12537077","0.381253708","2","2","3.333333333","3.333333333","7.333333333","7.333333333","1.270845692","1.270845692","10.66666667","10.66666667"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00048","","","","3","17.04","2","50.13","1","10","10","10","10","29","11","5","3","1","5","8","3","6","2","4","8.6","0.4","5.5","9","14.5","40","0.296551724","0.036363636","0.225","4","4","2.9","2.9","0.9","0.9","0.55","0.55","72.5","62.06896552","100","33.99162178","3.059245961","28.66666667","28.66666667","30","30","18.33333333","18.33333333","10.19748654","10.19748654","48.33333333","48.33333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00049","","","","2","12.53","3","36.79","1","10","10","9","9","22","9","4","6","2","5","8","4","6","4","4","3.8","0.4","5.5","4.2","9.7","31","0.172727273","0.044444444","0.135483871","3.444444444","3.1","2.444444444","2.2","0.466666667","0.42","0.611111111","0.55","70.96774194","43.29896907","90","34.05816798","1.430443055","12.66666667","14.07407407","14","15.55555556","18.33333333","20.37037037","4.768143517","5.297937241","32.33333333","35.92592593"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00005","","","","1","18.7","1","50.5","1","10","10","10","10","17","18","4","7","1","5","5","1","5","3","5","2.4","0.7","4.5","3.1","7.6","35","0.141176471","0.038888889","0.088571429","3.5","3.5","1.7","1.7","0.31","0.31","0.45","0.45","48.57142857","40.78947368","100","37.02970297","1.147920792","8","8","10.33333333","10.33333333","15","15","3.82640264","3.82640264","25.33333333","25.33333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00050","","","","1","18.04","2","50.05","1","10","10","10","10","21","38","3","3","1","6","8","3","5","2","4","4.3","1.1","8","5.4","13.4","59","0.204761905","0.028947368","0.091525424","5.9","5.9","2.1","2.1","0.54","0.54","0.8","0.8","35.59322034","40.29850746","100","36.04395604","1.946373626","14.33333333","14.33333333","18","18","26.66666667","26.66666667","6.487912088","6.487912088","44.66666667","44.66666667"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00051","","","","2","10.6","1","50.67","2","10","10","9","9","23","15","8","6","3","5","8","1","5","3","6","4.1","0.4","3","4.5","7.5","38","0.17826087","0.026666667","0.118421053","4.222222222","3.8","2.555555556","2.3","0.5","0.45","0.333333333","0.3","60.52631579","60","90","20.91967634","0.941385435","13.66666667","15.18518519","15","16.66666667","10","11.11111111","3.137951451","3.486612723","25","27.77777778"
