"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00232","","","","1","0","2","5","1","0.1","0","0.03","0.1","0.13","1","0.1","","0.1","0.5","0.2","0.5","0.2","0.05","0.02","0.015","0.006","100","76.92307692","40","0.666666667","1.666666667","0.666666667","1.666666667","0.2","0.5","0.866666667","2.166666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00233","","","","10","0","5","5","4","3.4","0","3","3.4","6.4","10","0.34","","0.34","2","2","2","2","0.68","0.68","0.6","0.6","100","53.125","100","22.66666667","22.66666667","22.66666667","22.66666667","20","20","42.66666667","42.66666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00234","","","","9","0","5","5","5","2.12","0","0.5","2.12","2.62","9","0.235555556","","0.235555556","1.8","1.8","1.8","1.8","0.424","0.424","0.1","0.1","100","80.91603053","100","14.13333333","14.13333333","14.13333333","14.13333333","3.333333333","3.333333333","17.46666667","17.46666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00301","","","","6","0","5","5","4","1.52","0","0.4","1.52","1.92","6","0.253333333","","0.253333333","1.2","1.2","1.2","1.2","0.304","0.304","0.08","0.08","100","79.16666667","100","10.13333333","10.13333333","10.13333333","10.13333333","2.666666667","2.666666667","12.8","12.8"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00302","","","","9","2","5","5","4","3.72","0.18","5","3.9","8.9","11","0.413333333","0.09","0.354545455","2.2","2.2","1.8","1.8","0.78","0.78","1","1","81.81818182","43.82022472","100","24.8","24.8","26","26","33.33333333","33.33333333","59.33333333","59.33333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00303","","","","13","3","5","5","5","3.36","0.18","0.5","3.54","4.04","16","0.258461538","0.06","0.22125","3.2","3.2","2.6","2.6","0.708","0.708","0.1","0.1","81.25","87.62376238","100","22.4","22.4","23.6","23.6","3.333333333","3.333333333","26.93333333","26.93333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00304","","","","6","3","4","5","4","1.52","0.22","0.4","1.74","2.14","9","0.253333333","0.073333333","0.193333333","2.25","1.8","1.5","1.2","0.435","0.348","0.1","0.08","66.66666667","81.30841121","80","10.13333333","12.66666667","11.6","14.5","2.666666667","3.333333333","14.26666667","17.83333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00305","","","","5","3","5","5","5","2.18","0.2","0.5","2.38","2.88","8","0.436","0.066666667","0.2975","1.6","1.6","1","1","0.476","0.476","0.1","0.1","62.5","82.63888889","100","14.53333333","14.53333333","15.86666667","15.86666667","3.333333333","3.333333333","19.2","19.2"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00306","","","","8","4","5","5","5","0.98","0.26","0.5","1.24","1.74","12","0.1225","0.065","0.103333333","2.4","2.4","1.6","1.6","0.248","0.248","0.1","0.1","66.66666667","71.26436782","100","6.533333333","6.533333333","8.266666667","8.266666667","3.333333333","3.333333333","11.6","11.6"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00307","","","","5","0","5","5","5","1.94","0","5","1.94","6.94","5","0.388","","0.388","1","1","1","1","0.388","0.388","1","1","100","27.95389049","100","12.93333333","12.93333333","12.93333333","12.93333333","33.33333333","33.33333333","46.26666667","46.26666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00308","","","","4","0","5","5","3","1.44","0","0.3","1.44","1.74","4","0.36","","0.36","0.8","0.8","0.8","0.8","0.288","0.288","0.06","0.06","100","82.75862069","100","9.6","9.6","9.6","9.6","2","2","11.6","11.6"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00309","","","","12","3","4","5","4","3.14","0.1","0.4","3.24","3.64","15","0.261666667","0.033333333","0.216","3.75","3","3","2.4","0.81","0.648","0.1","0.08","80","89.01098901","80","20.93333333","26.16666667","21.6","27","2.666666667","3.333333333","24.26666667","30.33333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00310","","","","8","6","5","5","5","1.26","0.16","2","1.42","3.42","14","0.1575","0.026666667","0.101428571","2.8","2.8","1.6","1.6","0.284","0.284","0.4","0.4","57.14285714","41.52046784","100","8.4","8.4","9.466666667","9.466666667","13.33333333","13.33333333","22.8","22.8"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00311","","","","6","0","5","5","4","1.72","0","0.5","1.72","2.22","6","0.286666667","","0.286666667","1.2","1.2","1.2","1.2","0.344","0.344","0.1","0.1","100","77.47747748","100","11.46666667","11.46666667","11.46666667","11.46666667","3.333333333","3.333333333","14.8","14.8"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00312","","","","6","0","5","5","4","2.72","0","0.4","2.72","3.12","6","0.453333333","","0.453333333","1.2","1.2","1.2","1.2","0.544","0.544","0.08","0.08","100","87.17948718","100","18.13333333","18.13333333","18.13333333","18.13333333","2.666666667","2.666666667","20.8","20.8"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00313","","","","4","2","3","5","3","0.42","0.1","1","0.52","1.52","6","0.105","0.05","0.086666667","2","1.2","1.333333333","0.8","0.173333333","0.104","0.333333333","0.2","66.66666667","34.21052632","60","2.8","4.666666667","3.466666667","5.777777778","6.666666667","11.11111111","10.13333333","16.88888889"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00314","","","","0","5","3","5","1","0","0.18","3","0.18","3.18","5","","0.036","0.036","1.666666667","1","0","0","0.06","0.036","1","0.6","0","5.660377358","60","0","0","1.2","2","20","33.33333333","21.2","35.33333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00315","","","","4","2","4","5","3","0.92","0.12","0.5","1.04","1.54","6","0.23","0.06","0.173333333","1.5","1.2","1","0.8","0.26","0.208","0.125","0.1","66.66666667","67.53246753","80","6.133333333","7.666666667","6.933333333","8.666666667","3.333333333","4.166666667","10.26666667","12.83333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00316","","","","2","1","5","5","3","1.06","0.1","2","1.16","3.16","3","0.53","0.1","0.386666667","0.6","0.6","0.4","0.4","0.232","0.232","0.4","0.4","66.66666667","36.70886076","100","7.066666667","7.066666667","7.733333333","7.733333333","13.33333333","13.33333333","21.06666667","21.06666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00317","","","","3","0","5","5","4","0.92","0","1","0.92","1.92","3","0.306666667","","0.306666667","0.6","0.6","0.6","0.6","0.184","0.184","0.2","0.2","100","47.91666667","100","6.133333333","6.133333333","6.133333333","6.133333333","6.666666667","6.666666667","12.8","12.8"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00318","","","","5","1","5","5","5","1.4","0.08","2","1.48","3.48","6","0.28","0.08","0.246666667","1.2","1.2","1","1","0.296","0.296","0.4","0.4","83.33333333","42.52873563","100","9.333333333","9.333333333","9.866666667","9.866666667","13.33333333","13.33333333","23.2","23.2"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00319","","","","3","0","5","5","4","0.08","0","1","0.08","1.08","3","0.026666667","","0.026666667","0.6","0.6","0.6","0.6","0.016","0.016","0.2","0.2","100","7.407407407","100","0.533333333","0.533333333","0.533333333","0.533333333","6.666666667","6.666666667","7.2","7.2"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00320","","","","8","2","3","5","3","1.92","0.08","0.5","2","2.5","10","0.24","0.04","0.2","3.333333333","2","2.666666667","1.6","0.666666667","0.4","0.166666667","0.1","80","80","60","12.8","21.33333333","13.33333333","22.22222222","3.333333333","5.555555556","16.66666667","27.77777778"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00321","","","","3","0","4","5","2","0.8","0","3","0.8","3.8","3","0.266666667","","0.266666667","0.75","0.6","0.75","0.6","0.2","0.16","0.75","0.6","100","21.05263158","80","5.333333333","6.666666667","5.333333333","6.666666667","20","25","25.33333333","31.66666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00322","","","","2","0","3","5","2","0.26","0","0.5","0.26","0.76","2","0.13","","0.13","0.666666667","0.4","0.666666667","0.4","0.086666667","0.052","0.166666667","0.1","100","34.21052632","60","1.733333333","2.888888889","1.733333333","2.888888889","3.333333333","5.555555556","5.066666667","8.444444444"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00323","","","","12","4","5","5","5","2.6","0.14","0.5","2.74","3.24","16","0.216666667","0.035","0.17125","3.2","3.2","2.4","2.4","0.548","0.548","0.1","0.1","75","84.56790123","100","17.33333333","17.33333333","18.26666667","18.26666667","3.333333333","3.333333333","21.6","21.6"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00324","","","","3","3","3","5","3","2.4","0.16","1","2.56","3.56","6","0.8","0.053333333","0.426666667","2","1.2","1","0.6","0.853333333","0.512","0.333333333","0.2","50","71.91011236","60","16","26.66666667","17.06666667","28.44444444","6.666666667","11.11111111","23.73333333","39.55555556"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00325","","","","7","2","4","5","4","2.08","0.1","5","2.18","7.18","9","0.297142857","0.05","0.242222222","2.25","1.8","1.75","1.4","0.545","0.436","1.25","1","77.77777778","30.36211699","80","13.86666667","17.33333333","14.53333333","18.16666667","33.33333333","41.66666667","47.86666667","59.83333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00326","","","","5","0","5","5","4","1.04","0","3","1.04","4.04","5","0.208","","0.208","1","1","1","1","0.208","0.208","0.6","0.6","100","25.74257426","100","6.933333333","6.933333333","6.933333333","6.933333333","20","20","26.93333333","26.93333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00327","","","","4","0","3","5","3","2.12","0","0.4","2.12","2.52","4","0.53","","0.53","1.333333333","0.8","1.333333333","0.8","0.706666667","0.424","0.133333333","0.08","100","84.12698413","60","14.13333333","23.55555556","14.13333333","23.55555556","2.666666667","4.444444444","16.8","28"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00328","","","","4","3","5","5","4","0.34","0.1","0.5","0.44","0.94","7","0.085","0.033333333","0.062857143","1.4","1.4","0.8","0.8","0.088","0.088","0.1","0.1","57.14285714","46.80851064","100","2.266666667","2.266666667","2.933333333","2.933333333","3.333333333","3.333333333","6.266666667","6.266666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00329","","","","11","3","4","5","4","2.67","0.04","1","2.71","3.71","14","0.242727273","0.013333333","0.193571429","3.5","2.8","2.75","2.2","0.6775","0.542","0.25","0.2","78.57142857","73.0458221","80","17.8","22.25","18.06666667","22.58333333","6.666666667","8.333333333","24.73333333","30.91666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00330","","","","6","1","3","5","3","3.22","0.08","0.5","3.3","3.8","7","0.536666667","0.08","0.471428571","2.333333333","1.4","2","1.2","1.1","0.66","0.166666667","0.1","85.71428571","86.84210526","60","21.46666667","35.77777778","22","36.66666667","3.333333333","5.555555556","25.33333333","42.22222222"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00331","","","","4","0","3","5","2","0.94","0","0.4","0.94","1.34","4","0.235","","0.235","1.333333333","0.8","1.333333333","0.8","0.313333333","0.188","0.133333333","0.08","100","70.14925373","60","6.266666667","10.44444444","6.266666667","10.44444444","2.666666667","4.444444444","8.933333333","14.88888889"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00332","","","","10","6","5","5","5","1.62","0.24","0.4","1.86","2.26","16","0.162","0.04","0.11625","3.2","3.2","2","2","0.372","0.372","0.08","0.08","62.5","82.30088496","100","10.8","10.8","12.4","12.4","2.666666667","2.666666667","15.06666667","15.06666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00333","","","","4","0","4","5","4","0.9","0","0.4","0.9","1.3","4","0.225","","0.225","1","0.8","1","0.8","0.225","0.18","0.1","0.08","100","69.23076923","80","6","7.5","6","7.5","2.666666667","3.333333333","8.666666667","10.83333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00334","","","","10","2","4","5","4","3.08","0.04","0.4","3.12","3.52","12","0.308","0.02","0.26","3","2.4","2.5","2","0.78","0.624","0.1","0.08","83.33333333","88.63636364","80","20.53333333","25.66666667","20.8","26","2.666666667","3.333333333","23.46666667","29.33333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00401","","","","6","2","4","5","4","2.56","0.1","0.4","2.66","3.06","8","0.426666667","0.05","0.3325","2","1.6","1.5","1.2","0.665","0.532","0.1","0.08","75","86.92810458","80","17.06666667","21.33333333","17.73333333","22.16666667","2.666666667","3.333333333","20.4","25.5"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00402","","","","6","2","5","5","4","2.96","0.1","2","3.06","5.06","8","0.493333333","0.05","0.3825","1.6","1.6","1.2","1.2","0.612","0.612","0.4","0.4","75","60.4743083","100","19.73333333","19.73333333","20.4","20.4","13.33333333","13.33333333","33.73333333","33.73333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00403","","","","7","4","5","5","5","3.14","0.16","5","3.3","8.3","11","0.448571429","0.04","0.3","2.2","2.2","1.4","1.4","0.66","0.66","1","1","63.63636364","39.75903614","100","20.93333333","20.93333333","22","22","33.33333333","33.33333333","55.33333333","55.33333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00404","","","","9","0","4","5","4","1.88","0","0.4","1.88","2.28","9","0.208888889","","0.208888889","2.25","1.8","2.25","1.8","0.47","0.376","0.1","0.08","100","82.45614035","80","12.53333333","15.66666667","12.53333333","15.66666667","2.666666667","3.333333333","15.2","19"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00405","","","","4","3","5","5","5","1.98","0.14","0.5","2.12","2.62","7","0.495","0.046666667","0.302857143","1.4","1.4","0.8","0.8","0.424","0.424","0.1","0.1","57.14285714","80.91603053","100","13.2","13.2","14.13333333","14.13333333","3.333333333","3.333333333","17.46666667","17.46666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00406","","","","7","0","4","5","3","1.04","0","0.4","1.04","1.44","7","0.148571429","","0.148571429","1.75","1.4","1.75","1.4","0.26","0.208","0.1","0.08","100","72.22222222","80","6.933333333","8.666666667","6.933333333","8.666666667","2.666666667","3.333333333","9.6","12"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00407","","","","7","3","5","5","5","2.4","0.12","3","2.52","5.52","10","0.342857143","0.04","0.252","2","2","1.4","1.4","0.504","0.504","0.6","0.6","70","45.65217391","100","16","16","16.8","16.8","20","20","36.8","36.8"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00408","","","","8","0","4","5","4","2.68","0","0.5","2.68","3.18","8","0.335","","0.335","2","1.6","2","1.6","0.67","0.536","0.125","0.1","100","84.27672956","80","17.86666667","22.33333333","17.86666667","22.33333333","3.333333333","4.166666667","21.2","26.5"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00409","","","","7","1","5","5","5","2.24","0.08","4","2.32","6.32","8","0.32","0.08","0.29","1.6","1.6","1.4","1.4","0.464","0.464","0.8","0.8","87.5","36.70886076","100","14.93333333","14.93333333","15.46666667","15.46666667","26.66666667","26.66666667","42.13333333","42.13333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00410","","","","6","1","5","5","5","3.22","0.1","3","3.32","6.32","7","0.536666667","0.1","0.474285714","1.4","1.4","1.2","1.2","0.664","0.664","0.6","0.6","85.71428571","52.53164557","100","21.46666667","21.46666667","22.13333333","22.13333333","20","20","42.13333333","42.13333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00411","","","","8","0","4","5","4","0.98","0","3","0.98","3.98","8","0.1225","","0.1225","2","1.6","2","1.6","0.245","0.196","0.75","0.6","100","24.62311558","80","6.533333333","8.166666667","6.533333333","8.166666667","20","25","26.53333333","33.16666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00412","","","","12","4","5","5","5","1.98","0.16","0.4","2.14","2.54","16","0.165","0.04","0.13375","3.2","3.2","2.4","2.4","0.428","0.428","0.08","0.08","75","84.2519685","100","13.2","13.2","14.26666667","14.26666667","2.666666667","2.666666667","16.93333333","16.93333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00413","","","","10","0","5","5","5","2.78","0","2","2.78","4.78","10","0.278","","0.278","2","2","2","2","0.556","0.556","0.4","0.4","100","58.15899582","100","18.53333333","18.53333333","18.53333333","18.53333333","13.33333333","13.33333333","31.86666667","31.86666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00414","","","","3","0","3","5","1","0.26","0","0.4","0.26","0.66","3","0.086666667","","0.086666667","1","0.6","1","0.6","0.086666667","0.052","0.133333333","0.08","100","39.39393939","60","1.733333333","2.888888889","1.733333333","2.888888889","2.666666667","4.444444444","4.4","7.333333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00415","","","","4","5","3","5","3","1.74","0.26","2","2","4","9","0.435","0.052","0.222222222","3","1.8","1.333333333","0.8","0.666666667","0.4","0.666666667","0.4","44.44444444","50","60","11.6","19.33333333","13.33333333","22.22222222","13.33333333","22.22222222","26.66666667","44.44444444"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00416","","","","6","2","4","5","4","3.36","0.14","0.4","3.5","3.9","8","0.56","0.07","0.4375","2","1.6","1.5","1.2","0.875","0.7","0.1","0.08","75","89.74358974","80","22.4","28","23.33333333","29.16666667","2.666666667","3.333333333","26","32.5"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00417","","","","5","3","5","5","4","1.82","0.08","3","1.9","4.9","8","0.364","0.026666667","0.2375","1.6","1.6","1","1","0.38","0.38","0.6","0.6","62.5","38.7755102","100","12.13333333","12.13333333","12.66666667","12.66666667","20","20","32.66666667","32.66666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00418","","","","5","0","4","5","3","1.08","0","2","1.08","3.08","5","0.216","","0.216","1.25","1","1.25","1","0.27","0.216","0.5","0.4","100","35.06493506","80","7.2","9","7.2","9","13.33333333","16.66666667","20.53333333","25.66666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00419","","","","7","1","5","5","5","1.48","0.08","2","1.56","3.56","8","0.211428571","0.08","0.195","1.6","1.6","1.4","1.4","0.312","0.312","0.4","0.4","87.5","43.82022472","100","9.866666667","9.866666667","10.4","10.4","13.33333333","13.33333333","23.73333333","23.73333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00420","","","","4","3","4","5","4","0.6","0.1","2","0.7","2.7","7","0.15","0.033333333","0.1","1.75","1.4","1","0.8","0.175","0.14","0.5","0.4","57.14285714","25.92592593","80","4","5","4.666666667","5.833333333","13.33333333","16.66666667","18","22.5"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00421","","","","9","6","5","5","5","1.96","0.16","0.5","2.12","2.62","15","0.217777778","0.026666667","0.141333333","3","3","1.8","1.8","0.424","0.424","0.1","0.1","60","80.91603053","100","13.06666667","13.06666667","14.13333333","14.13333333","3.333333333","3.333333333","17.46666667","17.46666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00422","","","","4","5","4","5","4","1.8","0.14","2","1.94","3.94","9","0.45","0.028","0.215555556","2.25","1.8","1","0.8","0.485","0.388","0.5","0.4","44.44444444","49.23857868","80","12","15","12.93333333","16.16666667","13.33333333","16.66666667","26.26666667","32.83333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00423","","","","9","0","5","5","5","3.98","0","0.4","3.98","4.38","9","0.442222222","","0.442222222","1.8","1.8","1.8","1.8","0.796","0.796","0.08","0.08","100","90.86757991","100","26.53333333","26.53333333","26.53333333","26.53333333","2.666666667","2.666666667","29.2","29.2"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00424","","","","7","2","5","5","5","1.54","0.06","0.5","1.6","2.1","9","0.22","0.03","0.177777778","1.8","1.8","1.4","1.4","0.32","0.32","0.1","0.1","77.77777778","76.19047619","100","10.26666667","10.26666667","10.66666667","10.66666667","3.333333333","3.333333333","14","14"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00425","","","","5","4","2","5","2","0.84","0.08","0.4","0.92","1.32","9","0.168","0.02","0.102222222","4.5","1.8","2.5","1","0.46","0.184","0.2","0.08","55.55555556","69.6969697","40","5.6","14","6.133333333","15.33333333","2.666666667","6.666666667","8.8","22"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00426","","","","9","0","5","5","5","2.52","0","0.5","2.52","3.02","9","0.28","","0.28","1.8","1.8","1.8","1.8","0.504","0.504","0.1","0.1","100","83.44370861","100","16.8","16.8","16.8","16.8","3.333333333","3.333333333","20.13333333","20.13333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00427","","","","2","0","4","5","2","0.7","0","2","0.7","2.7","2","0.35","","0.35","0.5","0.4","0.5","0.4","0.175","0.14","0.5","0.4","100","25.92592593","80","4.666666667","5.833333333","4.666666667","5.833333333","13.33333333","16.66666667","18","22.5"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00428","","","","5","0","4","5","4","1.08","0","0.4","1.08","1.48","5","0.216","","0.216","1.25","1","1.25","1","0.27","0.216","0.1","0.08","100","72.97297297","80","7.2","9","7.2","9","2.666666667","3.333333333","9.866666667","12.33333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00429","","","","7","3","5","5","5","4.62","0.14","3","4.76","7.76","10","0.66","0.046666667","0.476","2","2","1.4","1.4","0.952","0.952","0.6","0.6","70","61.34020619","100","30.8","30.8","31.73333333","31.73333333","20","20","51.73333333","51.73333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00430","","","","5","3","5","5","5","1.52","0.06","2","1.58","3.58","8","0.304","0.02","0.1975","1.6","1.6","1","1","0.316","0.316","0.4","0.4","62.5","44.13407821","100","10.13333333","10.13333333","10.53333333","10.53333333","13.33333333","13.33333333","23.86666667","23.86666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00431","","","","8","4","5","5","5","4.23","0.1","0.5","4.33","4.83","12","0.52875","0.025","0.360833333","2.4","2.4","1.6","1.6","0.866","0.866","0.1","0.1","66.66666667","89.64803313","100","28.2","28.2","28.86666667","28.86666667","3.333333333","3.333333333","32.2","32.2"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00432","","","","6","2","4","5","4","1.78","0.02","2","1.8","3.8","8","0.296666667","0.01","0.225","2","1.6","1.5","1.2","0.45","0.36","0.5","0.4","75","47.36842105","80","11.86666667","14.83333333","12","15","13.33333333","16.66666667","25.33333333","31.66666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00433","","","","3","0","4","5","3","0.58","0","3","0.58","3.58","3","0.193333333","","0.193333333","0.75","0.6","0.75","0.6","0.145","0.116","0.75","0.6","100","16.20111732","80","3.866666667","4.833333333","3.866666667","4.833333333","20","25","23.86666667","29.83333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00434","","","","13","4","5","5","5","1.52","0.04","2","1.56","3.56","17","0.116923077","0.01","0.091764706","3.4","3.4","2.6","2.6","0.312","0.312","0.4","0.4","76.47058824","43.82022472","100","10.13333333","10.13333333","10.4","10.4","13.33333333","13.33333333","23.73333333","23.73333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00501","","","","12","0","5","5","5","1.9","0","0.5","1.9","2.4","12","0.158333333","","0.158333333","2.4","2.4","2.4","2.4","0.38","0.38","0.1","0.1","100","79.16666667","100","12.66666667","12.66666667","12.66666667","12.66666667","3.333333333","3.333333333","16","16"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00502","","","","9","4","5","5","5","3.68","0.16","3","3.84","6.84","13","0.408888889","0.04","0.295384615","2.6","2.6","1.8","1.8","0.768","0.768","0.6","0.6","69.23076923","56.14035088","100","24.53333333","24.53333333","25.6","25.6","20","20","45.6","45.6"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00503","","","","4","11","5","5","5","1.66","0.32","5","1.98","6.98","15","0.415","0.029090909","0.132","3","3","0.8","0.8","0.396","0.396","1","1","26.66666667","28.36676218","100","11.06666667","11.06666667","13.2","13.2","33.33333333","33.33333333","46.53333333","46.53333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00504","","","","11","0","5","5","5","2.44","0","2","2.44","4.44","11","0.221818182","","0.221818182","2.2","2.2","2.2","2.2","0.488","0.488","0.4","0.4","100","54.95495495","100","16.26666667","16.26666667","16.26666667","16.26666667","13.33333333","13.33333333","29.6","29.6"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00505","","","","4","2","4","5","4","1.16","0.14","0.5","1.3","1.8","6","0.29","0.07","0.216666667","1.5","1.2","1","0.8","0.325","0.26","0.125","0.1","66.66666667","72.22222222","80","7.733333333","9.666666667","8.666666667","10.83333333","3.333333333","4.166666667","12","15"
