"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00206","","","","7","3","4","5","4","2","1.08","2","3.08","5.08","10","0.285714286","0.36","0.308","2.5","2","1.75","1.4","0.77","0.616","0.5","0.4","70","60.62992126","80","13.33333333","16.66666667","20.53333333","25.66666667","13.33333333","16.66666667","33.86666667","42.33333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00207","","","","15","6","4","5","4","3.48","0.22","0.5","3.7","4.2","21","0.232","0.036666667","0.176190476","5.25","4.2","3.75","3","0.925","0.74","0.125","0.1","71.42857143","88.0952381","80","23.2","29","24.66666667","30.83333333","3.333333333","4.166666667","28","35"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00208","","","","15","8","5","5","5","4.52","0.4","0","4.92","4.92","23","0.301333333","0.05","0.213913043","4.6","4.6","3","3","0.984","0.984","0","0","65.2173913","100","100","30.13333333","30.13333333","32.8","32.8","0","0","32.8","32.8"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00209","","","","10","3","5","5","4","2.14","0.08","0.5","2.22","2.72","13","0.214","0.026666667","0.170769231","2.6","2.6","2","2","0.444","0.444","0.1","0.1","76.92307692","81.61764706","100","14.26666667","14.26666667","14.8","14.8","3.333333333","3.333333333","18.13333333","18.13333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00210","","","","6","0","3","5","3","1.86","0","1","1.86","2.86","6","0.31","","0.31","2","1.2","2","1.2","0.62","0.372","0.333333333","0.2","100","65.03496503","60","12.4","20.66666667","12.4","20.66666667","6.666666667","11.11111111","19.06666667","31.77777778"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00211","","","","6","0","5","5","4","1.94","0","0.4","1.94","2.34","6","0.323333333","","0.323333333","1.2","1.2","1.2","1.2","0.388","0.388","0.08","0.08","100","82.90598291","100","12.93333333","12.93333333","12.93333333","12.93333333","2.666666667","2.666666667","15.6","15.6"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00212","","","","16","4","5","5","5","2.6","0.16","2","2.76","4.76","20","0.1625","0.04","0.138","4","4","3.2","3.2","0.552","0.552","0.4","0.4","80","57.98319328","100","17.33333333","17.33333333","18.4","18.4","13.33333333","13.33333333","31.73333333","31.73333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00213","","","","13","9","4","5","4","3.42","0.32","0.5","3.74","4.24","22","0.263076923","0.035555556","0.17","5.5","4.4","3.25","2.6","0.935","0.748","0.125","0.1","59.09090909","88.20754717","80","22.8","28.5","24.93333333","31.16666667","3.333333333","4.166666667","28.26666667","35.33333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00214","","","","0","4","4","5","2","0","0.04","4","0.04","4.04","4","","0.01","0.01","1","0.8","0","0","0.01","0.008","1","0.8","0","0.99009901","80","0","0","0.266666667","0.333333333","26.66666667","33.33333333","26.93333333","33.66666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00215","","","","5","0","4","5","4","3.42","0","2","3.42","5.42","5","0.684","","0.684","1.25","1","1.25","1","0.855","0.684","0.5","0.4","100","63.099631","80","22.8","28.5","22.8","28.5","13.33333333","16.66666667","36.13333333","45.16666667"
