"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00108","","","","","","0","0","","0","10","0","","","","","","","","","9","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00109","","","","","","0","8","6","6","10","6","2","1","","","1","3","1","1","8","9","0","0.3","0.4","0.3","0.7","8","","0.0375","0.0375","1.333333333","0.8","0","0","0.05","0.03","0.066666667","0.04","0","42.85714286","60","","","0","0","1","1.666666667","1.333333333","2.222222222","","","2.333333333","3.888888889"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00011","","","","19.1","50.5","8","4","8","8","10","3","4","1","5","3","2","6","5","8","7","3","1.6","0.2","9.2","1.8","11","12","0.2","0.05","0.15","1.5","1.2","1","0.8","0.225","0.18","1.15","0.92","66.66666667","16.36363636","80","37.82178218","0.680792079","5.333333333","6.666666667","6","7.5","30.66666667","38.33333333","2.269306931","2.836633663","36.66666667","45.83333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00110","","","","","","4","34","10","10","10","10","1","2","","","2","4","3","5","4","6","0.7","1.3","1.8","2","3.8","38","0.175","0.038235294","0.052631579","3.8","3.8","0.4","0.4","0.2","0.2","0.18","0.18","10.52631579","52.63157895","100","","","2.333333333","2.333333333","6.666666667","6.666666667","6","6","","","12.66666667","12.66666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00111","","","","18.82","50.89","9","16","9","9","10","9","1","2","7","6","2","4","5","6","3","6","1.9","1","1.8","2.9","4.7","25","0.211111111","0.0625","0.116","2.777777778","2.5","1","0.9","0.322222222","0.29","0.2","0.18","36","61.70212766","90","36.98172529","1.072470033","6.333333333","7.037037037","9.666666667","10.74074074","6","6.666666667","3.574900111","3.972111235","15.66666667","17.40740741"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00112","","","","","","2","7","9","9","10","7","2","1","","","2","4","3","6","8","5","0.4","0.3","1.4","0.7","2.1","9","0.2","0.042857143","0.077777778","1","0.9","0.222222222","0.2","0.077777778","0.07","0.155555556","0.14","22.22222222","33.33333333","90","","","1.333333333","1.481481481","2.333333333","2.592592593","4.666666667","5.185185185","","","7","7.777777778"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00113","","","","","","3","14","10","10","10","9","3","1","","","1","3","3","7","1","4","0.5","0.6","4","1.1","5.1","17","0.166666667","0.042857143","0.064705882","1.7","1.7","0.3","0.3","0.11","0.11","0.4","0.4","17.64705882","21.56862745","100","","","1.666666667","1.666666667","3.666666667","3.666666667","13.33333333","13.33333333","","","17","17"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00114","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00115","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00116","","","","","","0","0","4","4","10","0","","","","","","","","1","9","9","0","0","","0","","0","","","","0","0","0","0","0","0","","","","","40","","","0","0","0","0","","","","","",""
