"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00138","","","","17.42","50.88","12","26","9","9","10","9","2","2","8","6","2","5","6","6","1","5","2.3","1.5","1.2","3.8","5","38","0.191666667","0.057692308","0.1","4.222222222","3.8","1.333333333","1.2","0.422222222","0.38","0.133333333","0.12","31.57894737","76","90","34.23742138","1.301022013","7.666666667","8.518518519","12.66666667","14.07407407","4","4.444444444","4.336740042","4.818600047","16.66666667","18.51851852"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00139","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00014","","","","","","0","0","9","9","10","0","","","","","","","","2","9","8","0","0","0.8","0","0.8","0","","","","0","0","0","0","0","0","0.088888889","0.08","","0","90","","","0","0","0","0","2.666666667","2.962962963","","","2.666666667","2.962962963"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00140","","","","14.73","50.45","25","14","10","10","10","10","2","2","8","7","2","5","5","5","1","6","3.9","0.6","1.4","4.5","5.9","39","0.156","0.042857143","0.115384615","3.9","3.9","2.5","2.5","0.45","0.45","0.14","0.14","64.1025641","76.27118644","100","29.19722498","1.313875124","13","13","15","15","4.666666667","4.666666667","4.379583746","4.379583746","19.66666667","19.66666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00141","","","","","","0","8","9","9","10","2","3","1","","","1","2","1","5","6","6","0","3.3","1.4","3.3","4.7","8","","0.4125","0.4125","0.888888889","0.8","0","0","0.366666667","0.33","0.155555556","0.14","0","70.21276596","90","","","0","0","11","12.22222222","4.666666667","5.185185185","","","15.66666667","17.40740741"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00142","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00143","","","","","","4","7","10","10","10","7","3","1","","","1","4","3","5","6","5","0.5","0.4","2","0.9","2.9","11","0.125","0.057142857","0.081818182","1.1","1.1","0.4","0.4","0.09","0.09","0.2","0.2","36.36363636","31.03448276","100","","","1.666666667","1.666666667","3","3","6.666666667","6.666666667","","","9.666666667","9.666666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00144","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00145","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00146","","","","16.44","50.76","22","30","10","10","10","9","2","3","7","3","2","6","6","7","3","5","3.2","1.2","2","4.4","6.4","52","0.145454545","0.04","0.084615385","5.2","5.2","2.2","2.2","0.44","0.44","0.2","0.2","42.30769231","68.75","100","32.38770686","1.425059102","10.66666667","10.66666667","14.66666667","14.66666667","6.666666667","6.666666667","4.750197006","4.750197006","21.33333333","21.33333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00147","","","","22.43","50.58","3","13","10","10","10","8","3","2","3","8","1","5","5","7","3","5","0.8","0.7","3","1.5","4.5","16","0.266666667","0.053846154","0.09375","1.6","1.6","0.3","0.3","0.15","0.15","0.3","0.3","18.75","33.33333333","100","44.34559114","0.665183867","2.666666667","2.666666667","5","5","10","10","2.217279557","2.217279557","15","15"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00148","","","","","","1","4","4","4","10","3","2","1","","","1","4","3","4","6","6","0.3","0.2","1.2","0.5","1.7","5","0.3","0.05","0.1","1.25","0.5","0.25","0.1","0.125","0.05","0.3","0.12","20","29.41176471","40","","","1","2.5","1.666666667","4.166666667","4","10","","","5.666666667","14.16666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00149","","","","","","0","0","4","4","10","0","","","","","","","","7","7","5","0","0","4","0","4","0","","","","0","0","0","0","0","0","1","0.4","","0","40","","","0","0","0","0","13.33333333","33.33333333","","","13.33333333","33.33333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00015","","","","","","0","0","","0","10","0","","","","","","","","","9","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00150","","","","","","4","34","10","10","10","9","3","2","","","3","4","4","5","3","6","0.7","1.2","1.2","1.9","3.1","38","0.175","0.035294118","0.05","3.8","3.8","0.4","0.4","0.19","0.19","0.12","0.12","10.52631579","61.29032258","100","","","2.333333333","2.333333333","6.333333333","6.333333333","4","4","","","10.33333333","10.33333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00151","","","","","","1","26","9","9","10","4","3","2","","","1","5","3","8","3","4","0.3","1.3","11","1.6","12.6","27","0.3","0.05","0.059259259","3","2.7","0.111111111","0.1","0.177777778","0.16","1.222222222","1.1","3.703703704","12.6984127","90","","","1","1.111111111","5.333333333","5.925925926","36.66666667","40.74074074","","","42","46.66666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00152","","","","","","0","0","8","8","10","0","","","","","","","","9","4","4","0","0","","0","","0","","","","0","0","0","0","0","0","","","","","80","","","0","0","0","0","","","","","",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00153","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00154","","","","","","2","14","10","10","10","10","6","2","","","1","3","2","6","1","5","0.3","0.5","7.6","0.8","8.4","16","0.15","0.035714286","0.05","1.6","1.6","0.2","0.2","0.08","0.08","0.76","0.76","12.5","9.523809524","100","","","1","1","2.666666667","2.666666667","25.33333333","25.33333333","","","28","28"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00155","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00156","","","","","","0","16","10","10","10","4","3","1","","","1","2","2","8","3","4","0","0.8","5","0.8","5.8","16","","0.05","0.05","1.6","1.6","0","0","0.08","0.08","0.5","0.5","0","13.79310345","100","","","0","0","2.666666667","2.666666667","16.66666667","16.66666667","","","19.33333333","19.33333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00157","","","","20.57","50.15","8","8","8","8","10","8","4","2","7","8","2","6","6","4","3","6","2","0.3","2","2.3","4.3","16","0.25","0.0375","0.14375","2","1.6","1","0.8","0.2875","0.23","0.25","0.2","50","53.48837209","80","41.01694915","0.943389831","6.666666667","8.333333333","7.666666667","9.583333333","6.666666667","8.333333333","3.144632768","3.93079096","14.33333333","17.91666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00158","","","","","","2","23","10","10","10","10","5","2","","","2","3","2","4","6","7","0.3","0.8","1.8","1.1","2.9","25","0.15","0.034782609","0.044","2.5","2.5","0.2","0.2","0.11","0.11","0.18","0.18","8","37.93103448","100","","","1","1","3.666666667","3.666666667","6","6","","","9.666666667","9.666666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00159","","","","","","0","16","8","8","10","8","2","1","","","1","3","1","4","6","7","0","0.5","1","0.5","1.5","16","","0.03125","0.03125","2","1.6","0","0","0.0625","0.05","0.125","0.1","0","33.33333333","80","","","0","0","1.666666667","2.083333333","3.333333333","4.166666667","","","5","6.25"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00016","","","","","","0","0","9","9","10","0","","","","","","","","2","9","8","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.022222222","0.02","","0","90","","","0","0","0","0","0.666666667","0.740740741","","","0.666666667","0.740740741"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00160","","","","","","0","17","10","10","10","10","2","1","","","2","3","2","2","8","8","0","0.5","1","0.5","1.5","17","","0.029411765","0.029411765","1.7","1.7","0","0","0.05","0.05","0.1","0.1","0","33.33333333","100","","","0","0","1.666666667","1.666666667","3.333333333","3.333333333","","","5","5"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00161","","","","","","0","0","8","8","10","0","","","","","","","","7","1","4","0","0","5","0","5","0","","","","0","0","0","0","0","0","0.625","0.5","","0","80","","","0","0","0","0","16.66666667","20.83333333","","","16.66666667","20.83333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00162","","","","","","0","0","2","2","10","0","","","","","","","","4","9","6","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.1","0.02","","0","20","","","0","0","0","0","0.666666667","3.333333333","","","0.666666667","3.333333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00163","","","","","","1","14","6","6","10","5","3","2","","","2","5","7","5","4","6","0.7","0.7","1","1.4","2.4","15","0.7","0.05","0.093333333","2.5","1.5","0.166666667","0.1","0.233333333","0.14","0.166666667","0.1","6.666666667","58.33333333","60","","","2.333333333","3.888888889","4.666666667","7.777777778","3.333333333","5.555555556","","","8","13.33333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00164","","","","","","0","0","6","6","10","0","","","","","","","","1","9","9","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.033333333","0.02","","0","60","","","0","0","0","0","0.666666667","1.111111111","","","0.666666667","1.111111111"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00165","","","","22.45","50.54","7","11","9","9","10","7","1","2","5","3","1","5","5","9","1","4","1.2","0.4","7.2","1.6","8.8","18","0.171428571","0.036363636","0.088888889","2","1.8","0.777777778","0.7","0.177777778","0.16","0.8","0.72","38.88888889","18.18181818","90","44.42026118","0.710724179","4","4.444444444","5.333333333","5.925925926","24","26.66666667","2.369080596","2.632311774","29.33333333","32.59259259"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00166","","","","","","0","0","7","7","10","0","","","","","","","","5","3","6","0","0","1","0","1","0","","","","0","0","0","0","0","0","0.142857143","0.1","","0","70","","","0","0","0","0","3.333333333","4.761904762","","","3.333333333","4.761904762"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00167","","","","","","0","0","6","6","10","0","","","","","","","","6","5","5","0","0","3.6","0","3.6","0","","","","0","0","0","0","0","0","0.6","0.36","","0","60","","","0","0","0","0","12","20","","","12","20"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00168","","","","","","0","0","3","3","10","0","","","","","","","","1","9","9","0","0","","0","","0","","","","0","0","0","0","0","0","","","","","30","","","0","0","0","0","","","","","",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00169","","","","","","0","0","5","5","10","0","","","","","","","","5","7","6","0","0","1.8","0","1.8","0","","","","0","0","0","0","0","0","0.36","0.18","","0","50","","","0","0","0","0","6","12","","","6","12"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00017","","","","","","0","0","8","8","10","0","","","","","","","","6","8","5","0","0","0.1","0","0.1","0","","","","0","0","0","0","0","0","0.0125","0.01","","0","80","","","0","0","0","0","0.333333333","0.416666667","","","0.333333333","0.416666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00170","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00171","","","","","","8","22","10","10","10","10","3","3","","","2","4","4","4","3","7","1","0.8","1.2","1.8","3","30","0.125","0.036363636","0.06","3","3","0.8","0.8","0.18","0.18","0.12","0.12","26.66666667","60","100","","","3.333333333","3.333333333","6","6","4","4","","","10","10"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00172","","","","","","1","4","7","7","10","4","2","2","","","2","3","3","5","7","5","0.4","0.2","2.4","0.6","3","5","0.4","0.05","0.12","0.714285714","0.5","0.142857143","0.1","0.085714286","0.06","0.342857143","0.24","20","20","70","","","1.333333333","1.904761905","2","2.857142857","8","11.42857143","","","10","14.28571429"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00173","","","","","","0","0","5","5","10","0","","","","","","","","3","8","7","0","0","0.4","0","0.4","0","","","","0","0","0","0","0","0","0.08","0.04","","0","50","","","0","0","0","0","1.333333333","2.666666667","","","1.333333333","2.666666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00174","","","","13.37","50.89","6","14","9","9","10","8","5","4","1","3","3","5","5","3","8","8","0.8","0.8","1.2","1.6","2.8","20","0.133333333","0.057142857","0.08","2.222222222","2","0.666666667","0.6","0.177777778","0.16","0.133333333","0.12","30","57.14285714","90","26.27235213","0.420357634","2.666666667","2.962962963","5.333333333","5.925925926","4","4.444444444","1.401192114","1.556880126","9.333333333","10.37037037"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00175","","","","","","0","0","4","4","10","0","","","","","","","","5","7","6","0","0","1","0","1","0","","","","0","0","0","0","0","0","0.25","0.1","","0","40","","","0","0","0","0","3.333333333","8.333333333","","","3.333333333","8.333333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00176","","","","","","0","","1","1","10","1","2","1","","","1","2","2","5","7","6","0","0.5","1","0.5","1.5","","","","","","","0","0","0.5","0.05","1","0.1","","33.33333333","10","","","0","0","1.666666667","16.66666667","3.333333333","33.33333333","","","5","50"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00177","","","","","","0","12","8","8","10","7","2","1","","","1","3","4","3","9","7","0","3.5","0.4","3.5","3.9","12","","0.291666667","0.291666667","1.5","1.2","0","0","0.4375","0.35","0.05","0.04","0","89.74358974","80","","","0","0","11.66666667","14.58333333","1.333333333","1.666666667","","","13","16.25"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00178","","","","18.84","50.68","20","28","10","10","10","10","2","2","5","3","1","7","7","8","3","4","4.5","1.4","3","5.9","8.9","48","0.225","0.05","0.122916667","4.8","4.8","2","2","0.59","0.59","0.3","0.3","41.66666667","66.29213483","100","37.17442778","2.193291239","15","15","19.66666667","19.66666667","10","10","7.310970797","7.310970797","29.66666667","29.66666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00179","","","","","","0","24","9","9","10","6","3","1","","","1","4","2","7","4","5","0","1.1","10.2","1.1","11.3","24","","0.045833333","0.045833333","2.666666667","2.4","0","0","0.122222222","0.11","1.133333333","1.02","0","9.734513274","90","","","0","0","3.666666667","4.074074074","34","37.77777778","","","37.66666667","41.85185185"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00018","","","","","","0","0","2","2","10","0","","","","","","","","8","9","3","0","0","","0","","0","","","","0","0","0","0","0","0","","","","","20","","","0","0","0","0","","","","","",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00180","","","","","","","","0","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00181","","","","","","0","0","7","7","10","0","","","","","","","","5","8","6","0","0","2.2","0","2.2","0","","","","0","0","0","0","0","0","0.314285714","0.22","","0","70","","","0","0","0","0","7.333333333","10.47619048","","","7.333333333","10.47619048"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00182","","","","","","0","0","2","2","10","0","","","","","","","","3","9","8","0","0","","0","","0","","","","0","0","0","0","0","0","","","","","20","","","0","0","0","0","","","","","",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00183","","","","21.82","50.8","16","22","10","10","10","9","4","3","3","4","2","5","6","5","3","6","3.2","1.1","1.2","4.3","5.5","38","0.2","0.05","0.113157895","3.8","3.8","1.6","1.6","0.43","0.43","0.12","0.12","42.10526316","78.18181818","100","42.95275591","1.846968504","10.66666667","10.66666667","14.33333333","14.33333333","4","4","6.15656168","6.15656168","18.33333333","18.33333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00184","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00185","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00186","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00187","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00188","","","","","","0","11","10","10","10","9","5","1","","","1","2","1","3","8","7","0","0.4","0.8","0.4","1.2","11","","0.036363636","0.036363636","1.1","1.1","0","0","0.04","0.04","0.08","0.08","0","33.33333333","100","","","0","0","1.333333333","1.333333333","2.666666667","2.666666667","","","4","4"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00189","","","","","","3","5","9","9","10","7","3","3","","","2","4","4","6","5","5","3.6","0.4","2.4","4","6.4","8","1.2","0.08","0.5","0.888888889","0.8","0.333333333","0.3","0.444444444","0.4","0.266666667","0.24","37.5","62.5","90","","","12","13.33333333","13.33333333","14.81481481","8","8.888888889","","","21.33333333","23.7037037"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00019","","","","","","0","10","7","7","10","5","2","2","","","2","2","2","2","9","8","0","0.6","4.2","0.6","4.8","10","","0.06","0.06","1.428571429","1","0","0","0.085714286","0.06","0.6","0.42","0","12.5","70","","","0","0","2","2.857142857","14","20","","","16","22.85714286"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00190","","","","16.21","50.81","9","9","8","8","10","8","2","3","5","3","2","5","7","6","4","5","2.2","0.5","2","2.7","4.7","18","0.244444444","0.055555556","0.15","2.25","1.8","1.125","0.9","0.3375","0.27","0.25","0.2","50","57.44680851","80","31.90316867","0.861385554","7.333333333","9.166666667","9","11.25","6.666666667","8.333333333","2.87128518","3.589106475","15.66666667","19.58333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00191","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00192","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00193","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00194","","","","","","0","0","8","8","10","0","","","","","","","","2","9","8","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.025","0.02","","0","80","","","0","0","0","0","0.666666667","0.833333333","","","0.666666667","0.833333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00195","","","","","","0","0","6","6","10","0","","","","","","","","5","6","6","0","0","1.2","0","1.2","0","","","","0","0","0","0","0","0","0.2","0.12","","0","60","","","0","0","0","0","4","6.666666667","","","4","6.666666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00196","","","","22.53","50.94","21","11","10","10","10","10","2","3","4","5","1","8","8","6","4","5","4.8","0.9","2.6","5.7","8.3","32","0.228571429","0.081818182","0.178125","3.2","3.2","2.1","2.1","0.57","0.57","0.26","0.26","65.625","68.6746988","100","44.22850412","2.521024735","16","16","19","19","8.666666667","8.666666667","8.403415783","8.403415783","27.66666667","27.66666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00197","","","","","","0","7","7","7","10","7","3","2","","","1","2","1","5","","6","0","0.4","1","0.4","1.4","7","","0.057142857","0.057142857","1","0.7","0","0","0.057142857","0.04","0.142857143","0.1","0","28.57142857","70","","","0","0","1.333333333","1.904761905","3.333333333","4.761904762","","","4.666666667","6.666666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00198","","","","","","0","0","8","8","10","0","","","","","","","","3","9","7","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.025","0.02","","0","80","","","0","0","0","0","0.666666667","0.833333333","","","0.666666667","0.833333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00199","","","","21.27","50.42","0","14","10","10","10","8","3","1","5","3","1","4","4","7","3","4","0","0.9","4","0.9","4.9","14","","0.064285714","0.064285714","1.4","1.4","0","0","0.09","0.09","0.4","0.4","0","18.36734694","100","42.18564062","0.379670766","0","0","3","3","13.33333333","13.33333333","1.265569219","1.265569219","16.33333333","16.33333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00002","","","","17.4","50","11","6","10","10","10","8","2","1","8","8","2","6","8","7","1","5","4.4","0.5","3.6","4.9","8.5","17","0.4","0.083333333","0.288235294","1.7","1.7","1.1","1.1","0.49","0.49","0.36","0.36","64.70588235","57.64705882","100","34.8","1.7052","14.66666667","14.66666667","16.33333333","16.33333333","12","12","5.684","5.684","28.33333333","28.33333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00020","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00200","","","","","","6","8","6","6","10","5","3","2","","","1","4","4","5","4","5","1.3","0.5","3","1.8","4.8","14","0.216666667","0.0625","0.128571429","2.333333333","1.4","1","0.6","0.3","0.18","0.5","0.3","42.85714286","37.5","60","","","4.333333333","7.222222222","6","10","10","16.66666667","","","16","26.66666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00201","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00202","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00203","","","","20.54","50.67","6","25","9","9","10","9","2","2","3","3","1","5","5","7","5","5","1.2","1.4","4","2.6","6.6","31","0.2","0.056","0.083870968","3.444444444","3.1","0.666666667","0.6","0.288888889","0.26","0.444444444","0.4","19.35483871","39.39393939","90","40.53680679","1.053956977","4","4.444444444","8.666666667","9.62962963","13.33333333","14.81481481","3.513189922","3.903544357","22","24.44444444"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00204","","","","","","0","0","","0","10","0","","","","","","","","5","7","5","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00205","","","","20.92","50.43","5","10","10","10","10","9","2","1","3","8","1","6","6","5","8","7","1.2","0.5","","1.7","","15","0.24","0.05","0.113333333","1.5","1.5","0.5","0.5","0.17","0.17","","","33.33333333","","100","41.4832441","0.70521515","4","4","5.666666667","5.666666667","","","2.350717166","2.350717166","",""
