"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00021","","","","","","","10","10","10","3","0","6","1","3","","","2","4","3","","6","6","6","0","0.2","2.5","0.2","2.7","6","","0.033333333","0.033333333","0.6","0.6","0","0","0.02","0.02","0.25","0.25","0","7.407407407","100","","","0","0","0.666666667","0.666666667","8.333333333","8.333333333","","","9","9"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00022","","","","","","","10","10","9","5","1","6","1","3","8","6","3","7","6","","7","3","4","0.3","0.2","3","0.5","3.5","7","0.3","0.033333333","0.071428571","0.777777778","0.7","0.111111111","0.1","0.055555556","0.05","0.333333333","0.3","14.28571429","14.28571429","90","","","1","1.111111111","1.666666667","1.851851852","10","11.11111111","","","11.66666667","12.96296296"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00023","","","","13.98","2","50.06","10","10","10","10","12","34","1","3","","","","","","4","7","3","5","1.6","0.9","2.8","2.5","5.3","46","0.133333333","0.026470588","0.054347826","4.6","4.6","1.2","1.2","0.25","0.25","0.28","0.28","26.08695652","47.16981132","100","27.92648821","0.698162205","5.333333333","5.333333333","8.333333333","8.333333333","9.333333333","9.333333333","2.327207351","2.327207351","17.66666667","17.66666667"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00024","","","","","","","10","10","10","1","0","4","1","3","5","8","2","5","4","","7","3","4","0","0.1","6.5","0.1","6.6","4","","0.025","0.025","0.4","0.4","0","0","0.01","0.01","0.65","0.65","0","1.515151515","100","","","0","0","0.333333333","0.333333333","21.66666667","21.66666667","","","22","22"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00025","","","","22.05","2","50.09","10","10","10","10","11","19","1","4","","","1","4","3","3","9","3","4","1","0.4","7.5","1.4","8.9","30","0.090909091","0.021052632","0.046666667","3","3","1.1","1.1","0.14","0.14","0.75","0.75","36.66666667","15.73033708","100","44.02076263","0.616290677","3.333333333","3.333333333","4.666666667","4.666666667","25","25","2.054302256","2.054302256","29.66666667","29.66666667"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00026","","","","","","","10","10","10","7","2","7","1","3","5","8","2","6","5","","7","2","4","0.2","0.2","2.5","0.4","2.9","9","0.1","0.028571429","0.044444444","0.9","0.9","0.2","0.2","0.04","0.04","0.25","0.25","22.22222222","13.79310345","100","","","0.666666667","0.666666667","1.333333333","1.333333333","8.333333333","8.333333333","","","9.666666667","9.666666667"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00027","","","","21.54","2","50.47","10","10","10","10","15","27","1","3","5","8","3","7","6","3","8","3","4","1.5","0.9","6.5","2.4","8.9","42","0.1","0.033333333","0.057142857","4.2","4.2","1.5","1.5","0.24","0.24","0.65","0.65","35.71428571","26.96629213","100","42.6788191","1.024291658","5","5","8","8","21.66666667","21.66666667","3.414305528","3.414305528","29.66666667","29.66666667"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00028","","","","24.05","3","50.9","10","10","10","10","10","16","1","4","3","5","3","7","7","3","6","4","6","1.2","0.4","2.1","1.6","3.7","26","0.12","0.025","0.061538462","2.6","2.6","1","1","0.16","0.16","0.21","0.21","38.46153846","43.24324324","100","47.24950884","0.755992141","4","4","5.333333333","5.333333333","7","7","2.519973805","2.519973805","12.33333333","12.33333333"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00029","","","","20.74","2","50.89","10","10","10","10","15","14","1","3","","","1","3","3","1","7","4","6","2.7","0.5","3.5","3.2","6.7","29","0.18","0.035714286","0.110344828","2.9","2.9","1.5","1.5","0.32","0.32","0.35","0.35","51.72413793","47.76119403","100","40.75456868","1.304146198","9","9","10.66666667","10.66666667","11.66666667","11.66666667","4.347153992","4.347153992","22.33333333","22.33333333"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00003","","","","","","","10","10","10","6","2","16","1","3","","","1","4","3","","7","4","5","0.2","0.3","5.3","0.5","5.8","18","0.1","0.01875","0.027777778","1.8","1.8","0.2","0.2","0.05","0.05","0.53","0.53","11.11111111","8.620689655","100","","","0.666666667","0.666666667","1.666666667","1.666666667","17.66666667","17.66666667","","","19.33333333","19.33333333"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00030","","","","","","","10","10","10","9","1","11","1","3","","","2","4","3","","7","3","4","0.1","0.4","4.2","0.5","4.7","12","0.1","0.036363636","0.041666667","1.2","1.2","0.1","0.1","0.05","0.05","0.42","0.42","8.333333333","10.63829787","100","","","0.333333333","0.333333333","1.666666667","1.666666667","14","14","","","15.66666667","15.66666667"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00031","","","","","","","10","10","10","9","2","30","1","4","4","7","3","5","4","","7","4","6","0.2","0.6","5","0.8","5.8","32","0.1","0.02","0.025","3.2","3.2","0.2","0.2","0.08","0.08","0.5","0.5","6.25","13.79310345","100","","","0.666666667","0.666666667","2.666666667","2.666666667","16.66666667","16.66666667","","","19.33333333","19.33333333"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00032","","","","19.78","2","50.35","10","10","10","8","5","24","1","3","","","","","","4","5","4","6","0.6","0.9","2.6","1.5","4.1","29","0.12","0.0375","0.051724138","2.9","2.9","0.5","0.5","0.15","0.15","0.26","0.26","17.24137931","36.58536585","100","39.28500497","0.589275074","2","2","5","5","8.666666667","8.666666667","1.964250248","1.964250248","13.66666667","13.66666667"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00033","","","","","","","10","10","10","0","0","0","","","","","","","","","6","4","5","0","0","2.5","0","2.5","0","","","","0","0","0","0","0","0","0.25","0.25","","0","100","","","0","0","0","0","8.333333333","8.333333333","","","8.333333333","8.333333333"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00034","","","","15.3","3","50.17","10","9","9","5","3","4","1","3","","","","","","3","9","2","4","0.8","0.2","7.3","1","8.3","7","0.266666667","0.05","0.142857143","0.777777778","0.7","0.333333333","0.3","0.111111111","0.1","0.811111111","0.73","42.85714286","12.04819277","90","30.49631254","0.304963125","2.666666667","2.962962963","3.333333333","3.703703704","24.33333333","27.03703704","1.016543751","1.129493057","27.66666667","30.74074074"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00035","","","","","","","10","10","10","0","0","0","","","","","","","","","8","4","5","0","0","9.3","0","9.3","0","","","","0","0","0","0","0","0","0.93","0.93","","0","100","","","0","0","0","0","31","31","","","31","31"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00036","","","","23.07","3","50.52","10","10","10","5","3","5","1","3","5","4","3","6","5","4","7","5","6","0.4","0.2","3.5","0.6","4.1","8","0.133333333","0.04","0.075","0.8","0.8","0.3","0.3","0.06","0.06","0.35","0.35","37.5","14.63414634","100","45.66508314","0.273990499","1.333333333","1.333333333","2","2","11.66666667","11.66666667","0.913301663","0.913301663","13.66666667","13.66666667"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00037","","","","21.09","2","50.85","10","10","10","5","5","8","1","4","","","2","4","3","3","9","2","3","0.7","0.3","8","1","9","13","0.14","0.0375","0.076923077","1.3","1.3","0.5","0.5","0.1","0.1","0.8","0.8","38.46153846","11.11111111","100","41.47492625","0.414749263","2.333333333","2.333333333","3.333333333","3.333333333","26.66666667","26.66666667","1.382497542","1.382497542","30","30"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00038","","","","","","","10","10","10","2","0","6","1","4","","","3","4","3","","8","4","4","0","0.3","5.4","0.3","5.7","6","","0.05","0.05","0.6","0.6","0","0","0.03","0.03","0.54","0.54","0","5.263157895","100","","","0","0","1","1","18","18","","","19","19"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00039","","","","","","","10","10","10","7","1","11","1","4","","","2","4","3","","8","4","6","0.1","0.3","5.3","0.4","5.7","12","0.1","0.027272727","0.033333333","1.2","1.2","0.1","0.1","0.04","0.04","0.53","0.53","8.333333333","7.01754386","100","","","0.333333333","0.333333333","1.333333333","1.333333333","17.66666667","17.66666667","","","19","19"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00004","","","","","","","10","10","9","3","1","6","","3","","","","","","","7","4","4","0.1","0.2","6.7","0.3","7","7","0.1","0.033333333","0.042857143","0.777777778","0.7","0.111111111","0.1","0.033333333","0.03","0.744444444","0.67","14.28571429","4.285714286","90","","","0.333333333","0.37037037","1","1.111111111","22.33333333","24.81481481","","","23.33333333","25.92592593"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00040","","","","","","","10","10","10","7","2","16","1","4","4","5","3","7","6","","7","3","4","0.2","0.4","3","0.6","3.6","18","0.1","0.025","0.033333333","1.8","1.8","0.2","0.2","0.06","0.06","0.3","0.3","11.11111111","16.66666667","100","","","0.666666667","0.666666667","2","2","10","10","","","12","12"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00041","","","","20.42","3","50.32","10","8","8","7","8","11","2","4","4","8","3","8","7","4","8","3","4","1.2","0.4","8.5","1.6","10.1","19","0.15","0.036363636","0.084210526","2.375","1.9","1","0.8","0.2","0.16","1.0625","0.85","42.10526316","15.84158416","80","40.58028617","0.649284579","4","5","5.333333333","6.666666667","28.33333333","35.41666667","2.164281929","2.705352411","33.66666667","42.08333333"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00042","","","","22.25","3","50.52","10","10","10","10","13","12","","3","","","","","","3","9","3","5","2.4","0.5","13.5","2.9","16.4","25","0.184615385","0.041666667","0.116","2.5","2.5","1.3","1.3","0.29","0.29","1.35","1.35","52","17.68292683","100","44.04196358","1.277216944","8","8","9.666666667","9.666666667","45","45","4.257389813","4.257389813","54.66666667","54.66666667"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00043","","","","","","","10","10","10","0","0","0","","","","","","","","","7","3","5","0","0","6.5","0","6.5","0","","","","0","0","0","0","0","0","0.65","0.65","","0","100","","","0","0","0","0","21.66666667","21.66666667","","","21.66666667","21.66666667"
