"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00126","","","","19.38","2","50.93","10","10","9","8","18","7","1","","","","","","","1","5","4","5","2.8","0.2","4","3","7","25","0.155555556","0.028571429","0.12","2.777777778","2.5","2","1.8","0.333333333","0.3","0.444444444","0.4","72","42.85714286","90","38.05222855","1.141566856","9.333333333","10.37037037","10","11.11111111","13.33333333","14.81481481","3.805222855","4.228025394","23.33333333","25.92592593"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00013","","","","","","","10","10","10","0","0","0","","","","","","","","","9","4","4","0","0","13.3","0","13.3","0","","","","0","0","0","0","0","0","1.33","1.33","","0","100","","","0","0","0","0","44.33333333","44.33333333","","","44.33333333","44.33333333"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00014","","","","","","","10","10","8","1","1","2","1","4","","","3","4","4","","6","6","6","0.2","0.2","4","0.4","4.4","3","0.2","0.1","0.133333333","0.375","0.3","0.125","0.1","0.05","0.04","0.5","0.4","33.33333333","9.090909091","80","","","0.666666667","0.833333333","1.333333333","1.666666667","13.33333333","16.66666667","","","14.66666667","18.33333333"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00015","","","","","","","10","10","9","6","4","13","1","4","5","8","3","6","6","","7","4","5","0.4","0.4","3.8","0.8","4.6","17","0.1","0.030769231","0.047058824","1.888888889","1.7","0.444444444","0.4","0.088888889","0.08","0.422222222","0.38","23.52941176","17.39130435","90","","","1.333333333","1.481481481","2.666666667","2.962962963","12.66666667","14.07407407","","","15.33333333","17.03703704"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00016","","","","20.4","2","50.4","10","10","10","9","11","8","1","3","","","","","","3","9","3","4","1.6","0.5","4.4","2.1","6.5","19","0.145454545","0.0625","0.110526316","1.9","1.9","1.1","1.1","0.21","0.21","0.44","0.44","57.89473684","32.30769231","100","40.47619048","0.85","5.333333333","5.333333333","7","7","14.66666667","14.66666667","2.833333333","2.833333333","21.66666667","21.66666667"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00017","","","","","","","10","9","8","0","0","0","","","","","","","","","6","4","6","0","0","3.3","0","3.3","0","","","","0","0","0","0","0","0","0.4125","0.33","","0","80","","","0","0","0","0","11","13.75","","","11","13.75"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00018","","","","","","","10","0","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","",""
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00019","","","","","","","10","10","10","8","0","33","1","3","","","1","3","3","","6","5","6","0","1","4.6","1","5.6","33","","0.03030303","0.03030303","3.3","3.3","0","0","0.1","0.1","0.46","0.46","0","17.85714286","100","","","0","0","3.333333333","3.333333333","15.33333333","15.33333333","","","18.66666667","18.66666667"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00002","","","","","","","10","10","10","4","2","9","1","4","","","1","4","3","","6","4","4","0.4","0.3","4.8","0.7","5.5","11","0.2","0.033333333","0.063636364","1.1","1.1","0.2","0.2","0.07","0.07","0.48","0.48","18.18181818","12.72727273","100","","","1.333333333","1.333333333","2.333333333","2.333333333","16","16","","","18.33333333","18.33333333"
"","","GHP2015OHW-PT01","","","","","","","","","GHP2015OHW-PT01-00020","","","","","","","10","10","10","2","0","12","1","3","","","1","3","3","","6","4","6","0","0.1","3","0.1","3.1","12","","0.008333333","0.008333333","1.2","1.2","0","0","0.01","0.01","0.3","0.3","0","3.225806452","100","","","0","0","0.333333333","0.333333333","10","10","","","10.33333333","10.33333333"
