"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00037","","","","3","4.5492363","1.607417","0.734364","15.2","50.64","1.345228","1.078018","3.6153469","3.540112","12.6457825","3","30","30","30","30","108","50","6","7","1.589321","1","50.6417694","71.715416","3","30.01579779","3","1","19.9074097","15.5065994","1","37.7","3.1","34","40.8","74.8","158","0.349074074","0.062","0.258227848","5.266666667","3.6","1.36","1.133333333","68.35443038","54.54545455","12.2464455","41.88888889","45.33333333","37.77777778","13.60716166","83.11111111","5.266666667","3.6","1.36","1.133333333","100","41.88888889","45.33333333","37.77777778","13.60716166","83.11111111"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00038","","","","3","0","1.321811","0.831414","16.51","50.36","1.4358439","1.74475","3.198447","4.30932","26.0163059","1","30","30","30","30","119","45","2","8","1.811848","1","53.1446724","72.2483063","2","32.78395552","3","1","18.371315","15.2699556","3","28.6","2.5","15","31.1","46.1","164","0.240336134","0.055555556","0.189634146","5.466666667","3.966666667","1.036666667","0.5","72.56097561","67.46203905","10.19581017","31.77777778","34.55555556","16.66666667","11.32867796","51.22222222","5.466666667","3.966666667","1.036666667","0.5","100","31.77777778","34.55555556","16.66666667","11.32867796","51.22222222"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00039","","","","3","0","1.1498671","0.779166","19.83","49.96","0.642469","0.085985","2.310688","2.3801081","23.5243092","1","30","26","26","26","55","24","4","8","2.3333781","1","56.5516129","81.1173553","8","39.6917534","5","1","18.5593872","13.2416954","3","17.4","1.7","23","19.1","42.1","79","0.316363636","0.070833333","0.241772152","3.038461538","2.115384615","0.734615385","0.884615385","69.62025316","45.36817102","7.5811249","22.30769231","24.48717949","29.48717949","9.719390897","53.97435897","2.633333333","1.833333333","0.636666667","0.766666667","86.66666667","19.33333333","21.22222222","25.55555556","8.423472111","46.77777778"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00004","","","","3","0","1.101184","0.707518","18.35","49.86","0.660997","0.201806","2.764874","2.680197","25.8545227","1","30","27","26","26","68","32","2","7","1.518831","3","55.3942909","81.5052032","5","36.80304854","3","3","20.1723328","13.4651384","5","11.3","1.06","30.5","12.36","42.86","100","0.166176471","0.033125","0.1236","3.846153846","2.615384615","0.475384615","1.173076923","68","28.83807746","4.548856799","14.48717949","15.84615385","39.1025641","5.831867691","54.94871795","3.333333333","2.266666667","0.412","1.016666667","86.66666667","12.55555556","13.73333333","33.88888889","5.054285332","47.62222222"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00040","","","","3","0","1.577702","0.638289","20.55","50.04","0.465132","0.471848","2.2072999","2.213763","24.1818733","1","30","30","25","25","39","14","3","8","0.861792","1","55.7846909","78.4729233","3","41.06714628","5","1","22.4806747","10.3224249","3","9.8","1","23","10.8","33.8","53","0.251282051","0.071428571","0.203773585","2.12","1.56","0.432","0.92","73.58490566","31.95266272","4.435251799","13.06666667","14.4","30.66666667","5.913669065","45.06666667","1.766666667","1.3","0.36","0.766666667","83.33333333","10.88888889","12","25.55555556","4.928057554","37.55555556"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00041","","","","3","0","1.266081","0.592958","21.03","50.11","1.321436","0.37548","2.4582479","2.0991631","20.931118","1","30","30","30","30","48","22","3","3","1.400427","1","58.0919151","79.1420364","3","41.96767112","5","3","18.5944977","10.8321657","3","11.4","1.3","35","12.7","47.7","70","0.2375","0.059090909","0.181428571","2.333333333","1.6","0.423333333","1.166666667","68.57142857","26.62473795","5.329894233","12.66666667","14.11111111","38.88888889","5.922104703","53","2.333333333","1.6","0.423333333","1.166666667","100","12.66666667","14.11111111","38.88888889","5.922104703","53"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00042","","","","5","0","1.160295","0.719663","17.3","50.53","0.505589","0.650624","2.9064269","2.7556119","22.1249313","3","30","30","27","27","65","32","2","8","1.600306","1","55.3260841","76.6551361","","34.23708688","1","1","22.1056442","14.4319057","3","22","1.7","24","23.7","47.7","97","0.338461538","0.053125","0.244329897","3.592592593","2.407407407","0.877777778","0.888888889","67.01030928","49.68553459","8.11418959","27.16049383","29.25925926","29.62962963","10.01751801","58.88888889","3.233333333","2.166666667","0.79","0.8","90","24.44444444","26.33333333","26.66666667","9.015766211","53"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00043","","","","3","0","1.270665","0.737154","20.39","50.21","0.883055","1.289035","2.7614911","3.5484409","20.4793453","1","30","24","23","20","29","15","4","8","1.485762","1","57.0500984","80.5554199","","40.60944035","4","3","20.5870895","12.2093019","3","7.8","1","26","8.8","34.8","44","0.268965517","0.066666667","0.2","1.913043478","1.260869565","0.382608696","1.130434783","65.90909091","25.28735632","3.573630751","11.30434783","12.75362319","37.68115942","5.179175001","50.43478261","1.466666667","0.966666667","0.293333333","0.866666667","76.66666667","8.666666667","9.777777778","28.88888889","3.970700834","38.66666667"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00044","","","","3","0","1.3065881","0.564429","15.38","49.39","0.377171","1.2205","2.4111519","2.3825879","22.2278633","1","30","30","24","24","70","23","5","3","1.617197","1","57.4793434","73.2277985","","31.13990686","2","1","21.6584244","15.7939672","3","32.1","1.5","17","33.6","50.6","93","0.458571429","0.065217391","0.361290323","3.875","2.916666667","1.4","0.708333333","75.2688172","66.40316206","10.46300871","44.58333333","46.66666667","23.61111111","14.53195654","70.27777778","3.1","2.333333333","1.12","0.566666667","80","35.66666667","37.33333333","18.88888889","11.62556523","56.22222222"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00045","","","","3","0","1.8274699","1.011122","16.64","50.07","0.392609","0","2.2296181","1.9734","20.9761314","1","30","24","12","7","11","11","4","3","3.9086649","1","55.6298714","71.6216125","","33.23347314","4","5","22.5395813","13.904418","6","1.4","0.6","6","2","8","22","0.127272727","0.054545455","0.090909091","1.833333333","0.916666667","0.166666667","0.5","50","25","0.664669463","3.888888889","5.555555556","16.66666667","1.846304063","22.22222222","0.733333333","0.366666667","0.066666667","0.2","40","1.555555556","2.222222222","6.666666667","0.738521625","8.888888889"
