"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00110","","","","21.6634369","2.3993089","1.3203371","2.0429699","4.1719289","30","22","12","22","7","5","6.395607","60.356781","26.23694067","13.9867191","5","","4","1.5","1","3","2.5","5.5","34","0.125","0.045454545","0.073529412","1.133333333","0.4","0.083333333","0.1","35.29411765","45.45454545","0.655923517","1.666666667","2.777777778","3.333333333","0.728803908","6.111111111"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00111","","","","","","","","","30","29","","","","","","","","","6","4","5","","","1.5","","","","","","","","","","0.05","","","","","","1.666666667","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00112","","","","","","","","","30","25","","","","","","","","","4","5","6","","","0.5","","","","","","","","","","0.016666667","","","","","","0.555555556","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00113","","","","","","","","","30","4","","","","","","","","","3","6","7","","","0.5","","","","","","","","","","0.016666667","","","","","","0.555555556","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00114","","","","20.0998802","2.6461351","1.616457","1.0581","2.142071","30","22","","5","6","5","7.0196028","52.5185509","27.89641072","23.2254753","6","4","4","","0.5","2","","","","","0.1","","","","","0.066666667","","","","","","2.222222222","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00012","","","","","","","","","30","29","","","","","","","","","7","3","4","","","7.5","","","","","","","","","","0.25","","","","","","8.333333333","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00013","","","","","","","","","30","10","","","","","","","","","4","5","7","","","1","","","","","","","","","","0.033333333","","","","","","1.111111111","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00014","","","","13.3133392","2.167803","1.221777","0.255745","0.782885","30","23","19","18","7","6","6.440475","59.3264694","33.55837967","17.5172672","6","4","3","2.5","1","2.5","3.5","6","37","0.131578947","0.055555556","0.094594595","1.233333333","0.633333333","0.116666667","0.083333333","51.35135135","58.33333333","1.174543288","2.777777778","3.888888889","2.777777778","1.305048098","6.666666667"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00015","","","","0","1.824264","1.235139","0.401369","1.06161","30","26","8","15","2","6","4.7142558","69.7481384","40.49751244","12.5873957","6","3","5","0.5","0.5","3.5","1","4.5","23","0.0625","0.033333333","0.043478261","0.766666667","0.266666667","0.033333333","0.116666667","34.7826087","22.22222222","0.404975124","0.555555556","1.111111111","3.888888889","0.44997236","5"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00016","","","","","","","","","30","11","1","1","","","","","","","5","4","4","0.1","0.1","1.5","0.2","1.7","2","0.1","0.1","0.1","0.066666667","0.033333333","0.006666667","0.05","50","11.76470588","","0.111111111","0.222222222","1.666666667","","1.888888889"
