"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00109","","","","","","0","3","10","10","10","","","","","","","","6","2","5","0","0.2","8.2","0.2","8.4","3","","0.066666667","0.066666667","0.3","0.3","0","0","0.02","0.02","0.82","0.82","0","2.380952381","100","","","0","0","0.666666667","0.666666667","27.33333333","27.33333333","","","28","28"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00011","","","","","","4","16","7","7","10","1","","2","1","1","4","3","4","5","7","0.4","0.5","5.7","0.9","6.6","20","0.1","0.03125","0.045","2.857142857","2","0.571428571","0.4","0.128571429","0.09","0.814285714","0.57","20","13.63636364","70","","","1.333333333","1.904761905","3","4.285714286","19","27.14285714","","","22","31.42857143"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00110","","","","","","0","0","1","1","10","0","","","","","","","5","3","6","0","0","3.7","0","3.7","0","","","","0","0","0","0","0","0","3.7","0.37","","0","10","","","0","0","0","0","12.33333333","123.3333333","","","12.33333333","123.3333333"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00111","","","","","","0","0","10","10","10","0","","","","","","","5","3","5","0","0","6.3","0","6.3","0","","","","0","0","0","0","0","0","0.63","0.63","","0","100","","","0","0","0","0","21","21","","","21","21"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00112","","","","","","0","0","0","0","10","0","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00113","","","","","","0","19","9","9","10","5","","2","1","1","4","3","5","1","5","0","0.7","4.8","0.7","5.5","19","","0.036842105","0.036842105","2.111111111","1.9","0","0","0.077777778","0.07","0.533333333","0.48","0","12.72727273","90","","","0","0","2.333333333","2.592592593","16","17.77777778","","","18.33333333","20.37037037"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00114","","","","14.63","50.6","9","18","10","10","10","8","8","1","1","1","5","5","6","3","5","1.5","0.7","6.8","2.2","9","27","0.166666667","0.038888889","0.081481481","2.7","2.7","0.9","0.9","0.22","0.22","0.68","0.68","33.33333333","24.44444444","100","28.91304348","0.636086957","5","5","7.333333333","7.333333333","22.66666667","22.66666667","2.120289855","2.120289855","30","30"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00115","","","","","","0","0","7","7","10","0","","","","","","","3","8","7","0","0","0.1","0","0.1","0","","","","0","0","0","0","0","0","0.014285714","0.01","","0","70","","","0","0","0","0","0.333333333","0.476190476","","","0.333333333","0.476190476"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00116","","","","","","0","24","9","9","10","5","","1","1","1","5","4","3","7","7","0","0.9","4.3","0.9","5.2","24","","0.0375","0.0375","2.666666667","2.4","0","0","0.1","0.09","0.477777778","0.43","0","17.30769231","90","","","0","0","3","3.333333333","14.33333333","15.92592593","","","17.33333333","19.25925926"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00117","","","","","","6","16","10","10","10","9","","2","1","1","4","4","8","2","4","0.7","0.8","12.3","1.5","13.8","22","0.116666667","0.05","0.068181818","2.2","2.2","0.6","0.6","0.15","0.15","1.23","1.23","27.27272727","10.86956522","100","","","2.333333333","2.333333333","5","5","41","41","","","46","46"
