"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00002","","","","2","1","19","15","13","10","14","9","1","5","8","5","5.6","0.6","2.5","6.2","8.7","34","0.294736842","0.04","0.182352941","3.4","2.428571429","1.9","1.357142857","0.62","0.442857143","0.25","0.178571429","55.88235294","71.26436782","71.42857143","13.33333333","18.66666667","14.76190476","20.66666667","5.952380952","8.333333333","20.71428571","29"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00020","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00021","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00022","","","","3","1","12","16","13","8","14","8","3","5","6","1","2.2","0.8","1.8","3","4.8","28","0.183333333","0.05","0.107142857","3.5","2","1.5","0.857142857","0.375","0.214285714","0.225","0.128571429","42.85714286","62.5","57.14285714","5.238095238","9.166666667","7.142857143","12.5","4.285714286","7.5","11.42857143","20"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00023","","","","2","1","22","12","9","9","14","9","1","6","6","5","4.8","0.8","5.5","5.6","11.1","34","0.218181818","0.066666667","0.164705882","3.777777778","2.428571429","2.444444444","1.571428571","0.622222222","0.4","0.611111111","0.392857143","64.70588235","50.45045045","64.28571429","11.42857143","17.77777778","13.33333333","20.74074074","13.0952381","20.37037037","26.42857143","41.11111111"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00024","","","","3","1","16","20","14","10","14","10","1","5","5","4","2.5","0.7","2.8","3.2","6","36","0.15625","0.035","0.088888889","3.6","2.571428571","1.6","1.142857143","0.32","0.228571429","0.28","0.2","44.44444444","53.33333333","71.42857143","5.952380952","8.333333333","7.619047619","10.66666667","6.666666667","9.333333333","14.28571429","20"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00025","","","","3","1","24","26","13","10","14","10","2","4","5","4","4.6","1.1","2","5.7","7.7","50","0.191666667","0.042307692","0.114","5","3.571428571","2.4","1.714285714","0.57","0.407142857","0.2","0.142857143","48","74.02597403","71.42857143","10.95238095","15.33333333","13.57142857","19","4.761904762","6.666666667","18.33333333","25.66666667"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00026","","","","4","1","12","10","13","10","14","10","3","4","5","5","2.8","0.8","5.8","3.6","9.4","22","0.233333333","0.08","0.163636364","2.2","1.571428571","1.2","0.857142857","0.36","0.257142857","0.58","0.414285714","54.54545455","38.29787234","71.42857143","6.666666667","9.333333333","8.571428571","12","13.80952381","19.33333333","22.38095238","31.33333333"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00027","","","","2","1","41","45","11","10","14","10","2","5","7","3","7","1.4","3","8.4","11.4","86","0.170731707","0.031111111","0.097674419","8.6","6.142857143","4.1","2.928571429","0.84","0.6","0.3","0.214285714","47.6744186","73.68421053","71.42857143","16.66666667","23.33333333","20","28","7.142857143","10","27.14285714","38"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00028","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
