"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Biomass yield in tons per ha|CO_331:0001003","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00019","","","","5","28.6492004","36.02222222","1.533632","0.60966","11.42222222","1.754755","6.3504801","5.0767512","9.1647339","68.29117829","12.4613647","1","94","74","30","30","30","6","6","1.311707","1","49.0522919","60.1484299","28.54892695","5","55.95238095","20.71111111","3","21.4813538","9.62537","168","5.6","22.14","18.64","3.5","10.28","24.6","32.42","0.198297872","0.047297297","0.131785714","5.6","3.133333333","3.133333333","0.738","0.738","0.342666667","0.342666667","100","6.320732427","20.71111111","24.6","11.42222222","7.02303603","7.02303603","36.02222222"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00002","","","","5","6.2644272","21.44444444","1.980413","0.884335","7.377777778","1.656069","2.9130509","3.1714461","5.1589928","65.59585492","8.0016375","1","54","109","30","30","30","5","8","2.1689639","1","54.0589371","66.5250015","32.98742766","1","33.12883436","9.911111111","3","16.5265961","16.0329609","163","5.433333333","12.66","8.92","3.74","6.64","14.06666667","19.3","0.165185185","0.034311927","0.077668712","5.433333333","1.8","1.8","0.422","0.422","0.221333333","0.221333333","100","4.176208342","9.911111111","14.06666667","7.377777778","4.640231491","4.640231491","21.44444444"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00020","","","","3","0","34.17777778","1.277372","0.631383","15.97777778","1.700947","2.8725519","2.4621689","5.0626268","53.25097529","0","1","62","39","25","30","25","4","4","1.1964509","3","63.7150459","73.4858398","33.2936744","3","61.38613861","15.64444444","3","14.3268509","11.9486408","101","4.04","16.38","14.08","2.3","14.38","18.2","30.76","0.227096774","0.058974359","0.162178218","3.366666667","2.48","2.066666667","0.6552","0.546","0.5752","0.479333333","83.33333333","5.453503867","18.77333333","21.84","19.17333333","6.059448741","7.271338489","41.01333333"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00021","","","","3","46.9189415","17.4","2.258857","1.415996","4.866666667","1.376545","2.5362051","6.2628088","5.0905032","72.03065134","5.3185501","1","52","66","28","30","28","7","7","2.2583661","1","43.4949417","51.0649643","27.05649158","1","44.06779661","9.422222222","3","29.2969055","27.0326824","118","4.214285714","11.28","8.48","2.8","4.38","12.53333333","15.66","0.163076923","0.042424242","0.09559322","3.933333333","1.857142857","1.733333333","0.402857143","0.376","0.156428571","0.146","93.33333333","3.05197225","10.0952381","13.42857143","5.214285714","3.391080278","3.633300298","18.64285714"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00022","","","","3","0","22.88888889","1.4859101","0.580721","7.777777778","0.57765","1.1154799","1.193164","2.5231841","66.01941748","7.288403","1","48","31","26","30","26","5","6","1.4906141","1","66.8661652","75.972641","39.77093207","7","60.75949367","13.64444444","3","15.1674194","14.357955","79","3.038461538","13.6","12.28","1.32","7","15.11111111","20.6","0.255833333","0.042580645","0.172151899","2.633333333","1.846153846","1.6","0.523076923","0.453333333","0.269230769","0.233333333","86.66666667","5.408846762","15.74358974","17.43589744","8.974358974","6.009829735","6.934418925","26.41025641"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00023","","","","3","1.9954987","19.33333333","1.723516","0.747334","6.577777778","1.7704329","2.821876","2.403697","4.4882131","65.97701149","0","1","52","45","30","30","30","4","6","0.981195","1","62.7770004","69.3181152","35.14900336","5","53.60824742","10.71111111","3","14.1866608","16.5896721","97","3.233333333","11.48","9.64","1.84","5.92","12.75555556","17.4","0.185384615","0.040888889","0.118350515","3.233333333","1.733333333","1.733333333","0.382666667","0.382666667","0.197333333","0.197333333","100","4.035105586","10.71111111","12.75555556","6.577777778","4.483450651","4.483450651","19.33333333"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00024","","","","7","40.9644203","19.71111111","1.810323","0.93551","6.066666667","1.6287839","3.768657","6.019372","6.4846692","69.22209696","5.4433022","3","53","75","30","30","30","7","7","2.017324","3","45.8296013","59.5570946","28.13059924","1","41.40625","9.933333333","3","27.4136124","16.7853088","128","4.266666667","12.28","8.94","3.34","5.46","13.64444444","17.74","0.168679245","0.044533333","0.0959375","4.266666667","1.766666667","1.766666667","0.409333333","0.409333333","0.182","0.182","100","3.454437587","9.933333333","13.64444444","6.066666667","3.838263985","3.838263985","19.71111111"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00025","","","","5","0","22.73333333","1.424933","0.625432","11.62222222","1.036507","1.90424","1.830287","3.5653081","48.87585533","9.0602627","3","41","69","28","30","28","5","4","1.7779239","1","63.4442253","69.7518768","33.3068678","1","37.27272727","8.088888889","3","16.202713","17.2540874","110","3.928571429","10","7.28","2.72","10.46","11.11111111","20.46","0.177560976","0.03942029","0.090909091","3.666666667","1.464285714","1.366666667","0.357142857","0.333333333","0.373571429","0.348666667","93.33333333","3.33068678","8.666666667","11.9047619","12.45238095","3.700763089","3.96510331","24.35714286"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00026","","","","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00027","","","","5","0","25.71111111","1.390812","0.664368","10.71111111","1.4896621","3.0546689","2.9191189","5.5108981","58.34053587","17.6578484","1","59","41","30","30","30","3","8","1.241173","1","57.2345505","74.6026459","36.79095597","3","59","13.42222222","3","18.0666046","8.9713373","100","3.333333333","13.5","12.08","1.42","9.64","15","23.14","0.204745763","0.034634146","0.135","3.333333333","1.966666667","1.966666667","0.45","0.45","0.321333333","0.321333333","100","4.966779056","13.42222222","15","10.71111111","5.518643396","5.518643396","25.71111111"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00028","","","","5","0","27.73333333","1.395522","0.698376","15.91111111","1.319019","2.350914","1.964026","4.4634032","42.62820513","5.0574608","1","74","21","28","30","28","4","6","1.642172","1","64.8355637","72.5532379","39.15626857","5","77.89473684","10.2","3","14.9010925","12.7955513","95","3.392857143","10.64","9.18","1.46","14.32","11.82222222","24.96","0.124054054","0.06952381","0.112","3.166666667","2.642857143","2.466666667","0.38","0.354666667","0.511428571","0.477333333","93.33333333","4.166226976","10.92857143","12.66666667","17.04761905","4.629141084","4.959794019","29.71428571"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00029","","","","3","0.9862118","8.977777778","1.5468481","0.727504","5.555555556","1.11755","1.052266","1.951344","2.41558","38.11881188","0","1","9","52","27","30","25","5","6","1.675884","1","64.0204163","71.5913849","37.25567621","1","14.75409836","1.177777778","5","13.6179199","15.7295628","61","2.259259259","3.08","1.06","2.02","5","3.422222222","8.08","0.117777778","0.038846154","0.050491803","2.033333333","0.333333333","0.3","0.114074074","0.102666667","0.185185185","0.166666667","90","1.147474827","1.308641975","3.802469136","6.172839506","1.27497203","1.416635589","9.975308642"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00003","","","","3","46.4357719","18.57777778","2.049943","1.168252","6.044444444","1.4134181","4.5527849","5.893889","7.5258889","67.46411483","7.9990501","1","48","76","28","30","28","7","7","2.002161","3","46.0054016","55.2504768","26.31264916","3","38.70967742","9.377777778","3","26.6198502","20.1136284","124","4.428571429","11.28","8.44","2.84","5.44","12.53333333","16.72","0.175833333","0.037368421","0.090967742","4.133333333","1.714285714","1.6","0.402857143","0.376","0.194285714","0.181333333","93.33333333","2.968066825","10.04761905","13.42857143","6.476190476","3.297852028","3.533412887","19.9047619"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00030","","","","5","27.5568848","18.28888889","1.752843","0.616898","6.777777778","0.563286","1.514611","4.0350418","2.5083389","62.94046173","12.5808697","1","47","54","30","30","30","8","7","1.672184","1","50.9419632","61.3394012","32.44638602","3","46.53465347","9.288888889","3","24.1142502","22.9252625","101","3.366666667","10.36","8.36","2","6.1","11.51111111","16.46","0.17787234","0.037037037","0.102574257","3.366666667","1.566666667","1.566666667","0.345333333","0.345333333","0.203333333","0.203333333","100","3.361445592","9.288888889","11.51111111","6.777777778","3.734939546","3.734939546","18.28888889"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00031","","","","7","","23.88888889","","","7.088888889","","","","","70.3255814","","1","69","45","24","30","24","","","","1","","","","5","60.52631579","15.13333333","3","","","114","4.75","15.12","13.62","1.5","6.38","16.8","21.5","0.197391304","0.033333333","0.132631579","3.8","2.875","2.3","0.63","0.504","0.265833333","0.212666667","80","","18.91666667","21","8.861111111","","","29.86111111"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00032","","","","1","0","26.4","1.4352601","0.875647","9.111111111","0.60808","1.7887419","1.746729","4.1087708","65.48821549","5.9783859","1","70","63","20","30","20","5","6","2.48682","3","62.517952","77.159729","39.1","5","52.63157895","14.57777778","3","16.7107697","11.0990582","133","6.65","15.56","13.12","2.44","8.2","17.28888889","23.76","0.187428571","0.038730159","0.116992481","4.433333333","3.5","2.333333333","0.778","0.518666667","0.41","0.273333333","66.66666667","6.08396","21.86666667","25.93333333","13.66666667","6.759955556","10.13993333","39.6"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00033","","","","5","15.3773422","23.42222222","1.854099","0.68785","8.422222222","1.0888751","5.876092","2.2961371","8.451478","64.04174573","0","3","48","74","24","30","24","4","8","1.099453","3","59.6540604","61.8073883","28.24791418","5","39.3442623","11.26666667","1","16.5560532","14.6180134","122","5.083333333","13.5","10.14","3.36","7.58","15","21.08","0.21125","0.045405405","0.110655738","4.066666667","2","1.6","0.5625","0.45","0.315833333","0.252666667","80","3.813468414","14.08333333","18.75","10.52777778","4.237187127","5.296483909","29.27777778"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00004","","","","3","0","38.22222222","1.451916","0.782365","11.88888889","1.216099","1.887908","2.3681509","4.1331038","68.89534884","9.3250656","1","62","32","24","30","24","5","6","1.864206","3","59.691082","75.0903473","37.76057177","5","65.95744681","24.97777778","1","15.9846268","10.1178293","94","3.916666667","23.7","22.48","1.22","10.7","26.33333333","34.4","0.362580645","0.038125","0.25212766","3.133333333","2.583333333","2.066666667","0.9875","0.79","0.445833333","0.356666667","80","8.949255509","31.22222222","32.91666667","14.86111111","9.943617233","12.42952154","47.77777778"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00005","","","","3","3.4519596","16.8","1.659476","0.721961","9.488888889","1.217602","2.101191","2.6047471","3.69734","43.51851852","1.178333","1","28","83","30","30","29","5","6","1.528646","1","58.1398354","66.2316208","29.49840764","1","25.22522523","4.044444444","5","17.7325439","14.1617298","111","3.7","6.58","3.64","2.94","8.54","7.311111111","15.12","0.13","0.035421687","0.059279279","3.7","0.933333333","0.933333333","0.219333333","0.219333333","0.284666667","0.284666667","100","1.940995223","4.044444444","7.311111111","9.488888889","2.156661359","2.156661359","16.8"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00006","","","","3","31.8103485","33.04444444","1.722013","0.801028","9.955555556","0.844408","2.553925","4.8934302","4.6098919","69.87222596","15.5496769","1","73","50","29","30","29","8","7","2.385303","1","47.9300613","63.9949799","28.24367089","1","59.3495935","21.11111111","1","23.9602509","16.0970135","123","4.24137931","20.78","19","1.78","8.96","23.08888889","29.74","0.260273973","0.0356","0.168943089","4.1","2.517241379","2.433333333","0.716551724","0.692666667","0.308965517","0.298666667","96.66666667","5.869034811","21.83908046","23.88505747","10.29885057","6.52114979","6.746017024","34.18390805"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00007","","","","5","","14.95555556","","","3.333333333","","","","","77.71173848","","1","48","33","27","30","27","","","","3","","","","3","59.25925926","9.533333333","3","","","81","3","10.46","8.58","1.88","3","11.62222222","13.46","0.17875","0.056969697","0.129135802","2.7","1.777777778","1.6","0.387407407","0.348666667","0.111111111","0.1","90","","10.59259259","12.91358025","3.703703704","","","16.61728395"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00008","","","","3","31.3139534","27.42222222","1.458128","0.690386","10.02222222","2.166914","6.614234","4.9127069","9.4648514","63.45218801","9.90592","1","70","69","30","30","30","6","6","1.438068","1","50.574585","58.841156","26.6001994","3","50.35971223","13.93333333","5","20.3156967","13.9985752","139","4.633333333","15.66","12.54","3.12","9.02","17.4","24.68","0.179142857","0.045217391","0.112661871","4.633333333","2.333333333","2.333333333","0.522","0.522","0.300666667","0.300666667","100","4.165591226","13.93333333","17.4","10.02222222","4.628434696","4.628434696","27.42222222"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00009","","","","1","","31.84444444","","","11.77777778","","","","","63.01465457","","1","59","45","29","30","29","","","","1","","","","7","56.73076923","17.84444444","3","","","104","3.586206897","18.06","16.06","2","10.6","20.06666667","28.66","0.27220339","0.044444444","0.173653846","3.466666667","2.034482759","1.966666667","0.622758621","0.602","0.365517241","0.353333333","96.66666667","","18.45977011","20.75862069","12.18390805","","","32.94252874"
