"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00019","","","","3","0","1.422765","0.755639","1.736382","2.901083","2","28","20","30","25","30","21","2","4","3.599365","3","71.4528503","41.00833664","4","3","11.5004168","7","1","1","3.54","0.94","1.74","4.48","6.22","48","0.126428571","0.047","0.093333333","1.92","1.6","1.12","0.933333333","0.1792","0.149333333","0.0696","0.058","58.33333333","72.02572347","83.33333333","1.837173481","3.933333333","4.72","4.977777778","5.973333333","1.933333333","2.32","2.041303868","2.449564642","6.911111111","8.293333333"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00002","","","","7","38.4548492","2.582624","1.5223221","6.677968","10.1309471","1","16","38","30","25","30","24","7","6","5.101295","5","48.491394","24.32753165","5","3","14.3673372","7","1","1","1.9","1.28","1.08","3.18","4.26","54","0.11875","0.033684211","0.058888889","2.16","1.8","0.64","0.533333333","0.1272","0.106","0.0432","0.036","29.62962963","74.64788732","83.33333333","0.773615506","2.111111111","2.533333333","3.533333333","4.24","1.2","1.44","0.859572785","1.031487342","4.733333333","5.68"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00020","","","","3","0.050333","1.834568","1.06662","0","0.540763","1","0","13","25","20","30","9","2","8","4.3053551","2","70.8158722","40.68064899","3","5","12.2974033","8","3","1","0","0.52","4.14","0.52","4.66","13","","0.04","0.04","0.65","0.433333333","0","0","0.026","0.017333333","0.207","0.138","0","11.15879828","66.66666667","0.211539375","0","0","0.577777778","0.866666667","4.6","6.9","0.23504375","0.352565625","5.177777778","7.766666667"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00021","","","","3","0","1.963119","0.942784","2.2657189","3.7849481","1","40","18","30","26","30","23","3","8","4.6643581","3","69.1450348","40.13806706","2","2","9.8773212","7","1","1","6.52","0.9","2.76","7.42","10.18","58","0.163","0.05","0.127931034","2.230769231","1.933333333","1.538461538","1.333333333","0.285384615","0.247333333","0.106153846","0.092","68.96551724","72.88801572","86.66666667","2.978244576","7.244444444","8.358974359","8.244444444","9.512820513","3.066666667","3.538461538","3.30916064","3.818262277","11.31111111","13.05128205"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00022","","","","3","0","1.655867","0.760054","1.015801","1.833691","1","13","7","26","24","30","11","5","3","4.1484909","3","70.8646011","40.73634204","3","3","13.0030174","6","1","1","1.76","0.32","2.34","2.08","4.42","20","0.135384615","0.045714286","0.104","0.833333333","0.666666667","0.541666667","0.433333333","0.086666667","0.069333333","0.0975","0.078","65","47.05882353","80","0.847315914","1.955555556","2.444444444","2.311111111","2.888888889","2.6","3.25","0.941462127","1.176827659","4.911111111","6.138888889"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00023","","","","3","","","","","","1","0","3","15","7","15","2","","","","1","","","4","8","","7","1","1","0","0.22","0.3","0.22","0.52","3","","0.073333333","0.073333333","0.428571429","0.2","0","0","0.031428571","0.014666667","0.042857143","0.02","0","42.30769231","46.66666667","","0","0","0.488888889","1.047619048","0.666666667","1.428571429","","","1.155555556","2.476190476"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00024","","","","3","","","","","","1","0","5","18","11","30","4","","","","1","","","3","7","","7","1","1","0","0.24","0.14","0.24","0.38","5","","0.048","0.048","0.454545455","0.166666667","0","0","0.021818182","0.008","0.012727273","0.004666667","0","63.15789474","36.66666667","","0","0","0.266666667","0.727272727","0.155555556","0.424242424","","","0.422222222","1.151515152"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00025","","","","5","","","","","","1","8","7","27","20","30","13","","","","3","","","3","5","","8","2","1","0.78","0.36","1","1.14","2.14","15","0.0975","0.051428571","0.076","0.75","0.5","0.4","0.266666667","0.057","0.038","0.05","0.033333333","53.33333333","53.27102804","66.66666667","","0.866666667","1.3","1.266666667","1.9","1.111111111","1.666666667","","","2.377777778","3.566666667"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00026","","","","5","","","","","","1","10","32","30","26","30","14","","","","3","","","3","4","","7","1","1","0.84","0.78","0.26","1.62","1.88","42","0.084","0.024375","0.038571429","1.615384615","1.4","0.384615385","0.333333333","0.062307692","0.054","0.01","0.008666667","23.80952381","86.17021277","86.66666667","","0.933333333","1.076923077","1.8","2.076923077","0.288888889","0.333333333","","","2.088888889","2.41025641"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00027","","","","3","2.4708614","1.889899","0.988751","1.689564","2.640563","1","8","48","30","30","30","24","2","6","3.8413301","3","66.0850983","31.95855748","3","4","13.5444279","7","3","1","1.54","0.86","0.34","2.4","2.74","56","0.1925","0.017916667","0.042857143","1.866666667","1.866666667","0.266666667","0.266666667","0.08","0.08","0.011333333","0.011333333","14.28571429","87.59124088","100","0.76700538","1.711111111","1.711111111","2.666666667","2.666666667","0.377777778","0.377777778","0.852228199","0.852228199","3.044444444","3.044444444"
