"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00001","","","","31.1197128","1.64573","0.887954","6.6968451","9.5457287","7","1","30","30","26","26","20","60","6","6","2.374445","5","52.4808846","24.664297","1","3","16.501585","6","3","5","3.5","3.44","11.78","6.94","18.72","80","0.175","0.057333333","0.08675","3.076923077","2.666666667","0.769230769","0.666666667","0.266923077","0.231333333","0.453076923","0.392666667","25","37.07264957","86.66666667","1.711702212","3.888888889","4.487179487","7.711111111","8.897435897","13.08888889","15.1025641","1.901891346","2.194490015","20.8","24"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00010","","","","","","","","","3","2","30","26","18","18","0","","","","","","","","","","","9","1","3","0","","0.19","","","","","","","","","0","0","","","0.010555556","0.006333333","","","60","","0","0","","","0.211111111","0.351851852","","","",""
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00011","","","","","","","","","5","1","30","29","15","6","0","6","","","","3","","","5","9","","6","3","3","0","0.32","3.4","0.32","3.72","6","","0.053333333","0.053333333","0.4","0.2","0","0","0.021333333","0.010666667","0.226666667","0.113333333","0","8.602150538","50","","0","0","0.355555556","0.711111111","3.777777778","7.555555556","","","4.133333333","8.266666667"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00012","","","","0","1.50886","0.784682","0.458721","1.8219531","5","1","30","27","23","20","28","31","4","3","3.8074701","5","71.6758881","40.00791452","5","3","16.4126282","6","1","3","4.1","2","4.88","6.1","10.98","59","0.146428571","0.064516129","0.103389831","2.565217391","1.966666667","1.217391304","0.933333333","0.265217391","0.203333333","0.212173913","0.162666667","47.45762712","55.55555556","76.66666667","2.440482786","4.555555556","5.942028986","6.777777778","8.84057971","5.422222222","7.072463768","2.71164754","3.536931574","12.2","15.91304348"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00013","","","","0","1.1703759","0.694267","3.4491739","5.1201668","3","1","30","30","30","30","32","25","4","4","2.5114141","5","67.0963745","37.01723113","5","1","13.7076178","6","1","1","8.5","1.24","8.24","9.74","17.98","57","0.265625","0.0496","0.170877193","1.9","1.9","1.066666667","1.066666667","0.324666667","0.324666667","0.274666667","0.274666667","56.14035088","54.17130145","100","3.605478312","9.444444444","9.444444444","10.82222222","10.82222222","9.155555556","9.155555556","4.006087013","4.006087013","19.97777778","19.97777778"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00014","","","","42.3468819","1.636813","0.919865","5.8707719","9.0973825","5","3","30","22","21","21","18","26","8","6","2.3838251","5","52.0319328","24.71998428","3","3","21.6306419","8","1","1","3.46","1.4","2.92","4.86","7.78","44","0.192222222","0.053846154","0.110454545","2.095238095","1.466666667","0.857142857","0.6","0.231428571","0.162","0.139047619","0.097333333","40.90909091","62.46786632","70","1.201391236","3.844444444","5.492063492","5.4","7.714285714","3.244444444","4.634920635","1.334879151","1.906970216","8.644444444","12.34920635"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00015","","","","10.9314728","1.405117","0.765471","2.52068","4.0324211","3","1","30","30","30","15","6","17","6","5","1.9811291","1","63.088604","29.47138315","3","5","17.3191586","6","1","3","0.78","0.94","4.14","1.72","5.86","23","0.13","0.055294118","0.074782609","0.766666667","0.766666667","0.2","0.2","0.057333333","0.057333333","0.138","0.138","26.08695652","29.35153584","100","0.50690779","0.866666667","0.866666667","1.911111111","1.911111111","4.6","4.6","0.563230878","0.563230878","6.511111111","6.511111111"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00016","","","","","","","","","3","1","30","19","14","4","0","8","","","","1","","","5","9","","5","5","7","0","0.32","1.62","0.32","1.94","8","","0.04","0.04","0.571428571","0.266666667","0","0","0.022857143","0.010666667","0.115714286","0.054","0","16.49484536","46.66666667","","0","0","0.355555556","0.761904762","1.8","3.857142857","","","2.155555556","4.619047619"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00017","","","","0","1.311473","0.800934","1.963943","3.9609261","5","1","30","29","24","23","27","16","3","8","2.6076789","3","72.9296494","41.12443483","3","3","14.3623228","6","1","1","5.66","1.28","7.06","6.94","14","43","0.20962963","0.08","0.161395349","1.791666667","1.433333333","1.125","0.9","0.289166667","0.231333333","0.294166667","0.235333333","62.79069767","49.57142857","80","2.854035777","6.288888889","7.861111111","7.711111111","9.638888889","7.844444444","9.805555556","3.171150864","3.963938579","15.55555556","19.44444444"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00018","","","","","","","","","3","2","30","29","14","14","0","","","","","","","","","","","5","3","5","0","","2.64","","","","","","","","","0","0","","","0.188571429","0.088","","","46.66666667","","0","0","","","2.933333333","6.285714286","","","",""
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00019","","","","11.6575184","1.535798","0.868675","4.411808","6.7011662","1","1","30","29","18","16","7","6","6","8","3.4579639","3","62.2308884","29.60460958","3","3","10.7059641","7","1","3","1.24","0.44","8.6","1.68","10.28","13","0.177142857","0.073333333","0.129230769","0.722222222","0.433333333","0.388888889","0.233333333","0.093333333","0.056","0.477777778","0.286666667","53.84615385","16.34241245","60","0.497357441","1.377777778","2.296296296","1.866666667","3.111111111","9.555555556","15.92592593","0.552619379","0.921032298","11.42222222","19.03703704"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00002","","","","","","","","","3","1","30","27","20","8","5","16","","","","5","","","3","3","","6","2","3","1.16","0.66","11.24","1.82","13.06","21","0.232","0.04125","0.086666667","1.05","0.7","0.25","0.166666667","0.091","0.060666667","0.562","0.374666667","23.80952381","13.93568147","66.66666667","","1.288888889","1.933333333","2.022222222","3.033333333","12.48888889","18.73333333","","","14.51111111","21.76666667"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00020","","","","0","1.041576","0.649509","2.097657","3.4101019","3","3","30","30","28","28","32","18","4","4","1.874512","5","66.7423859","38.93717898","5","3","19.7249126","6","1","1","6.7","1.24","6.44","7.94","14.38","50","0.209375","0.068888889","0.1588","1.785714286","1.666666667","1.142857143","1.066666667","0.283571429","0.264666667","0.23","0.214666667","64","55.21557719","93.33333333","3.091612011","7.444444444","7.976190476","8.822222222","9.452380952","7.155555556","7.666666667","3.435124457","3.680490489","15.97777778","17.11904762"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00021","","","","0","1.202484","0.725688","3.020036","4.9537449","1","1","30","30","25","25","30","36","2","8","2.1219881","3","71.8166122","35.62487582","3","3","11.6774902","7","1","1","5.34","1.84","0.53","7.18","7.71","66","0.178","0.051111111","0.108787879","2.64","2.2","1.2","1","0.2872","0.239333333","0.0212","0.017666667","45.45454545","93.12581064","83.33333333","2.557866084","5.933333333","7.12","7.977777778","9.573333333","0.588888889","0.706666667","2.842073427","3.410488112","8.566666667","10.28"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00022","","","","","","","","","1","1","30","20","10","1","1","2","","","","1","","","3","5","","5","4","7","0.32","0.26","0.38","0.58","0.96","3","0.32","0.13","0.193333333","0.3","0.1","0.1","0.033333333","0.058","0.019333333","0.038","0.012666667","33.33333333","60.41666667","33.33333333","","0.355555556","1.066666667","0.644444444","1.933333333","0.422222222","1.266666667","","","1.066666667","3.2"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00023","","","","0","1.404767","0.85554","1.976791","3.674552","3","3","30","29","19","14","3","4","3","8","2.4233971","3","70.5581436","43.59229088","1","5","15.4977217","6","3","3","1.1","0.36","5.82","1.46","7.28","7","0.366666667","0.09","0.208571429","0.368421053","0.233333333","0.157894737","0.1","0.076842105","0.048666667","0.306315789","0.194","42.85714286","20.05494505","63.33333333","0.636447447","1.222222222","1.929824561","1.622222222","2.561403509","6.466666667","10.21052632","0.70716383","1.116574468","8.088888889","12.77192982"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00024","","","","4.4955902","1.517223","0.809021","2.2868259","3.9076049","3","1","30","30","29","27","3","27","6","5","2.9172881","3","64.3251877","34.7929463","1","5","15.824789","7","3","3","3","1.16","7.52","4.16","11.68","30","1","0.042962963","0.138666667","1.034482759","1","0.103448276","0.1","0.143448276","0.138666667","0.259310345","0.250666667","10","35.61643836","96.66666667","1.447386566","3.333333333","3.448275862","4.622222222","4.781609195","8.355555556","8.643678161","1.608207296","1.66366272","12.97777778","13.42528736"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00025","","","","","","","","","3","1","30","24","16","14","3","8","","","","1","","","3","5","","7","3","5","0.52","0.44","5.32","0.96","6.28","11","0.173333333","0.055","0.087272727","0.6875","0.366666667","0.1875","0.1","0.06","0.032","0.3325","0.177333333","27.27272727","15.2866242","53.33333333","","0.577777778","1.083333333","1.066666667","2","5.911111111","11.08333333","","","6.977777778","13.08333333"
"","","GHP2017TON-ST01","","","","","","","","","GHP2017TON-ST01-00026","","","","35.5165253","2.190105","1.365325","3.718024","6.6881142","5","1","30","28","15","15","16","21","7","6","3.4271259","5","46.3375397","22.17598098","3","3","27.8810425","8","1","1","2.26","1.44","2.38","3.7","6.08","37","0.14125","0.068571429","0.1","2.466666667","1.233333333","1.066666667","0.533333333","0.246666667","0.123333333","0.158666667","0.079333333","43.24324324","60.85526316","50","0.820511296","2.511111111","5.022222222","4.111111111","8.222222222","2.644444444","5.288888889","0.911679218","1.823358436","6.755555556","13.51111111"
