"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00001","","","","3","2.38","2.49","0.75","17.3","50.3","0.72","","1","19","56","34","30","34","30","3","8","3.58","2","66.25","5","4","11.23","4","4","2.3","2.2","25","4.5","29.5","75","0.121052632","0.039285714","0.06","2.5","2.205882353","0.633333333","0.558823529","0.15","0.132352941","0.833333333","0.735294118","25.33333333","15.25423729","88.23529412","34.39363817","1.547713718","2.254901961","2.555555556","4.411764706","5","24.50980392","27.77777778","1.51736639","1.719681909","28.92156863","32.77777778"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00010","","","","2","4.5","2.14","0.79","15.6","50.45","0.3","","1","57","46","34","30","34","26","1","8","2.76","1","69.18","5","7","11.45","4","5","10.6","2","32","12.6","44.6","103","0.185964912","0.043478261","0.122330097","3.433333333","3.029411765","1.9","1.676470588","0.42","0.370588235","1.066666667","0.941176471","55.33980583","28.25112108","88.23529412","30.92170466","3.896134787","10.39215686","11.77777778","12.35294118","14","31.37254902","35.55555556","3.819739987","4.329038652","43.7254902","49.55555556"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00011","","","","3","3.84","2.42","0.68","18.6","50.64","0.95","0.01","1","65","56","34","30","34","30","2","9","2.75","2","66.81","4","5","11.95","3","4","6.6","2","20","8.6","28.6","121","0.101538462","0.035714286","0.07107438","4.033333333","3.558823529","2.166666667","1.911764706","0.286666667","0.252941176","0.666666667","0.588235294","53.71900826","30.06993007","88.23529412","36.72985782","3.158767773","6.470588235","7.333333333","8.431372549","9.555555556","19.60784314","22.22222222","3.09683115","3.509741969","28.03921569","31.77777778"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00012","","","","2","1.19","2.69","0.88","15.8","50.6","0.87","","1","15","37","34","30","34","25","4","8","5.16","1","63.45","4","4","12.64","4","5","19","0.9","30","19.9","49.9","52","1.266666667","0.024324324","0.382692308","1.733333333","1.529411765","0.5","0.441176471","0.663333333","0.585294118","1","0.882352941","28.84615385","39.87975952","88.23529412","31.22529644","6.213833992","18.62745098","21.11111111","19.50980392","22.11111111","29.41176471","33.33333333","6.09199411","6.904259991","48.92156863","55.44444444"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00013","","","","3","1.43","2.56","0.81","15.5","50.34","1.4","0.37","1","53","70","34","30","34","29","3","5","4.29","2","62.6","5","6","15.43","3","4","8.7","3.9","10","12.6","22.6","123","0.164150943","0.055714286","0.102439024","4.1","3.617647059","1.766666667","1.558823529","0.42","0.370588235","0.333333333","0.294117647","43.08943089","55.75221239","88.23529412","30.79062376","3.879618594","8.529411765","9.666666667","12.35294118","14","9.803921569","11.11111111","3.803547641","4.310687326","22.15686275","25.11111111"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00014","","","","2","16.73","2.69","1.04","15.1","50.48","1.04","0.81","1","21","55","34","30","34","25","6","2","2.57","2","59.34","6","4","16.49","3","4","2.3","1.7","15","4","19","76","0.10952381","0.030909091","0.052631579","2.533333333","2.235294118","0.7","0.617647059","0.133333333","0.117647059","0.5","0.441176471","27.63157895","21.05263158","88.23529412","29.91283677","1.196513471","2.254901961","2.555555556","3.921568627","4.444444444","14.70588235","16.66666667","1.173052422","1.329459412","18.62745098","21.11111111"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00015","","","","3","18.59","3.01","0.97","16.6","50.23","0.5","","1","43","78","34","30","34","30","7","5","4.81","3","55.58","5","4","20.84","4","5","8.9","5.1","26.5","14","40.5","121","0.206976744","0.065384615","0.115702479","4.033333333","3.558823529","1.433333333","1.264705882","0.466666667","0.411764706","0.883333333","0.779411765","35.53719008","34.56790123","88.23529412","33.0479793","4.626717101","8.725490196","9.888888889","13.7254902","15.55555556","25.98039216","29.44444444","4.535997158","5.140796779","39.70588235","45"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00016","","","","3","1.38","2.53","0.79","17.3","50.45","0.74","","1","20","33","34","29","34","23","3","8","4.08","3","67.53","5","6","9.34","5","6","2.6","1.4","27.5","4","31.5","53","0.13","0.042424242","0.075471698","1.827586207","1.558823529","0.689655172","0.588235294","0.137931034","0.117647059","0.948275862","0.808823529","37.73584906","12.6984127","85.29411765","34.2913776","1.371655104","2.549019608","2.988505747","3.921568627","4.597701149","26.96078431","31.6091954","1.344759906","1.576615062","30.88235294","36.20689655"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00017","","","","2","18.88","3.19","1.29","16.2","50","1.55","0.87","1","15","54","34","30","34","20","6","2","4.85","2","53.95","5","3","17.78","3","4","1.5","1.4","22.5","2.9","25.4","69","0.1","0.025925926","0.042028986","2.3","2.029411765","0.5","0.441176471","0.096666667","0.085294118","0.75","0.661764706","21.73913043","11.41732283","88.23529412","32.4","0.9396","1.470588235","1.666666667","2.843137255","3.222222222","22.05882353","25","0.921176471","1.044","24.90196078","28.22222222"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00018","","","","2","2.65","2.63","0.82","17.9","50.66","0.51","0.11","1","40","48","34","28","34","26","2","9","3.76","1","64.87","4","2","12.85","3","4","5.3","1.2","25.5","6.5","32","88","0.1325","0.025","0.073863636","3.142857143","2.588235294","1.428571429","1.176470588","0.232142857","0.191176471","0.910714286","0.75","45.45454545","20.3125","82.35294118","35.33359653","2.296683774","5.196078431","6.30952381","6.37254902","7.738095238","25","30.35714286","2.251650759","2.73414735","31.37254902","38.0952381"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00019","","","","2","3.32","2.41","0.71","17.1","50.18","1.21","0.33","1","18","37","34","30","34","24","4","8","4.03","3","66.29","5","6","10.43","4","5","2.3","2.6","36.5","4.9","41.4","55","0.127777778","0.07027027","0.089090909","1.833333333","1.617647059","0.6","0.529411765","0.163333333","0.144117647","1.216666667","1.073529412","32.72727273","11.83574879","88.23529412","34.07732164","1.66978876","2.254901961","2.555555556","4.803921569","5.444444444","35.78431373","40.55555556","1.637047804","1.855320845","40.58823529","46"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00002","","","","1","14","3.1","1.22","16","50.4","0.42","","1","33","45","34","30","34","29","7","5","4.82","3","59.45","5","6","15.56","6","6","5.5","2","13","7.5","20.5","78","0.166666667","0.044444444","0.096153846","2.6","2.294117647","1.1","0.970588235","0.25","0.220588235","0.433333333","0.382352941","42.30769231","36.58536585","88.23529412","31.74603175","2.380952381","5.392156863","6.111111111","7.352941176","8.333333333","12.74509804","14.44444444","2.33426704","2.645502646","20.09803922","22.77777778"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00020","","","","3","2.86","2.26","0.9","19.5","50.01","0.32","","1","23","73","34","26","34","20","2","7","3.9","2","69.26","5","4","8.57","5","5","3.1","1.6","27","4.7","31.7","96","0.134782609","0.021917808","0.048958333","3.692307692","2.823529412","0.884615385","0.676470588","0.180769231","0.138235294","1.038461538","0.794117647","23.95833333","14.82649842","76.47058824","38.99220156","1.832633473","3.039215686","3.974358974","4.607843137","6.025641026","26.47058824","34.61538462","1.796699484","2.349530094","31.07843137","40.64102564"
"","","GHP2012PKS-AT01","","","","","","","","","GHP2012PKS-AT01-00021","","","","2","0.39","2.26","0.59","15.2","50.3","1.98","1","1","70","68","34","29","34","29","3","5","2.77","1","63","4","5","14.06","3","4","10.8","2","10","12.8","22.8","138","0.154285714","0.029411765","0.092753623","4.75862069","4.058823529","2.413793103","2.058823529","0.44137931","0.376470588","0.344827586","0.294117647","50.72463768","56.14035088","85.29411765","30.21868787","3.867992048","10.58823529","12.4137931","12.54901961","14.71264368","9.803921569","11.49425287","3.792149066","4.445967871","22.35294118","26.20689655"
