"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00037","","","","39.9492912","1.641888","0.943006","3.250304","4.9426012","3","1","10","8","10","8","10","10","8","8","2.2696691","3","47.5022659","25.24310379","1","3","31.5992279","7","2","1","1.8","0.5","0.4","2.3","2.7","20","0.18","0.05","0.115","2.5","2","1.25","1","0.2875","0.23","0.05","0.04","50","85.18518519","80","0.580591387","6","7.5","7.666666667","9.583333333","1.333333333","1.666666667","1.935304624","2.41913078","9","11.25"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00038","","","","0","1.371731","0.846044","1.420118","2.624541","3","3","10","10","10","9","8","19","3","8","2.1490149","1","66.0758514","33.72804421","3","3","21.2615204","8","1","1","1.5","1.1","2.6","2.6","5.2","27","0.1875","0.057894737","0.096296296","2.7","2.7","0.8","0.8","0.26","0.26","0.26","0.26","29.62962963","50","100","0.876929149","5","5","8.666666667","8.666666667","8.666666667","8.666666667","2.923097165","2.923097165","17.33333333","17.33333333"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00039","","","","","","","","","1","1","9","7","10","3","0","8","","","","1","","","3","9","","7","3","1","0","0.3","1.4","0.3","1.7","8","","0.0375","0.0375","1.142857143","0.8","0","0","0.042857143","0.03","0.2","0.14","0","17.64705882","70","","0","0","1","1.428571429","4.666666667","6.666666667","","","5.666666667","8.095238095"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00004","","","","31.6164627","2.0489399","1.2187051","3.7343531","6.242362","3","1","2","2","10","2","5","4","7","6","2.9313469","1","52.6638718","24.93069307","3","3","23.9134769","7","1","1","1.2","0.3","0.7","1.5","2.2","9","0.24","0.075","0.166666667","4.5","0.9","2.5","0.5","0.75","0.15","0.35","0.07","55.55555556","68.18181818","20","0.373960396","4","20","5","25","2.333333333","11.66666667","1.246534654","6.232673268","7.333333333","36.66666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00040","","","","0","1.206411","0.581072","0.797073","1.5238481","1","1","10","6","10","5","4","6","5","4","1.796326","1","72.3524551","38.6390768","1","3","14.6495523","7","1","1","1.1","0.4","0.9","1.5","2.4","10","0.275","0.066666667","0.15","1.666666667","1","0.666666667","0.4","0.25","0.15","0.15","0.09","40","62.5","60","0.579586152","3.666666667","6.111111111","5","8.333333333","3","5","1.93195384","3.219923067","8","13.33333333"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00041","","","","24.613102","1.6448179","0.939418","1.541573","2.3920181","3","1","10","10","10","10","9","22","7","5","2.5571821","3","63.9181213","30.9755613","5","3","20.086977","6","1","1","1.9","1.5","1.3","3.4","4.7","31","0.211111111","0.068181818","0.109677419","3.1","3.1","0.9","0.9","0.34","0.34","0.13","0.13","29.03225806","72.34042553","100","1.053169084","6.333333333","6.333333333","11.33333333","11.33333333","4.333333333","4.333333333","3.510563614","3.510563614","15.66666667","15.66666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00042","","","","","","","","","5","3","6","5","10","5","2","11","","","","5","","","3","3","","7","1","1","0.7","0.6","0.7","1.3","2","13","0.35","0.054545455","0.1","2.6","1.3","0.4","0.2","0.26","0.13","0.14","0.07","15.38461538","65","50","","2.333333333","4.666666667","4.333333333","8.666666667","2.333333333","4.666666667","","","6.666666667","13.33333333"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00043","","","","","","","","","3","1","10","7","10","3","3","4","","","","3","","","1","5","","7","1","1","0.6","0.1","0.9","0.7","1.6","7","0.2","0.025","0.1","1","0.7","0.428571429","0.3","0.1","0.07","0.128571429","0.09","42.85714286","43.75","70","","2","2.857142857","2.333333333","3.333333333","3","4.285714286","","","5.333333333","7.619047619"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00044","","","","18.5289879","1.6602221","0.879874","1.813085","3.229229","1","3","10","10","10","10","13","12","7","7","2.915895","5","66.2640762","33.26061087","3","3","16.41012","7","1","1","2.9","0.7","2","3.6","5.6","25","0.223076923","0.058333333","0.144","2.5","2.5","1.3","1.3","0.36","0.36","0.2","0.2","52","64.28571429","100","1.197381991","9.666666667","9.666666667","12","12","6.666666667","6.666666667","3.991273304","3.991273304","18.66666667","18.66666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00045","","","","38.8677292","2.014045","0.6666","4.1005702","4.185173","3","1","10","10","10","10","16","13","8","8","1.6601911","3","52.2230377","31.1260904","3","1","17.8696156","9","1","1","4.3","0.8","2.5","5.1","7.6","29","0.26875","0.061538462","0.175862069","2.9","2.9","1.6","1.6","0.51","0.51","0.25","0.25","55.17241379","67.10526316","100","1.58743061","14.33333333","14.33333333","17","17","8.333333333","8.333333333","5.291435368","5.291435368","25.33333333","25.33333333"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00046","","","","1.8613052","1.6542439","0.899615","2.780189","4.2177629","1","1","10","9","10","9","12","26","4","4","2.6228471","3","63.5188141","32.76100257","3","3","18.3161945","8","1","1","1.2","1.4","2.1","2.6","4.7","38","0.1","0.053846154","0.068421053","4.222222222","3.8","1.333333333","1.2","0.288888889","0.26","0.233333333","0.21","31.57894737","55.31914894","90","0.851786067","4","4.444444444","8.666666667","9.62962963","7","7.777777778","2.839286889","3.15476321","15.66666667","17.40740741"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00047","","","","0","1.431188","0.753755","0.615492","1.1095541","3","3","10","9","10","9","9","15","4","8","2.7426679","3","71.1469345","40.69905213","3","3","17.5998268","8","1","1","1.9","0.8","0.7","2.7","3.4","24","0.211111111","0.053333333","0.1125","2.666666667","2.4","1","0.9","0.3","0.27","0.077777778","0.07","37.5","79.41176471","90","1.098874408","6.333333333","7.037037037","9","10","2.333333333","2.592592593","3.662914692","4.069905213","11.33333333","12.59259259"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00048","","","","49.8117638","1.3674949","0.539451","1.984084","3.1292419","1","3","10","10","10","10","11","22","9","9","2.2874391","1","65.9482803","33.49871006","3","3","18.2321777","8","1","1","2.2","1.1","1.8","3.3","5.1","33","0.2","0.05","0.1","3.3","3.3","1.1","1.1","0.33","0.33","0.18","0.18","33.33333333","64.70588235","100","1.105457432","7.333333333","7.333333333","11","11","6","6","3.684858107","3.684858107","17","17"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00049","","","","0","1.390795","0.782694","1.701458","2.9215701","1","3","10","10","10","10","13","26","2","7","2.0116839","3","69.2149963","33.35318642","3","3","15.2212334","9","1","1","3.3","1.6","2.5","4.9","7.4","39","0.253846154","0.061538462","0.125641026","3.9","3.9","1.3","1.3","0.49","0.49","0.25","0.25","33.33333333","66.21621622","100","1.634306135","11","11","16.33333333","16.33333333","8.333333333","8.333333333","5.447687115","5.447687115","24.66666667","24.66666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00005","","","","","","","","","7","1","10","4","10","4","3","7","","","","5","","","3","5","","6","4","5","0.4","0.3","0.7","0.7","1.4","10","0.133333333","0.042857143","0.07","2.5","1","0.75","0.3","0.175","0.07","0.175","0.07","30","50","40","","1.333333333","3.333333333","2.333333333","5.833333333","2.333333333","5.833333333","","","4.666666667","11.66666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00050","","","","6.6615162","1.4614429","0.781348","1.7143641","2.463726","1","3","10","10","10","7","15","30","5","7","2.138109","3","63.049736","32.45875571","3","3","20.7219677","8","1","1","4.3","1.7","2.3","6","8.3","45","0.286666667","0.056666667","0.133333333","4.5","4.5","1.5","1.5","0.6","0.6","0.23","0.23","33.33333333","72.28915663","100","1.947525343","14.33333333","14.33333333","20","20","7.666666667","7.666666667","6.491751142","6.491751142","27.66666667","27.66666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00051","","","","","","","","","1","1","10","9","10","9","2","12","","","","3","","","5","3","","7","1","1","0.5","0.8","2","1.3","3.3","14","0.25","0.066666667","0.092857143","1.555555556","1.4","0.222222222","0.2","0.144444444","0.13","0.222222222","0.2","14.28571429","39.39393939","90","","1.666666667","1.851851852","4.333333333","4.814814815","6.666666667","7.407407407","","","11","12.22222222"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00052","","","","37.4667664","1.160677","0.556726","1.4878989","2.597434","1","1","10","8","10","8","8","36","9","9","2.208483","1","69.4197388","37.03482587","1","3","15.7373686","7","1","1","2.3","1.5","3.5","3.8","7.3","44","0.2875","0.041666667","0.086363636","5.5","4.4","1","0.8","0.475","0.38","0.4375","0.35","18.18181818","52.05479452","80","1.407323383","7.666666667","9.583333333","12.66666667","15.83333333","11.66666667","14.58333333","4.691077944","5.863847429","24.33333333","30.41666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00006","","","","0.36059","1.568463","0.783305","0.863971","1.772463","3","1","9","4","10","2","6","0","4","5","2.4607351","1","68.8219833","36.11055876","1","7","16.0997772","6","2","1","0.6","0","0.4","0.6","1","6","0.1","","0.1","1.5","0.6","1.5","0.6","0.15","0.06","0.1","0.04","100","60","40","0.216663353","2","5","2","5","1.333333333","3.333333333","0.722211175","1.805527938","3.333333333","8.333333333"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00007","","","","48.647068","1.553293","0.62812","0.397944","1.357465","3","3","10","5","10","5","5","10","9","9","2.5389481","3","69.6847382","36.29879136","5","3","18.3324642","6","1","1","1.3","0.5","1.1","1.8","2.9","15","0.26","0.05","0.12","3","1.5","1","0.5","0.36","0.18","0.22","0.11","33.33333333","62.06896552","50","0.653378244","4.333333333","8.666666667","6","12","3.666666667","7.333333333","2.177927482","4.355854963","9.666666667","19.33333333"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00008","","","","0","1.1266741","0.448533","1.210598","1.8816","3","3","10","10","10","10","14","12","3","7","1.936115","3","76.7101669","44.1958042","3","3","13.0317411","6","1","3","3.8","0.5","1.3","4.3","5.6","26","0.271428571","0.041666667","0.165384615","2.6","2.6","1.4","1.4","0.43","0.43","0.13","0.13","53.84615385","76.78571429","100","1.900419581","12.66666667","12.66666667","14.33333333","14.33333333","4.333333333","4.333333333","6.334731935","6.334731935","18.66666667","18.66666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00009","","","","23.6481476","1.359773","0.582021","1.347279","2.2763901","5","3","10","10","10","9","8","12","","9","2.080889","3","70.1930313","","1","5","14.8976336","7","1","1","1.5","1.8","1.9","3.3","5.2","20","0.1875","0.15","0.165","2","2","0.8","0.8","0.33","0.33","0.19","0.19","40","63.46153846","100","","5","5","11","11","6.333333333","6.333333333","","","17.33333333","17.33333333"
