"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00019","","","","22.2891922","1.822455","1.007704","1.588011","2.9627941","3","1","10","6","10","6","7","15","6","5","3.1484849","5","52.3344307","28.14430935","1","3","30.8161507","7","1","1","1.7","0.9","1","2.6","3.6","22","0.242857143","0.06","0.118181818","3.666666667","2.2","1.166666667","0.7","0.433333333","0.26","0.166666667","0.1","31.81818182","72.22222222","60","0.731752043","5.666666667","9.444444444","8.666666667","14.44444444","3.333333333","5.555555556","2.439173477","4.065289128","12","20"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00002","","","","42.2329025","1.829987","1.135324","0.606468","1.987219","3","3","10","4","10","4","7","11","9","5","3.00985","5","67.2293472","32.59745426","5","3","19.8070164","8","1","1","1.7","0.5","2.4","2.2","4.6","18","0.242857143","0.045454545","0.122222222","4.5","1.8","1.75","0.7","0.55","0.22","0.6","0.24","38.88888889","47.82608696","40","0.717143994","5.666666667","14.16666667","7.333333333","18.33333333","8","20","2.390479979","5.976199948","15.33333333","38.33333333"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00020","","","","0","1.52864","0.849703","0.825314","1.624452","1","1","10","10","10","10","2","20","3","4","2.721998","3","66.3685608","34.24248457","1","3","21.972929","7","1","1","2","1.5","1.6","3.5","5.1","22","1","0.075","0.159090909","2.2","2.2","0.2","0.2","0.35","0.35","0.16","0.16","9.090909091","68.62745098","100","1.19848696","6.666666667","6.666666667","11.66666667","11.66666667","5.333333333","5.333333333","3.994956533","3.994956533","17","17"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00021","","","","0.6426182","1.678545","1.03023","1.430025","2.8098559","5","1","10","8","10","8","10","20","2","7","2.9122961","1","67.1810455","30.69758224","1","3","19.471138","9","1","1","2","1","1.4","3","4.4","30","0.2","0.05","0.1","3.75","3","1.25","1","0.375","0.3","0.175","0.14","33.33333333","68.18181818","80","0.920927467","6.666666667","8.333333333","10","12.5","4.666666667","5.833333333","3.069758224","3.83719778","14.66666667","18.33333333"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00022","","","","0","1.405454","0.765786","0.708694","1.7699341","3","1","10","7","10","7","11","24","4","4","2.029938","3","72.8063583","39.50298211","3","3","16.1709824","8","1","1","2.3","1","2.3","3.3","5.6","35","0.209090909","0.041666667","0.094285714","5","3.5","1.571428571","1.1","0.471428571","0.33","0.328571429","0.23","31.42857143","58.92857143","70","1.30359841","7.666666667","10.95238095","11","15.71428571","7.666666667","10.95238095","4.345328032","6.207611474","18.66666667","26.66666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00023","","","","12.2510204","2.0924621","0.994572","0.684138","1.9757479","1","1","10","8","10","2","5","3","6","8","2.895941","1","60.5089035","33.69672944","1","5","21.2753525","6","1","1","1","0.1","0.5","1.1","1.6","8","0.2","0.033333333","0.1375","1","0.8","0.625","0.5","0.1375","0.11","0.0625","0.05","62.5","68.75","80","0.370664024","3.333333333","4.166666667","3.666666667","4.583333333","1.666666667","2.083333333","1.235546746","1.544433433","5.333333333","6.666666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00024","","","","","","","","","3","3","10","8","10","8","11","24","","","","3","","","1","5","","7","1","1","1.7","1","0.6","2.7","3.3","35","0.154545455","0.041666667","0.077142857","4.375","3.5","1.375","1.1","0.3375","0.27","0.075","0.06","31.42857143","81.81818182","80","","5.666666667","7.083333333","9","11.25","2","2.5","","","11","13.75"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00025","","","","4.5725422","1.550113","0.802188","1.410609","2.257082","3","3","10","10","10","10","13","34","5","7","2.421638","3","64.6234055","35.86179508","1","5","21.6562996","6","1","1","2","1.7","1","3.7","4.7","47","0.153846154","0.05","0.078723404","4.7","4.7","1.3","1.3","0.37","0.37","0.1","0.1","27.65957447","78.72340426","100","1.326886418","6.666666667","6.666666667","12.33333333","12.33333333","3.333333333","3.333333333","4.422954727","4.422954727","15.66666667","15.66666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00026","","","","","","","","","1","1","10","8","10","8","1","11","","","","1","","","3","7","","5","4","5","1","0.3","0.3","1.3","1.6","12","1","0.027272727","0.108333333","1.5","1.2","0.125","0.1","0.1625","0.13","0.0375","0.03","8.333333333","81.25","80","","3.333333333","4.166666667","4.333333333","5.416666667","1","1.25","","","5.333333333","6.666666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00027","","","","","","","","","1","1","10","3","10","3","0","14","","","","1","","","5","7","","3","4","3","0","0.4","0.2","0.4","0.6","14","","0.028571429","0.028571429","4.666666667","1.4","0","0","0.133333333","0.04","0.066666667","0.02","0","66.66666667","30","","0","0","1.333333333","4.444444444","0.666666667","2.222222222","","","2","6.666666667"
