"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Dry weight of vines samples measuring g|CO_331:0000255","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00001","","","","4","1.844565034","1.320327997","14.83","0.0225","4","50.58","2.743793964","4.284122944","1","8","36","30","28","30","16","4.754288197","4","61.8143692","2","29.31988928","4","4","4","7.750961781","6","1","1","1.1","1.5","22.5","2.6","25.1","44","0.1375","0.041666667","0.059090909","1.571428571","1.466666667","0.285714286","0.266666667","0.092857143","0.086666667","0.803571429","0.75","18.18181818","10.35856574","93.33333333","0.762317121","1.222222222","1.30952381","2.888888889","3.095238095","25","26.78571429","0.847019024","0.907520383","27.88888889","29.88095238"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00010","","","","","","","","","","","","","","0","0","29","24","30","0","","","","","","","","","","5","3","5","0","0","23.3","0","23.3","0","","","","0","0","0","0","0","0","0.970833333","0.776666667","","0","80","","0","0","0","0","25.88888889","32.36111111","","","25.88888889","32.36111111"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00011","","","","4","1.987455964","1.173604012","16.88","0.0094","3","50.56","2.665240049","4.1534338","2","9","28","30","30","30","26","5.41296196","4","64.20252991","3","33.38607595","5","4","5","6.640275955","4","3","4","0.9","2.1","9.4","3","12.4","37","0.1","0.075","0.081081081","1.233333333","1.233333333","0.3","0.3","0.1","0.1","0.313333333","0.313333333","24.32432432","24.19354839","100","1.001582278","1","1","3.333333333","3.333333333","10.44444444","10.44444444","1.112869198","1.112869198","13.77777778","13.77777778"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00012","","","","3","2.040196896","1.18136704","17.98","0.0046","3","50.47","1.470088005","2.82941699","1","7","42","30","30","30","17","6.646603107","2","62.45607376","","35.62512384","4","4","3","6.298220158","4","6","7","0.8","1.4","4.6","2.2","6.8","49","0.114285714","0.033333333","0.044897959","1.633333333","1.633333333","0.233333333","0.233333333","0.073333333","0.073333333","0.153333333","0.153333333","14.28571429","32.35294118","100","0.783752724","0.888888889","0.888888889","2.444444444","2.444444444","5.111111111","5.111111111","0.87083636","0.87083636","7.555555556","7.555555556"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00013","","","","4","1.86658895","1.246713042","15.39","0.0268","4","50.41","2.550523996","3.758806944","2","11","14","30","30","30","16","4.758082867","3","61.74471283","","30.52965681","5","5","4","7.435536861","7","1","3","1.5","1.2","26.8","2.7","29.5","25","0.136363636","0.085714286","0.108","0.833333333","0.833333333","0.366666667","0.366666667","0.09","0.09","0.893333333","0.893333333","44","9.152542373","100","0.824300734","1.666666667","1.666666667","3","3","29.77777778","29.77777778","0.915889704","0.915889704","32.77777778","32.77777778"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00014","","","","4","2.389445066","1.486791968","14.29","0.0062","2","50.23","1.745699048","3.043390989","3","15","40","30","28","30","25","7.3965168","6","54.73684311","2","28.44913398","6","4","3","12.5559082","5","3","3","2.5","2.8","6.2","5.3","11.5","55","0.166666667","0.07","0.096363636","1.964285714","1.833333333","0.535714286","0.5","0.189285714","0.176666667","0.221428571","0.206666667","27.27272727","46.08695652","93.33333333","1.507804101","2.777777778","2.976190476","5.888888889","6.30952381","6.888888889","7.380952381","1.67533789","1.795004882","12.77777778","13.69047619"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00015","","","","","","","","","","","","","","0","0","24","24","30","0","","","","","","","","","","4","3","4","0","0","15","0","15","0","","","","0","0","0","0","0","0","0.625","0.5","","0","80","","0","0","0","0","16.66666667","20.83333333","","","16.66666667","20.83333333"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00016","","","","3","3.311009884","2.091095924","10.8","0.0102","4","50.85","5.346378803","8.601807594","4","0","30","30","26","30","21","8.895331383","7","39.28678131","3","21.23893805","5","4","4","14.54676914","4","4","4","0","3.5","10.2","3.5","13.7","30","","0.116666667","0.116666667","1.153846154","1","0","0","0.134615385","0.116666667","0.392307692","0.34","0","25.54744526","86.66666667","0.743362832","0","0","3.888888889","4.487179487","11.33333333","13.07692308","0.825958702","0.953029272","15.22222222","17.56410256"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00017","","","","4","1.939229012","1.072762966","17.88","0.0064","3","50.96","2.394501925","4.129641056","3","0","55","25","25","30","12","5.539597034","5","62.87812424","","35.08634223","5","3","3","5.669839859","4","5","7","0","0.5","6.4","0.5","6.9","55","","0.009090909","0.009090909","2.2","1.833333333","0","0","0.02","0.016666667","0.256","0.213333333","0","7.246376812","83.33333333","0.175431711","0","0","0.555555556","0.666666667","7.111111111","8.533333333","0.194924123","0.233908948","7.666666667","9.2"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00018","","","","5","","","","0.0192","","","","","1","0","16","30","28","30","3","","1","","","","4","2","","","6","3","5","0","0.5","19.2","0.5","19.7","16","","0.03125","0.03125","0.571428571","0.533333333","0","0","0.017857143","0.016666667","0.685714286","0.64","0","2.538071066","93.33333333","","0","0","0.555555556","0.595238095","21.33333333","22.85714286","","","21.88888889","23.45238095"
