"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00019","","","","3","1","12","20","10","14","10","3","4","5","3.8","1.4","3","5.2","8.2","32","0.316666667","0.07","0.1625","3.2","2.285714286","1.2","0.857142857","0.52","0.371428571","0.3","0.214285714","37.5","63.41463415","71.42857143","9.047619048","12.66666667","12.38095238","17.33333333","7.142857143","10","19.52380952","27.33333333"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00002","","","","1","1","11","17","9","14","8","1","5","5","2","1.1","19.2","3.1","22.3","28","0.181818182","0.064705882","0.110714286","3.111111111","2","1.222222222","0.785714286","0.344444444","0.221428571","2.133333333","1.371428571","39.28571429","13.90134529","64.28571429","4.761904762","7.407407407","7.380952381","11.48148148","45.71428571","71.11111111","53.0952381","82.59259259"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00020","","","","4","1","13","20","10","14","10","4","4","5","2.8","2.1","2.7","4.9","7.6","33","0.215384615","0.105","0.148484848","3.3","2.357142857","1.3","0.928571429","0.49","0.35","0.27","0.192857143","39.39393939","64.47368421","71.42857143","6.666666667","9.333333333","11.66666667","16.33333333","6.428571429","9","18.0952381","25.33333333"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00021","","","","3","1","23","44","10","14","10","2","5","5","4.3","3.2","5","7.5","12.5","67","0.186956522","0.072727273","0.111940299","6.7","4.785714286","2.3","1.642857143","0.75","0.535714286","0.5","0.357142857","34.32835821","60","71.42857143","10.23809524","14.33333333","17.85714286","25","11.9047619","16.66666667","29.76190476","41.66666667"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00022","","","","3","1","9","10","9","14","8","3","3","4","1.4","0.5","1.5","1.9","3.4","19","0.155555556","0.05","0.1","2.111111111","1.357142857","1","0.642857143","0.211111111","0.135714286","0.166666667","0.107142857","47.36842105","55.88235294","64.28571429","3.333333333","5.185185185","4.523809524","7.037037037","3.571428571","5.555555556","8.095238095","12.59259259"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00023","","","","3","2","7","12","10","14","6","2","4","4","1.1","0.7","2.2","1.8","4","19","0.157142857","0.058333333","0.094736842","1.9","1.357142857","0.7","0.5","0.18","0.128571429","0.22","0.157142857","36.84210526","45","71.42857143","2.619047619","3.666666667","4.285714286","6","5.238095238","7.333333333","9.523809524","13.33333333"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00024","","","","3","1","6","18","10","14","8","3","4","5","1","0.7","2","1.7","3.7","24","0.166666667","0.038888889","0.070833333","2.4","1.714285714","0.6","0.428571429","0.17","0.121428571","0.2","0.142857143","25","45.94594595","71.42857143","2.380952381","3.333333333","4.047619048","5.666666667","4.761904762","6.666666667","8.80952381","12.33333333"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00025","","","","3","2","12","19","10","14","10","3","5","6","2.8","1","2.2","3.8","6","31","0.233333333","0.052631579","0.122580645","3.1","2.214285714","1.2","0.857142857","0.38","0.271428571","0.22","0.157142857","38.70967742","63.33333333","71.42857143","6.666666667","9.333333333","9.047619048","12.66666667","5.238095238","7.333333333","14.28571429","20"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00026","","","","3","1","18","12","10","14","10","3","4","6","5.6","1.4","3.1","7","10.1","30","0.311111111","0.116666667","0.233333333","3","2.142857143","1.8","1.285714286","0.7","0.5","0.31","0.221428571","60","69.30693069","71.42857143","13.33333333","18.66666667","16.66666667","23.33333333","7.380952381","10.33333333","24.04761905","33.66666667"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00027","","","","2","2","7","13","6","14","5","2","5","5","1.3","0.9","1.6","2.2","3.8","20","0.185714286","0.069230769","0.11","3.333333333","1.428571429","1.166666667","0.5","0.366666667","0.157142857","0.266666667","0.114285714","35","57.89473684","42.85714286","3.095238095","7.222222222","5.238095238","12.22222222","3.80952381","8.888888889","9.047619048","21.11111111"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00028","","","","4","1","8","13","10","14","10","4","4","5","2.3","2.7","2.6","5","7.6","21","0.2875","0.207692308","0.238095238","2.1","1.5","0.8","0.571428571","0.5","0.357142857","0.26","0.185714286","38.0952381","65.78947368","71.42857143","5.476190476","7.666666667","11.9047619","16.66666667","6.19047619","8.666666667","18.0952381","25.33333333"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00029","","","","1","1","2","13","10","14","4","1","3","3","0.3","0.6","10","0.9","10.9","15","0.15","0.046153846","0.06","1.5","1.071428571","0.2","0.142857143","0.09","0.064285714","1","0.714285714","13.33333333","8.256880734","71.42857143","0.714285714","1","2.142857143","3","23.80952381","33.33333333","25.95238095","36.33333333"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00003","","","","1","1","9","25","10","14","4","1","4","5","2.3","1.1","12.8","3.4","16.2","34","0.255555556","0.044","0.1","3.4","2.428571429","0.9","0.642857143","0.34","0.242857143","1.28","0.914285714","26.47058824","20.98765432","71.42857143","5.476190476","7.666666667","8.095238095","11.33333333","30.47619048","42.66666667","38.57142857","54"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00030","","","","1","1","16","12","10","14","10","1","4","7","6","1.6","8.8","7.6","16.4","28","0.375","0.133333333","0.271428571","2.8","2","1.6","1.142857143","0.76","0.542857143","0.88","0.628571429","57.14285714","46.34146341","71.42857143","14.28571429","20","18.0952381","25.33333333","20.95238095","29.33333333","39.04761905","54.66666667"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00031","","","","1","1","36","47","10","14","10","1","6","7","9.4","2.5","5","11.9","16.9","83","0.261111111","0.053191489","0.143373494","8.3","5.928571429","3.6","2.571428571","1.19","0.85","0.5","0.357142857","43.37349398","70.41420118","71.42857143","22.38095238","31.33333333","28.33333333","39.66666667","11.9047619","16.66666667","40.23809524","56.33333333"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00032","","","","1","1","16","16","10","14","10","1","4","6","3.7","1.7","3.7","5.4","9.1","32","0.23125","0.10625","0.16875","3.2","2.285714286","1.6","1.142857143","0.54","0.385714286","0.37","0.264285714","50","59.34065934","71.42857143","8.80952381","12.33333333","12.85714286","18","8.80952381","12.33333333","21.66666667","30.33333333"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00033","","","","1","1","16","8","10","14","9","1","5","7","4.4","2","7","6.4","13.4","24","0.275","0.25","0.266666667","2.4","1.714285714","1.6","1.142857143","0.64","0.457142857","0.7","0.5","66.66666667","47.76119403","71.42857143","10.47619048","14.66666667","15.23809524","21.33333333","16.66666667","23.33333333","31.9047619","44.66666667"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00034","","","","1","1","5","15","10","14","10","1","4","4","0.6","1","8.2","1.6","9.8","20","0.12","0.066666667","0.08","2","1.428571429","0.5","0.357142857","0.16","0.114285714","0.82","0.585714286","25","16.32653061","71.42857143","1.428571429","2","3.80952381","5.333333333","19.52380952","27.33333333","23.33333333","32.66666667"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00035","","","","3","1","26","14","10","14","10","3","6","6","5.8","0.9","3.2","6.7","9.9","40","0.223076923","0.064285714","0.1675","4","2.857142857","2.6","1.857142857","0.67","0.478571429","0.32","0.228571429","65","67.67676768","71.42857143","13.80952381","19.33333333","15.95238095","22.33333333","7.619047619","10.66666667","23.57142857","33"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00036","","","","1","1","29","22","10","14","10","1","6","6","5.6","0.9","2.3","6.5","8.8","51","0.193103448","0.040909091","0.12745098","5.1","3.642857143","2.9","2.071428571","0.65","0.464285714","0.23","0.164285714","56.8627451","73.86363636","71.42857143","13.33333333","18.66666667","15.47619048","21.66666667","5.476190476","7.666666667","20.95238095","29.33333333"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00037","","","","1","1","19","18","10","14","10","1","5","7","6.4","1.7","5","8.1","13.1","37","0.336842105","0.094444444","0.218918919","3.7","2.642857143","1.9","1.357142857","0.81","0.578571429","0.5","0.357142857","51.35135135","61.83206107","71.42857143","15.23809524","21.33333333","19.28571429","27","11.9047619","16.66666667","31.19047619","43.66666667"
