"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00126","","","","2","","","","","2","2","25","9","14","1","","1","","4","4","7","0.4","3.6","1.7","4","5.7","27","0.2","0.144","0.148148148","3","1.928571429","0.222222222","0.142857143","0.444444444","0.285714286","0.188888889","0.121428571","7.407407407","70.1754386","64.28571429","","","0.952380952","1.481481481","9.523809524","14.81481481","4.047619048","6.296296296","","","13.57142857","21.11111111"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00127","","","","","","","","","","0","4","2","14","","","","","","1","9","0","0.2","0.5","0.2","0.7","4","","0.05","0.05","2","0.285714286","0","0","0.1","0.014285714","0.25","0.035714286","0","28.57142857","14.28571429","","","0","0","0.476190476","3.333333333","1.19047619","8.333333333","","","1.666666667","11.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00128","","","","1","","","","","2","7","34","10","14","10","","2","","4","3","9","0.7","1.7","0.7","2.4","3.1","41","0.1","0.05","0.058536585","4.1","2.928571429","0.7","0.5","0.24","0.171428571","0.07","0.05","17.07317073","77.41935484","71.42857143","","","1.666666667","2.333333333","5.714285714","8","1.666666667","2.333333333","","","7.380952381","10.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00129","","","","2","16.12","50.11","3.998816","6.134665","3","13","10","10","14","10","6","3","65.2399826","3","4","9","4.1","1.4","5.6","5.5","11.1","23","0.315384615","0.14","0.239130435","2.3","1.642857143","1.3","0.928571429","0.55","0.392857143","0.56","0.4","56.52173913","49.54954955","71.42857143","32.1692277","1.769307523","9.761904762","13.66666667","13.0952381","18.33333333","13.33333333","18.66666667","4.212636961","5.897691745","26.42857143","37"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00013","","","","1","","","","","5","8","21","10","14","10","","4","","5","6","6","2.4","3.5","4.8","5.9","10.7","29","0.3","0.166666667","0.203448276","2.9","2.071428571","0.8","0.571428571","0.59","0.421428571","0.48","0.342857143","27.5862069","55.14018692","71.42857143","","","5.714285714","8","14.04761905","19.66666667","11.42857143","16","","","25.47619048","35.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00130","","","","1","","","","","2","10","14","10","14","10","","2","","6","4","9","1","1.4","2.5","2.4","4.9","24","0.1","0.1","0.1","2.4","1.714285714","1","0.714285714","0.24","0.171428571","0.25","0.178571429","41.66666667","48.97959184","71.42857143","","","2.380952381","3.333333333","5.714285714","8","5.952380952","8.333333333","","","11.66666667","16.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00131","","","","1","","","","","1","4","13","10","14","10","","2","","5","5","8","0.7","1.3","4.6","2","6.6","17","0.175","0.1","0.117647059","1.7","1.214285714","0.4","0.285714286","0.2","0.142857143","0.46","0.328571429","23.52941176","30.3030303","71.42857143","","","1.666666667","2.333333333","4.761904762","6.666666667","10.95238095","15.33333333","","","15.71428571","22"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00132","","","","1","","","","","2","0","11","10","14","9","","1","","4","3","9","0","0.5","1","0.5","1.5","11","","0.045454545","0.045454545","1.1","0.785714286","0","0","0.05","0.035714286","0.1","0.071428571","0","33.33333333","71.42857143","","","0","0","1.19047619","1.666666667","2.380952381","3.333333333","","","3.571428571","5"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00133","","","","1","","","","","1","4","15","4","14","3","","1","","3","5","7","0.6","3.8","7.2","4.4","11.6","19","0.15","0.253333333","0.231578947","4.75","1.357142857","1","0.285714286","1.1","0.314285714","1.8","0.514285714","21.05263158","37.93103448","28.57142857","","","1.428571429","5","10.47619048","36.66666667","17.14285714","60","","","27.61904762","96.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00134","","","","2","","","","","3","4","36","10","14","10","","2","","2","4","9","0.8","3.3","1.3","4.1","5.4","40","0.2","0.091666667","0.1025","4","2.857142857","0.4","0.285714286","0.41","0.292857143","0.13","0.092857143","10","75.92592593","71.42857143","","","1.904761905","2.666666667","9.761904762","13.66666667","3.095238095","4.333333333","","","12.85714286","18"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00135","","","","1","16.7","50.49","4.449502","6.9190679","3","9","8","10","14","10","6","1","63.1025734","5","5","8","1.8","2.2","4.5","4","8.5","17","0.2","0.275","0.235294118","1.7","1.214285714","0.9","0.642857143","0.4","0.285714286","0.45","0.321428571","52.94117647","47.05882353","71.42857143","33.07585661","1.323034264","4.285714286","6","9.523809524","13.33333333","10.71428571","15","3.150081581","4.410114214","20.23809524","28.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00136","","","","1","19.95","50.92","0.635395","1.977544","1","13","10","10","14","10","5","1","69.4013519","4","9","2","2.1","4.3","2.9","6.4","9.3","23","0.161538462","0.43","0.27826087","2.3","1.642857143","1.3","0.928571429","0.64","0.457142857","0.29","0.207142857","56.52173913","68.8172043","71.42857143","39.17910448","2.507462687","5","7","15.23809524","21.33333333","6.904761905","9.666666667","5.970149254","8.358208955","22.14285714","31"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00137","","","","1","20.31","50.05","1.165615","2.7100949","1","16","4","9","14","7","3","1","72.2912064","6","8","2","4.4","0.6","3.7","5","8.7","20","0.275","0.15","0.25","2.222222222","1.428571429","1.777777778","1.142857143","0.555555556","0.357142857","0.411111111","0.264285714","80","57.47126437","64.28571429","40.57942058","2.028971029","10.47619048","16.2962963","11.9047619","18.51851852","8.80952381","13.7037037","4.830883402","7.514707515","20.71428571","32.22222222"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00138","","","","1","19.74","50.22","1.043192","3.283452","2","7","22","10","14","10","3","2","71.9524994","4","4","9","0.9","2.7","2.8","3.6","6.4","29","0.128571429","0.122727273","0.124137931","2.9","2.071428571","0.7","0.5","0.36","0.257142857","0.28","0.2","24.13793103","56.25","71.42857143","39.30704898","1.415053763","2.142857143","3","8.571428571","12","6.666666667","9.333333333","3.369175627","4.716845878","15.23809524","21.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00139","","","","1","","","","","2","0","6","3","14","3","","1","","5","3","9","0","1","1.2","1","2.2","6","","0.166666667","0.166666667","2","0.428571429","0","0","0.333333333","0.071428571","0.4","0.085714286","0","45.45454545","21.42857143","","","0","0","2.380952381","11.11111111","2.857142857","13.33333333","","","5.238095238","24.44444444"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00014","","","","1","","","","","2","1","3","2","14","2","","1","","3","2","9","0.2","0.6","2.3","0.8","3.1","4","0.2","0.2","0.2","2","0.285714286","0.5","0.071428571","0.4","0.057142857","1.15","0.164285714","25","25.80645161","14.28571429","","","0.476190476","3.333333333","1.904761905","13.33333333","5.476190476","38.33333333","","","7.380952381","51.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00140","","","","1","20.22","50.1","0.668848","2.543294","2","18","28","10","14","10","3","2","70.1623077","6","8","4","3.8","3.8","19.5","7.6","27.1","46","0.211111111","0.135714286","0.165217391","4.6","3.285714286","1.8","1.285714286","0.76","0.542857143","1.95","1.392857143","39.13043478","28.04428044","71.42857143","40.35928144","3.067305389","9.047619048","12.66666667","18.0952381","25.33333333","46.42857143","65","7.30310807","10.2243513","64.52380952","90.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00141","","","","1","18.55","50.52","0.47211","1.971408","1","6","3","10","14","6","4","1","70.2213669","5","9","2","2.2","0.4","3.5","2.6","6.1","9","0.366666667","0.133333333","0.288888889","0.9","0.642857143","0.6","0.428571429","0.26","0.185714286","0.35","0.25","66.66666667","42.62295082","71.42857143","36.71813143","0.954671417","5.238095238","7.333333333","6.19047619","8.666666667","8.333333333","11.66666667","2.273027184","3.182238058","14.52380952","20.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00142","","","","1","","","","","2","6","17","10","14","9","","1","","4","5","8","0.8","1.2","4.5","2","6.5","23","0.133333333","0.070588235","0.086956522","2.3","1.642857143","0.6","0.428571429","0.2","0.142857143","0.45","0.321428571","26.08695652","30.76923077","71.42857143","","","1.904761905","2.666666667","4.761904762","6.666666667","10.71428571","15","","","15.47619048","21.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00143","","","","1","","","","","1","11","18","10","14","10","","1","","4","4","9","1.5","1.2","2.4","2.7","5.1","29","0.136363636","0.066666667","0.093103448","2.9","2.071428571","1.1","0.785714286","0.27","0.192857143","0.24","0.171428571","37.93103448","52.94117647","71.42857143","","","3.571428571","5","6.428571429","9","5.714285714","8","","","12.14285714","17"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00144","","","","1","","","","","1","1","7","7","14","5","","1","","5","4","8","0.3","0.8","4.8","1.1","5.9","8","0.3","0.114285714","0.1375","1.142857143","0.571428571","0.142857143","0.071428571","0.157142857","0.078571429","0.685714286","0.342857143","12.5","18.6440678","50","","","0.714285714","1.428571429","2.619047619","5.238095238","11.42857143","22.85714286","","","14.04761905","28.0952381"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00145","","","","1","19.57","50.22","0.378105","2.275336","1","11","4","10","14","10","2","1","71.3712616","6","9","3","2.9","5.4","4.9","8.3","13.2","15","0.263636364","1.35","0.553333333","1.5","1.071428571","1.1","0.785714286","0.83","0.592857143","0.49","0.35","73.33333333","62.87878788","71.42857143","38.96853843","3.23438869","6.904761905","9.666666667","19.76190476","27.66666667","11.66666667","16.33333333","7.700925452","10.78129563","31.42857143","44"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00146","","","","","","","","","","0","0","0","14","0","","","","","1","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00147","","","","1","","","","","2","8","19","10","14","10","","1","","5","4","9","2.6","2.8","3.5","5.4","8.9","27","0.325","0.147368421","0.2","2.7","1.928571429","0.8","0.571428571","0.54","0.385714286","0.35","0.25","29.62962963","60.6741573","71.42857143","","","6.19047619","8.666666667","12.85714286","18","8.333333333","11.66666667","","","21.19047619","29.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00148","","","","1","18.57","50.33","1.265663","3.9212539","2","7","15","9","14","9","3","2","69.4547119","6","4","9","2.7","2.7","4.1","5.4","9.5","22","0.385714286","0.18","0.245454545","2.444444444","1.571428571","0.777777778","0.5","0.6","0.385714286","0.455555556","0.292857143","31.81818182","56.84210526","64.28571429","36.89648321","1.992410093","6.428571429","10","12.85714286","20","9.761904762","15.18518519","4.743833556","7.379296642","22.61904762","35.18518519"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00149","","","","1","","","","","2","13","16","10","14","4","","1","","4","6","7","4.7","2.5","2.1","7.2","9.3","29","0.361538462","0.15625","0.248275862","2.9","2.071428571","1.3","0.928571429","0.72","0.514285714","0.21","0.15","44.82758621","77.41935484","71.42857143","","","11.19047619","15.66666667","17.14285714","24","5","7","","","22.14285714","31"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00015","","","","1","","","","","4","3","8","5","14","5","","4","","4","4","8","0.6","1","1.8","1.6","3.4","11","0.2","0.125","0.145454545","2.2","0.785714286","0.6","0.214285714","0.32","0.114285714","0.36","0.128571429","27.27272727","47.05882353","35.71428571","","","1.428571429","4","3.80952381","10.66666667","4.285714286","12","","","8.095238095","22.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00150","","","","2","","","","","2","8","15","9","14","9","","1","","4","3","9","1.4","1.1","1.6","2.5","4.1","23","0.175","0.073333333","0.108695652","2.555555556","1.642857143","0.888888889","0.571428571","0.277777778","0.178571429","0.177777778","0.114285714","34.7826087","60.97560976","64.28571429","","","3.333333333","5.185185185","5.952380952","9.259259259","3.80952381","5.925925926","","","9.761904762","15.18518519"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00151","","","","1","13.48","50.62","3.6199551","5.8020539","2","12","13","10","14","10","8","1","58.6742973","7","7","4","4","4.2","5.6","8.2","13.8","25","0.333333333","0.323076923","0.328","2.5","1.785714286","1.2","0.857142857","0.82","0.585714286","0.56","0.4","48","59.42028986","71.42857143","26.6297906","2.183642829","9.523809524","13.33333333","19.52380952","27.33333333","13.33333333","18.66666667","5.199149593","7.27880943","32.85714286","46"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00152","","","","1","17.98","50.5","0.759486","2.379653","1","7","32","8","14","8","4","1","70.2912979","5","8","4","1.3","1.7","4.6","3","7.6","39","0.185714286","0.053125","0.076923077","4.875","2.785714286","0.875","0.5","0.375","0.214285714","0.575","0.328571429","17.94871795","39.47368421","57.14285714","35.6039604","1.068118812","3.095238095","5.416666667","7.142857143","12.5","10.95238095","19.16666667","2.543140028","4.45049505","18.0952381","31.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00153","","","","1","","","","","1","0","5","1","14","1","","1","","3","7","7","0","1.4","0.8","1.4","2.2","5","","0.28","0.28","5","0.357142857","0","0","1.4","0.1","0.8","0.057142857","0","63.63636364","7.142857143","","","0","0","3.333333333","46.66666667","1.904761905","26.66666667","","","5.238095238","73.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00154","","","","1","","","","","3","0","12","7","14","7","","3","","2","2","9","0","1.4","1.8","1.4","3.2","12","","0.116666667","0.116666667","1.714285714","0.857142857","0","0","0.2","0.1","0.257142857","0.128571429","0","43.75","50","","","0","0","3.333333333","6.666666667","4.285714286","8.571428571","","","7.619047619","15.23809524"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00155","","","","1","","","","","1","5","8","10","14","10","","1","","3","4","9","0.9","0.7","4.4","1.6","6","13","0.18","0.0875","0.123076923","1.3","0.928571429","0.5","0.357142857","0.16","0.114285714","0.44","0.314285714","38.46153846","26.66666667","71.42857143","","","2.142857143","3","3.80952381","5.333333333","10.47619048","14.66666667","","","14.28571429","20"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00156","","","","1","","","","","1","4","6","6","14","6","","2","","3","2","9","0.4","0.5","1.4","0.9","2.3","10","0.1","0.083333333","0.09","1.666666667","0.714285714","0.666666667","0.285714286","0.15","0.064285714","0.233333333","0.1","40","39.13043478","42.85714286","","","0.952380952","2.222222222","2.142857143","5","3.333333333","7.777777778","","","5.476190476","12.77777778"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00157","","","","1","17.62","50.53","1.02387","2.707829","1","12","25","10","14","10","5","1","71.7204285","9","9","3","9.8","7.2","34.3","17","51.3","37","0.816666667","0.288","0.459459459","3.7","2.642857143","1.2","0.857142857","1.7","1.214285714","3.43","2.45","32.43243243","33.13840156","71.42857143","34.87037404","5.927963586","23.33333333","32.66666667","40.47619048","56.66666667","81.66666667","114.3333333","14.11419901","19.75987862","122.1428571","171"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00158","","","","1","","","","","1","1","4","4","14","4","","1","","4","1","9","0.1","0.2","0.7","0.3","1","5","0.1","0.05","0.06","1.25","0.357142857","0.25","0.071428571","0.075","0.021428571","0.175","0.05","20","30","28.57142857","","","0.238095238","0.833333333","0.714285714","2.5","1.666666667","5.833333333","","","2.380952381","8.333333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00159","","","","1","15.82","50.8","1.14615","2.675215","1","12","37","10","14","10","7","1","64.5398865","8","9","4","4.6","11.6","21.4","16.2","37.6","49","0.383333333","0.313513514","0.330612245","4.9","3.5","1.2","0.857142857","1.62","1.157142857","2.14","1.528571429","24.48979592","43.08510638","71.42857143","31.14173228","5.04496063","10.95238095","15.33333333","38.57142857","54","50.95238095","71.33333333","12.01181102","16.81653543","89.52380952","125.3333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00016","","","","3","","","","","5","4","23","8","14","8","","4","","3","5","7","0.5","2","8.8","2.5","11.3","27","0.125","0.086956522","0.092592593","3.375","1.928571429","0.5","0.285714286","0.3125","0.178571429","1.1","0.628571429","14.81481481","22.12389381","57.14285714","","","1.19047619","2.083333333","5.952380952","10.41666667","20.95238095","36.66666667","","","26.9047619","47.08333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00160","","","","","","","","","","0","0","0","14","0","","","","","3","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00161","","","","1","","","","","3","0","10","5","14","4","","3","","3","4","7","0","1","0.8","1","1.8","10","","0.1","0.1","2","0.714285714","0","0","0.2","0.071428571","0.16","0.057142857","0","55.55555556","35.71428571","","","0","0","2.380952381","6.666666667","1.904761905","5.333333333","","","4.285714286","12"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00162","","","","2","","","","","1","6","27","10","14","10","","1","","5","3","9","0.6","1.7","1.3","2.3","3.6","33","0.1","0.062962963","0.06969697","3.3","2.357142857","0.6","0.428571429","0.23","0.164285714","0.13","0.092857143","18.18181818","63.88888889","71.42857143","","","1.428571429","2","5.476190476","7.666666667","3.095238095","4.333333333","","","8.571428571","12"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00163","","","","2","","","","","1","5","4","6","14","3","","1","","3","2","9","0.4","0.2","0.6","0.6","1.2","9","0.08","0.05","0.066666667","1.5","0.642857143","0.833333333","0.357142857","0.1","0.042857143","0.1","0.042857143","55.55555556","50","42.85714286","","","0.952380952","2.222222222","1.428571429","3.333333333","1.428571429","3.333333333","","","2.857142857","6.666666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00164","","","","1","","","","","1","3","12","10","14","9","","3","","3","3","9","0.5","0.6","1.8","1.1","2.9","15","0.166666667","0.05","0.073333333","1.5","1.071428571","0.3","0.214285714","0.11","0.078571429","0.18","0.128571429","20","37.93103448","71.42857143","","","1.19047619","1.666666667","2.619047619","3.666666667","4.285714286","6","","","6.904761905","9.666666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00165","","","","3","","","","","2","0","5","2","14","2","","1","","2","2","9","0","0.4","0.7","0.4","1.1","5","","0.08","0.08","2.5","0.357142857","0","0","0.2","0.028571429","0.35","0.05","0","36.36363636","14.28571429","","","0","0","0.952380952","6.666666667","1.666666667","11.66666667","","","2.619047619","18.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00166","","","","1","","","","","3","2","14","10","14","10","","3","","4","3","9","0.4","0.8","0.5","1.2","1.7","16","0.2","0.057142857","0.075","1.6","1.142857143","0.2","0.142857143","0.12","0.085714286","0.05","0.035714286","12.5","70.58823529","71.42857143","","","0.952380952","1.333333333","2.857142857","4","1.19047619","1.666666667","","","4.047619048","5.666666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00167","","","","1","17.96","50.68","0.459606","2.0947521","3","14","3","10","14","8","6","1","70.3702545","6","9","4","8.6","0.9","27.1","9.5","36.6","17","0.614285714","0.3","0.558823529","1.7","1.214285714","1.4","1","0.95","0.678571429","2.71","1.935714286","82.35294118","25.95628415","71.42857143","35.43804262","3.366614049","20.47619048","28.66666667","22.61904762","31.66666667","64.52380952","90.33333333","8.015747736","11.22204683","87.14285714","122"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00168","","","","1","","","","","3","3","22","9","14","9","","1","","4","3","9","1","1.7","2","2.7","4.7","25","0.333333333","0.077272727","0.108","2.777777778","1.785714286","0.333333333","0.214285714","0.3","0.192857143","0.222222222","0.142857143","12","57.44680851","64.28571429","","","2.380952381","3.703703704","6.428571429","10","4.761904762","7.407407407","","","11.19047619","17.40740741"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00169","","","","2","17.95","50.15","1.019994","2.4894841","2","13","5","9","14","8","5","1","71.4994278","5","6","6","4.2","0.3","18.2","4.5","22.7","18","0.323076923","0.06","0.25","2","1.285714286","1.444444444","0.928571429","0.5","0.321428571","2.022222222","1.3","72.22222222","19.82378855","64.28571429","35.79262213","1.610667996","10","15.55555556","10.71428571","16.66666667","43.33333333","67.40740741","3.8349238","5.965437022","54.04761905","84.07407407"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00017","","","","1","","","","","6","0","4","6","14","2","","3","","2","2","9","0","0.1","1.1","0.1","1.2","4","","0.025","0.025","0.666666667","0.285714286","0","0","0.016666667","0.007142857","0.183333333","0.078571429","0","8.333333333","42.85714286","","","0","0","0.238095238","0.555555556","2.619047619","6.111111111","","","2.857142857","6.666666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00170","","","","3","","","","","2","3","8","8","14","8","","2","","4","3","9","0.8","1","1.4","1.8","3.2","11","0.266666667","0.125","0.163636364","1.375","0.785714286","0.375","0.214285714","0.225","0.128571429","0.175","0.1","27.27272727","56.25","57.14285714","","","1.904761905","3.333333333","4.285714286","7.5","3.333333333","5.833333333","","","7.619047619","13.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00171","","","","2","","","","","1","3","0","5","14","3","","1","","3","3","9","0.6","0","4.6","0.6","5.2","3","0.2","","0.2","0.6","0.214285714","0.6","0.214285714","0.12","0.042857143","0.92","0.328571429","100","11.53846154","35.71428571","","","1.428571429","4","1.428571429","4","10.95238095","30.66666667","","","12.38095238","34.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00172","","","","1","16","50.03","3.986836","6.2505212","2","4","3","9","14","6","6","1","64.0347977","4","4","9","1.3","0.7","6","2","8","7","0.325","0.233333333","0.285714286","0.777777778","0.5","0.444444444","0.285714286","0.222222222","0.142857143","0.666666667","0.428571429","57.14285714","25","64.28571429","31.98081151","0.63961623","3.095238095","4.814814815","4.761904762","7.407407407","14.28571429","22.22222222","1.522895786","2.368949001","19.04761905","29.62962963"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00173","","","","2","","","","","8","0","4","1","14","1","","4","","2","6","4","0","0.5","4.9","0.5","5.4","4","","0.125","0.125","4","0.285714286","0","0","0.5","0.035714286","4.9","0.35","0","9.259259259","7.142857143","","","0","0","1.19047619","16.66666667","11.66666667","163.3333333","","","12.85714286","180"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00174","","","","1","20.04","50.15","0.617674","2.1157081","1","5","9","9","14","7","5","1","68.7058563","3","8","6","2.1","1.4","24.8","3.5","28.3","14","0.42","0.155555556","0.25","1.555555556","1","0.555555556","0.357142857","0.388888889","0.25","2.755555556","1.771428571","35.71428571","12.36749117","64.28571429","39.96011964","1.398604187","5","7.777777778","8.333333333","12.96296296","59.04761905","91.85185185","3.33000997","5.180015509","67.38095238","104.8148148"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00175","","","","","","","","","","0","0","1","14","0","","","","","1","9","0","0","0.5","0","0.5","0","","","","0","0","0","0","0","0","0.5","0.035714286","","0","7.142857143","","","0","0","0","0","1.19047619","16.66666667","","","1.19047619","16.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00176","","","","2","","","","","2","5","6","9","14","4","","1","","5","8","5","2.9","0.7","17.6","3.6","21.2","11","0.58","0.116666667","0.327272727","1.222222222","0.785714286","0.555555556","0.357142857","0.4","0.257142857","1.955555556","1.257142857","45.45454545","16.98113208","64.28571429","","","6.904761905","10.74074074","8.571428571","13.33333333","41.9047619","65.18518519","","","50.47619048","78.51851852"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00177","","","","1","","","","","1","1","7","6","14","5","","1","","3","7","6","0.7","0.5","10.6","1.2","11.8","8","0.7","0.071428571","0.15","1.333333333","0.571428571","0.166666667","0.071428571","0.2","0.085714286","1.766666667","0.757142857","12.5","10.16949153","42.85714286","","","1.666666667","3.888888889","2.857142857","6.666666667","25.23809524","58.88888889","","","28.0952381","65.55555556"
