"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00108","","","","1","21.08","50.96","0.547221","2.0753801","1","9","16","10","14","8","5","1","74.7807693","6","6","6","3","3","5.4","6","11.4","25","0.333333333","0.1875","0.24","2.5","1.785714286","0.9","0.642857143","0.6","0.428571429","0.54","0.385714286","36","52.63157895","71.42857143","41.36577708","2.481946625","7.142857143","10","14.28571429","20","12.85714286","18","5.909396726","8.273155416","27.14285714","38"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00109","","","","1","","","","","2","7","21","10","14","10","","1","","4","3","9","1.1","1","1.5","2.1","3.6","28","0.157142857","0.047619048","0.075","2.8","2","0.7","0.5","0.21","0.15","0.15","0.107142857","25","58.33333333","71.42857143","","","2.619047619","3.666666667","5","7","3.571428571","5","","","8.571428571","12"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00011","","","","","","","","","","0","0","0","14","0","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00110","","","","1","","","","","2","4","17","9","14","7","","1","","3","3","9","0.6","0.8","2","1.4","3.4","21","0.15","0.047058824","0.066666667","2.333333333","1.5","0.444444444","0.285714286","0.155555556","0.1","0.222222222","0.142857143","19.04761905","41.17647059","64.28571429","","","1.428571429","2.222222222","3.333333333","5.185185185","4.761904762","7.407407407","","","8.095238095","12.59259259"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00111","","","","","","","","","","0","0","0","14","0","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00112","","","","1","","","","","1","0","22","10","14","8","","1","","4","6","6","0","0.9","7.7","0.9","8.6","22","","0.040909091","0.040909091","2.2","1.571428571","0","0","0.09","0.064285714","0.77","0.55","0","10.46511628","71.42857143","","","0","0","2.142857143","3","18.33333333","25.66666667","","","20.47619048","28.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00113","","","","1","","","","","2","7","15","10","14","10","","1","","5","3","9","1.1","0.8","2.7","1.9","4.6","22","0.157142857","0.053333333","0.086363636","2.2","1.571428571","0.7","0.5","0.19","0.135714286","0.27","0.192857143","31.81818182","41.30434783","71.42857143","","","2.619047619","3.666666667","4.523809524","6.333333333","6.428571429","9","","","10.95238095","15.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00114","","","","1","19.45","50.58","1.926008","3.547111","2","16","8","9","14","9","5","1","67.8443909","6","5","7","4.1","1.4","11","5.5","16.5","24","0.25625","0.175","0.229166667","2.666666667","1.714285714","1.777777778","1.142857143","0.611111111","0.392857143","1.222222222","0.785714286","66.66666667","33.33333333","64.28571429","38.45393436","2.11496639","9.761904762","15.18518519","13.0952381","20.37037037","26.19047619","40.74074074","5.035634262","7.833208851","39.28571429","61.11111111"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00115","","","","1","17.16","50.26","1.015354","2.789752","2","13","32","10","14","10","8","1","66.9174576","4","6","7","2.3","3.1","12.7","5.4","18.1","45","0.176923077","0.096875","0.12","4.5","3.214285714","1.3","0.928571429","0.54","0.385714286","1.27","0.907142857","28.88888889","29.83425414","71.42857143","34.14245921","1.843692797","5.476190476","7.666666667","12.85714286","18","30.23809524","42.33333333","4.389744756","6.145642658","43.0952381","60.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00116","","","","1","14.98","50.98","3.623677","6.5439811","2","9","21","10","14","10","7","1","61.0911636","5","4","9","1.6","3.1","3.7","4.7","8.4","30","0.177777778","0.147619048","0.156666667","3","2.142857143","0.9","0.642857143","0.47","0.335714286","0.37","0.264285714","30","55.95238095","71.42857143","29.38407219","1.381051393","3.80952381","5.333333333","11.19047619","15.66666667","8.80952381","12.33333333","3.288217602","4.603504642","20","28"
