"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00019","","","","1","23.8460464","1.972989","1.137345","50.5","3.249928","5.4064279","1","79","37","30","27","30","25","7","6","3.5984991","1","61.4197388","24.15841584","5","1","14.3139725","8","1","1","18.78","2.24","28.74","21.02","49.76","116","0.237721519","0.060540541","0.181206897","4.296296296","3.866666667","2.925925926","2.633333333","0.778518519","0.700666667","1.064444444","0.958","68.10344828","42.24276527","90","5.07809901","20.86666667","23.18518519","23.35555556","25.95061728","31.93333333","35.48148148","5.642332233","6.269258037","55.28888889","61.43209877"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00002","","","","1","0","1.391584","0.614113","50.94","5.6975632","7.866797","1","68","36","29","29","30","28","5","5","1.696581","1","65.6815948","28.77895563","5","1","6.9867039","8","1","1","19.16","2.9","30.4","22.06","52.46","104","0.281764706","0.080555556","0.212115385","3.586206897","3.466666667","2.344827586","2.266666667","0.760689655","0.735333333","1.048275862","1.013333333","65.38461538","42.05108654","96.66666667","6.348637612","21.28888889","22.02298851","24.51111111","25.35632184","33.77777778","34.94252874","7.054041791","7.297284611","58.28888889","60.29885057"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00020","","","","1","0","1.5649461","0.88794","50.53","0.494987","1.877592","1","10","15","28","28","30","22","5","5","4.188808","1","74.2193832","30.63526618","6","1","8.6886292","7","1","1","0.92","0.88","19.08","1.8","20.88","25","0.092","0.058666667","0.072","0.892857143","0.833333333","0.357142857","0.333333333","0.064285714","0.06","0.681428571","0.636","40","8.620689655","93.33333333","0.551434791","1.022222222","1.095238095","2","2.142857143","21.2","22.71428571","0.612705324","0.65646999","23.2","24.85714286"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00021","","","","1","0","1.950681","1.060274","50.95","0.522953","2.0374489","1","32","21","26","26","30","26","2","8","4.5364799","1","73.1949615","31.46221786","6","1","10.0283394","8","1","1","6.75","1.06","20.04","7.81","27.85","53","0.2109375","0.05047619","0.147358491","2.038461538","1.766666667","1.230769231","1.066666667","0.300384615","0.260333333","0.770769231","0.668","60.37735849","28.04308797","86.66666667","2.457199215","7.5","8.653846154","8.677777778","10.01282051","22.26666667","25.69230769","2.73022135","3.150255404","30.94444444","35.70512821"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00022","","","","1","0","1.544044","0.806022","50.74","0.818309","1.919989","1","50","40","30","29","30","28","4","5","4.1323552","1","76.0624619","30.13401655","5","1","8.0397711","7","1","1","7.82","1.5","35.2","9.32","44.52","90","0.1564","0.0375","0.103555556","3.103448276","3","1.724137931","1.666666667","0.32137931","0.310666667","1.213793103","1.173333333","55.55555556","20.9344115","96.66666667","2.808490342","8.688888889","8.988505747","10.35555556","10.71264368","39.11111111","40.45977011","3.120544825","3.228149819","49.46666667","51.17241379"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00023","","","","1","25.9860649","1.9703929","1.19926","50.86","3.4257569","5.5280828","1","47","44","26","23","30","21","7","6","3.4244671","1","59.6503448","21.62799843","5","1","15.3232985","6","1","1","11.06","2.42","33.64","13.48","47.12","91","0.235319149","0.055","0.148131868","3.956521739","3.033333333","2.043478261","1.566666667","0.586086957","0.449333333","1.462608696","1.121333333","51.64835165","28.60780985","76.66666667","2.915454188","12.28888889","16.02898551","14.97777778","19.53623188","37.37777778","48.75362319","3.239393543","4.225295925","52.35555556","68.28985507"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00024","","","","1","0","1.636345","0.806887","50.51","1.619817","2.7202239","1","56","50","28","25","30","23","6","5","2.8051219","1","70.6584244","27.00455355","6","1","9.5328312","8","1","1","8.23","2.32","24.48","10.55","35.03","106","0.146964286","0.0464","0.099528302","4.24","3.533333333","2.24","1.866666667","0.422","0.351666667","0.9792","0.816","52.83018868","30.11704253","83.33333333","2.8489804","9.144444444","10.97333333","11.72222222","14.06666667","27.2","32.64","3.165533777","3.798640533","38.92222222","46.70666667"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00025","","","","1","0","1.297544","0.677613","50.56","0.627112","1.781752","1","17","22","30","29","30","29","3","5","3.1508501","1","80.0869217","35.70015823","7","7","6.7661452","6","3","4","1.4","0.73","24.4","2.13","26.53","39","0.082352941","0.033181818","0.054615385","1.344827586","1.3","0.586206897","0.566666667","0.073448276","0.071","0.84137931","0.813333333","43.58974359","8.028646815","96.66666667","0.76041337","1.555555556","1.609195402","2.366666667","2.448275862","27.11111111","28.04597701","0.844903745","0.874038357","29.47777778","30.49425287"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00026","","","","1","2.9689941","1.611169","0.809677","50.06","2.1419981","3.6958399","1","71","44","30","30","30","30","6","7","2.5376761","1","67.6659775","25.26967639","4","1","12.7562695","8","1","1","13.12","1.88","17.44","15","32.44","115","0.184788732","0.042727273","0.130434783","3.833333333","3.833333333","2.366666667","2.366666667","0.5","0.5","0.581333333","0.581333333","61.73913043","46.23921085","100","3.790451459","14.57777778","14.57777778","16.66666667","16.66666667","19.37777778","19.37777778","4.211612732","4.211612732","36.04444444","36.04444444"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00027","","","","1","0","1.257358","0.699125","50.15","2.0417809","3.6342261","1","55","43","30","30","30","30","5","5","1.890963","1","74.1840591","29.43170489","6","1","9.6137505","7","3","3","8.72","1.84","29.22","10.56","39.78","98","0.158545455","0.042790698","0.107755102","3.266666667","3.266666667","1.833333333","1.833333333","0.352","0.352","0.974","0.974","56.12244898","26.54600302","100","3.107988036","9.688888889","9.688888889","11.73333333","11.73333333","32.46666667","32.46666667","3.45332004","3.45332004","44.2","44.2"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00028","","","","1","6.4810753","1.845503","0.952985","50.55","1.78723","3.404269","1","50","60","16","16","30","16","7","7","4.0573082","1","69.2010956","27.53709199","5","1","10.2662773","8","1","1","12.24","3.24","31.58","15.48","47.06","110","0.2448","0.054","0.140727273","6.875","3.666666667","3.125","1.666666667","0.9675","0.516","1.97375","1.052666667","45.45454545","32.89417765","53.33333333","4.26274184","13.6","25.5","17.2","32.25","35.08888889","65.79166667","4.736379822","8.880712167","52.28888889","98.04166667"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00029","","","","1","0","1.479223","0.853933","50.11","1.340468","2.993933","1","50","34","29","29","30","29","5","5","3.0454559","1","72.839035","28.89642786","6","1","8.4108896","7","1","1","10.12","1.5","23.14","11.62","34.76","84","0.2024","0.044117647","0.138333333","2.896551724","2.8","1.724137931","1.666666667","0.400689655","0.387333333","0.797931034","0.771333333","59.52380952","33.429229","96.66666667","3.357764917","11.24444444","11.63218391","12.91111111","13.35632184","25.71111111","26.59770115","3.730849908","3.859499905","38.62222222","39.95402299"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00003","","","","1","0","1.420519","0.751697","50.79","1.4234819","2.7856719","1","21","18","28","28","30","28","3","5","3.260422","1","74.4260254","30.34061823","4","1","8.4963789","6","2","3","10.7","2.16","26.5","12.86","39.36","39","0.50952381","0.12","0.32974359","1.392857143","1.3","0.75","0.7","0.459285714","0.428666667","0.946428571","0.883333333","53.84615385","32.67276423","93.33333333","3.901803504","11.88888889","12.73809524","14.28888889","15.30952381","29.44444444","31.54761905","4.335337227","4.645004172","43.73333333","46.85714286"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00030","","","","1","18.0160065","1.507193","0.731316","50.68","5.5845199","7.6404729","1","70","30","29","29","30","29","7","6","1.834095","1","62.3102837","24.07261247","5","1","9.682395","8","1","2","15.56","1.04","32.38","16.6","48.98","100","0.222285714","0.034666667","0.166","3.448275862","3.333333333","2.413793103","2.333333333","0.572413793","0.553333333","1.116551724","1.079333333","70","33.89138424","96.66666667","3.99605367","17.28888889","17.88505747","18.44444444","19.08045977","35.97777778","37.2183908","4.440059633","4.593165138","54.42222222","56.29885057"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00004","","","","1","0.9216022","1.6888371","0.890531","50.11","2.062839","3.7174151","1","0","60","29","29","30","28","6","5","2.677654","1","69.4448471","26.46178408","3","1","9.4590883","6","2","1","0","3.08","23.4","3.08","26.48","60","","0.051333333","0.051333333","2.068965517","2","0","0","0.106206897","0.102666667","0.806896552","0.78","0","11.63141994","96.66666667","0.81502295","0","0","3.422222222","3.540229885","26","26.89655172","0.905581055","0.936807988","29.42222222","30.43678161"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00005","","","","1","0","1.10449","0.635931","50.98","1.741338","3.0380089","1","45","81","29","28","30","27","5","5","2.1549151","1","75.3146057","30.18830914","5","1","7.8242459","7","1","1","9.1","3.54","49.69","12.64","62.33","126","0.202222222","0.043703704","0.10031746","4.5","4.2","1.607142857","1.5","0.451428571","0.421333333","1.774642857","1.656333333","35.71428571","20.27915931","93.33333333","3.815802275","10.11111111","10.83333333","14.04444444","15.04761905","55.21111111","59.1547619","4.239780306","4.542621756","69.25555556","74.20238095"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00006","","","","1","0","1.643591","0.852169","50.93","1.67417","3.094898","1","50","56","30","30","30","30","2","8","3.127707","1","73.6010513","30.29648537","7","1","8.5163622","6","2","1","12.96","3.2","27.34","16.16","43.5","106","0.2592","0.057142857","0.15245283","3.533333333","3.533333333","1.666666667","1.666666667","0.538666667","0.538666667","0.911333333","0.911333333","47.16981132","37.14942529","100","4.895912036","14.4","14.4","17.95555556","17.95555556","30.37777778","30.37777778","5.439902262","5.439902262","48.33333333","48.33333333"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00007","","","","1","8.0262432","1.925393","1.010761","50.29","1.736221","3.2025759","1","61","107","30","30","30","29","7","7","4.1232848","1","68.3050537","26.38695566","6","3","10.2622232","7","1","1","13.5","5.74","36.1","19.24","55.34","168","0.221311475","0.05364486","0.11452381","5.6","5.6","2.033333333","2.033333333","0.641333333","0.641333333","1.203333333","1.203333333","36.30952381","34.76689555","100","5.076850269","15","15","21.37777778","21.37777778","40.11111111","40.11111111","5.640944743","5.640944743","61.48888889","61.48888889"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00008","","","","1","0","1.637238","0.78748","50.46","1.196542","2.56517","1","61","36","30","30","30","30","6","7","2.7264161","1","70.4414291","29.82560444","6","1","13.058279","7","3","1","13.32","2.92","28.28","16.24","44.52","97","0.218360656","0.081111111","0.16742268","3.233333333","3.233333333","2.033333333","2.033333333","0.541333333","0.541333333","0.942666667","0.942666667","62.88659794","36.47798742","100","4.843678161","14.8","14.8","18.04444444","18.04444444","31.42222222","31.42222222","5.381864623","5.381864623","49.46666667","49.46666667"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00009","","","","1","0","1.207284","0.584244","50.2","0.856197","1.953751","1","41","16","30","30","30","29","4","5","2.5285571","1","78.3714218","33.36653386","2","1","9.4476786","8","2","1","14.18","1.38","19.48","15.56","35.04","57","0.345853659","0.08625","0.272982456","1.9","1.9","1.366666667","1.366666667","0.518666667","0.518666667","0.649333333","0.649333333","71.92982456","44.40639269","100","5.191832669","15.75555556","15.75555556","17.28888889","17.28888889","21.64444444","21.64444444","5.768702965","5.768702965","38.93333333","38.93333333"
