"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00031","","","","3","5.88","1.52","19.54","50.13","0.42","","1","56","48","34","28","34","27","1","6","1.43","4","70.64","4","6","11.19","7","2","3","4.3","7.5","10","11.8","21.8","104","0.076785714","0.15625","0.113461538","3.714285714","3.058823529","2","1.647058824","0.421428571","0.347058824","0.357142857","0.294117647","53.84615385","54.12844037","82.35294118","38.9786555","4.599481348","4.215686275","5.119047619","11.56862745","14.04761905","9.803921569","11.9047619","4.50929544","5.475573034","21.37254902","25.95238095"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00032","","","","3","7.91","1.31","18.28","50.07","","","1","19","34","34","21","34","18","3","5","0.14","3","72.17","4","4","9.71","6","4","4","2.4","1.5","5","3.9","8.9","53","0.126315789","0.044117647","0.073584906","2.523809524","1.558823529","0.904761905","0.558823529","0.185714286","0.114705882","0.238095238","0.147058824","35.8490566","43.82022472","61.76470588","36.50888756","1.423846615","2.352941176","3.80952381","3.823529412","6.19047619","4.901960784","7.936507937","1.395928054","2.260073992","8.725490196","14.12698413"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00033","","","","2","4.34","1.31","18.46","50.2","0.02","","1","40","52","34","30","34","30","1","2","0.91","3","71.59","5","7","9.57","7","1","3","10.5","3.6","16","14.1","30.1","92","0.2625","0.069230769","0.15326087","3.066666667","2.705882353","1.333333333","1.176470588","0.47","0.414705882","0.533333333","0.470588235","43.47826087","46.84385382","88.23529412","36.77290837","5.18498008","10.29411765","11.66666667","13.82352941","15.66666667","15.68627451","17.77777778","5.083313804","5.761088977","29.50980392","33.44444444"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00034","","","","2","0.67","1.77","19.53","50.34","0.14","","1","37","56","34","30","34","29","1","8","2.38","2","72.7","5","5","10.71","7","3","4","6.1","2.9","11.5","9","20.5","93","0.164864865","0.051785714","0.096774194","3.1","2.735294118","1.233333333","1.088235294","0.3","0.264705882","0.383333333","0.338235294","39.78494624","43.90243902","88.23529412","38.79618594","3.491656734","5.980392157","6.777777778","8.823529412","10","11.2745098","12.77777778","3.423192877","3.879618594","20.09803922","22.77777778"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00035","","","","4","0.63","1.65","18.87","50.75","0.03","","1","34","29","34","29","34","26","1","9","1.28","2","72.32","1","1","11.57","5","5","6","6.5","1.9","12","8.4","20.4","63","0.191176471","0.065517241","0.133333333","2.172413793","1.852941176","1.172413793","1","0.289655172","0.247058824","0.413793103","0.352941176","53.96825397","41.17647059","85.29411765","37.18226601","3.123310345","6.37254902","7.471264368","8.235294118","9.655172414","11.76470588","13.79310345","3.062068966","3.590011891","20","23.44827586"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00036","","","","2","0.66","1.56","15.23","50","0.4","","1","36","60","34","29","34","27","6","2","1.45","3","73.03","6","6","10.07","6","4","5","7.6","3.9","13.5","11.5","25","96","0.211111111","0.065","0.119791667","3.310344828","2.823529412","1.24137931","1.058823529","0.396551724","0.338235294","0.465517241","0.397058824","37.5","46","85.29411765","30.46","3.5029","7.450980392","8.735632184","11.2745098","13.2183908","13.23529412","15.51724138","3.434215686","4.026321839","24.50980392","28.73563218"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00037","","","","2","17.05","1.54","19.08","50.43","1.81","0.28","1","67","59","32","27","34","27","3","5","1.59","4","69.07","5","6","11.84","6","3","3","11","2.1","5","13.1","18.1","126","0.164179104","0.03559322","0.103968254","4.666666667","3.705882353","2.481481481","1.970588235","0.485185185","0.385294118","0.185185185","0.147058824","53.17460317","72.37569061","79.41176471","37.83462225","4.956335515","10.78431373","13.58024691","12.84313725","16.17283951","4.901960784","6.172839506","4.859152465","6.118932734","17.74509804","22.34567901"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00038","","","","3","16.59","1.46","19.85","50.79","1.35","","1","130","85","34","30","34","30","3","9","1.02","1","69.66","5","5","12.23","7","1","3","10","3.3","5.5","13.3","18.8","215","0.076923077","0.038823529","0.061860465","7.166666667","6.323529412","4.333333333","3.823529412","0.443333333","0.391176471","0.183333333","0.161764706","60.46511628","70.74468085","88.23529412","39.08249655","5.197972042","9.803921569","11.11111111","13.03921569","14.77777778","5.392156863","6.111111111","5.096051021","5.775524491","18.43137255","20.88888889"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00039","","","","2","15.56","1.45","18.06","50.41","2.06","0.68","1","70","70","34","29","34","29","3","6","1.24","2","68.53","5","6","11.12","6","3","3","14.5","3.6","10.5","18.1","28.6","140","0.207142857","0.051428571","0.129285714","4.827586207","4.117647059","2.413793103","2.058823529","0.624137931","0.532352941","0.362068966","0.308823529","50","63.28671329","85.29411765","35.82622496","6.484546717","14.21568627","16.66666667","17.74509804","20.8045977","10.29411765","12.06896552","6.357398742","7.453501973","28.03921569","32.87356322"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00004","","","","3","","1.71","17","50.29","3.83","3.06","1","0","17","28","17","34","7","2","9","1.28","2","67.49","2","1","4.07","1","6","9","0","0.4","0.5","0.4","0.9","17","","0.023529412","0.023529412","1","0.5","0","0","0.023529412","0.011764706","0.029411765","0.014705882","0","44.44444444","50","33.80393716","0.135215749","0","0","0.392156863","0.784313725","0.490196078","0.980392157","0.132564459","0.265128919","0.882352941","1.764705882"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00040","","","","3","2.67","2.19","15.41","50.29","0.44","","1","","39","31","22","34","18","6","5","2.43","3","64.34","4","5","15.11","4","4","6","2.2","1.5","4","3.7","7.7","","","0.038461538","","","","","","0.168181818","0.108823529","0.181818182","0.117647059","","48.05194805","64.70588235","30.64227481","1.133764168","2.156862745","3.333333333","3.62745098","5.606060606","3.921568627","6.060606061","1.111533498","1.717824497","7.549019608","11.66666667"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00041","","","","3","2.86","2.21","15.47","50.41","1.02","","1","22","58","34","28","34","24","6","5","2.31","4","62.09","4","8","16.8","5","4","7","3.2","2.2","3.5","5.4","8.9","80","0.145454545","0.037931034","0.0675","2.857142857","2.352941176","0.785714286","0.647058824","0.192857143","0.158823529","0.125","0.102941176","27.5","60.6741573","82.35294118","30.68835549","1.657171196","3.137254902","3.80952381","5.294117647","6.428571429","3.431372549","4.166666667","1.624677643","1.972822853","8.725490196","10.5952381"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00042","","","","3","4.41","2.12","16.08","50.22","2.8","1.88","1","0","12","32","20","34","18","6","5","2.02","4","60.77","3","3","13.97","4","4","6","0","1.3","2.5","1.3","3.8","12","","0.108333333","0.108333333","0.6","0.352941176","0","0","0.065","0.038235294","0.125","0.073529412","0","34.21052632","58.82352941","32.01911589","0.416248507","0","0","1.274509804","2.166666667","2.450980392","4.166666667","0.408086771","0.693747511","3.725490196","6.333333333"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00005","","","","4","","1.39","17.7","50.06","1.77","0.78","1","20","21","30","24","34","20","2","9","0.61","5","67.58","4","3","14.54","5","5","6","2.4","0.8","3.5","3.2","6.7","41","0.12","0.038095238","0.07804878","1.708333333","1.205882353","0.833333333","0.588235294","0.133333333","0.094117647","0.145833333","0.102941176","48.7804878","47.76119403","70.58823529","35.35757091","1.131442269","2.352941176","3.333333333","3.137254902","4.444444444","3.431372549","4.861111111","1.109257127","1.571447596","6.568627451","9.305555556"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00006","","","","4","15.01","1.55","19.2","50.94","","","1","23","15","31","21","34","20","1","9","1","4","","4","4","","4","5","7","3","0.7","9","3.7","12.7","38","0.130434783","0.046666667","0.097368421","1.80952381","1.117647059","1.095238095","0.676470588","0.176190476","0.108823529","0.428571429","0.264705882","60.52631579","29.13385827","61.76470588","37.69140165","1.394581861","2.941176471","4.761904762","3.62745098","5.873015873","8.823529412","14.28571429","1.367237119","2.213622002","12.45098039","20.15873016"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00007","","","","3","5.4","1.83","15.5","50.34","0.7","","1","9","34","34","28","34","25","6","2","1.06","4","65.38","4","5","15.95","5","1","3","1.2","2.3","6","3.5","9.5","43","0.133333333","0.067647059","0.081395349","1.535714286","1.264705882","0.321428571","0.264705882","0.125","0.102941176","0.214285714","0.176470588","20.93023256","36.84210526","82.35294118","30.79062376","1.077671832","1.176470588","1.428571429","3.431372549","4.166666667","5.882352941","7.142857143","1.056541011","1.282942657","9.31372549","11.30952381"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00008","","","","3","6.04","1.88","16.5","50.56","2.21","1.02","1","33","89","34","30","34","30","6","2","1.17","3","64.24","6","5","13.88","6","1","1","5.8","4.9","6","10.7","16.7","122","0.175757576","0.05505618","0.087704918","4.066666667","3.588235294","1.1","0.970588235","0.356666667","0.314705882","0.2","0.176470588","27.04918033","64.07185629","88.23529412","32.63449367","3.491890823","5.68627451","6.444444444","10.49019608","11.88888889","5.882352941","6.666666667","3.423422375","3.879878692","16.37254902","18.55555556"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00009","","","","4","6.7","1.45","18.7","50.05","3","2.33","1","50","27","34","24","34","24","3","9","0.79","3","69.36","5","5","7.41","5","1","1","7","1.4","6","8.4","14.4","77","0.14","0.051851852","0.109090909","3.208333333","2.264705882","2.083333333","1.470588235","0.35","0.247058824","0.25","0.176470588","64.93506494","58.33333333","70.58823529","37.36263736","3.138461538","6.862745098","9.722222222","8.235294118","11.66666667","5.882352941","8.333333333","3.076923077","4.358974359","14.11764706","20"
