"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015TON-ST02","","","","","","","","","GHP2015TON-ST02-00001","","","","47","73","32","27","34","27","3","6","6","7","3","3","10.4","2.1","9.2","12.5","21.7","120","0.221276596","0.028767123","0.104166667","4.444444444","3.529411765","1.740740741","1.382352941","0.462962963","0.367647059","0.340740741","0.270588235","39.16666667","57.60368664","79.41176471","10.19607843","12.83950617","12.25490196","15.43209877","9.019607843","11.35802469","21.2745098","26.79012346"
"","","GHP2015TON-ST02","","","","","","","","","GHP2015TON-ST02-00002","","","","21","132","34","27","34","27","5","5","5","7","1","1","3.3","10.95","9.95","14.25","24.2","153","0.157142857","0.082954545","0.093137255","5.666666667","4.5","0.777777778","0.617647059","0.527777778","0.419117647","0.368518519","0.292647059","13.7254902","58.88429752","79.41176471","3.235294118","4.074074074","13.97058824","17.59259259","9.754901961","12.28395062","23.7254902","29.87654321"
"","","GHP2015TON-ST02","","","","","","","","","GHP2015TON-ST02-00003","","","","45","87","34","26","34","26","3","7","5","6","4","3","8.35","3.8","11","12.15","23.15","132","0.185555556","0.043678161","0.092045455","5.076923077","3.882352941","1.730769231","1.323529412","0.467307692","0.357352941","0.423076923","0.323529412","34.09090909","52.4838013","76.47058824","8.18627451","10.70512821","11.91176471","15.57692308","10.78431373","14.1025641","22.69607843","29.67948718"
"","","GHP2015TON-ST02","","","","","","","","","GHP2015TON-ST02-00004","","","","48","70","29","26","34","26","3","6","6","7","1","1","6.35","2.3","19.2","8.65","27.85","118","0.132291667","0.032857143","0.073305085","4.538461538","3.470588235","1.846153846","1.411764706","0.332692308","0.254411765","0.738461538","0.564705882","40.6779661","31.05924596","76.47058824","6.225490196","8.141025641","8.480392157","11.08974359","18.82352941","24.61538462","27.30392157","35.70512821"
"","","GHP2015TON-ST02","","","","","","","","","GHP2015TON-ST02-00005","","","","55","20","32","27","34","27","1","6","7","8","1","1","16.2","0.95","19.25","17.15","36.4","75","0.294545455","0.0475","0.228666667","2.777777778","2.205882353","2.037037037","1.617647059","0.635185185","0.504411765","0.712962963","0.566176471","73.33333333","47.11538462","79.41176471","15.88235294","20","16.81372549","21.17283951","18.87254902","23.7654321","35.68627451","44.9382716"
"","","GHP2015TON-ST02","","","","","","","","","GHP2015TON-ST02-00006","","","","66","48","28","25","34","25","2","6","6","8","2","3","15.5","1.4","12.1","16.9","29","114","0.234848485","0.029166667","0.148245614","4.56","3.352941176","2.64","1.941176471","0.676","0.497058824","0.484","0.355882353","57.89473684","58.27586207","73.52941176","15.19607843","20.66666667","16.56862745","22.53333333","11.8627451","16.13333333","28.43137255","38.66666667"
"","","GHP2015TON-ST02","","","","","","","","","GHP2015TON-ST02-00007","","","","58","75","30","30","34","30","5","6","5","8","1","1","9.25","6.2","9.6","15.45","25.05","133","0.159482759","0.082666667","0.116165414","4.433333333","3.911764706","1.933333333","1.705882353","0.515","0.454411765","0.32","0.282352941","43.60902256","61.67664671","88.23529412","9.068627451","10.27777778","15.14705882","17.16666667","9.411764706","10.66666667","24.55882353","27.83333333"
"","","GHP2015TON-ST02","","","","","","","","","GHP2015TON-ST02-00008","","","","26","46","29","23","34","23","1","6","5","6","2","3","4.25","1.4","7","5.65","12.65","72","0.163461538","0.030434783","0.078472222","3.130434783","2.117647059","1.130434783","0.764705882","0.245652174","0.166176471","0.304347826","0.205882353","36.11111111","44.66403162","67.64705882","4.166666667","6.15942029","5.539215686","8.188405797","6.862745098","10.14492754","12.40196078","18.33333333"
"","","GHP2015TON-ST02","","","","","","","","","GHP2015TON-ST02-00009","","","","26","110","29","29","34","29","5","6","5","7","1","1","3.85","11.2","9","15.05","24.05","136","0.148076923","0.101818182","0.110661765","4.689655172","4","0.896551724","0.764705882","0.518965517","0.442647059","0.310344828","0.264705882","19.11764706","62.57796258","85.29411765","3.774509804","4.425287356","14.75490196","17.29885057","8.823529412","10.34482759","23.57843137","27.64367816"
"","","GHP2015TON-ST02","","","","","","","","","GHP2015TON-ST02-00010","","","","47","22","34","26","34","26","2","7","7","6","2","1","13.8","8.8","7.9","22.6","30.5","69","0.293617021","0.4","0.327536232","2.653846154","2.029411765","1.807692308","1.382352941","0.869230769","0.664705882","0.303846154","0.232352941","68.11594203","74.09836066","76.47058824","13.52941176","17.69230769","22.15686275","28.97435897","7.745098039","10.12820513","29.90196078","39.1025641"
"","","GHP2015TON-ST02","","","","","","","","","GHP2015TON-ST02-00011","","","","65","90","32","30","34","30","1","7","5","7","1","1","10.6","2.7","10.75","13.3","24.05","155","0.163076923","0.03","0.085806452","5.166666667","4.558823529","2.166666667","1.911764706","0.443333333","0.391176471","0.358333333","0.316176471","41.93548387","55.3014553","88.23529412","10.39215686","11.77777778","13.03921569","14.77777778","10.53921569","11.94444444","23.57843137","26.72222222"
"","","GHP2015TON-ST02","","","","","","","","","GHP2015TON-ST02-00012","","","","77","33","32","28","34","28","2","7","7","6","2","1","20","1.45","12.15","21.45","33.6","110","0.25974026","0.043939394","0.195","3.928571429","3.235294118","2.75","2.264705882","0.766071429","0.630882353","0.433928571","0.357352941","70","63.83928571","82.35294118","19.60784314","23.80952381","21.02941176","25.53571429","11.91176471","14.46428571","32.94117647","40"
"","","GHP2015TON-ST02","","","","","","","","","GHP2015TON-ST02-00013","","","","59","72","30","27","34","27","3","7","6","7","2","1","9.6","2.5","14.7","12.1","26.8","131","0.162711864","0.034722222","0.092366412","4.851851852","3.852941176","2.185185185","1.735294118","0.448148148","0.355882353","0.544444444","0.432352941","45.03816794","45.14925373","79.41176471","9.411764706","11.85185185","11.8627451","14.9382716","14.41176471","18.14814815","26.2745098","33.08641975"
