"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00019","","","","1","26.37777778","19.53333333","1.745272","3.1987031","25.94776748","21.4858475","1","24","47","26","30","26","2","1","54.7635078","27.59778744","5","33.8028169","5","4.044444444","15.5364075","86.66666667","71","2.730769231","6.16","7","2","3.64","2.52","17.58","6.844444444","23.74","0.151666667","0.053617021","0.086760563","2.366666667","0.923076923","0.8","0.236923077","0.205333333","0.676153846","0.586","1.700023706","4.666666667","7.897435897","22.53846154","1.888915229","2.179517572","30.43589744"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00002","","","","1","44.53333333","34.66666667","0.97929","2.0534849","22.15568862","25.2779293","1","25","20","24","30","23","6","1","55.6865578","33.54442905","3","55.55555556","3","8.177777778","16.1794434","80","45","1.875","8.88","7","3","7.36","1.52","31.2","9.866666667","40.08","0.2944","0.076","0.197333333","1.5","1.041666667","0.833333333","0.37","0.296","1.3","1.04","2.9787453","10.22222222","12.33333333","43.33333333","3.309717","4.13714625","55.66666667"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00020","","","","1","50.6","40.02222222","0.973993","2.729579","20.90469917","18.2321301","1","39","37","28","30","28","","1","55.2184601","27.45136959","1","51.31578947","3","8.8","16.0575943","93.33333333","76","2.714285714","9.52","8","3","7.92","1.6","36.02","10.57777778","45.54","0.203076923","0.043243243","0.125263158","2.533333333","1.392857143","1.3","0.34","0.317333333","1.286428571","1.200666667","2.613370385","9.428571429","11.33333333","42.88095238","2.903744872","3.11115522","54.21428571"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00021","","","","1","10.57777778","9.422222222","","","10.92436975","","1","5","13","23","30","9","","1","","","5","27.77777778","7","0.577777778","","76.66666667","18","0.782608696","1.04","4","4","0.52","0.52","8.48","1.155555556","9.52","0.104","0.04","0.057777778","0.6","0.217391304","0.166666667","0.045217391","0.034666667","0.368695652","0.282666667","","0.753623188","1.507246377","12.28985507","","","13.79710145"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00022","","","","1","43.95555556","26","1.249447","4.460146","40.84934277","14.1281891","1","50","30","30","30","30","8","1","52.2037659","30.46921402","1","62.5","3","16.4","18.4161072","100","80","2.666666667","16.16","9","1","14.76","1.4","23.4","17.95555556","39.56","0.2952","0.046666667","0.202","2.666666667","1.666666667","1.666666667","0.538666667","0.538666667","0.78","0.78","4.923824986","16.4","17.95555556","26","5.470916651","5.470916651","43.95555556"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00023","","","","3","40.82222222","25.84444444","1.106403","2.4305501","36.69025585","22.5578461","1","40","19","24","30","24","6","1","56.6954613","29.48412698","3","67.79661017","1","13.62222222","15.8366776","80","59","2.458333333","13.48","7","3","12.26","1.22","23.26","14.97777778","36.74","0.3065","0.064210526","0.228474576","1.966666667","1.666666667","1.333333333","0.561666667","0.449333333","0.969166667","0.775333333","3.974460317","17.02777778","18.72222222","32.30555556","4.416067019","5.520083773","51.02777778"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00024","","","","3","28.73333333","17.62222222","1.532423","4.4770279","38.66976025","18.9827728","1","37","10","20","30","20","4","1","50.2132645","29.645755","5","78.72340426","1","10.4","20.3887024","66.66666667","47","2.35","10","5","5","9.36","0.64","15.86","11.11111111","25.86","0.252972973","0.064","0.212765957","1.566666667","1.85","1.233333333","0.5","0.333333333","0.793","0.528666667","2.9645755","15.6","16.66666667","26.43333333","3.293972778","4.940959167","43.1"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00025","","","","1","31.95555556","25.51111111","1.341019","2.448729","20.16689847","14.5857048","1","14","18","18","30","18","6","1","60.6039734","33.73637265","5","43.75","3","5.288888889","14.0457687","60","32","1.777777778","5.8","7","3","4.76","1.04","22.96","6.444444444","28.76","0.34","0.057777778","0.18125","1.066666667","0.777777778","0.466666667","0.322222222","0.193333333","1.275555556","0.765333333","1.956709614","8.814814815","10.74074074","42.51851852","2.174121793","3.623536322","53.25925926"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00026","","","","5","45.22222222","37.37777778","1.352224","2.9129491","17.34643735","12.9381409","1","24","63","28","30","23","9","1","57.3179741","31.95429472","1","27.5862069","5","5.333333333","14.5960846","93.33333333","87","3.107142857","7.06","7","3","4.8","2.26","33.64","7.844444444","40.7","0.2","0.035873016","0.081149425","2.9","0.857142857","0.8","0.252142857","0.235333333","1.201428571","1.121333333","2.255973207","5.714285714","8.404761905","40.04761905","2.506636897","2.68568239","48.45238095"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00027","","","","3","31.94444444","23.58888889","1.403807","2.5300951","26.15652174","20.9416981","1","23","55","24","30","19","6","1","58.8240128","32.07509881","5","29.48717949","3","5.577777778","14.3576126","80","78","3.25","7.52","6","1","5.02","2.5","21.23","8.355555556","28.75","0.21826087","0.045454545","0.096410256","2.6","0.958333333","0.766666667","0.313333333","0.250666667","0.884583333","0.707666667","2.412047431","6.972222222","10.44444444","29.48611111","2.680052701","3.350065876","39.93055556"
