"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Biomass yield in tons per ha|CO_331:0001003","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00019","","","","3","20.8005753","14.62222222","1.714063","0.902464","6.133333333","0.840977","1.978561","3.9630511","3.928108","58.05471125","2.6365891","1","36","79","30","28","30","28","6","9","2.573936","1","56.1583366","67.3982315","34.96614894","3","31.30434783","5","5.533333333","19.5720367","12.751606","115","4.107142857","7.64","8","1","1","4.98","2.66","5.52","8.488888889","13.16","0.138333333","0.033670886","0.066434783","3.833333333","1.285714286","1.2","0.272857143","0.254666667","0.197142857","0.184","93.33333333","2.671413779","5.928571429","9.095238095","6.571428571","2.968237532","3.180254499","15.66666667"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00002","","","","3","0","18.51111111","1.741554","0.896554","4.4","1.885674","2.482975","3.1469021","4.3352389","76.2304922","5.54073","3","71","110","30","30","30","30","5","4","1.762892","1","57.5673828","68.0815125","32.63779528","1","39.22651934","3","10.62222222","17.0220184","11.9820213","181","6.033333333","12.7","7","1","1","9.56","3.14","3.96","14.11111111","16.66","0.134647887","0.028545455","0.070165746","6.033333333","2.366666667","2.366666667","0.423333333","0.423333333","0.132","0.132","100","4.145000001","10.62222222","14.11111111","4.4","4.605555556","4.605555556","18.51111111"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00020","","","","1","28.2843361","7.933333333","1.909614","1.079939","2","1.036419","1.4389679","4.6512551","3.1506431","74.78991597","9.5473118","1","32","48","30","30","30","30","6","4","2.668169","1","52.7612724","66.589386","30.27359239","1","40","5","4.066666667","20.5321655","13.8780003","80","2.666666667","5.34","7","1","1","3.66","1.68","1.8","5.933333333","7.14","0.114375","0.035","0.06675","2.666666667","1.066666667","1.066666667","0.178","0.178","0.06","0.06","100","1.616609834","4.066666667","5.933333333","2","1.796233148","1.796233148","7.933333333"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00021","","","","5","0","7.644444444","1.450295","1.0235341","3.111111111","1.237675","1.231373","2.161139","2.811101","59.30232558","4.0848312","5","17","15","30","10","30","10","4","6","2.529093","3","64.176918","69.0767975","29.8816568","3","53.125","3","3.6","17.2261734","14.7399006","32","3.2","4.08","8","1","1","3.24","0.84","2.8","4.533333333","6.88","0.190588235","0.056","0.1275","1.066666667","1.7","0.566666667","0.408","0.136","0.28","0.093333333","33.33333333","1.219171597","10.8","13.6","9.333333333","1.354635108","4.063905325","22.93333333"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00022","","","","3","0","12.42222222","1.431879","0.837291","3.533333333","0.557232","1.199945","1.956018","2.740824","71.55635063","9.9552135","1","35","12","30","14","30","14","4","6","1.877468","1","64.0248108","74.5332031","30.10752688","5","74.46808511","3","8.355555556","15.9434738","11.1447802","47","3.357142857","8","8","1","1","7.52","0.48","3.18","8.888888889","11.18","0.214857143","0.04","0.170212766","1.566666667","2.5","1.166666667","0.571428571","0.266666667","0.227142857","0.106","46.66666667","2.40860215","17.9047619","19.04761905","7.571428571","2.676224612","5.734767025","26.61904762"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00023","","","","5","0","18.8","1.5549099","0.905175","7.333333333","0.055956","1.02869","1.686658","2.905334","60.9929078","10.6676979","1","40","12","27","18","30","18","4","2","2.3618641","1","64.8345032","72.3892517","27.34312947","1","76.92307692","3","10.31111111","14.7010651","10.2230558","52","2.888888889","10.32","8","1","1","9.28","1.04","6.6","11.46666667","16.92","0.232","0.086666667","0.198461538","1.733333333","2.222222222","1.333333333","0.573333333","0.344","0.366666667","0.22","60","2.821810961","17.18518519","19.11111111","12.22222222","3.135345513","5.225575854","31.33333333"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00024","","","","1","","12.17777778","","","5.866666667","","","","","51.82481752","","1","34","67","28","28","30","28","","","","1","","","","1","33.66336634","3","4.511111111","","","101","3.607142857","5.68","8","1","1","4.06","1.62","5.28","6.311111111","10.96","0.119411765","0.024179104","0.056237624","3.366666667","1.214285714","1.133333333","0.202857143","0.189333333","0.188571429","0.176","93.33333333","","4.833333333","6.761904762","6.285714286","","","13.04761905"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00025","","","","5","0","18.97777778","1.366953","0.798154","7.333333333","1.1861","1.075291","2.7669749","2.5652699","61.35831382","4.5393791","3","56","30","30","26","30","26","5","7","2.347218","1","61.0169678","73.9605408","29.72327294","5","65.11627907","3","9.777777778","13.8952255","12.0032206","86","3.307692308","10.48","7","1","1","8.8","1.68","6.6","11.64444444","17.08","0.157142857","0.056","0.121860465","2.866666667","2.153846154","1.866666667","0.403076923","0.349333333","0.253846154","0.22","86.66666667","3.114999004","11.28205128","13.43589744","8.461538462","3.461110005","3.993588467","21.8974359"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00026","","","","5","28.4910431","20.71111111","1.764744","1.015425","2.666666667","0","3.3875029","3.3907051","6.0286131","87.12446352","18.2141991","1","36","44","25","20","30","20","9","8","2.4361131","5","56.1180305","64.9898453","23.35329341","5","45","3","9.822222222","14.7436218","14.2130184","80","4","16.24","8","1","1","8.84","7.4","2.4","18.04444444","18.64","0.245555556","0.168181818","0.203","2.666666667","1.8","1.2","0.812","0.541333333","0.12","0.08","66.66666667","3.79257485","14.73333333","27.06666667","4","4.213972055","6.320958083","31.06666667"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00027","","","","5","0","12.55555556","1.560151","0.977407","5.8","0.509525","1.151019","1.7930501","2.9151399","53.80530973","8.9353104","1","28","25","30","23","30","21","4","2","2.863205","1","64.0469131","72.1409836","28.45479888","3","52.83018868","3","5.688888889","16.6786041","10.7352972","53","2.304347826","6.08","7","1","1","5.12","0.96","5.22","6.755555556","11.3","0.182857143","0.0384","0.114716981","1.766666667","1.217391304","0.933333333","0.264347826","0.202666667","0.226956522","0.174","76.66666667","1.730051772","7.420289855","8.811594203","7.565217391","1.922279747","2.507321409","16.37681159"
