"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00001","","","","3","13.0634956","1.750697","0.8771","1.949815","3.234297","1","22","15","10","10","10","10","7","8","2.2549059","3","64.3731003","30.91232931","4","1","15.2575731","7","1","1","9.1","1","3.87","10.1","13.97","37","0.413636364","0.066666667","0.272972973","3.7","3.7","2.2","2.2","1.01","1.01","0.387","0.387","59.45945946","72.29778096","100","3.12214526","30.33333333","30.33333333","33.66666667","33.66666667","12.9","12.9","10.40715087","10.40715087","46.56666667","46.56666667"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00010","","","","3","","","","","","1","0","11","10","6","10","6","","","","1","","","1","9","","6","2","2","0","0.3","0.98","0.3","1.28","11","","0.027272727","0.027272727","1.833333333","1.1","0","0","0.05","0.03","0.163333333","0.098","0","23.4375","60","","0","0","1","1.666666667","3.266666667","5.444444444","","","4.266666667","7.111111111"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00011","","","","5","34.1656265","1.958311","1.084275","9.2437925","12.3197641","1","6","19","10","10","10","10","8","5","3.5842321","1","51.0336952","21.93827403","3","7","5.5802579","6","2","2","1.04","0.5","2.44","1.54","3.98","25","0.173333333","0.026315789","0.0616","2.5","2.5","0.6","0.6","0.154","0.154","0.244","0.244","24","38.69346734","100","0.33784942","3.466666667","3.466666667","5.133333333","5.133333333","8.133333333","8.133333333","1.126164734","1.126164734","13.26666667","13.26666667"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00012","","","","1","6.0450878","2.2922399","1.1394","0.737015","1.390247","1","16","14","10","6","10","6","6","8","5.483501","1","61.2946777","35.56914579","4","1","17.0318012","7","1","2","2.28","0.9","2.36","3.18","5.54","30","0.1425","0.064285714","0.106","5","3","2.666666667","1.6","0.53","0.318","0.393333333","0.236","53.33333333","57.40072202","60","1.131098836","7.6","12.66666667","10.6","17.66666667","7.866666667","13.11111111","3.770329454","6.283882423","18.46666667","30.77777778"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00013","","","","3","20.1055183","1.8256561","0.8996","1.046906","1.9755861","1","22","12","10","10","10","10","6","9","3.747776","3","66.9187088","38.16073885","3","3","13.6280022","8","1","2","5.98","0.58","14.36","6.56","20.92","34","0.271818182","0.048333333","0.192941176","3.4","3.4","2.2","2.2","0.656","0.656","1.436","1.436","64.70588235","31.35755258","100","2.503344469","19.93333333","19.93333333","21.86666667","21.86666667","47.86666667","47.86666667","8.344481562","8.344481562","69.73333333","69.73333333"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00014","","","","3","2.6199245","1.707581","0.895312","1.637185","2.5045979","1","36","32","10","10","10","10","6","7","2.732651","1","65.3592453","33.76212151","3","3","14.1513987","8","2","2","6.36","1.5","4.36","7.86","12.22","68","0.176666667","0.046875","0.115588235","6.8","6.8","3.6","3.6","0.786","0.786","0.436","0.436","52.94117647","64.3207856","100","2.653702751","21.2","21.2","26.2","26.2","14.53333333","14.53333333","8.845675836","8.845675836","40.73333333","40.73333333"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00015","","","","3","0","1.46176","0.681281","3.733938","5.129529","1","23","36","10","10","10","10","6","4","1.9197789","1","68.628334","36.15551608","5","3","9.0119162","7","1","1","4.76","1.84","3.36","6.6","9.96","59","0.206956522","0.051111111","0.111864407","5.9","5.9","2.3","2.3","0.66","0.66","0.336","0.336","38.98305085","66.26506024","100","2.386264061","15.86666667","15.86666667","22","22","11.2","11.2","7.954213538","7.954213538","33.2","33.2"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00016","","","","3","2.9212418","1.671796","0.881898","0.479527","0.837135","1","14","18","10","10","10","10","7","7","3.1292169","3","69.2335129","37.58429195","5","5","12.5784998","6","2","3","2.18","1","2.02","3.18","5.2","32","0.155714286","0.055555556","0.099375","3.2","3.2","1.4","1.4","0.318","0.318","0.202","0.202","43.75","61.15384615","100","1.195180484","7.266666667","7.266666667","10.6","10.6","6.733333333","6.733333333","3.983934947","3.983934947","17.33333333","17.33333333"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00017","","","","3","45.0247955","1.5767519","0.628955","1.188122","1.828264","1","14","27","10","10","10","10","9","9","2.993521","1","67.0059891","35.19253672","6","5","15.4053774","8","1","1","3.86","1.36","0.7","5.22","5.92","41","0.275714286","0.05037037","0.127317073","4.1","4.1","1.4","1.4","0.522","0.522","0.07","0.07","34.14634146","88.17567568","100","1.837050417","12.86666667","12.86666667","17.4","17.4","2.333333333","2.333333333","6.123501389","6.123501389","19.73333333","19.73333333"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00018","","","","1","19.2496071","2.101491","1.165602","1.46059","1.9906991","1","6","8","10","9","10","9","7","5","3.912241","1","52.7286301","27.03820402","5","7","24.2466927","7","1","2","0.86","0.36","1.06","1.22","2.28","14","0.143333333","0.045","0.087142857","1.555555556","1.4","0.666666667","0.6","0.135555556","0.122","0.117777778","0.106","42.85714286","53.50877193","90","0.329866089","2.866666667","3.185185185","4.066666667","4.518518519","3.533333333","3.925925926","1.09955363","1.221726256","7.6","8.444444444"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00019","","","","5","0","1.789626","0.997123","1.692752","3.055037","1","11","7","10","8","10","8","2","8","3.2578681","1","65.2324448","37.64892772","6","5","14.7064419","8","1","1","1.78","0.4","2.5","2.18","4.68","18","0.161818182","0.057142857","0.121111111","2.25","1.8","1.375","1.1","0.2725","0.218","0.3125","0.25","61.11111111","46.58119658","80","0.820746624","5.933333333","7.416666667","7.266666667","9.083333333","8.333333333","10.41666667","2.735822081","3.419777601","15.6","19.5"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00002","","","","3","0","1.578352","0.825721","0.60779","1.425576","1","0","18","10","10","10","10","3","3","2.6121521","1","71.3551941","41.8793274","8","7","11.9467096","6","2","5","0","1.02","4.18","1.02","5.2","18","","0.056666667","0.056666667","1.8","1.8","0","0","0.102","0.102","0.418","0.418","0","19.61538462","100","0.427169139","0","0","3.4","3.4","13.93333333","13.93333333","1.423897132","1.423897132","17.33333333","17.33333333"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00020","","","","1","0","1.436283","0.844057","1.011548","2.0259221","1","9","12","10","10","10","10","2","6","2.8688281","1","72.8270111","37.58112094","1","5","10.8945417","8","2","5","1.08","0.4","3.32","1.48","4.8","21","0.12","0.033333333","0.07047619","2.1","2.1","0.9","0.9","0.148","0.148","0.332","0.332","42.85714286","30.83333333","100","0.55620059","3.6","3.6","4.933333333","4.933333333","11.06666667","11.06666667","1.854001966","1.854001966","16","16"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00021","","","","3","10.3927555","1.709649","0.967732","1.3543611","2.1715381","1","27","24","10","10","10","10","7","5","2.9588411","1","65.4227371","32.99380867","4","5","13.8148203","9","2","3","5.3","1.62","2.86","6.92","9.78","51","0.196296296","0.0675","0.135686275","5.1","5.1","2.7","2.7","0.692","0.692","0.286","0.286","52.94117647","70.75664622","100","2.28317156","17.66666667","17.66666667","23.06666667","23.06666667","9.533333333","9.533333333","7.610571867","7.610571867","32.6","32.6"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00022","","","","1","26.9955902","1.835236","1.079905","3.2500031","4.7294989","1","22","23","10","10","10","10","7","8","3.222702","1","55.8337669","27.50892503","1","3","18.2152309","8","1","1","3.89","1.08","2.68","4.97","7.65","45","0.176818182","0.046956522","0.110444444","4.5","4.5","2.2","2.2","0.497","0.497","0.268","0.268","48.88888889","64.96732026","100","1.367193574","12.96666667","12.96666667","16.56666667","16.56666667","8.933333333","8.933333333","4.557311913","4.557311913","25.5","25.5"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00023","","","","5","0","1.435015","0.864592","0.720542","1.351124","3","22","17","10","10","10","10","3","8","3.3495941","3","70.8774261","40.76786068","7","5","13.762887","7","2","2","4.98","0.76","2.34","5.74","8.08","39","0.226363636","0.044705882","0.147179487","3.9","3.9","2.2","2.2","0.574","0.574","0.234","0.234","56.41025641","71.03960396","100","2.340075203","16.6","16.6","19.13333333","19.13333333","7.8","7.8","7.800250677","7.800250677","26.93333333","26.93333333"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00024","","","","3","0","1.486993","0.789198","0.689045","1.068272","1","5","14","10","10","10","10","4","7","2.7481","3","70.0488434","39.19239905","7","3","13.0792627","7","1","1","1.06","1.16","4.76","2.22","6.98","19","0.212","0.082857143","0.116842105","1.9","1.9","0.5","0.5","0.222","0.222","0.476","0.476","26.31578947","31.80515759","100","0.870071259","3.533333333","3.533333333","7.4","7.4","15.86666667","15.86666667","2.90023753","2.90023753","23.26666667","23.26666667"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00025","","","","1","12.0929432","1.7799931","0.860696","1.9203171","2.906739","1","33","20","10","10","10","10","7","7","2.5776441","1","63.4073677","34.62751281","2","1","14.220787","7","1","1","12.46","0.92","9.04","13.38","22.42","53","0.377575758","0.046","0.25245283","5.3","5.3","3.3","3.3","1.338","1.338","0.904","0.904","62.26415094","59.67885816","100","4.633161214","41.53333333","41.53333333","44.6","44.6","30.13333333","30.13333333","15.44387071","15.44387071","74.73333333","74.73333333"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00026","","","","3","0","2.251862","1.315819","0.075366","1.273001","1","24","27","10","10","10","10","2","7","4.2067108","3","65.9929352","36.14505321","1","1","14.6807747","6","1","1","6.78","1.72","7.2","8.5","15.7","51","0.2825","0.063703704","0.166666667","5.1","5.1","2.4","2.4","0.85","0.85","0.72","0.72","47.05882353","54.14012739","100","3.072329523","22.6","22.6","28.33333333","28.33333333","24","24","10.24109841","10.24109841","52.33333333","52.33333333"
"","","GHP2017WAG-PT01","","","","","","","","","GHP2017WAG-PT01-00027","","","","3","0","1.58602","0.838367","0.521894","0.889346","1","21","15","10","9","10","9","4","8","3.5930309","3","70.6656342","40.63371861","4","1","13.9609632","7","2","2","5.3","1.14","4.22","6.44","10.66","36","0.252380952","0.076","0.178888889","4","3.6","2.333333333","2.1","0.715555556","0.644","0.468888889","0.422","58.33333333","60.41275797","90","2.616811478","17.66666667","19.62962963","21.46666667","23.85185185","14.06666667","15.62962963","8.722704928","9.691894365","35.53333333","39.48148148"
